
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =   10000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 90

50000 1  STAGGER IDENT_____	   0.011628	   0.185438	   0.122357	   0.124704	   0.131482	   0.189293	   0.373487	    151.55 % .!!!.
50000 1  SAWTOTH IDENT_____	   0.011020	   0.023800	   0.016024	   0.016173	   0.016047	   0.023410	   0.267350	    148.53 % .!!!.
50000 1  _RANDOM IDENT_____	   0.011081	   0.023832	   0.015975	   0.016082	   0.016027	   0.023302	   0.266382	    149.18 % .!!!.
50000 1  PLATEAU IDENT_____	   0.011649	   0.020570	   0.029384	   0.022837	   0.029408	   0.019196	   0.271418	     70.00 % 
50000 1  SHUFFLE IDENT_____	   0.011649	   0.020601	   0.029384	   0.022838	   0.029399	   0.019202	   0.247989	     70.11 % 
50000 1  STAGGER REVERSE___	   0.011646	   0.250072	   0.181435	   0.168573	   0.191014	   0.233159	   1.424483	    137.83 % .!!!.
50000 1  SAWTOTH REVERSE___	   0.011084	   0.023723	   0.015965	   0.016113	   0.015997	   0.023854	   0.269114	    148.60 % .!!!.
50000 1  _RANDOM REVERSE___	   0.011034	   0.023843	   0.016010	   0.016179	   0.016029	   0.023917	   0.267291	    148.92 % .!!!.
50000 1  PLATEAU REVERSE___	   0.011636	   0.064902	   0.015527	   0.015632	   0.015549	   0.013511	   0.267661	    418.01 % .!!!!!.
50000 1  SHUFFLE REVERSE___	   0.011674	   0.064625	   0.081591	   0.059504	   0.081505	   0.053072	   1.254761	     79.21 % 
50000 1  STAGGER REVERSE_FR	   0.011652	   0.215198	   0.150729	   0.146038	   0.163838	   0.214140	   0.997225	    142.77 % .!!!.
50000 1  SAWTOTH REVERSE_FR	   0.011060	   0.023828	   0.015980	   0.016106	   0.016032	   0.023880	   0.267238	    149.10 % .!!!.
50000 1  _RANDOM REVERSE_FR	   0.011061	   0.023749	   0.015988	   0.016126	   0.016002	   0.023895	   0.267054	    148.54 % .!!!.
50000 1  PLATEAU REVERSE_FR	   0.011665	   0.192514	   0.015586	   0.015710	   0.015602	   0.013502	   0.271614	   1235.18 % .!!!!!.
50000 1  SHUFFLE REVERSE_FR	   0.011653	   0.042190	   0.055082	   0.040920	   0.055058	   0.180748	   0.621432	     76.59 % 
50000 1  STAGGER REVERSE_BA	   0.011660	   0.215729	   0.150868	   0.145848	   0.164003	   0.214466	   0.996749	    142.99 % .!!!.
50000 1  SAWTOTH REVERSE_BA	   0.011072	   0.023779	   0.015978	   0.016107	   0.015993	   0.023881	   0.267044	    148.82 % .!!!.
50000 1  _RANDOM REVERSE_BA	   0.011071	   0.023762	   0.015937	   0.016102	   0.016006	   0.023934	   0.267131	    149.10 % .!!!.
50000 1  PLATEAU REVERSE_BA	   0.011638	   0.020589	   0.029457	   0.022918	   0.029461	   0.019205	   0.271559	     69.89 % 
50000 1  SHUFFLE REVERSE_BA	   0.011654	   0.215545	   0.152756	   0.148809	   0.165821	   0.214910	   0.621816	    141.10 % .!!!.
50000 1  STAGGER SORT______	   0.011617	   0.020582	   0.029406	   0.022850	   0.029427	   0.019222	   0.248838	     69.99 % 
50000 1  SAWTOTH SORT______	   0.011062	   0.023792	   0.015974	   0.016140	   0.016012	   0.023882	   0.266867	    148.95 % .!!!.
50000 1  _RANDOM SORT______	   0.011061	   0.023780	   0.015973	   0.016106	   0.016034	   0.023888	   0.267440	    148.87 % .!!!.
50000 1  PLATEAU SORT______	   0.011655	   0.020571	   0.029434	   0.022843	   0.029444	   0.019200	   0.271849	     69.89 % 
50000 1  SHUFFLE SORT______	   0.011662	   0.020575	   0.029401	   0.022896	   0.029440	   0.019197	   0.248526	     69.98 % 
50000 1  STAGGER DITHER____	   0.011674	   2.848188	$   4.784396	   3.522498	   5.214848	   1.514860	   1.320587	     59.53 % 
50000 1  SAWTOTH DITHER____	   0.011640	   0.166780	   0.123298	   0.130475	   0.146773	   1.038183	   3.073052	    135.27 % .!!!.
50000 1  _RANDOM DITHER____	   0.011674	   0.166857	   0.123144	   0.130319	   0.146527	   1.037136	   3.071686	    135.50 % .!!!.
50000 1  PLATEAU DITHER____	   0.011663	   0.167094	   0.123162	   0.130437	   0.146788	   1.037809	   3.058671	    135.67 % .!!!.
50000 1  SHUFFLE DITHER____	   0.011650	   0.676830	   0.524132	   0.408790	   0.603982	   1.266443	   1.294028	    129.13 % .!!!.
50000 4  STAGGER IDENT_____	   0.011637	   0.562671	   0.230642	   0.255835	   0.261202	   0.578682	   1.123462	    243.96 % .!!!!!.
