
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2 %.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 5

50000 1  STAGGER IDENT_____	!  0.018871	   0.377000	!  0.270392	   0.227448	   0.319822	    139.43 % .!!!.
50000 1  SAWTOTH IDENT_____	!  0.017333	   0.040378	   0.040301	   0.028632	   0.055197	    100.19 % ..
50000 1  _RANDOM IDENT_____	   0.019993	   0.037823	   0.037607	   0.026010	   0.052558	    100.57 % ..
50000 1  PLATEAU IDENT_____	   0.021925	   0.050652	   0.071514	   0.029940	   0.042710	     70.83 % 
50000 1  SHUFFLE IDENT_____	   0.021899	   0.050598	   0.079172	   0.030180	   0.042782	     63.91 % 
50000 1  STAGGER REVERSE___	   0.021929	   0.456376	   0.295790	   0.259614	   0.380688	    154.29 % .!!!.
50000 1  SAWTOTH REVERSE___	   0.019988	   0.037480	   0.037705	   0.025954	   0.052766	     99.40 % 
50000 1  _RANDOM REVERSE___	   0.019991	   0.037693	   0.037768	   0.025938	   0.052862	     99.80 % 
50000 1  PLATEAU REVERSE___	   0.021920	   0.107794	   0.037036	   0.025282	   0.030746	    291.05 % .!!!!!.
50000 1  SHUFFLE REVERSE___	   0.021922	   0.131756	   0.129882	   0.083053	   0.099379	    101.44 % ..
50000 1  STAGGER REVERSE_FR	!  0.021453	   0.380539	   0.273077	   0.232592	   0.349232	    139.35 % .!!!.
50000 1  SAWTOTH REVERSE_FR	   0.019935	   0.037594	   0.037654	   0.025981	   0.052889	     99.84 % 
50000 1  _RANDOM REVERSE_FR	   0.019952	   0.037654	   0.037645	   0.025910	   0.052816	    100.02 % ..
50000 1  PLATEAU REVERSE_FR	   0.020163	   0.333668	   0.038925	   0.027235	   0.032448	    857.20 % .!!!!!.
50000 1  SHUFFLE REVERSE_FR	   0.021875	   0.091272	   0.104670	!  0.059788	   0.305889	     87.20 % 
50000 1  STAGGER REVERSE_BA	!  0.021499	   0.382836	   0.272204	   0.232711	   0.349763	    140.64 % .!!!.
50000 1  SAWTOTH REVERSE_BA	!  0.019663	   0.038108	   0.038053	   0.026302	   0.053200	    100.15 % ..
50000 1  _RANDOM REVERSE_BA	   0.020053	   0.037556	   0.037718	   0.025980	   0.052944	     99.57 % 
50000 1  PLATEAU REVERSE_BA	   0.021924	   0.050515	   0.079049	   0.029967	   0.042731	     63.90 % 
50000 1  SHUFFLE REVERSE_BA	   0.021968	   0.381289	   0.272143	   0.232290	   0.349317	    140.11 % .!!!.
50000 1  STAGGER SORT______	   0.021899	   0.050508	   0.079488	   0.030041	   0.042832	     63.54 % 
50000 1  SAWTOTH SORT______	   0.019902	   0.037682	   0.037811	   0.025941	   0.052775	     99.66 % 
50000 1  _RANDOM SORT______	   0.019890	   0.037640	   0.037623	   0.026062	   0.052684	    100.04 % ..
50000 1  PLATEAU SORT______	   0.021771	   0.050912	   0.079071	   0.030107	   0.042754	     64.39 % 
50000 1  SHUFFLE SORT______	!  0.021351	   0.045303	   0.071547	   0.030563	   0.043276	     63.32 % 
50000 1  STAGGER DITHER____	   0.021986	   2.813252	   4.781885	   5.060293	   1.513294	     58.83 % 
50000 1  SAWTOTH DITHER____	!  0.021545	   0.325082	   0.232162	   0.220961	   1.044022	    140.02 % .!!!.
50000 1  _RANDOM DITHER____	   0.021972	   0.325414	   0.232024	   0.222723	   1.044210	    140.25 % .!!!.
50000 1  PLATEAU DITHER____	   0.021992	   0.324930	   0.231773	   0.219865	   1.043548	    140.19 % .!!!.
50000 1  SHUFFLE DITHER____	   0.021979	   0.870698	   0.755358	   0.798196	   1.316328	    115.27 % .!!.
50000 4  STAGGER IDENT_____	!  0.021487	   0.770437	   0.441693	   0.386399	   0.744059	    174.43 % .!!!!.
50000 4  SAWTOTH IDENT_____	   0.021905	   0.357142	   0.209783	   0.200094	   1.048213	    170.24 % .!!!!.
50000 4  _RANDOM IDENT_____	!  0.021535	   1.080836	   1.009803	   1.011810	   1.052230	    107.03 % .!.
50000 4  PLATEAU IDENT_____	   0.021897	   0.045028	   0.071296	   0.030098	   0.042805	     63.16 % 
50000 4  SHUFFLE IDENT_____	   0.021912	   3.425818	   3.227153	   3.315380	   2.127847	    106.16 % .!.
50000 4  STAGGER REVERSE___	   0.021916	   0.847200	   0.487986	   0.446391	   0.808454	    173.61 % .!!!!.
50000 4  SAWTOTH REVERSE___	   0.021900	   0.294551	   0.213097	   0.194818	   1.054849	    138.22 % .!!!.
50000 4  _RANDOM REVERSE___	   0.021934	   1.070786	   1.002109	   0.993922	   1.052531	    106.85 % .!.
