
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

CHECK_SORTED: false
USE_BOTTOM_UP: false
Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	RADIX	MARLIN	PEEK_SORT	DPQ_18_11_E	MARLIN_M2	[DPQ_18_11 % DPQ_18_11P]

lreps: 1 with reps: 5

1000000 1  STAGGER IDENT_____	$   0.460951	   5.010397	   5.635990	   8.335983	   7.103509	  18.501064	  16.076332	   9.087963	  32.786886	     88.90 % 
1000000 1  SAWTOTH IDENT_____	   0.441836	   1.074886	   1.149140	   1.147124	   2.008713	  15.279753	  10.048096	   1.078242	  31.357236	     93.54 % 
1000000 1  _RANDOM IDENT_____	   0.440668	   1.074790	   1.149786	   1.149832	   2.009778	  15.277121	  10.052650	   1.083692	  31.320820	     93.48 % 
1000000 1  PLATEAU IDENT_____	   0.443318	   1.211280	   1.143421	   1.301448	   1.166283	  15.312577	  10.040689	   1.180236	  31.438699	    105.93 % .!.
1000000 1  SHUFFLE IDENT_____	   0.440120	   1.288791	   1.150041	   1.305100	   1.173384	  14.104779	  10.055706	   1.249683	  28.086254	    112.06 % .!!.
1000000 1  STAGGER REVERSE___	   0.857597	   5.718130	   6.351789	   8.818222	   7.794977	  27.522706	  15.501639	  10.084257	  47.690447	     90.02 % 
1000000 1  SAWTOTH REVERSE___	   0.856105	   0.642516	   0.657487	   0.723408	   1.678730	  14.856790	   9.627993	   0.647919	  30.892052	     97.72 % 
1000000 1  _RANDOM REVERSE___	   0.857034	   0.644433	   0.643803	   0.717019	   1.584081	  14.837599	$! 17.818870	   0.652489	  30.912635	    100.10 % ..
1000000 1  PLATEAU REVERSE___	   0.856751	   0.637270	   0.644201	   1.740992	   0.712484	  14.840453	   7.821877	   0.642213	  30.899900	     98.92 % 
1000000 1  SHUFFLE REVERSE___	!  0.818356	   1.920641	   1.863326	   1.949031	$!  5.962255	  23.222824	  10.718980	   2.560754	  43.278519	    103.08 % ..
1000000 1  STAGGER REVERSE_FR	   0.440391	   5.571639	   6.184330	   8.735321	   7.659215	  23.159207	  13.589884	   9.611579	  40.363474	     90.09 % 
1000000 1  SAWTOTH REVERSE_FR	   0.440036	   1.066043	   1.063265	   1.136542	   2.000344	  15.247449	  10.041341	   1.069531	  31.311819	    100.26 % ..
1000000 1  _RANDOM REVERSE_FR	   0.440196	   1.065636	   1.060885	   1.140546	   2.007868	  15.244665	  10.044374	   1.071418	  31.320701	    100.45 % ..
1000000 1  PLATEAU REVERSE_FR	!  0.790652	   0.786745	   0.826804	   7.058732	   0.795454	  14.939589	  12.129870	   0.717200	  31.068035	     95.15 % 
1000000 1  SHUFFLE REVERSE_FR	!  0.649900	   1.547678	   1.480027	   1.602872	   6.557381	  18.626848	  12.510502	   1.843845	  35.756436	    104.57 % ..
1000000 1  STAGGER REVERSE_BA	   0.440810	   5.579617	   6.187774	   8.772983	   7.638464	  23.142106	  13.186375	   9.641736	  40.240647	     90.17 % 
1000000 1  SAWTOTH REVERSE_BA	   0.444434	   1.066380	   1.063351	   1.135459	   1.999969	  15.261738	  10.036390	   1.067996	  31.313134	    100.28 % ..
1000000 1  _RANDOM REVERSE_BA	   0.439937	   1.068403	   1.069693	   1.146365	   2.005686	  15.262143	  10.048872	   1.074159	  31.319890	     99.88 % 
1000000 1  PLATEAU REVERSE_BA	   0.445552	   1.206285	   1.133054	   1.291628	   1.155805	  15.285005	  10.032470	   1.168358	  31.432124	    106.46 % .!.
1000000 1  SHUFFLE REVERSE_BA	   0.440131	   6.024641	   6.182127	   8.437778	   7.660589	  18.831358	  13.174334	   9.621852	  35.878709	     97.45 % 
1000000 1  STAGGER SORT______	   0.852318	   0.781316	   0.715028	   0.874419	   0.742139	  13.672714	   9.639717	   0.754036	  27.654730	    109.27 % .!.
1000000 1  SAWTOTH SORT______	   0.798937	   0.682469	   0.685467	   0.757083	   1.627031	  14.905483	   9.678798	   0.696522	  30.983818	     99.56 % 
1000000 1  _RANDOM SORT______	   0.844738	   0.643592	   0.642624	   0.718004	   1.584626	  14.833150	   9.623474	   0.651365	  30.913261	    100.15 % ..
1000000 1  PLATEAU SORT______	   0.857294	   0.783876	   0.707006	   0.868174	   0.730551	  14.851144	   9.607072	   0.748765	  31.007056	    110.87 % .!!.
1000000 1  SHUFFLE SORT______	   0.857663	   0.790882	   0.711697	   0.871439	   0.734778	  13.661975	   9.620526	   0.753474	  27.669734	    111.13 % .!!.
1000000 1  STAGGER DITHER____	   0.846887	  86.193800	 102.842909	  56.609321	  35.144710	  43.048169	  73.325091	 125.416329	  63.191275	     83.81 % 
