
--- Bentley Basher ---

Start warm up ...
warmup length: 501 reps: 40
lreps: 201 with reps: 1

effReps: 1

warmup length: 10001 reps: 40
lreps: 1 with reps: 40

effReps: 20

  End warm up (69900 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker  	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	MARLIN	[DPQ_18_11 % DPQ_18_11P]

lreps: 1001 with reps: 899

effReps: 138

100 1  STAGGER IDENT_____  	[!! !! !]	!  0.000916	[!!     ]	!  0.002737	[       ]	   0.000739	[!      ]	!  0.001727	[       ]	   0.000622	    370.12 % .!!!!!.
100 1  SAWTOTH IDENT_____  	[ !! ! !]	!  0.001083	[!!!!!  ]	!  0.001458	[       ]	   0.000194	[      !]	   0.000219	[       ]	   0.000382	    751.40 % .!!!!!.
100 1  _RANDOM IDENT_____  	[ !     ]	   0.000026	[       ]	   0.000145	[       ]	   0.000194	[       ]	   0.000213	[       ]	   0.000382	     74.91 % 
100 1  PLATEAU IDENT_____  	[       ]	   0.000021	[       ]	   0.000133	[       ]	   0.000194	[       ]	   0.000212	[       ]	   0.000364	     68.83 % 
100 1  SHUFFLE IDENT_____  	[       ]	   0.000021	[       ]	   0.000881	[       ]	   0.000194	[       ]	   0.000278	[       ]	   0.000343	    453.86 % .!!!!!.
100 1  STAGGER REVERSE___  	[       ]	   0.000021	[       ]	   0.001460	[       ]	   0.001501	[       ]	   0.000982	[       ]	   0.001579	     97.21 % 
100 1  SAWTOTH REVERSE___  	[  !    ]	   0.000021	[       ]	   0.000144	[       ]	   0.000194	[       ]	   0.000212	[       ]	   0.000382	     74.49 % 
100 1  _RANDOM REVERSE___  	[       ]	   0.000021	[!      ]	   0.000149	[       ]	   0.000194	[       ]	   0.000212	[       ]	   0.000382	     76.97 % 
100 1  PLATEAU REVERSE___  	[      !]	   0.000022	[       ]	   0.000147	[       ]	   0.000251	[       ]	   0.000214	[       ]	   0.000400	     58.42 % 
100 1  SHUFFLE REVERSE___  	[       ]	   0.000021	[       ]	   0.001226	[       ]	   0.001774	[       ]	   0.000591	[       ]	   0.001312	     69.11 % 
100 1  STAGGER REVERSE_FR  	[   !   ]	   0.000021	[       ]	   0.001300	[       ]	   0.001317	[       ]	   0.001143	[       ]	   0.001097	     98.66 % 
100 1  SAWTOTH REVERSE_FR  	[       ]	   0.000021	[       ]	   0.000145	[       ]	   0.000194	[     ! ]	   0.000217	[       ]	   0.000382	     74.62 % 
100 1  _RANDOM REVERSE_FR  	[       ]	   0.000021	[       ]	   0.000144	[       ]	   0.000194	[       ]	   0.000213	[       ]	   0.000382	     74.53 % 
100 1  PLATEAU REVERSE_FR  	[       ]	   0.000021	[       ]	   0.000134	[       ]	   0.000226	[       ]	   0.000215	[       ]	   0.000401	     59.29 % 
100 1  SHUFFLE REVERSE_FR  	[ !     ]	   0.000022	[       ]	   0.000840	[       ]	   0.000767	[       ]	   0.000667	[       ]	   0.000829	    109.48 % .!.
100 1  STAGGER REVERSE_BA  	[ !     ]	   0.000021	[       ]	   0.001162	[       ]	   0.000929	[       ]	   0.001069	[       ]	   0.001101	    125.16 % .!!!.
100 1  SAWTOTH REVERSE_BA  	[       ]	   0.000021	[       ]	   0.000145	[       ]	   0.000194	[ !     ]	   0.000218	[       ]	   0.000382	     74.60 % 
100 1  _RANDOM REVERSE_BA  	[       ]	   0.000021	[       ]	   0.000145	[       ]	   0.000194	[       ]	   0.000213	[       ]	   0.000382	     74.63 % 
100 1  PLATEAU REVERSE_BA  	[       ]	   0.000021	[       ]	   0.000133	[       ]	   0.000194	[   !   ]	   0.000217	[       ]	   0.000364	     68.44 % 
100 1  SHUFFLE REVERSE_BA  	[ !     ]	   0.000021	[       ]	   0.001226	[       ]	   0.000588	[       ]	   0.000405	[       ]	   0.000819	    208.44 % .!!!!!.
100 1  STAGGER SORT______  	[ !    !]	   0.000022	[   !   ]	   0.001038	[       ]	   0.000194	[       ]	   0.000279	[       ]	   0.000344	    535.55 % .!!!!!.
100 1  SAWTOTH SORT______  	[    !  ]	   0.000022	[       ]	   0.000144	[       ]	   0.000194	[       ]	   0.000213	[       ]	   0.000386	     74.45 % 
100 1  _RANDOM SORT______  	[       ]	   0.000021	[       ]	   0.000145	[       ]	   0.000194	[       ]	   0.000212	[       ]	   0.000382	     74.52 % 
100 1  PLATEAU SORT______  	[       ]	   0.000021	[       ]	   0.000133	[       ]	   0.000194	[       ]	   0.000212	[       ]	   0.000369	     68.47 % 
100 1  SHUFFLE SORT______  	[  !    ]	   0.000022	[       ]	   0.000875	[       ]	   0.000194	[       ]	   0.000278	[       ]	   0.000344	    450.84 % .!!!!!.
100 1  STAGGER DITHER____  	[     ! ]	   0.000021	[       ]	   0.001044	[       ]	   0.000741	[       ]	   0.001134	[       ]	   0.000930	    140.87 % .!!!.
100 1  SAWTOTH DITHER____  	[      !]	   0.000021	[       ]	   0.000713	[       ]	   0.001318	[       ]	   0.000509	[       ]	   0.001444	     54.07 % 
100 1  _RANDOM DITHER____  	[       ]	   0.000021	[       ]	   0.000713	[  !!   ]	   0.001602	[       ]	   0.000509	[       ]	   0.001444	     44.50 % 
100 1  PLATEAU DITHER____  	[       ]	   0.000021	[       ]	   0.000768	[       ]	   0.001318	[       ]	   0.000522	[       ]	   0.001444	     58.23 % 
100 1  SHUFFLE DITHER____  	[       ]	   0.000021	[     ! ]	   0.001057	[       ]	   0.000260	[       ]	   0.000392	[       ]	   0.000860	    406.31 % .!!!!!.
100 4  STAGGER IDENT_____  	[   !   ]	   0.000021	[       ]	   0.001238	[       ]	   0.001118	[       ]	   0.001059	[       ]	   0.001289	    110.67 % .!!.
100 4  SAWTOTH IDENT_____  	[       ]	   0.000021	[       ]	   0.000756	[       ]	   0.001343	[       ]	   0.000460	[       ]	   0.001459	     56.27 % 
100 4  _RANDOM IDENT_____  	[      !]	   0.000021	[       ]	   0.000854	[       ]	   0.001307	[       ]	!  0.000800	[       ]	   0.001465	     65.37 % 
100 4  PLATEAU IDENT_____  	[ ! !   ]	   0.000022	[       ]	   0.000158	[       ]	   0.000194	[       ]	   0.000222	[       ]	   0.000365	     81.32 % 
100 4  SHUFFLE IDENT_____  	[       ]	   0.000021	[       ]	   0.001194	[       ]	   0.000936	[       ]	   0.001214	[       ]	   0.001216	    127.55 % .!!!.
100 4  STAGGER REVERSE___  	[       ]	   0.000021	[       ]	   0.001583	[       ]	   0.001214	[  !    ]	   0.000992	[       ]	   0.001835	    130.33 % .!!!.
100 4  SAWTOTH REVERSE___  	[       ]	   0.000021	[       ]	   0.000799	[       ]	   0.001066	[       ]	   0.000381	[       ]	   0.001501	     74.96 % 
100 4  _RANDOM REVERSE___  	[       ]	   0.000021	[       ]	   0.000878	[       ]	   0.001425	[       ]	!  0.000663	[       ]	   0.001471	     61.66 % 
100 4  PLATEAU REVERSE___  	[       ]	   0.000021	[       ]	   0.000155	[       ]	   0.000294	[       ]	   0.000233	[       ]	   0.000446	     52.71 % 
100 4  SHUFFLE REVERSE___  	[       ]	   0.000021	[       ]	   0.001269	[       ]	   0.001743	[       ]	!  0.001328	[       ]	   0.001795	     72.80 % 
100 4  STAGGER REVERSE_FR  	[!      ]	   0.000021	[       ]	   0.001237	[       ]	   0.001190	[       ]	   0.000985	[       ]	   0.001549	    103.92 % ..
100 4  SAWTOTH REVERSE_FR  	[    !  ]	   0.000022	[       ]	   0.000735	[       ]	   0.001291	[       ]	   0.000429	[       ]	   0.001476	     56.89 % 
100 4  _RANDOM REVERSE_FR  	[       ]	   0.000021	[       ]	   0.000798	[       ]	   0.001332	[       ]	!  0.000701	[       ]	   0.001483	     59.93 % 
100 4  PLATEAU REVERSE_FR  	[       ]	   0.000021	[       ]	   0.000164	[       ]	   0.000245	[!      ]	   0.000239	[       ]	   0.000442	     66.92 % 
100 4  SHUFFLE REVERSE_FR  	[ !     ]	   0.000021	[       ]	   0.001152	[       ]	   0.001243	[       ]	   0.001256	[       ]	   0.001514	     92.61 % 
100 4  STAGGER REVERSE_BA  	[       ]	   0.000021	[       ]	   0.001373	[      !]	   0.001100	[       ]	   0.001056	[       ]	   0.001567	    124.86 % .!!!.
100 4  SAWTOTH REVERSE_BA  	[  !    ]	   0.000022	[       ]	   0.000714	[       ]	   0.001091	[       ]	   0.000428	[       ]	   0.001475	     65.44 % 
100 4  _RANDOM REVERSE_BA  	[!      ]	   0.000021	[       ]	   0.000836	[       ]	   0.001358	[       ]	!  0.000781	[       ]	   0.001461	     61.53 % 
100 4  PLATEAU REVERSE_BA  	[    !  ]	   0.000022	[      !]	   0.000163	[       ]	   0.000194	[       ]	   0.000222	[       ]	   0.000365	     83.90 % 
100 4  SHUFFLE REVERSE_BA  	[       ]	   0.000021	[       ]	   0.001402	[       ]	   0.001161	[       ]	!  0.001343	[       ]	   0.001509	    120.76 % .!!!.
100 4  STAGGER SORT______  	[       ]	   0.000021	[       ]	   0.000796	[       ]	   0.000194	[       ]	   0.000279	[       ]	   0.000344	    410.83 % .!!!!!.
100 4  SAWTOTH SORT______  	[       ]	   0.000021	[       ]	   0.000410	[       ]	   0.000194	[       ]	   0.000455	[       ]	   0.000367	    211.53 % .!!!!!.
100 4  _RANDOM SORT______  	[  !    ]	   0.000022	[       ]	!  0.000733	[       ]	   0.000194	[       ]	   0.000432	[       ]	   0.000360	    377.88 % .!!!!!.
100 4  PLATEAU SORT______  	[      !]	   0.000022	[       ]	   0.000158	[       ]	   0.000194	[       ]	   0.000222	[       ]	   0.000365	     81.34 % 
100 4  SHUFFLE SORT______  	[  !    ]	   0.000021	[       ]	   0.000884	[       ]	   0.000194	[       ]	   0.000278	[       ]	   0.000343	    455.25 % .!!!!!.
100 4  STAGGER DITHER____  	[!  !   ]	   0.000022	[       ]	   0.001236	[       ]	   0.001115	[       ]	   0.001062	[       ]	   0.001295	    110.89 % .!!.
