
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_18_11_21	DPQ_11	RADIX	MARLIN	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

50 1  STAGGER IDENT_____	   0.000011	   0.000640	   0.000202	   0.000274	   0.000291	   0.000223	   0.000220	    316.95 % .!!!!!.
50 1  SAWTOTH IDENT_____	   0.000011	   0.000222	   0.000070	   0.000108	   0.000089	   0.000077	   0.000144	    316.39 % .!!!!!.
50 1  _RANDOM IDENT_____	   0.000012	   0.000219	   0.000070	   0.000107	   0.000089	   0.000076	   0.000142	    312.05 % .!!!!!.
50 1  PLATEAU IDENT_____	   0.000012	   0.000247	   0.000070	   0.000107	   0.000091	   0.000075	   0.000136	    352.29 % .!!!!!.
50 1  SHUFFLE IDENT_____	   0.000012	   0.000680	   0.000070	   0.000108	   0.000113	   0.000075	   0.000129	    967.59 % .!!!!!.
50 1  STAGGER REVERSE___	   0.000012	   0.000579	   0.000399	   0.000573	   0.000278	   0.000260	   0.000656	    145.20 % .!!!.
50 1  SAWTOTH REVERSE___	   0.000012	   0.000220	   0.000070	   0.000107	   0.000088	   0.000077	   0.000143	    314.16 % .!!!!!.
50 1  _RANDOM REVERSE___	   0.000012	   0.000219	   0.000070	   0.000108	   0.000088	   0.000077	   0.000143	    313.31 % .!!!!!.
50 1  PLATEAU REVERSE___	   0.000012	   0.000247	   0.000101	   0.000128	   0.000090	   0.000078	   0.000163	    245.92 % .!!!!!.
50 1  SHUFFLE REVERSE___	   0.000012	   0.000552	   0.000467	   0.000683	   0.000211	   0.000109	   0.000571	    118.23 % .!!.
50 1  STAGGER REVERSE_FR	   0.000012	   0.000590	   0.000317	   0.000450	   0.000275	   0.000242	   0.000442	    185.72 % .!!!!.
50 1  SAWTOTH REVERSE_FR	   0.000012	   0.000219	   0.000071	   0.000107	   0.000088	   0.000077	   0.000142	    310.63 % .!!!!!.
50 1  _RANDOM REVERSE_FR	   0.000012	   0.000220	   0.000070	   0.000108	   0.000088	   0.000076	   0.000142	    314.35 % .!!!!!.
50 1  PLATEAU REVERSE_FR	   0.000012	   0.000249	   0.000087	   0.000112	   0.000077	   0.000085	   0.000163	    285.93 % .!!!!!.
50 1  SHUFFLE REVERSE_FR	   0.000012	   0.000659	   0.000208	   0.000262	   0.000194	   0.000225	   0.000342	    316.78 % .!!!!!.
50 1  STAGGER REVERSE_BA	   0.000012	   0.000620	   0.000261	   0.000392	   0.000284	   0.000240	   0.000444	    237.80 % .!!!!!.
50 1  SAWTOTH REVERSE_BA	   0.000012	   0.000220	   0.000070	   0.000107	   0.000089	   0.000077	   0.000142	    316.41 % .!!!!!.
50 1  _RANDOM REVERSE_BA	   0.000012	   0.000220	   0.000070	   0.000107	   0.000088	   0.000076	   0.000142	    314.48 % .!!!!!.
50 1  PLATEAU REVERSE_BA	   0.000012	   0.000248	   0.000070	   0.000107	   0.000092	   0.000076	   0.000136	    352.86 % .!!!!!.
50 1  SHUFFLE REVERSE_BA	   0.000012	   0.000649	   0.000176	   0.000274	   0.000157	   0.000241	   0.000345	    367.91 % .!!!!!.
50 1  STAGGER SORT______	   0.000012	   0.000678	   0.000070	   0.000108	   0.000114	   0.000077	   0.000129	    974.89 % .!!!!!.
50 1  SAWTOTH SORT______	   0.000012	   0.000220	   0.000070	   0.000107	   0.000089	   0.000076	   0.000142	    311.47 % .!!!!!.
50 1  _RANDOM SORT______	   0.000012	   0.000220	   0.000070	   0.000107	   0.000088	   0.000077	   0.000142	    315.85 % .!!!!!.
50 1  PLATEAU SORT______	   0.000012	   0.000249	   0.000070	   0.000108	   0.000092	   0.000075	   0.000135	    354.83 % .!!!!!.
50 1  SHUFFLE SORT______	   0.000012	   0.000676	   0.000070	   0.000107	   0.000113	   0.000075	   0.000128	    972.49 % .!!!!!.
50 1  STAGGER DITHER____	   0.000012	   0.000626	   0.000209	   0.000284	   0.000311	   0.000648	   0.000230	    300.33 % .!!!!!.
50 1  SAWTOTH DITHER____	   0.000012	   0.000550	   0.000299	   0.000364	   0.000233	   0.000675	   0.000472	    183.97 % .!!!!.
50 1  _RANDOM DITHER____	   0.000012	   0.000549	   0.000299	   0.000365	   0.000232	   0.000683	   0.000473	    183.98 % .!!!!.
50 1  PLATEAU DITHER____	   0.000012	   0.000561	   0.000298	   0.000365	   0.000236	   0.000674	   0.000475	    187.99 % .!!!!.
50 1  SHUFFLE DITHER____	   0.000012	   0.000675	   0.000095	   0.000118	   0.000156	   0.000636	   0.000220	    710.18 % .!!!!!.
50 4  STAGGER IDENT_____	   0.000012	   0.000619	   0.000266	   0.000365	   0.000296	   0.000495	   0.000479	    232.68 % .!!!!!.
50 4  SAWTOTH IDENT_____	   0.000012	   0.000556	   0.000286	   0.000359	   0.000246	   0.000732	   0.000471	    194.46 % .!!!!.
50 4  _RANDOM IDENT_____	   0.000012	   0.000528	   0.000309	   0.000384	!  0.000295	   0.001758	   0.000481	    171.30 % .!!!!.
50 4  PLATEAU IDENT_____	   0.000012	   0.000346	   0.000070	   0.000107	   0.000083	   0.000075	   0.000135	    495.60 % .!!!!!.
50 4  SHUFFLE IDENT_____	   0.000012	   0.000663	   0.000213	   0.000242	   0.000316	   0.000670	   0.000405	    310.76 % .!!!!!.
50 4  STAGGER REVERSE___	   0.000012	   0.000589	   0.000329	   0.000477	   0.000316	   0.000549	   0.000572	    178.80 % .!!!!.
50 4  SAWTOTH REVERSE___	   0.000012	   0.000527	   0.000295	   0.000376	   0.000251	   0.000814	   0.000495	    178.88 % .!!!!.
50 4  _RANDOM REVERSE___	   0.000012	   0.000530	   0.000314	   0.000378	   0.000260	   0.001747	   0.000494	    168.70 % .!!!!.
50 4  PLATEAU REVERSE___	   0.000012	   0.000330	   0.000125	   0.000186	   0.000086	   0.000084	   0.000206	    264.51 % .!!!!!.
50 4  SHUFFLE REVERSE___	   0.000012	   0.000584	   0.000447	   0.000628	   0.000449	   0.000717	   0.000671	    130.64 % .!!!.
50 4  STAGGER REVERSE_FR	   0.000012	   0.000608	   0.000295	   0.000405	   0.000285	   0.000526	   0.000528	    205.96 % .!!!!!.
50 4  SAWTOTH REVERSE_FR	   0.000012	   0.000542	   0.000299	   0.000372	   0.000242	   0.000776	   0.000504	    181.30 % .!!!!.
50 4  _RANDOM REVERSE_FR	   0.000012	   0.000520	   0.000297	   0.000390	   0.000260	   0.001766	   0.000484	    174.97 % .!!!!.
50 4  PLATEAU REVERSE_FR	   0.000012	   0.000336	   0.000115	   0.000143	   0.000086	   0.000088	   0.000207	    292.63 % .!!!!!.
50 4  SHUFFLE REVERSE_FR	   0.000012	   0.000650	   0.000302	   0.000362	   0.000309	   0.000725	   0.000542	    215.01 % .!!!!!.
50 4  STAGGER REVERSE_BA	   0.000012	   0.000621	   0.000295	   0.000388	   0.000280	   0.000543	   0.000526	    210.82 % .!!!!!.
50 4  SAWTOTH REVERSE_BA	   0.000012	   0.000563	   0.000315	   0.000356	   0.000179	   0.000781	   0.000467	    178.85 % .!!!!.
50 4  _RANDOM REVERSE_BA	   0.000012	   0.000533	   0.000321	   0.000406	   0.000237	   0.001783	   0.000489	    166.13 % .!!!!.
50 4  PLATEAU REVERSE_BA	   0.000012	   0.000346	   0.000070	   0.000107	   0.000083	   0.000075	   0.000135	    491.38 % .!!!!!.
50 4  SHUFFLE REVERSE_BA	   0.000012	   0.000635	   0.000287	   0.000354	   0.000343	   0.000730	   0.000526	    221.00 % .!!!!!.
50 4  STAGGER SORT______	   0.000012	   0.000656	   0.000070	   0.000108	   0.000116	   0.000075	   0.000128	    936.86 % .!!!!!.
50 4  SAWTOTH SORT______	   0.000012	   0.000581	   0.000070	   0.000107	   0.000159	   0.000075	   0.000129	    836.31 % .!!!!!.
50 4  _RANDOM SORT______	   0.000012	   0.000575	   0.000070	   0.000107	   0.000156	   0.000075	   0.000129	    826.34 % .!!!!!.
50 4  PLATEAU SORT______	   0.000012	   0.000346	   0.000070	   0.000107	   0.000084	   0.000076	   0.000136	    495.98 % .!!!!!.
50 4  SHUFFLE SORT______	   0.000012	   0.000691	   0.000070	   0.000107	   0.000112	   0.000076	   0.000129	    987.68 % .!!!!!.
50 4  STAGGER DITHER____	   0.000012	   0.000622	   0.000266	   0.000363	   0.000296	   0.000496	   0.000479	    233.93 % .!!!!!.
50 4  SAWTOTH DITHER____	   0.000012	   0.000623	   0.000322	   0.000399	   0.000296	   0.001744	   0.000499	    193.13 % .!!!!.
50 4  _RANDOM DITHER____	   0.000012	   0.000608	   0.000316	   0.000409	   0.000319	   0.001759	   0.000492	    192.23 % .!!!!.
50 4  PLATEAU DITHER____	   0.000012	   0.000579	   0.000285	   0.000344	   0.000234	   0.000677	   0.000467	    203.41 % .!!!!!.
50 4  SHUFFLE DITHER____	   0.000012	   0.000658	   0.000232	   0.000268	   0.000311	!  0.001589	   0.000420	    283.60 % .!!!!!.
50 16  STAGGER IDENT_____	   0.000012	   0.000643	   0.000305	   0.000330	   0.000321	   0.001658	   0.000466	    210.51 % .!!!!!.
50 16  SAWTOTH IDENT_____	   0.000012	   0.000616	   0.000247	   0.000355	   0.000316	   0.000354	   0.000460	    249.80 % .!!!!!.
50 16  _RANDOM IDENT_____	   0.000012	   0.000608	   0.000347	   0.000450	   0.000428	   0.001881	   0.000517	    175.15 % .!!!!.
50 16  PLATEAU IDENT_____	   0.000012	   0.000528	   0.000070	   0.000106	   0.000102	   0.000075	   0.000135	    759.30 % .!!!!!.
50 16  SHUFFLE IDENT_____	   0.000012	   0.000687	   0.000125	   0.000140	!  0.000226	!  0.000469	!  0.000279	    549.36 % .!!!!!.
50 16  STAGGER REVERSE___	   0.000012	   0.000628	   0.000449	   0.000536	   0.000314	   0.002127	   0.000583	    139.89 % .!!!.
50 16  SAWTOTH REVERSE___	   0.000012	   0.000588	   0.000346	   0.000512	   0.000273	   0.000410	   0.000617	    169.70 % .!!!!.
50 16  _RANDOM REVERSE___	   0.000012	   0.000619	   0.000355	   0.000454	   0.000464	   0.001850	   0.000550	    174.11 % .!!!!.
50 16  PLATEAU REVERSE___	   0.000012	   0.000511	   0.000258	   0.000390	   0.000228	   0.000097	   0.000300	    197.78 % .!!!!.
50 16  SHUFFLE REVERSE___	   0.000012	   0.000563	   0.000464	   0.000707	   0.000272	!  0.000501	   0.000677	    121.29 % .!!!.
50 16  STAGGER REVERSE_FR	   0.000012	   0.000622	   0.000352	   0.000383	   0.000331	   0.001766	   0.000539	    176.57 % .!!!!.
50 16  SAWTOTH REVERSE_FR	   0.000012	   0.000614	   0.000301	   0.000426	   0.000365	   0.000503	   0.000577	    203.74 % .!!!!!.
50 16  _RANDOM REVERSE_FR	   0.000012	   0.000605	   0.000344	   0.000468	   0.000385	   0.001893	   0.000541	    175.95 % .!!!!.
50 16  PLATEAU REVERSE_FR	   0.000012	   0.000522	   0.000178	   0.000229	   0.000150	   0.000099	   0.000302	    292.66 % .!!!!!.
50 16  SHUFFLE REVERSE_FR	   0.000012	   0.000666	   0.000248	   0.000301	   0.000237	!  0.000492	   0.000498	    268.31 % .!!!!!.
50 16  STAGGER REVERSE_BA	   0.000012	   0.000650	   0.000329	   0.000386	   0.000298	   0.001744	   0.000513	    197.74 % .!!!!.
50 16  SAWTOTH REVERSE_BA	   0.000012	   0.000603	   0.000270	   0.000374	   0.000281	   0.000519	   0.000502	    223.07 % .!!!!!.
50 16  _RANDOM REVERSE_BA	   0.000012	   0.000623	   0.000363	   0.000472	   0.000358	   0.001916	   0.000532	    171.42 % .!!!!.
50 16  PLATEAU REVERSE_BA	   0.000012	   0.000529	   0.000070	   0.000108	   0.000101	   0.000075	   0.000135	    758.92 % .!!!!!.
50 16  SHUFFLE REVERSE_BA	   0.000012	   0.000646	   0.000213	   0.000300	   0.000260	!  0.000506	   0.000492	    303.80 % .!!!!!.
50 16  STAGGER SORT______	   0.000012	   0.000678	   0.000069	   0.000107	   0.000113	   0.000075	   0.000129	    976.91 % .!!!!!.
50 16  SAWTOTH SORT______	   0.000012	   0.000670	   0.000070	   0.000108	   0.000112	   0.000075	   0.000129	    957.27 % .!!!!!.
50 16  _RANDOM SORT______	   0.000012	   0.000673	   0.000071	   0.000107	   0.000143	   0.000076	   0.000128	    953.08 % .!!!!!.
50 16  PLATEAU SORT______	   0.000012	   0.000527	   0.000070	   0.000107	   0.000101	   0.000075	   0.000135	    756.74 % .!!!!!.
50 16  SHUFFLE SORT______	   0.000012	   0.000677	   0.000070	   0.000107	   0.000112	   0.000075	   0.000129	    963.80 % .!!!!!.
50 16  STAGGER DITHER____	   0.000012	   0.000640	   0.000323	   0.000360	   0.000331	   0.001691	   0.000505	    198.26 % .!!!!.
50 16  SAWTOTH DITHER____	   0.000012	   0.000619	   0.000268	   0.000381	   0.000343	   0.000713	   0.000500	    231.51 % .!!!!!.
50 16  _RANDOM DITHER____	   0.000012	   0.000614	   0.000354	   0.000444	   0.000418	   0.001865	   0.000528	    173.49 % .!!!!.
50 16  PLATEAU DITHER____	   0.000012	   0.000636	   0.000213	   0.000260	   0.000238	   0.000666	   0.000374	    297.90 % .!!!!!.
50 16  SHUFFLE DITHER____	   0.000012	   0.000676	   0.000152	   0.000161	   0.000232	   0.000671	   0.000294	    445.41 % .!!!!!.
50 64  STAGGER IDENT_____	   0.000012	   0.000610	   0.000336	   0.000420	   0.000297	   0.001782	   0.000519	    181.77 % .!!!!.
