
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

CHECK_SORTED: false
USE_BOTTOM_UP: false
Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	RADIX	MARLIN	PEEK_SORT	DPQ_18_11_E	MARLIN_M2	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

50 1  STAGGER IDENT_____	   0.000015	   0.000772	   0.000225	   0.000328	   0.000357	   0.000258	   0.000292	   0.000946	   0.000346	    343.49 % .!!!!!.
50 1  SAWTOTH IDENT_____	   0.000015	   0.000255	   0.000089	   0.000075	   0.000203	   0.000150	   0.000274	   0.000311	   0.000254	    286.26 % .!!!!!.
50 1  _RANDOM IDENT_____	   0.000015	   0.000255	   0.000089	   0.000076	   0.000206	   0.000149	   0.000274	   0.000310	   0.000253	    287.27 % .!!!!!.
50 1  PLATEAU IDENT_____	   0.000015	   0.000311	   0.000089	   0.000077	   0.000192	   0.000140	   0.000272	   0.000391	   0.000225	    351.28 % .!!!!!.
50 1  SHUFFLE IDENT_____	   0.000015	   0.000826	   0.000088	   0.000121	   0.000192	   0.000136	   0.000273	   0.001010	   0.000216	    938.57 % .!!!!!.
50 1  STAGGER REVERSE___	   0.000015	   0.000707	   0.000389	   0.000326	   0.000399	   0.000609	   0.000695	   0.000871	   0.000925	    181.69 % .!!!!.
50 1  SAWTOTH REVERSE___	   0.000015	   0.000254	   0.000089	   0.000075	   0.000205	   0.000149	   0.000274	   0.000311	   0.000254	    285.85 % .!!!!!.
50 1  _RANDOM REVERSE___	   0.000015	   0.000253	   0.000089	   0.000076	   0.000204	   0.000150	   0.000274	   0.000310	   0.000256	    286.08 % .!!!!!.
50 1  PLATEAU REVERSE___	   0.000015	   0.000312	   0.000128	   0.000078	   0.000201	   0.000166	   0.000221	   0.000390	   0.000277	    242.96 % .!!!!!.
50 1  SHUFFLE REVERSE___	   0.000015	   0.000669	   0.000418	   0.000246	   0.000224	   0.000493	   0.000290	   0.000828	   0.000827	    159.78 % .!!!.
50 1  STAGGER REVERSE_FR	   0.000015	   0.000710	   0.000331	   0.000316	   0.000375	   0.000434	   0.000624	   0.000890	   0.000630	    214.64 % .!!!!!.
50 1  SAWTOTH REVERSE_FR	   0.000015	   0.000255	   0.000089	   0.000075	   0.000203	   0.000149	   0.000273	   0.000312	   0.000253	    285.84 % .!!!!!.
50 1  _RANDOM REVERSE_FR	   0.000015	   0.000254	   0.000089	   0.000075	   0.000203	   0.000149	   0.000274	   0.000311	   0.000254	    287.07 % .!!!!!.
50 1  PLATEAU REVERSE_FR	   0.000015	   0.000315	   0.000112	   0.000078	   0.000209	   0.000161	   0.000250	   0.000393	   0.000261	    281.86 % .!!!!!.
50 1  SHUFFLE REVERSE_FR	   0.000015	   0.000811	   0.000223	   0.000220	   0.000350	   0.000309	   0.000601	   0.000991	   0.000503	    362.91 % .!!!!!.
50 1  STAGGER REVERSE_BA	   0.000015	   0.000759	   0.000249	   0.000324	   0.000376	   0.000439	   0.000615	   0.000945	   0.000638	    304.93 % .!!!!!.
50 1  SAWTOTH REVERSE_BA	   0.000015	   0.000255	   0.000088	   0.000075	   0.000204	   0.000149	   0.000274	   0.000310	   0.000253	    289.51 % .!!!!!.
50 1  _RANDOM REVERSE_BA	   0.000015	   0.000254	   0.000089	   0.000075	   0.000203	   0.000149	   0.000273	   0.000310	   0.000253	    286.20 % .!!!!!.
50 1  PLATEAU REVERSE_BA	   0.000015	   0.000312	   0.000088	   0.000075	   0.000193	   0.000140	   0.000272	   0.000391	   0.000227	    353.17 % .!!!!!.
50 1  SHUFFLE REVERSE_BA	   0.000015	   0.000787	   0.000184	   0.000183	   0.000377	   0.000313	   0.000613	   0.000976	   0.000503	    428.05 % .!!!!!.
50 1  STAGGER SORT______	   0.000015	   0.000824	   0.000088	   0.000124	   0.000195	   0.000135	   0.000273	   0.001020	   0.000213	    936.27 % .!!!!!.
50 1  SAWTOTH SORT______	   0.000015	   0.000255	   0.000089	   0.000076	   0.000204	   0.000150	   0.000274	   0.000310	   0.000253	    287.70 % .!!!!!.
50 1  _RANDOM SORT______	   0.000015	   0.000253	   0.000088	   0.000076	   0.000203	   0.000150	   0.000272	   0.000310	   0.000253	    287.68 % .!!!!!.
50 1  PLATEAU SORT______	   0.000015	   0.000312	   0.000088	   0.000076	   0.000192	   0.000141	   0.000272	   0.000391	   0.000226	    354.59 % .!!!!!.
50 1  SHUFFLE SORT______	   0.000015	   0.000822	   0.000088	   0.000120	   0.000193	   0.000135	   0.000272	   0.001018	   0.000214	    929.71 % .!!!!!.
50 1  STAGGER DITHER____	   0.000015	   0.000762	   0.000228	   0.000383	   0.000755	   0.000268	   0.000330	   0.000941	   0.000360	    333.66 % .!!!!!.
50 1  SAWTOTH DITHER____	   0.000015	   0.000660	   0.000356	   0.000285	   0.000777	   0.000489	   0.000470	   0.000822	   0.000675	    185.52 % .!!!!.
50 1  _RANDOM DITHER____	   0.000015	   0.000666	   0.000357	   0.000285	   0.000778	   0.000486	   0.000471	   0.000821	   0.000667	    186.69 % .!!!!.
50 1  PLATEAU DITHER____	   0.000015	   0.000678	   0.000359	   0.000292	   0.000776	   0.000486	   0.000470	   0.000838	   0.000669	    189.11 % .!!!!.
50 1  SHUFFLE DITHER____	   0.000015	   0.000810	   0.000113	   0.000169	   0.000745	   0.000239	   0.000290	   0.001007	   0.000348	    715.60 % .!!!!!.
50 4  STAGGER IDENT_____	   0.000015	   0.000750	   0.000279	   0.000358	   0.000607	   0.000498	   0.000414	   0.000934	   0.000688	    269.33 % .!!!!!.
50 4  SAWTOTH IDENT_____	   0.000015	   0.000679	   0.000344	   0.000295	   0.000837	   0.000490	   0.000461	   0.000841	   0.000669	    197.23 % .!!!!.
50 4  _RANDOM IDENT_____	   0.000015	   0.000642	   0.000376	!  0.000442	   0.001834	   0.000491	   0.000507	   0.000796	   0.000697	    170.74 % .!!!!.
50 4  PLATEAU IDENT_____	   0.000015	   0.000430	   0.000088	   0.000083	   0.000192	   0.000139	   0.000273	   0.000537	   0.000225	    487.21 % .!!!!!.
50 4  SHUFFLE IDENT_____	   0.000015	   0.000795	   0.000300	   0.000415	   0.000800	   0.000404	   0.000392	   0.000981	   0.000570	    265.07 % .!!!!!.
50 4  STAGGER REVERSE___	   0.000015	   0.000714	   0.000330	   0.000406	   0.000656	   0.000572	   0.000615	   0.000878	   0.000806	    216.22 % .!!!!!.
50 4  SAWTOTH REVERSE___	   0.000015	   0.000639	   0.000326	   0.000308	   0.000938	   0.000499	   0.000531	   0.000797	   0.000698	    196.10 % .!!!!.
50 4  _RANDOM REVERSE___	   0.000015	   0.000643	   0.000394	   0.000323	   0.001823	   0.000504	   0.000515	   0.000800	   0.000715	    163.12 % .!!!!.
50 4  PLATEAU REVERSE___	   0.000015	   0.000412	   0.000126	   0.000093	   0.000204	   0.000205	   0.000231	   0.000510	   0.000336	    326.75 % .!!!!!.
50 4  SHUFFLE REVERSE___	   0.000015	   0.000712	   0.000432	!  0.000526	   0.000843	   0.000636	   0.000680	   0.000883	   0.000942	    164.70 % .!!!!.
50 4  STAGGER REVERSE_FR	   0.000015	   0.000732	   0.000326	   0.000335	   0.000638	   0.000532	   0.000516	   0.000912	   0.000746	    224.73 % .!!!!!.
50 4  SAWTOTH REVERSE_FR	   0.000015	   0.000663	   0.000361	   0.000289	   0.000917	   0.000510	   0.000481	   0.000818	   0.000708	    183.85 % .!!!!.
50 4  _RANDOM REVERSE_FR	   0.000015	   0.000635	   0.000362	   0.000315	   0.001841	   0.000502	   0.000503	   0.000792	   0.000696	    175.41 % .!!!!.
50 4  PLATEAU REVERSE_FR	   0.000015	   0.000418	   0.000140	   0.000081	   0.000212	   0.000201	   0.000331	   0.000519	   0.000321	    298.63 % .!!!!!.
50 4  SHUFFLE REVERSE_FR	   0.000015	   0.000783	   0.000373	   0.000393	   0.000851	   0.000537	   0.000591	   0.000974	   0.000760	    209.93 % .!!!!!.
50 4  STAGGER REVERSE_BA	   0.000015	   0.000750	   0.000344	   0.000341	   0.000655	   0.000543	   0.000515	   0.000921	   0.000743	    217.86 % .!!!!!.
50 4  SAWTOTH REVERSE_BA	   0.000015	   0.000684	   0.000434	   0.000204	   0.000885	   0.000477	   0.000484	   0.000839	   0.000671	    157.53 % .!!!.
50 4  _RANDOM REVERSE_BA	   0.000015	   0.000651	   0.000397	   0.000342	   0.001857	   0.000503	   0.000515	   0.000809	   0.000703	    163.96 % .!!!!.
50 4  PLATEAU REVERSE_BA	   0.000015	   0.000429	   0.000089	   0.000083	   0.000192	   0.000140	   0.000273	   0.000538	   0.000227	    484.50 % .!!!!!.
50 4  SHUFFLE REVERSE_BA	   0.000015	   0.000770	   0.000360	   0.000423	   0.000854	   0.000518	   0.000598	   0.000956	   0.000756	    213.77 % .!!!!!.
50 4  STAGGER SORT______	   0.000015	   0.000796	   0.000089	   0.000128	   0.000195	   0.000136	   0.000273	   0.000982	   0.000213	    897.58 % .!!!!!.
50 4  SAWTOTH SORT______	   0.000015	   0.000696	   0.000088	   0.000183	   0.000195	   0.000134	   0.000273	   0.000872	   0.000214	    786.94 % .!!!!!.
50 4  _RANDOM SORT______	   0.000015	   0.000699	   0.000088	   0.000182	   0.000195	   0.000135	   0.000273	   0.000871	   0.000213	    795.59 % .!!!!!.
50 4  PLATEAU SORT______	   0.000015	   0.000430	   0.000089	   0.000083	   0.000192	   0.000140	   0.000273	   0.000538	   0.000226	    484.68 % .!!!!!.
50 4  SHUFFLE SORT______	   0.000015	   0.000816	   0.000088	   0.000119	   0.000192	   0.000134	   0.000273	   0.001012	   0.000213	    922.38 % .!!!!!.
50 4  STAGGER DITHER____	   0.000015	   0.000754	   0.000280	   0.000360	   0.000607	   0.000496	   0.000413	   0.000926	   0.000688	    269.81 % .!!!!!.
50 4  SAWTOTH DITHER____	   0.000015	   0.000752	   0.000389	   0.000364	   0.001796	   0.000512	   0.000518	   0.000933	   0.000701	    193.34 % .!!!!.
50 4  _RANDOM DITHER____	   0.000015	   0.000741	   0.000383	   0.000432	   0.001823	   0.000498	   0.000505	   0.000917	   0.000697	    193.55 % .!!!!.
50 4  PLATEAU DITHER____	   0.000015	   0.000700	   0.000343	   0.000294	   0.000776	   0.000487	   0.000451	   0.000864	   0.000658	    204.33 % .!!!!!.
50 4  SHUFFLE DITHER____	   0.000015	   0.000791	   0.000317	   0.000415	!  0.001689	   0.000430	   0.000413	   0.000984	   0.000590	    249.54 % .!!!!!.
50 16  STAGGER IDENT_____	   0.000015	   0.000781	   0.000405	   0.000393	   0.001702	   0.000484	   0.000448	   0.000968	   0.000667	    192.74 % .!!!!.
50 16  SAWTOTH IDENT_____	   0.000015	   0.000739	   0.000260	   0.000390	   0.000477	   0.000479	   0.000336	   0.000926	   0.000677	    283.86 % .!!!!!.
50 16  _RANDOM IDENT_____	   0.000015	   0.000741	   0.000410	   0.000549	   0.001923	   0.000535	   0.000560	   0.000916	   0.000747	    181.04 % .!!!!.
50 16  PLATEAU IDENT_____	   0.000015	   0.000633	   0.000088	   0.000121	   0.000191	   0.000140	   0.000273	   0.000793	   0.000225	    719.97 % .!!!!!.
50 16  SHUFFLE IDENT_____	   0.000015	   0.000819	!  0.000174	!  0.000276	!  0.000578	!  0.000317	   0.000288	   0.001010	!  0.000443	    471.60 % .!!!!!.
50 16  STAGGER REVERSE___	   0.000015	   0.000753	   0.000499	   0.000383	   0.002127	   0.000573	   0.000646	   0.000936	   0.000832	    150.88 % .!!!.
50 16  SAWTOTH REVERSE___	   0.000015	   0.000705	   0.000326	   0.000315	   0.000539	   0.000604	   0.000622	   0.000875	   0.000860	    216.06 % .!!!!!.
50 16  _RANDOM REVERSE___	   0.000015	   0.000752	   0.000444	   0.000601	   0.001909	   0.000558	   0.000566	   0.000935	   0.000785	    169.31 % .!!!!.
50 16  PLATEAU REVERSE___	   0.000015	   0.000619	   0.000234	   0.000276	   0.000217	   0.000282	   0.000365	   0.000761	   0.000463	    264.84 % .!!!!!.
50 16  SHUFFLE REVERSE___	   0.000015	   0.000683	   0.000423	   0.000320	!  0.000602	   0.000630	!  0.000588	   0.000845	   0.000956	    161.44 % .!!!!.
50 16  STAGGER REVERSE_FR	   0.000015	   0.000753	   0.000433	   0.000386	   0.001807	   0.000530	   0.000562	   0.000926	   0.000753	    173.82 % .!!!!.
50 16  SAWTOTH REVERSE_FR	   0.000015	   0.000734	   0.000320	   0.000433	   0.000653	   0.000571	   0.000545	   0.000914	   0.000802	    229.56 % .!!!!!.
50 16  _RANDOM REVERSE_FR	   0.000015	   0.000736	   0.000406	   0.000520	   0.001950	   0.000538	   0.000576	   0.000910	   0.000763	    181.08 % .!!!!.
50 16  PLATEAU REVERSE_FR	   0.000015	   0.000630	   0.000192	   0.000182	   0.000220	   0.000288	   0.000554	   0.000785	   0.000448	    328.16 % .!!!!!.
50 16  SHUFFLE REVERSE_FR	   0.000015	   0.000804	   0.000292	   0.000300	   0.000602	   0.000481	   0.000637	   0.000989	   0.000704	    275.13 % .!!!!!.
50 16  STAGGER REVERSE_BA	   0.000015	   0.000785	   0.000423	   0.000361	   0.001791	   0.000524	   0.000517	   0.000976	   0.000727	    185.65 % .!!!!.
50 16  SAWTOTH REVERSE_BA	   0.000015	   0.000726	   0.000318	   0.000320	   0.000648	   0.000506	   0.000466	   0.000897	   0.000699	    228.65 % .!!!!!.
