
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =    3000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 9 with reps: 15695

50 1  STAGGER IDENT_____	   0.000014	   0.000329	   0.000263	   0.000276	   0.000205	   0.000249	   0.000223	    125.18 % .!!!.
50 1  SAWTOTH IDENT_____	   0.000014	   0.000057	   0.000110	   0.000058	   0.000077	   0.000108	   0.000142	     51.50 % 
50 1  _RANDOM IDENT_____	   0.000014	   0.000056	   0.000110	   0.000057	   0.000077	   0.000108	   0.000142	     51.48 % 
50 1  PLATEAU IDENT_____	   0.000014	   0.000057	   0.000110	   0.000058	   0.000076	   0.000105	   0.000134	     52.40 % 
50 1  SHUFFLE IDENT_____	   0.000014	   0.000113	   0.000110	   0.000108	   0.000077	   0.000105	   0.000127	    102.71 % ..
50 1  STAGGER REVERSE___	   0.000014	   0.000300	   0.000516	   0.000479	   0.000342	   0.000282	   0.000691	     58.13 % 
50 1  SAWTOTH REVERSE___	   0.000015	   0.000056	   0.000110	   0.000057	   0.000076	   0.000108	   0.000142	     51.46 % 
50 1  _RANDOM REVERSE___	   0.000014	   0.000057	   0.000110	   0.000057	   0.000077	   0.000108	   0.000142	     51.51 % 
50 1  PLATEAU REVERSE___	   0.000015	   0.000058	   0.000126	   0.000059	   0.000107	   0.000109	   0.000162	     46.07 % 
50 1  SHUFFLE REVERSE___	   0.000014	   0.000211	   0.000601	   0.000186	   0.000369	   0.000141	   0.000611	     35.14 % 
50 1  STAGGER REVERSE_FR	   0.000014	   0.000291	   0.000393	   0.000351	   0.000301	   0.000263	   0.000466	     73.87 % 
50 1  SAWTOTH REVERSE_FR	   0.000014	   0.000057	   0.000110	   0.000057	   0.000077	   0.000108	   0.000142	     51.55 % 
50 1  _RANDOM REVERSE_FR	   0.000014	   0.000057	   0.000110	   0.000058	   0.000077	   0.000108	   0.000142	     51.59 % 
50 1  PLATEAU REVERSE_FR	   0.000014	   0.000059	   0.000112	   0.000062	   0.000093	   0.000115	   0.000160	     52.84 % 
50 1  SHUFFLE REVERSE_FR	   0.000015	   0.000195	   0.000234	   0.000277	   0.000196	   0.000249	   0.000370	     83.46 % 
50 1  STAGGER REVERSE_BA	   0.000014	   0.000303	   0.000382	   0.000328	   0.000223	   0.000259	   0.000457	     79.32 % 
50 1  SAWTOTH REVERSE_BA	   0.000015	   0.000056	   0.000110	   0.000057	   0.000076	   0.000108	   0.000142	     51.50 % 
50 1  _RANDOM REVERSE_BA	   0.000015	   0.000056	   0.000110	   0.000057	   0.000076	   0.000108	   0.000142	     51.50 % 
