
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2%.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 801 with reps: 17

50 1  STAGGER IDENT_____	   0.000012	   0.000293	   0.000268	   0.000191	   0.000264	    109.25 % .!.
50 1  SAWTOTH IDENT_____	   0.000011	   0.000089	   0.000107	   0.000069	   0.000107	     83.58 % 
50 1  _RANDOM IDENT_____	   0.000011	   0.000089	   0.000108	   0.000068	   0.000106	     82.40 % 
50 1  PLATEAU IDENT_____	   0.000012	   0.000090	   0.000107	   0.000068	   0.000101	     83.75 % 
50 1  SHUFFLE IDENT_____	   0.000012	   0.000111	   0.000107	   0.000068	   0.000100	    103.80 % ..
50 1  STAGGER REVERSE___	   0.000012	   0.000288	   0.000541	   0.000356	   0.000304	     53.24 % 
50 1  SAWTOTH REVERSE___	   0.000012	   0.000088	   0.000107	   0.000068	   0.000106	     82.56 % 
50 1  _RANDOM REVERSE___	   0.000012	   0.000090	   0.000107	   0.000068	   0.000107	     83.97 % 
50 1  PLATEAU REVERSE___	   0.000011	   0.000094	   0.000128	   0.000093	   0.000104	     73.78 % 
50 1  SHUFFLE REVERSE___	   0.000012	   0.000212	   0.000627	   0.000383	   0.000134	     33.75 % 
50 1  STAGGER REVERSE_FR	   0.000012	   0.000280	   0.000419	   0.000303	   0.000286	     66.78 % 
50 1  SAWTOTH REVERSE_FR	   0.000012	   0.000090	   0.000107	   0.000068	   0.000106	     84.33 % 
50 1  _RANDOM REVERSE_FR	   0.000012	   0.000090	   0.000108	   0.000068	   0.000107	     83.32 % 
50 1  PLATEAU REVERSE_FR	   0.000012	   0.000078	   0.000123	   0.000086	   0.000107	     63.24 % 
50 1  SHUFFLE REVERSE_FR	   0.000012	   0.000196	   0.000251	   0.000199	   0.000266	     78.20 % 
50 1  STAGGER REVERSE_BA	   0.000012	   0.000285	   0.000388	   0.000223	   0.000283	     73.44 % 
50 1  SAWTOTH REVERSE_BA	   0.000012	   0.000089	   0.000108	   0.000068	   0.000106	     82.91 % 
50 1  _RANDOM REVERSE_BA	   0.000012	   0.000090	   0.000107	   0.000068	   0.000106	     83.74 % 
50 1  PLATEAU REVERSE_BA	   0.000012	   0.000090	   0.000108	   0.000068	   0.000100	     83.07 % 
50 1  SHUFFLE REVERSE_BA	   0.000012	   0.000156	   0.000266	   0.000161	   0.000284	     58.50 % 
50 1  STAGGER SORT______	   0.000012	   0.000113	   0.000107	   0.000068	   0.000100	    105.58 % .!.
50 1  SAWTOTH SORT______	   0.000012	   0.000089	   0.000107	   0.000068	   0.000107	     83.81 % 
50 1  _RANDOM SORT______	   0.000011	   0.000089	   0.000108	   0.000068	   0.000107	     82.69 % 
50 1  PLATEAU SORT______	   0.000012	   0.000090	   0.000107	   0.000068	   0.000101	     83.94 % 
50 1  SHUFFLE SORT______	   0.000012	   0.000112	   0.000108	   0.000068	   0.000100	    103.80 % ..
50 1  STAGGER DITHER____	   0.000011	   0.000314	   0.000277	   0.000201	   0.000704	    113.37 % .!!.
50 1  SAWTOTH DITHER____	   0.000011	   0.000236	   0.000354	   0.000290	   0.000719	     66.69 % 
50 1  _RANDOM DITHER____	   0.000012	   0.000236	   0.000354	   0.000290	   0.000719	     66.68 % 
50 1  PLATEAU DITHER____	   0.000011	   0.000243	   0.000353	   0.000290	   0.000719	     68.81 % 
50 1  SHUFFLE DITHER____	   0.000012	   0.000153	   0.000114	   0.000090	   0.000682	    134.36 % .!!!.
50 4  STAGGER IDENT_____	   0.000012	   0.000301	   0.000351	   0.000263	   0.000542	     85.55 % 
50 4  SAWTOTH IDENT_____	   0.000012	   0.000245	   0.000353	   0.000295	   0.000775	     69.48 % 
50 4  _RANDOM IDENT_____	   0.000012	!  0.000325	   0.000382	   0.000302	   0.001759	     84.95 % 
50 4  PLATEAU IDENT_____	   0.000012	   0.000082	   0.000107	   0.000069	   0.000101	     76.76 % 
50 4  SHUFFLE IDENT_____	   0.000011	   0.000337	   0.000257	   0.000215	   0.000730	    131.23 % .!!!.
50 4  STAGGER REVERSE___	   0.000012	   0.000328	   0.000457	   0.000291	   0.000596	     71.88 % 
50 4  SAWTOTH REVERSE___	   0.000012	   0.000256	   0.000372	   0.000264	   0.000867	     68.83 % 
50 4  _RANDOM REVERSE___	   0.000011	   0.000263	   0.000376	   0.000318	   0.001742	     69.81 % 
50 4  PLATEAU REVERSE___	   0.000012	   0.000089	   0.000179	   0.000115	   0.000106	     49.78 % 
50 4  SHUFFLE REVERSE___	   0.000012	   0.000433	   0.000612	   0.000400	   0.000772	     70.68 % 
50 4  STAGGER REVERSE_FR	   0.000012	   0.000292	   0.000399	   0.000296	   0.000571	     73.12 % 
50 4  SAWTOTH REVERSE_FR	   0.000012	   0.000244	   0.000366	   0.000309	   0.000821	     66.66 % 
50 4  _RANDOM REVERSE_FR	   0.000011	   0.000257	   0.000385	   0.000297	   0.001763	     66.73 % 
50 4  PLATEAU REVERSE_FR	   0.000012	   0.000090	   0.000152	   0.000111	   0.000111	     59.06 % 
50 4  SHUFFLE REVERSE_FR	   0.000012	   0.000310	   0.000365	   0.000296	   0.000775	     85.02 % 
50 4  STAGGER REVERSE_BA	   0.000012	   0.000292	   0.000371	   0.000284	   0.000587	     78.66 % 
50 4  SAWTOTH REVERSE_BA	   0.000012	   0.000183	   0.000353	   0.000329	   0.000818	     51.90 % 
50 4  _RANDOM REVERSE_BA	   0.000012	   0.000252	   0.000389	   0.000317	   0.001782	     64.86 % 
50 4  PLATEAU REVERSE_BA	   0.000012	   0.000082	   0.000107	   0.000068	   0.000101	     76.05 % 
50 4  SHUFFLE REVERSE_BA	   0.000011	   0.000348	   0.000348	   0.000275	   0.000780	    100.11 % ..
50 4  STAGGER SORT______	   0.000012	   0.000118	   0.000107	   0.000068	   0.000101	    110.44 % .!!.
50 4  SAWTOTH SORT______	   0.000012	   0.000167	   0.000107	   0.000068	   0.000100	    155.95 % .!!!.
50 4  _RANDOM SORT______	   0.000012	   0.000163	   0.000107	   0.000068	   0.000100	    152.12 % .!!!.
50 4  PLATEAU SORT______	   0.000012	   0.000082	   0.000107	   0.000068	   0.000101	     76.62 % 
50 4  SHUFFLE SORT______	   0.000012	   0.000111	   0.000108	   0.000068	   0.000100	    102.96 % ..
50 4  STAGGER DITHER____	   0.000012	   0.000299	   0.000352	   0.000263	   0.000543	     85.10 % 
50 4  SAWTOTH DITHER____	   0.000012	   0.000294	   0.000388	   0.000322	   0.001725	     75.69 % 
50 4  _RANDOM DITHER____	   0.000012	   0.000331	   0.000395	   0.000311	   0.001753	     83.88 % 
50 4  PLATEAU DITHER____	   0.000012	   0.000240	   0.000334	   0.000277	   0.000718	     71.93 % 
50 4  SHUFFLE DITHER____	   0.000012	   0.000334	   0.000266	   0.000232	!  0.001567	    125.57 % .!!!.
50 16  STAGGER IDENT_____	   0.000012	   0.000325	   0.000327	   0.000301	   0.001615	     99.56 % 
50 16  SAWTOTH IDENT_____	   0.000011	   0.000326	   0.000344	   0.000240	   0.000401	     94.77 % 
50 16  _RANDOM IDENT_____	   0.000011	   0.000428	   0.000439	   0.000334	   0.001871	     97.58 % 
50 16  PLATEAU IDENT_____	   0.000011	   0.000104	   0.000107	   0.000068	   0.000100	     96.60 % 
50 16  SHUFFLE IDENT_____	   0.000011	!  0.000236	   0.000146	   0.000122	!  0.000506	    162.04 % .!!!!.
50 16  STAGGER REVERSE___	   0.000012	   0.000320	   0.000499	   0.000412	   0.002097	     64.18 % 
50 16  SAWTOTH REVERSE___	   0.000012	   0.000276	   0.000492	   0.000312	   0.000451	     56.04 % 
50 16  _RANDOM REVERSE___	   0.000012	   0.000472	   0.000433	   0.000359	   0.001847	    109.03 % .!.
50 16  PLATEAU REVERSE___	   0.000011	   0.000235	   0.000368	   0.000206	   0.000122	     63.85 % 
50 16  SHUFFLE REVERSE___	   0.000012	   0.000278	   0.000681	   0.000390	!  0.000523	     40.83 % 
50 16  STAGGER REVERSE_FR	   0.000011	   0.000334	   0.000380	   0.000347	   0.001738	     88.05 % 
50 16  SAWTOTH REVERSE_FR	   0.000011	   0.000370	   0.000404	   0.000289	   0.000559	     91.60 % 
50 16  _RANDOM REVERSE_FR	   0.000012	   0.000407	   0.000444	   0.000336	   0.001890	     91.66 % 
50 16  PLATEAU REVERSE_FR	   0.000012	   0.000163	   0.000232	   0.000172	   0.000123	     70.11 % 
50 16  SHUFFLE REVERSE_FR	   0.000012	   0.000244	   0.000299	   0.000235	!  0.000527	     81.58 % 
50 16  STAGGER REVERSE_BA	   0.000012	   0.000303	   0.000374	   0.000320	   0.001714	     81.11 % 
50 16  SAWTOTH REVERSE_BA	   0.000012	   0.000288	   0.000358	   0.000257	   0.000569	     80.42 % 
50 16  _RANDOM REVERSE_BA	   0.000012	   0.000383	   0.000453	   0.000345	   0.001908	     84.37 % 
50 16  PLATEAU REVERSE_BA	   0.000012	   0.000103	   0.000107	   0.000068	   0.000100	     96.48 % 
50 16  SHUFFLE REVERSE_BA	   0.000012	   0.000265	   0.000292	   0.000198	   0.000546	     90.86 % 
50 16  STAGGER SORT______	   0.000012	   0.000111	   0.000108	   0.000068	   0.000101	    103.02 % ..
50 16  SAWTOTH SORT______	   0.000012	   0.000111	   0.000107	   0.000068	   0.000100	    103.52 % ..
50 16  _RANDOM SORT______	   0.000012	   0.000143	   0.000107	   0.000068	   0.000101	    133.20 % .!!!.
50 16  PLATEAU SORT______	   0.000011	   0.000103	   0.000108	   0.000068	   0.000100	     96.04 % 
50 16  SHUFFLE SORT______	   0.000012	   0.000111	   0.000108	   0.000068	   0.000101	    103.01 % ..
50 16  STAGGER DITHER____	   0.000012	   0.000336	   0.000352	   0.000320	   0.001666	     95.36 % 
50 16  SAWTOTH DITHER____	   0.000012	   0.000349	   0.000364	   0.000260	   0.000768	     95.95 % 
50 16  _RANDOM DITHER____	   0.000012	   0.000421	   0.000437	   0.000330	   0.001861	     96.50 % 
50 16  PLATEAU DITHER____	   0.000012	   0.000252	   0.000250	   0.000204	   0.000712	    100.82 % ..
50 16  SHUFFLE DITHER____	   0.000011	   0.000247	   0.000160	   0.000143	   0.000722	    154.60 % .!!!.
50 64  STAGGER IDENT_____	   0.000012	   0.000296	   0.000401	   0.000336	   0.001762	     73.65 % 
50 64  SAWTOTH IDENT_____	   0.000011	   0.000112	   0.000107	   0.000068	   0.000100	    104.22 % ..
50 64  _RANDOM IDENT_____	   0.000012	   0.000390	   0.000457	   0.000343	   0.001898	     85.36 % 
50 64  PLATEAU IDENT_____	   0.000011	   0.000111	   0.000107	   0.000068	   0.000101	    103.78 % ..
50 64  SHUFFLE IDENT_____	   0.000011	   0.000190	   0.000124	   0.000094	!  0.000331	    153.45 % .!!!.
50 64  STAGGER REVERSE___	   0.000012	   0.000318	   0.000425	   0.000321	   0.001846	     74.71 % 
50 64  SAWTOTH REVERSE___	   0.000012	   0.000212	   0.000627	   0.000383	   0.000134	     33.82 % 
50 64  _RANDOM REVERSE___	   0.000012	   0.000462	   0.000449	   0.000367	   0.001886	    102.98 % ..
50 64  PLATEAU REVERSE___	   0.000012	   0.000212	   0.000627	   0.000382	   0.000135	     33.82 % 
50 64  SHUFFLE REVERSE___	   0.000011	   0.000247	   0.000698	   0.000390	!  0.000363	     35.40 % 
50 64  STAGGER REVERSE_FR	   0.000012	   0.000281	   0.000414	   0.000347	   0.001783	     67.90 % 
50 64  SAWTOTH REVERSE_FR	   0.000012	   0.000195	   0.000251	   0.000199	   0.000266	     77.84 % 
50 64  _RANDOM REVERSE_FR	   0.000012	   0.000411	   0.000457	   0.000343	   0.001916	     90.04 % 
50 64  PLATEAU REVERSE_FR	   0.000012	   0.000196	   0.000251	   0.000198	   0.000266	     78.19 % 
50 64  SHUFFLE REVERSE_FR	   0.000012	   0.000214	   0.000286	   0.000215	   0.000394	     74.70 % 
50 64  STAGGER REVERSE_BA	   0.000012	   0.000308	   0.000403	   0.000349	   0.001780	     76.52 % 
50 64  SAWTOTH REVERSE_BA	   0.000012	   0.000157	   0.000266	   0.000160	   0.000285	     59.02 % 
50 64  _RANDOM REVERSE_BA	   0.000012	   0.000403	   0.000469	   0.000353	   0.001943	     86.08 % 
50 64  PLATEAU REVERSE_BA	   0.000012	   0.000156	   0.000266	   0.000162	   0.000284	     58.64 % 
50 64  SHUFFLE REVERSE_BA	   0.000012	   0.000223	   0.000281	   0.000179	   0.000409	     79.34 % 
50 64  STAGGER SORT______	   0.000012	   0.000118	   0.000107	   0.000068	   0.000101	    110.68 % .!!.
50 64  SAWTOTH SORT______	   0.000012	   0.000111	   0.000107	   0.000068	   0.000101	    104.06 % ..
50 64  _RANDOM SORT______	   0.000011	   0.000114	   0.000108	   0.000068	   0.000101	    105.73 % .!.
50 64  PLATEAU SORT______	   0.000011	   0.000112	   0.000107	   0.000068	   0.000101	    104.71 % ..
50 64  SHUFFLE SORT______	   0.000012	   0.000112	   0.000107	   0.000068	   0.000101	    103.91 % ..
50 64  STAGGER DITHER____	   0.000011	   0.000296	   0.000401	   0.000336	   0.001762	     73.89 % 
50 64  SAWTOTH DITHER____	   0.000012	   0.000216	   0.000141	   0.000116	   0.000687	    152.93 % .!!!.
50 64  _RANDOM DITHER____	   0.000012	   0.000422	   0.000454	   0.000339	   0.001894	     92.93 % 
