Test[SHUFFLE | DITHER____] stats        : [1000000: µ=999999.0000104861 σ=577350.5578506517 (57.73511351957327 %) rms=1577349.5578611377 min=2.0 max=2000000.0 sum=9.999990000104861E11]
Test[SHUFFLE | DITHER____] statsDelta   : [999999: µ=2.000000000000177 σ=2228.73165154344 (111436.58257716213 %) rms=2230.73165154344 min=-1284288.0 max=1284292.0 sum=1999998.0000001772]
Test[SHUFFLE | DITHER____] statsAbsDelta: [999999: µ=7.19528119528117 σ=2228.720934184513 (30974.757951727574 %) rms=2235.9162153797943 min=2.0 max=1284292.0 sum=7195273.999999975]



Test[SPIRAL | IDENT_____] stats        : [1000000: µ=1249998.9999999814 σ=520416.760074181 (41.63337411263439 %) rms=1770415.7600741624 min=500000.0 max=1999999.0 sum=1.2499989999999814E12]
Test[SPIRAL | IDENT_____] statsDelta   : [999999: µ=1.0 σ=1000.002000002 (100000.2000002 %) rms=1001.002000002 min=-1.0 max=1000001.0 sum=999999.0]
Test[SPIRAL | IDENT_____] statsAbsDelta: [999999: µ=2.000001000000967 σ=1000.0005000003721 (49999.999999994434 %) rms=1002.0005010003731 min=1.0 max=1000001.0 sum=1999998.999999967]


Test[SAWTOTH | IDENT_____] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[SAWTOTH | IDENT_____] statsDelta   : [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[SAWTOTH | IDENT_____] statsAbsDelta: [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]


Test[_RANDOM | IDENT_____] stats        : [1000000: µ=499965.2491310068 σ=288957.61496269004 (57.795539883007734 %) rms=788922.8640936969 min=0.0 max=999998.0 sum=4.9996524913100684E11]
Test[_RANDOM | IDENT_____] statsDelta   : [999999: µ=-0.4168314168314389 σ=408543.7769927979 (-9.801175259253734E7 %) rms=408543.3601613811 min=-998677.0 max=999276.0 sum=-416831.00000002206]
Test[_RANDOM | IDENT_____] statsAbsDelta: [999999: µ=333543.5512705634 σ=235916.523105151 (70.73035056635844 %) rms=569460.0743757144 min=1.0 max=999276.0 sum=3.3354321772701215E11]


