Test[SHUFFLE | DITHER____] stats        : [1000000: µ=992231.4395029993 σ=577298.2433738771 (58.181813273629096 %) rms=1569529.6828768766 min=2.0 max=1992202.0 sum=9.922314395029993E11]
Test[SHUFFLE | DITHER____] statsDelta   : [999999: µ=1.9922019922020444 σ=101075.66193891516 (5073564.946453698 %) rms=101077.65414090737 min=-1984030.0 max=1984034.0 sum=1992200.0000000522]
Test[SHUFFLE | DITHER____] statsAbsDelta: [999999: µ=7705.618175618195 σ=100781.51035523495 (1307.8964991299947 %) rms=108487.12853085314 min=2.0 max=1984034.0 sum=7.705610470000019E9]
Test[SPIRAL | IDENT_____] stats        : [1000000: µ=998105.7755199902 σ=577347.0174658343 (57.84427178222165 %) rms=1575452.7929858244 min=1.0 max=1999986.0 sum=9.981057755199902E11]
Test[SPIRAL | IDENT_____] statsDelta   : [999999: µ=-1.0 σ=101871.20903868374 (-1.0187120903868373E7 %) rms=101870.20903868374 min=-1999973.0 max=1999717.0 sum=-999999.0]
Test[SPIRAL | IDENT_____] statsAbsDelta: [999999: µ=7783.894930894959 σ=101573.3929290492 (1304.917317497382 %) rms=109357.28785994415 min=1.0 max=1999973.0 sum=7.783887147000028E9]
Test[SPIRAL | REVERSE___] stats        : [1000000: µ=998105.7755199914 σ=577347.0174658266 (57.84427178222081 %) rms=1575452.7929858179 min=1.0 max=1999986.0 sum=9.981057755199915E11]
Test[SPIRAL | REVERSE___] statsDelta   : [999999: µ=0.9999999999999643 σ=101871.20903863542 (1.0187120903863907E7 %) rms=101872.20903863542 min=-1999717.0 max=1999973.0 sum=999998.9999999643]
Test[SPIRAL | REVERSE___] statsAbsDelta: [999999: µ=7783.894930895356 σ=101573.39292904902 (1304.9173174973132 %) rms=109357.28785994438 min=1.0 max=1999973.0 sum=7.783887147000425E9]
Test[SPIRAL | REVERSE_FR] stats        : [1000000: µ=998105.7755199928 σ=577347.0174658365 (57.844271782221725 %) rms=1575452.7929858293 min=1.0 max=1999986.0 sum=9.981057755199928E11]
Test[SPIRAL | REVERSE_FR] statsDelta   : [999999: µ=-1.4999994999994983 σ=101872.43606670806 (-6791498.001615476 %) rms=101870.93606720807 min=-1999973.0 max=1999717.0 sum=-1499997.9999999984]
Test[SPIRAL | REVERSE_FR] statsAbsDelta: [999999: µ=7784.394930395187 σ=101574.58524391579 (1304.8488180796758 %) rms=109358.98017431097 min=1.0 max=1999973.0 sum=7.784387146000257E9]
Test[SPIRAL | REVERSE_BA] stats        : [1000000: µ=998105.7755200112 σ=577347.0174658439 (57.844271782221405 %) rms=1575452.7929858551 min=1.0 max=1999986.0 sum=9.981057755200112E11]
Test[SPIRAL | REVERSE_BA] statsDelta   : [999999: µ=0.5000005000005331 σ=101882.25179181676 (2.0376429981911644E7 %) rms=101882.75179231676 min=-1999717.0 max=1999973.0 sum=500000.00000003306]
Test[SPIRAL | REVERSE_BA] statsAbsDelta: [999999: µ=7785.394929394635 σ=101584.3531046171 (1304.8066800191975 %) rms=109369.74803401173 min=1.0 max=1999973.0 sum=7.785387143999706E9]
Test[SPIRAL | SORT______] stats        : [1000000: µ=998105.775520048 σ=577347.0174658147 (57.844271782216346 %) rms=1575452.7929858626 min=1.0 max=1999986.0 sum=9.98105775520048E11]
Test[SPIRAL | SORT______] statsDelta   : [999999: µ=1.9999869999869926 σ=11.291603074870451 (564.5838235420475 %) rms=13.291590074857444 min=1.0 max=130.0 sum=1999984.9999999925]
Test[SPIRAL | SORT______] statsAbsDelta: [999999: µ=1.9999869999869926 σ=11.291603074870451 (564.5838235420475 %) rms=13.291590074857444 min=1.0 max=130.0 sum=1999984.9999999925]
Test[SPIRAL | DITHER____] stats        : [1000000: µ=998107.7755199845 σ=577347.0174640995 (57.8441558741809 %) rms=1575454.792984084 min=5.0 max=1999988.0 sum=9.981077755199845E11]
Test[SPIRAL | DITHER____] statsDelta   : [999999: µ=-0.9999959999959939 σ=101871.20907776078 (-1.0187161656463515E7 %) rms=101870.20908176078 min=-1999972.0 max=1999718.0 sum=-999994.9999999938]
Test[SPIRAL | DITHER____] statsAbsDelta: [999999: µ=7784.4879154881355 σ=101573.34752432199 (1304.817331943314 %) rms=109357.83543981012 min=0.0 max=1999972.0 sum=7.78448013100022E9]
Test[STAGGER | IDENT_____] stats        : [1000000: µ=499999.5000000023 σ=288675.2789323432 (57.73511352158189 %) rms=788674.7789323456 min=0.0 max=999999.0 sum=4.999995000000023E11]
Test[STAGGER | IDENT_____] statsDelta   : [999999: µ=0.9997439997439838 σ=15997.96786483869 (1600206.4397421218 %) rms=15998.967608838435 min=-999743.0 max=257.0 sum=999742.999999984]
Test[STAGGER | IDENT_____] statsAbsDelta: [999999: µ=512.8686718686911 σ=15989.744909356454 (3117.7074729669353 %) rms=16502.613581225145 min=257.0 max=999743.0 sum=5.128681590000192E8]
Test[STAGGER | REVERSE___] stats        : [1000000: µ=499999.49999998196 σ=288675.2789323517 (57.735113521585944 %) rms=788674.7789323337 min=0.0 max=999999.0 sum=4.9999949999998193E11]
Test[STAGGER | REVERSE___] statsDelta   : [999999: µ=-0.9997439997439824 σ=15997.96786483869 (-1600206.439742124 %) rms=15996.968120838947 min=-257.0 max=999743.0 sum=-999742.9999999827]
Test[STAGGER | REVERSE___] statsAbsDelta: [999999: µ=512.868671868691 σ=15989.744909356456 (3117.7074729669366 %) rms=16502.613581225145 min=257.0 max=999743.0 sum=5.128681590000191E8]
Test[STAGGER | REVERSE_FR] stats        : [1000000: µ=499999.5000000048 σ=288675.27893234184 (57.73511352158134 %) rms=788674.7789323466 min=0.0 max=999999.0 sum=4.9999950000000476E11]
Test[STAGGER | REVERSE_FR] statsDelta   : [999999: µ=0.500000500000472 σ=16005.779487043237 (3201152.696252929 %) rms=16006.279487543237 min=-999743.0 max=999743.0 sum=499999.999999972]
Test[STAGGER | REVERSE_FR] statsAbsDelta: [999999: µ=513.368415368425 σ=15997.544494215988 (3116.1918059830696 %) rms=16510.912909584415 min=257.0 max=999743.0 sum=5.133679020000096E8]
Test[STAGGER | REVERSE_BA] stats        : [1000000: µ=499999.4999999946 σ=288675.2789323465 (57.73511352158344 %) rms=788674.7789323411 min=0.0 max=999999.0 sum=4.9999949999999457E11]
Test[STAGGER | REVERSE_BA] statsDelta   : [999999: µ=0.500000500000478 σ=16005.779487043214 (3201152.696252886 %) rms=16006.279487543214 min=-999743.0 max=999743.0 sum=499999.999999978]
Test[STAGGER | REVERSE_BA] statsAbsDelta: [999999: µ=513.3684153684197 σ=15997.544494215645 (3116.191805983034 %) rms=16510.912909584065 min=257.0 max=999743.0 sum=5.1336790200000435E8]
Test[STAGGER | SORT______] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[STAGGER | SORT______] statsDelta   : [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[STAGGER | SORT______] statsAbsDelta: [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[STAGGER | DITHER____] stats        : [1000000: µ=500001.5000000047 σ=288675.2789392701 (57.73488258320573 %) rms=788676.7789392748 min=0.0 max=1000002.0 sum=5.000015000000047E11]
Test[STAGGER | DITHER____] statsDelta   : [999999: µ=0.9997479997480261 σ=15997.967927410007 (1600200.0435551852 %) rms=15998.967675409755 min=-999747.0 max=258.0 sum=999747.0000000263]
Test[STAGGER | DITHER____] statsAbsDelta: [999999: µ=512.8686738686484 σ=15989.744971896404 (3117.7074730034224 %) rms=16502.613645765054 min=253.0 max=999747.0 sum=5.1286816099997455E8]
Test[SAWTOTH | IDENT_____] stats        : [1000000: µ=127.49385599999782 σ=73.90208094342749 (57.965209667380954 %) rms=201.3959369434253 min=0.0 max=255.0 sum=1.2749385599999782E8]
Test[SAWTOTH | IDENT_____] statsDelta   : [999999: µ=6.300006300006691E-5 σ=15.968226356252845 (2.534636569527857E7 %) rms=15.968289356315845 min=-255.0 max=1.0 sum=63.000000000003915]
Test[SAWTOTH | IDENT_____] statsAbsDelta: [999999: µ=1.9921249921250164 σ=15.84347458784499 (795.3052469335582 %) rms=17.835599579970005 min=1.0 max=255.0 sum=1992123.0000000242]
Test[SAWTOTH | REVERSE___] stats        : [1000000: µ=127.49385600000174 σ=73.90208094342584 (57.965209667377884 %) rms=201.39593694342759 min=0.0 max=255.0 sum=1.2749385600000174E8]
Test[SAWTOTH | REVERSE___] statsDelta   : [999999: µ=-6.300006300006708E-5 σ=15.968226356253204 (-2.534636569527907E7 %) rms=15.968163356190205 min=-1.0 max=255.0 sum=-63.00000000000408]
Test[SAWTOTH | REVERSE___] statsAbsDelta: [999999: µ=1.9921249921250457 σ=15.843474587844826 (795.3052469335383 %) rms=17.835599579969873 min=1.0 max=255.0 sum=1992123.0000000536]
Test[SAWTOTH | REVERSE_FR] stats        : [1000000: µ=127.49385599999866 σ=73.90208094342708 (57.96520966738025 %) rms=201.39593694342574 min=0.0 max=255.0 sum=1.2749385599999866E8]
Test[SAWTOTH | REVERSE_FR] statsDelta   : [999999: µ=3.20000320000287E-5 σ=15.9682583887391 (4.990075756400737E7 %) rms=15.9682903887711 min=-255.0 max=255.0 sum=31.999999999996696]
Test[SAWTOTH | REVERSE_FR] statsAbsDelta: [999999: µ=1.9921559921560135 σ=15.843502974556587 (795.2942960761791 %) rms=17.8356589667126 min=1.0 max=255.0 sum=1992154.0000000214]
Test[SAWTOTH | REVERSE_BA] stats        : [1000000: µ=127.49385599999881 σ=73.90208094342846 (57.96520966738126 %) rms=201.39593694342727 min=0.0 max=255.0 sum=1.2749385599999881E8]
Test[SAWTOTH | REVERSE_BA] statsDelta   : [999999: µ=3.200003200003782E-5 σ=15.968258388739008 (4.990075756399286E7 %) rms=15.968290388771008 min=-255.0 max=255.0 sum=32.00000000000582]
Test[SAWTOTH | REVERSE_BA] statsAbsDelta: [999999: µ=1.9921559921560625 σ=15.843502974556559 (795.294296076158 %) rms=17.83565896671262 min=1.0 max=255.0 sum=1992154.0000000703]
Test[SAWTOTH | SORT______] stats        : [1000000: µ=127.49385600000058 σ=73.90208094342714 (57.965209667379426 %) rms=201.39593694342773 min=0.0 max=255.0 sum=1.2749385600000058E8]
Test[SAWTOTH | SORT______] statsDelta   : [999999: µ=2.550002550002451E-4 σ=0.01596669924580335 (6261.444423178323 %) rms=0.016221699500803596 min=0.0 max=1.0 sum=254.9999999999901]
Test[SAWTOTH | SORT______] statsAbsDelta: [999999: µ=2.550002550002451E-4 σ=0.01596669924580335 (6261.444423178323 %) rms=0.016221699500803596 min=0.0 max=1.0 sum=254.9999999999901]
Test[SAWTOTH | DITHER____] stats        : [1000000: µ=129.49385599999482 σ=73.91561286879252 (57.08040145842555 %) rms=203.40946886878734 min=0.0 max=259.0 sum=1.2949385599999481E8]
Test[SAWTOTH | DITHER____] statsDelta   : [999999: µ=6.700006700007834E-5 σ=16.09297178780207 (2.401933685795158E7 %) rms=16.09303878786907 min=-259.0 max=2.0 sum=67.00000000001134]
Test[SAWTOTH | DITHER____] statsAbsDelta: [999999: µ=3.187436187436313 σ=15.774155487972797 (494.88537371033954 %) rms=18.96159167540911 min=2.0 max=259.0 sum=3187433.0000001257]
Test[_RANDOM | IDENT_____] stats        : [1000000: µ=127.5086719999972 σ=73.86629127704512 (57.93040592332947 %) rms=201.37496327704233 min=0.0 max=255.0 sum=1.275086719999972E8]
