Test[SHUFFLE | DITHER____] stats        : [1000000: µ=999999.0000104861 σ=577350.5578506517 (57.73511351957327 %) rms=1577349.5578611377 min=2.0 max=2000000.0 sum=9.999990000104861E11]
Test[SHUFFLE | DITHER____] statsDelta   : [999999: µ=2.000000000000177 σ=2228.73165154344 (111436.58257716213 %) rms=2230.73165154344 min=-1284288.0 max=1284292.0 sum=1999998.0000001772]
Test[SHUFFLE | DITHER____] statsAbsDelta: [999999: µ=7.19528119528117 σ=2228.720934184513 (30974.757951727574 %) rms=2235.9162153797943 min=2.0 max=1284292.0 sum=7195273.999999975]
Test[SPIRAL | IDENT_____] stats        : [1000000: µ=1249998.9999999814 σ=520416.760074181 (41.63337411263439 %) rms=1770415.7600741624 min=500000.0 max=1999999.0 sum=1.2499989999999814E12]
Test[SPIRAL | IDENT_____] statsDelta   : [999999: µ=1.0 σ=1000.002000002 (100000.2000002 %) rms=1001.002000002 min=-1.0 max=1000001.0 sum=999999.0]
Test[SPIRAL | IDENT_____] statsAbsDelta: [999999: µ=2.000001000000967 σ=1000.0005000003721 (49999.999999994434 %) rms=1002.0005010003731 min=1.0 max=1000001.0 sum=1999998.999999967]
Test[SPIRAL | REVERSE___] stats        : [1000000: µ=1249999.0000000542 σ=520416.76007420855 (41.633374112634165 %) rms=1770415.7600742627 min=500000.0 max=1999999.0 sum=1.2499990000000542E12]
Test[SPIRAL | REVERSE___] statsDelta   : [999999: µ=-1.0000000000000095 σ=1000.0020000020013 (-100000.20000019917 %) rms=999.0020000020013 min=-1000001.0 max=1.0 sum=-999999.0000000095]
Test[SPIRAL | REVERSE___] statsAbsDelta: [999999: µ=2.000001000000967 σ=1000.0005000003721 (49999.999999994434 %) rms=1002.0005010003731 min=1.0 max=1000001.0 sum=1999998.999999967]
Test[SPIRAL | REVERSE_FR] stats        : [1000000: µ=1249998.9999999814 σ=520416.760074181 (41.63337411263439 %) rms=1770415.7600741624 min=500000.0 max=1999999.0 sum=1.2499989999999814E12]
Test[SPIRAL | REVERSE_FR] statsDelta   : [999999: µ=1.4999994999995188 σ=1118.035442196822 (74535.72099171905 %) rms=1119.5354416968216 min=-500000.0 max=1000001.0 sum=1499998.0000000189]
Test[SPIRAL | REVERSE_FR] statsAbsDelta: [999999: µ=2.500000500000433 σ=1118.033653339751 (44721.33718931486 %) rms=1120.5336538397514 min=1.0 max=1000001.0 sum=2499997.999999933]
Test[SPIRAL | REVERSE_BA] stats        : [1000000: µ=1249998.999999952 σ=520416.7600741839 (41.6333741126356 %) rms=1770415.7600741358 min=500000.0 max=1999999.0 sum=1.2499989999999521E12]
Test[SPIRAL | REVERSE_BA] statsDelta   : [999999: µ=-0.500000500000496 σ=1802.776539121871 (-360554.94726906926 %) rms=1802.2765386218707 min=-1000001.0 max=1499998.0 sum=-499999.999999996]
Test[SPIRAL | REVERSE_BA] statsAbsDelta: [999999: µ=3.4999994999994946 σ=1802.7732109170668 (51507.813384468405 %) rms=1806.2732104170664 min=1.0 max=1499998.0 sum=3499995.9999999944]
Test[SPIRAL | SORT______] stats        : [1000000: µ=1249998.9999999814 σ=520416.760074181 (41.63337411263439 %) rms=1770415.7600741624 min=500000.0 max=1999999.0 sum=1.2499989999999814E12]
Test[SPIRAL | SORT______] statsDelta   : [999999: µ=1.5000005000004835 σ=500.00025000018604 (33333.3388888887 %) rms=501.50025050018655 min=1.0 max=500001.0 sum=1499998.9999999835]
Test[SPIRAL | SORT______] statsAbsDelta: [999999: µ=1.5000005000004835 σ=500.00025000018604 (33333.3388888887 %) rms=501.50025050018655 min=1.0 max=500001.0 sum=1499998.9999999835]
Test[SPIRAL | DITHER____] stats        : [1000000: µ=1250000.9999995807 σ=520416.76008032396 (41.63330749979389 %) rms=1770417.7600799047 min=500000.0 max=2000003.0 sum=1.2500009999995806E12]
Test[SPIRAL | DITHER____] statsDelta   : [999999: µ=1.0000040000040067 σ=1000.0049999895001 (100000.09999814935 %) rms=1001.0050039895041 min=-5.0 max=1000002.0 sum=1000003.0000000066]
Test[SPIRAL | DITHER____] statsAbsDelta: [999999: µ=2.5999995999995376 σ=1000.0021200019096 (38461.62591725351 %) rms=1002.6021196019092 min=0.0 max=1000002.0 sum=2599996.9999999376]
Test[STAGGER | IDENT_____] stats        : [1000000: µ=-1711.0004799997105 σ=575267.4922169979 (-33621.70256183068 %) rms=573556.4917369982 min=-973372.0 max=999999.0 sum=-1.7110004799997106E9]
Test[STAGGER | IDENT_____] statsDelta   : [999999: µ=-0.3799693799693204 σ=21670.662907663194 (-5703265.591930837 %) rms=21670.282938283224 min=-1967295.0 max=1000001.0 sum=-379968.99999994045]
