WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [48, 64, 96, 128, 256]
Parameter[arraySubSize]: [1]
Parameter[dataTweaker]: [IDENT_____]
Parameter[distBuilder]: [SPIRAL, STAGGER]
Parameter[tSorter]: [BASELINE, DPQ_19_05_01, ISORT_E, DPQ_19_05_E, MARLIN_M2]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		48	1	IDENT_____	SPIRAL	BASELINE 	0.0000149	0.0000149	0.0000000	109	0.0000148	0.0000150
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002940	0.0002928	0.0000012	109	0.0002913	0.0002966
>> Best		48	1	IDENT_____	SPIRAL	ISORT_E  	0.0006185	0.0006069	0.0000116	109	0.0005937	0.0006296
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0005863	0.0005678	0.0000185	109	0.0005553	0.0006244
>> Best		48	1	IDENT_____	SPIRAL	MARLIN_M2	0.0006037	0.0005930	0.0000107	109	0.0005850	0.0006185
>> Best		48	1	IDENT_____	STAGGER	BASELINE 	0.0000149	0.0000149	0.0000000	109	0.0000148	0.0000150
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0002621	0.0002607	0.0000014	109	0.0002579	0.0002637
>> Best		48	1	IDENT_____	STAGGER	ISORT_E  	0.0003407	0.0003368	0.0000039	109	0.0003355	0.0003569
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0004660	0.0004569	0.0000091	109	0.0004495	0.0004830
>> Best		48	1	IDENT_____	STAGGER	MARLIN_M2	0.0002816	0.0002786	0.0000030	109	0.0002766	0.0002882
>> Best		64	1	IDENT_____	SPIRAL	BASELINE 	0.0000169	0.0000169	0.0000000	109	0.0000169	0.0000170
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0004346	0.0004308	0.0000038	109	0.0004213	0.0004426
>> Best		64	1	IDENT_____	SPIRAL	ISORT_E  	0.0010860	0.0010674	0.0000187	109	0.0010415	0.0011134
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0009601	0.0009296	0.0000306	109	0.0008971	0.0009800
>> Best		64	1	IDENT_____	SPIRAL	MARLIN_M2	0.0008972	0.0008854	0.0000118	109	0.0008729	0.0009213
>> Best		64	1	IDENT_____	STAGGER	BASELINE 	0.0000169	0.0000169	0.0000000	109	0.0000169	0.0000170
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0004730	0.0004692	0.0000038	109	0.0004650	0.0004851
>> Best		64	1	IDENT_____	STAGGER	ISORT_E  	0.0005898	0.0005730	0.0000167	109	0.0005608	0.0006117
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0008993	0.0008832	0.0000161	109	0.0008625	0.0009135
>> Best		64	1	IDENT_____	STAGGER	MARLIN_M2	0.0004598	0.0004512	0.0000086	109	0.0004425	0.0004745
>> Best		96	1	IDENT_____	SPIRAL	BASELINE 	0.0000187	0.0000185	0.0000003	109	0.0000180	0.0000189
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0006868	0.0006803	0.0000065	109	0.0006699	0.0007022
>> Best		96	1	IDENT_____	SPIRAL	ISORT_E  	0.0024237	0.0023948	0.0000289	109	0.0023776	0.0025134
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0015337	0.0014958	0.0000379	109	0.0014458	0.0015366
>> Best		96	1	IDENT_____	SPIRAL	MARLIN_M2	0.0014681	0.0014485	0.0000195	109	0.0014227	0.0014867
>> Best		96	1	IDENT_____	STAGGER	BASELINE 	0.0000188	0.0000185	0.0000003	109	0.0000180	0.0000190
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0007739	0.0007485	0.0000253	109	0.0007261	0.0008099
>> Best		96	1	IDENT_____	STAGGER	ISORT_E  	0.0012770	0.0012512	0.0000258	109	0.0012068	0.0013231
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0010333	0.0010163	0.0000170	109	0.0010051	0.0010581
>> Best		96	1	IDENT_____	STAGGER	MARLIN_M2	0.0006161	0.0006067	0.0000094	109	0.0005973	0.0006268
>> Best		128	1	IDENT_____	SPIRAL	BASELINE 	0.0000204	0.0000202	0.0000002	109	0.0000198	0.0000205
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0010300	0.0009999	0.0000300	109	0.0009586	0.0010539
>> Best		128	1	IDENT_____	SPIRAL	ISORT_E  	0.0042567	0.0042092	0.0000475	109	0.0041748	0.0043285
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0030784	0.0030737	0.0000047	109	0.0030667	0.0030841
>> Best		128	1	IDENT_____	SPIRAL	MARLIN_M2	0.0022508	0.0022010	0.0000498	109	0.0021527	0.0023748
>> Best		128	1	IDENT_____	STAGGER	BASELINE 	0.0000204	0.0000202	0.0000002	109	0.0000198	0.0000206
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0012561	0.0011962	0.0000598	109	0.0011275	0.0014886
>> Best		128	1	IDENT_____	STAGGER	ISORT_E  	0.0022842	0.0022608	0.0000234	109	0.0022327	0.0023573
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0015431	0.0015268	0.0000164	109	0.0014926	0.0015469
>> Best		128	1	IDENT_____	STAGGER	MARLIN_M2	0.0009431	0.0009321	0.0000110	109	0.0009187	0.0009839
>> Best		256	1	IDENT_____	SPIRAL	BASELINE 	0.0000267	0.0000264	0.0000003	109	0.0000261	0.0000271
>> Best		256	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0023953	0.0023842	0.0000111	109	0.0023374	0.0024011
>> Best		256	1	IDENT_____	SPIRAL	ISORT_E  	0.0166639	0.0163914	0.0002725	109	0.0160472	0.0170355
>> Best		256	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0036118	0.0035488	0.0000630	109	0.0034993	0.0038579
>> Best		256	1	IDENT_____	SPIRAL	MARLIN_M2	0.0050277	0.0049892	0.0000385	109	0.0049632	0.0051282
>> Best		256	1	IDENT_____	STAGGER	BASELINE 	0.0000268	0.0000265	0.0000003	109	0.0000261	0.0000272
>> Best		256	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0006980	0.0006853	0.0000127	109	0.0006717	0.0007225
>> Best		256	1	IDENT_____	STAGGER	ISORT_E  	0.0092281	0.0089267	0.0003014	109	0.0086504	0.0095006
>> Best		256	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0015839	0.0015681	0.0000158	109	0.0015491	0.0016332
>> Best		256	1	IDENT_____	STAGGER	MARLIN_M2	0.0018772	0.0018626	0.0000146	109	0.0018343	0.0018976
