Parsing sort-0.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_19_05_01	ISORT_E	DPQ_19_05_E	MARLIN_M2	
48	1	IDENT_____	SPIRAL	 0.0000148	 0.0002777	 0.0005905	 0.0005590	 0.0005809	
48	1	IDENT_____	STAGGER	 0.0000148	 0.0002445	 0.0003246	 0.0004438	 0.0002648	
64	1	IDENT_____	SPIRAL	 0.0000169	 0.0004082	 0.0010433	 0.0009108	 0.0008678	
64	1	IDENT_____	STAGGER	 0.0000169	 0.0004519	 0.0005606	 0.0008617	 0.0004342	
96	1	IDENT_____	SPIRAL	 0.0000183	 0.0006581	 0.0023882	 0.0014654	 0.0014239	
96	1	IDENT_____	STAGGER	 0.0000183	 0.0007331	 0.0012143	 0.0010038	 0.0005884	
128	1	IDENT_____	SPIRAL	 0.0000200	 0.0009686	 0.0042023	 0.0030514	 0.0021825	
128	1	IDENT_____	STAGGER	 0.0000200	 0.0011673	 0.0022361	 0.0014890	 0.0009097	
256	1	IDENT_____	SPIRAL	 0.0000264	 0.0023221	 0.0162933	 0.0035359	 0.0049753	
256	1	IDENT_____	STAGGER	 0.0000264	 0.0006580	 0.0089254	 0.0015385	 0.0018225	
