WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [12, 24, 32, 48, 64, 96, 128, 256, 384, 512, 768, 1024]
Parameter[arraySubSize]: [1]
Parameter[dataTweaker]: [IDENT_____]
Parameter[distBuilder]: [SPIRAL, STAGGER]
Parameter[tSorter]: [BASELINE, DPQ_19_05_01, DPQ_19_05_E, MARLIN_M2]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		12	1	IDENT_____	SPIRAL	BASELINE 	0.0000090	0.0000090	0.0000000	109	0.0000090	0.0000091
>> Best		12	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0000493	0.0000492	0.0000001	109	0.0000490	0.0000495
>> Best		12	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0000627	0.0000626	0.0000001	109	0.0000624	0.0000628
>> Best		12	1	IDENT_____	SPIRAL	MARLIN_M2	0.0000818	0.0000813	0.0000005	109	0.0000810	0.0000837
>> Best		12	1	IDENT_____	STAGGER	BASELINE 	0.0000090	0.0000090	0.0000000	109	0.0000090	0.0000091
>> Best		12	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0000411	0.0000411	0.0000001	109	0.0000410	0.0000413
>> Best		12	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0000633	0.0000633	0.0000001	109	0.0000632	0.0000635
>> Best		12	1	IDENT_____	STAGGER	MARLIN_M2	0.0000654	0.0000650	0.0000004	109	0.0000648	0.0000670
>> Best		24	1	IDENT_____	SPIRAL	BASELINE 	0.0000112	0.0000112	0.0000000	109	0.0000111	0.0000113
>> Best		24	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0001271	0.0001270	0.0000002	109	0.0001268	0.0001274
>> Best		24	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0001794	0.0001791	0.0000004	109	0.0001780	0.0001803
>> Best		24	1	IDENT_____	SPIRAL	MARLIN_M2	0.0002352	0.0002340	0.0000012	109	0.0002308	0.0002399
>> Best		24	1	IDENT_____	STAGGER	BASELINE 	0.0000112	0.0000112	0.0000000	109	0.0000112	0.0000113
>> Best		24	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0001038	0.0001027	0.0000011	109	0.0000994	0.0001048
>> Best		24	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0001281	0.0001277	0.0000004	109	0.0001273	0.0001291
>> Best		24	1	IDENT_____	STAGGER	MARLIN_M2	0.0001265	0.0001255	0.0000010	109	0.0001249	0.0001294
>> Best		32	1	IDENT_____	SPIRAL	BASELINE 	0.0000125	0.0000125	0.0000000	109	0.0000125	0.0000126
>> Best		32	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002013	0.0002011	0.0000003	109	0.0002004	0.0002015
>> Best		32	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0002952	0.0002945	0.0000008	109	0.0002938	0.0003018
>> Best		32	1	IDENT_____	SPIRAL	MARLIN_M2	0.0003640	0.0003555	0.0000085	109	0.0003486	0.0003783
>> Best		32	1	IDENT_____	STAGGER	BASELINE 	0.0000133	0.0000127	0.0000006	109	0.0000125	0.0000145
>> Best		32	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0001466	0.0001456	0.0000010	109	0.0001416	0.0001470
>> Best		32	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0001947	0.0001943	0.0000004	109	0.0001937	0.0001956
>> Best		32	1	IDENT_____	STAGGER	MARLIN_M2	0.0002125	0.0002105	0.0000020	109	0.0002093	0.0002219
>> Best		48	1	IDENT_____	SPIRAL	BASELINE 	0.0000150	0.0000150	0.0000000	109	0.0000150	0.0000151
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002946	0.0002915	0.0000031	109	0.0002886	0.0003017
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0004139	0.0004116	0.0000022	109	0.0004049	0.0004189
>> Best		48	1	IDENT_____	SPIRAL	MARLIN_M2	0.0006022	0.0005917	0.0000106	109	0.0005827	0.0006183
>> Best		48	1	IDENT_____	STAGGER	BASELINE 	0.0000150	0.0000150	0.0000000	109	0.0000150	0.0000151
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0002593	0.0002578	0.0000015	109	0.0002556	0.0002614
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0003706	0.0003635	0.0000071	109	0.0003595	0.0003921
>> Best		48	1	IDENT_____	STAGGER	MARLIN_M2	0.0002811	0.0002770	0.0000041	109	0.0002741	0.0002893
>> Best		64	1	IDENT_____	SPIRAL	BASELINE 	0.0000185	0.0000175	0.0000010	109	0.0000170	0.0000199
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0004268	0.0004209	0.0000059	109	0.0004142	0.0004410
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0006958	0.0006744	0.0000214	109	0.0006550	0.0007257
>> Best		64	1	IDENT_____	SPIRAL	MARLIN_M2	0.0008987	0.0008835	0.0000152	109	0.0008685	0.0009205
>> Best		64	1	IDENT_____	STAGGER	BASELINE 	0.0000185	0.0000175	0.0000010	109	0.0000170	0.0000200
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0004860	0.0004722	0.0000138	109	0.0004601	0.0005187
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0007281	0.0007105	0.0000176	109	0.0006900	0.0007515
>> Best		64	1	IDENT_____	STAGGER	MARLIN_M2	0.0004585	0.0004500	0.0000086	109	0.0004397	0.0004748
>> Best		96	1	IDENT_____	SPIRAL	BASELINE 	0.0000188	0.0000183	0.0000004	109	0.0000176	0.0000190
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0006897	0.0006823	0.0000074	109	0.0006688	0.0007041
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0010469	0.0010243	0.0000226	109	0.0009933	0.0010737
>> Best		96	1	IDENT_____	SPIRAL	MARLIN_M2	0.0014651	0.0014462	0.0000189	109	0.0014203	0.0015001
>> Best		96	1	IDENT_____	STAGGER	BASELINE 	0.0000188	0.0000183	0.0000004	109	0.0000176	0.0000191
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0007718	0.0007470	0.0000247	109	0.0007251	0.0008024
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0012128	0.0011888	0.0000240	109	0.0011401	0.0012703
>> Best		96	1	IDENT_____	STAGGER	MARLIN_M2	0.0006146	0.0006040	0.0000106	109	0.0005951	0.0006267
>> Best		128	1	IDENT_____	SPIRAL	BASELINE 	0.0000203	0.0000201	0.0000003	109	0.0000197	0.0000206
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0010433	0.0010100	0.0000332	109	0.0009590	0.0010747
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0015031	0.0014775	0.0000257	109	0.0014343	0.0015222
>> Best		128	1	IDENT_____	SPIRAL	MARLIN_M2	0.0022154	0.0021966	0.0000188	109	0.0021696	0.0022644
>> Best		128	1	IDENT_____	STAGGER	BASELINE 	0.0000204	0.0000201	0.0000003	109	0.0000197	0.0000207
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0012300	0.0011810	0.0000490	109	0.0011187	0.0014272
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0018022	0.0017798	0.0000224	109	0.0017401	0.0018439
>> Best		128	1	IDENT_____	STAGGER	MARLIN_M2	0.0009502	0.0009334	0.0000167	109	0.0009147	0.0009994
>> Best		256	1	IDENT_____	SPIRAL	BASELINE 	0.0000377	0.0000311	0.0000066	109	0.0000260	0.0000410
>> Best		256	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0023941	0.0023901	0.0000039	109	0.0023831	0.0024042
>> Best		256	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0039573	0.0039068	0.0000505	109	0.0038749	0.0041021
>> Best		256	1	IDENT_____	SPIRAL	MARLIN_M2	0.0051031	0.0050329	0.0000703	109	0.0049756	0.0051972
>> Best		256	1	IDENT_____	STAGGER	BASELINE 	0.0000388	0.0000319	0.0000069	109	0.0000260	0.0000410
>> Best		256	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0007010	0.0006866	0.0000145	109	0.0006735	0.0007281
>> Best		256	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0016095	0.0015931	0.0000164	109	0.0015687	0.0016370
>> Best		256	1	IDENT_____	STAGGER	MARLIN_M2	0.0019004	0.0018747	0.0000258	109	0.0018352	0.0019593
>> Best		384	1	IDENT_____	SPIRAL	BASELINE 	0.0000328	0.0000325	0.0000003	109	0.0000321	0.0000332
>> Best		384	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0043966	0.0043829	0.0000137	109	0.0043470	0.0044121
>> Best		384	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0065370	0.0064917	0.0000454	109	0.0064313	0.0067788
>> Best		384	1	IDENT_____	SPIRAL	MARLIN_M2	0.0080857	0.0080283	0.0000574	109	0.0079709	0.0082535
>> Best		384	1	IDENT_____	STAGGER	BASELINE 	0.0000328	0.0000325	0.0000003	109	0.0000321	0.0000332
>> Best		384	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0009898	0.0009718	0.0000180	109	0.0009468	0.0010168
>> Best		384	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0024715	0.0024686	0.0000029	109	0.0024626	0.0024760
>> Best		384	1	IDENT_____	STAGGER	MARLIN_M2	0.0025625	0.0025207	0.0000419	109	0.0024761	0.0026296
>> Best		512	1	IDENT_____	SPIRAL	BASELINE 	0.0000390	0.0000386	0.0000004	109	0.0000381	0.0000407
>> Best		512	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0055850	0.0055564	0.0000286	109	0.0055053	0.0056461
>> Best		512	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0072668	0.0071997	0.0000671	109	0.0071315	0.0075367
>> Best		512	1	IDENT_____	SPIRAL	MARLIN_M2	0.0116072	0.0114788	0.0001283	109	0.0113305	0.0119569
>> Best		512	1	IDENT_____	STAGGER	BASELINE 	0.0000390	0.0000386	0.0000004	109	0.0000380	0.0000407
>> Best		512	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0012911	0.0012709	0.0000201	109	0.0012203	0.0013160
>> Best		512	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0030717	0.0030427	0.0000290	109	0.0030241	0.0031538
>> Best		512	1	IDENT_____	STAGGER	MARLIN_M2	0.0039367	0.0038826	0.0000541	109	0.0037987	0.0040533
>> Best		768	1	IDENT_____	SPIRAL	BASELINE 	0.0000585	0.0000581	0.0000004	109	0.0000576	0.0000601
>> Best		768	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0108790	0.0107564	0.0001227	109	0.0106207	0.0112542
>> Best		768	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0127633	0.0125997	0.0001636	109	0.0124358	0.0131744
>> Best		768	1	IDENT_____	SPIRAL	MARLIN_M2	0.0181973	0.0180208	0.0001765	109	0.0177929	0.0188569
>> Best		768	1	IDENT_____	STAGGER	BASELINE 	0.0000586	0.0000581	0.0000005	109	0.0000572	0.0000601
>> Best		768	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0019458	0.0019162	0.0000297	109	0.0018706	0.0019981
>> Best		768	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0044672	0.0044243	0.0000429	109	0.0043817	0.0045891
>> Best		768	1	IDENT_____	STAGGER	MARLIN_M2	0.0052208	0.0051346	0.0000863	109	0.0050153	0.0053349
>> Best		1024	1	IDENT_____	SPIRAL	BASELINE 	0.0000705	0.0000701	0.0000004	109	0.0000696	0.0000724
>> Best		1024	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0142274	0.0141041	0.0001233	109	0.0139322	0.0147330
>> Best		1024	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0170982	0.0169268	0.0001715	109	0.0166844	0.0176604
>> Best		1024	1	IDENT_____	SPIRAL	MARLIN_M2	0.0257669	0.0256119	0.0001549	109	0.0254284	0.0260748
>> Best		1024	1	IDENT_____	STAGGER	BASELINE 	0.0000705	0.0000701	0.0000004	109	0.0000696	0.0000723
>> Best		1024	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0028467	0.0028001	0.0000466	109	0.0027413	0.0028757
>> Best		1024	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0059008	0.0058217	0.0000791	109	0.0057713	0.0060944
>> Best		1024	1	IDENT_____	STAGGER	MARLIN_M2	0.0080712	0.0079817	0.0000895	109	0.0078730	0.0081816
