Parsing sort-12-1024.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_19_05_01	DPQ_19_05_E	MARLIN_M2	
12	1	IDENT_____	SPIRAL	 0.0000090	 0.0000401	 0.0000535	 0.0000725	
12	1	IDENT_____	STAGGER	 0.0000090	 0.0000321	 0.0000543	 0.0000562	
24	1	IDENT_____	SPIRAL	 0.0000111	 0.0001159	 0.0001673	 0.0002209	
24	1	IDENT_____	STAGGER	 0.0000112	 0.0000893	 0.0001165	 0.0001147	
32	1	IDENT_____	SPIRAL	 0.0000125	 0.0001882	 0.0002821	 0.0003446	
32	1	IDENT_____	STAGGER	 0.0000131	 0.0001295	 0.0001810	 0.0001982	
48	1	IDENT_____	SPIRAL	 0.0000150	 0.0002767	 0.0003921	 0.0005783	
48	1	IDENT_____	STAGGER	 0.0000150	 0.0002421	 0.0003516	 0.0002632	
64	1	IDENT_____	SPIRAL	 0.0000180	 0.0004021	 0.0006584	 0.0008657	
64	1	IDENT_____	STAGGER	 0.0000180	 0.0004559	 0.0006896	 0.0004303	
96	1	IDENT_____	SPIRAL	 0.0000180	 0.0006582	 0.0009979	 0.0014212	
96	1	IDENT_____	STAGGER	 0.0000180	 0.0007318	 0.0011461	 0.0005877	
128	1	IDENT_____	SPIRAL	 0.0000200	 0.0009722	 0.0014400	 0.0021684	
128	1	IDENT_____	STAGGER	 0.0000200	 0.0011477	 0.0017425	 0.0009114	
256	1	IDENT_____	SPIRAL	 0.0000326	 0.0023544	 0.0038928	 0.0050133	
256	1	IDENT_____	STAGGER	 0.0000329	 0.0006551	 0.0015522	 0.0018281	
384	1	IDENT_____	SPIRAL	 0.0000324	 0.0043283	 0.0064443	 0.0079959	
384	1	IDENT_____	STAGGER	 0.0000324	 0.0009324	 0.0024331	 0.0024856	
512	1	IDENT_____	SPIRAL	 0.0000385	 0.0054954	 0.0071601	 0.0114203	
512	1	IDENT_____	STAGGER	 0.0000384	 0.0012020	 0.0030147	 0.0038144	
768	1	IDENT_____	SPIRAL	 0.0000580	 0.0106854	 0.0125414	 0.0179114	
768	1	IDENT_____	STAGGER	 0.0000577	 0.0018426	 0.0043669	 0.0050439	
1024	1	IDENT_____	SPIRAL	 0.0000700	 0.0139855	 0.0167859	 0.0255133	
1024	1	IDENT_____	STAGGER	 0.0000700	 0.0027179	 0.0057804	 0.0078925	
