Parsing sort-12-128.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_19_05_01	ISORT_E	DPQ_19_05_E	MARLIN_M2	
12	1	IDENT_____	SPIRAL	 0.0000090	 0.0000408	 0.0000456	 0.0000547	 0.0000731	
12	1	IDENT_____	STAGGER	 0.0000090	 0.0000330	 0.0000366	 0.0000555	 0.0000565	
24	1	IDENT_____	SPIRAL	 0.0000111	 0.0001174	 0.0001554	 0.0001694	 0.0002244	
24	1	IDENT_____	STAGGER	 0.0000112	 0.0000899	 0.0001047	 0.0001170	 0.0001160	
32	1	IDENT_____	SPIRAL	 0.0000125	 0.0001901	 0.0002641	 0.0002837	 0.0003408	
32	1	IDENT_____	STAGGER	 0.0000125	 0.0001328	 0.0001645	 0.0001841	 0.0002002	
48	1	IDENT_____	SPIRAL	 0.0000150	 0.0002783	 0.0005903	 0.0004057	 0.0005815	
48	1	IDENT_____	STAGGER	 0.0000150	 0.0002441	 0.0003208	 0.0003500	 0.0002629	
64	1	IDENT_____	SPIRAL	 0.0000170	 0.0004117	 0.0010516	 0.0006611	 0.0008677	
64	1	IDENT_____	STAGGER	 0.0000170	 0.0004561	 0.0005608	 0.0006868	 0.0004338	
96	1	IDENT_____	SPIRAL	 0.0000180	 0.0006832	 0.0023702	 0.0010041	 0.0014246	
96	1	IDENT_____	STAGGER	 0.0000180	 0.0007289	 0.0011960	 0.0011460	 0.0005898	
128	1	IDENT_____	SPIRAL	 0.0000199	 0.0009837	 0.0042136	 0.0014556	 0.0021732	
128	1	IDENT_____	STAGGER	 0.0000199	 0.0011377	 0.0021913	 0.0017546	 0.0009110	
