WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [48, 64, 96, 128, 256]
Parameter[arraySubSize]: [1]
Parameter[dataTweaker]: [IDENT_____]
Parameter[distBuilder]: [SPIRAL, STAGGER]
Parameter[tSorter]: [BASELINE, DPQ_19_05_01, ISORT_E, DPQ_19_05_E, MARLIN_M2]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		48	1	IDENT_____	SPIRAL	BASELINE 	0.0000151	0.0000150	0.0000000	109	0.0000150	0.0000152
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002960	0.0002937	0.0000022	109	0.0002911	0.0002999
>> Best		48	1	IDENT_____	SPIRAL	ISORT_E  	0.0006192	0.0006073	0.0000118	109	0.0005935	0.0006363
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0004251	0.0004165	0.0000086	109	0.0004121	0.0004519
>> Best		48	1	IDENT_____	SPIRAL	MARLIN_M2	0.0006051	0.0005940	0.0000112	109	0.0005853	0.0006180
>> Best		48	1	IDENT_____	STAGGER	BASELINE 	0.0000151	0.0000150	0.0000000	109	0.0000150	0.0000152
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0002614	0.0002599	0.0000015	109	0.0002576	0.0002645
>> Best		48	1	IDENT_____	STAGGER	ISORT_E  	0.0003363	0.0003360	0.0000002	109	0.0003356	0.0003367
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0003671	0.0003633	0.0000038	109	0.0003612	0.0003757
>> Best		48	1	IDENT_____	STAGGER	MARLIN_M2	0.0002790	0.0002775	0.0000014	109	0.0002765	0.0002857
>> Best		64	1	IDENT_____	SPIRAL	BASELINE 	0.0000171	0.0000171	0.0000000	109	0.0000170	0.0000173
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0004438	0.0004362	0.0000076	109	0.0004211	0.0004601
>> Best		64	1	IDENT_____	SPIRAL	ISORT_E  	0.0011030	0.0010802	0.0000228	109	0.0010458	0.0011560
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0007004	0.0006785	0.0000220	109	0.0006561	0.0007280
>> Best		64	1	IDENT_____	SPIRAL	MARLIN_M2	0.0008988	0.0008863	0.0000125	109	0.0008722	0.0009241
>> Best		64	1	IDENT_____	STAGGER	BASELINE 	0.0000171	0.0000171	0.0000000	109	0.0000170	0.0000173
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0004803	0.0004722	0.0000081	109	0.0004650	0.0004941
>> Best		64	1	IDENT_____	STAGGER	ISORT_E  	0.0005897	0.0005734	0.0000163	109	0.0005615	0.0006100
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0007210	0.0007065	0.0000146	109	0.0006892	0.0007396
>> Best		64	1	IDENT_____	STAGGER	MARLIN_M2	0.0004592	0.0004509	0.0000083	109	0.0004425	0.0004729
>> Best		96	1	IDENT_____	SPIRAL	BASELINE 	0.0000186	0.0000182	0.0000004	109	0.0000176	0.0000188
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0007184	0.0006944	0.0000240	109	0.0006772	0.0007589
>> Best		96	1	IDENT_____	SPIRAL	ISORT_E  	0.0024173	0.0023919	0.0000253	109	0.0023629	0.0025119
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0010539	0.0010296	0.0000243	109	0.0009978	0.0010958
>> Best		96	1	IDENT_____	SPIRAL	MARLIN_M2	0.0014671	0.0014476	0.0000195	109	0.0014231	0.0014872
>> Best		96	1	IDENT_____	STAGGER	BASELINE 	0.0000186	0.0000182	0.0000004	109	0.0000176	0.0000187
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0007706	0.0007485	0.0000221	109	0.0007248	0.0007968
>> Best		96	1	IDENT_____	STAGGER	ISORT_E  	0.0012863	0.0012586	0.0000278	109	0.0011862	0.0013181
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0011977	0.0011784	0.0000193	109	0.0011447	0.0012235
>> Best		96	1	IDENT_____	STAGGER	MARLIN_M2	0.0006166	0.0006069	0.0000097	109	0.0005981	0.0006291
>> Best		128	1	IDENT_____	SPIRAL	BASELINE 	0.0000203	0.0000201	0.0000002	109	0.0000197	0.0000205
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0010510	0.0010172	0.0000338	109	0.0009698	0.0010785
>> Best		128	1	IDENT_____	SPIRAL	ISORT_E  	0.0042744	0.0042250	0.0000495	109	0.0041840	0.0043657
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0015080	0.0014815	0.0000265	109	0.0014490	0.0015302
>> Best		128	1	IDENT_____	SPIRAL	MARLIN_M2	0.0022346	0.0021960	0.0000387	109	0.0021544	0.0023113
>> Best		128	1	IDENT_____	STAGGER	BASELINE 	0.0000203	0.0000201	0.0000002	109	0.0000197	0.0000204
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0012038	0.0011706	0.0000332	109	0.0011244	0.0012375
>> Best		128	1	IDENT_____	STAGGER	ISORT_E  	0.0022744	0.0022347	0.0000397	109	0.0021715	0.0023525
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0018218	0.0017990	0.0000227	109	0.0017518	0.0018497
>> Best		128	1	IDENT_____	STAGGER	MARLIN_M2	0.0009509	0.0009364	0.0000146	109	0.0009163	0.0009834
