WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [48, 64, 96, 128, 256]
Parameter[arraySubSize]: [1]
Parameter[dataTweaker]: [IDENT_____]
Parameter[distBuilder]: [SPIRAL, STAGGER]
Parameter[tSorter]: [BASELINE, DPQ_19_05_01, ISORT_E, DPQ_19_05_E, MARLIN_M2]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		48	1	IDENT_____	SPIRAL	BASELINE 	0.0000151	0.0000150	0.0000000	109	0.0000150	0.0000151
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002938	0.0002926	0.0000012	109	0.0002909	0.0002953
>> Best		48	1	IDENT_____	SPIRAL	ISORT_E  	0.0006180	0.0006062	0.0000118	109	0.0005933	0.0006335
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0004067	0.0003985	0.0000082	109	0.0003943	0.0004290
>> Best		48	1	IDENT_____	SPIRAL	MARLIN_M2	0.0006036	0.0005930	0.0000106	109	0.0005854	0.0006197
>> Best		48	1	IDENT_____	STAGGER	BASELINE 	0.0000150	0.0000150	0.0000000	109	0.0000150	0.0000151
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0002600	0.0002589	0.0000010	109	0.0002576	0.0002624
>> Best		48	1	IDENT_____	STAGGER	ISORT_E  	0.0003470	0.0003392	0.0000077	109	0.0003357	0.0003672
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0003911	0.0003816	0.0000095	109	0.0003765	0.0004177
>> Best		48	1	IDENT_____	STAGGER	MARLIN_M2	0.0002826	0.0002791	0.0000035	109	0.0002766	0.0002874
>> Best		64	1	IDENT_____	SPIRAL	BASELINE 	0.0000175	0.0000172	0.0000003	109	0.0000170	0.0000181
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0004318	0.0004255	0.0000063	109	0.0004172	0.0004484
>> Best		64	1	IDENT_____	SPIRAL	ISORT_E  	0.0010877	0.0010691	0.0000186	109	0.0010433	0.0011249
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0007094	0.0006897	0.0000197	109	0.0006741	0.0007702
>> Best		64	1	IDENT_____	SPIRAL	MARLIN_M2	0.0008991	0.0008864	0.0000127	109	0.0008687	0.0009237
>> Best		64	1	IDENT_____	STAGGER	BASELINE 	0.0000175	0.0000172	0.0000003	109	0.0000170	0.0000181
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0004730	0.0004688	0.0000042	109	0.0004648	0.0004887
>> Best		64	1	IDENT_____	STAGGER	ISORT_E  	0.0005842	0.0005706	0.0000136	109	0.0005615	0.0006002
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0007138	0.0006957	0.0000181	109	0.0006799	0.0007519
>> Best		64	1	IDENT_____	STAGGER	MARLIN_M2	0.0004603	0.0004516	0.0000087	109	0.0004419	0.0004738
>> Best		96	1	IDENT_____	SPIRAL	BASELINE 	0.0000186	0.0000181	0.0000004	109	0.0000175	0.0000188
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0006908	0.0006838	0.0000070	109	0.0006722	0.0007036
>> Best		96	1	IDENT_____	SPIRAL	ISORT_E  	0.0024175	0.0023932	0.0000242	109	0.0023730	0.0025153
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0010531	0.0010298	0.0000233	109	0.0009996	0.0010632
>> Best		96	1	IDENT_____	SPIRAL	MARLIN_M2	0.0014690	0.0014497	0.0000193	109	0.0014220	0.0015039
>> Best		96	1	IDENT_____	STAGGER	BASELINE 	0.0000186	0.0000181	0.0000004	109	0.0000175	0.0000189
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0007736	0.0007486	0.0000250	109	0.0007264	0.0008095
>> Best		96	1	IDENT_____	STAGGER	ISORT_E  	0.0012831	0.0012535	0.0000296	109	0.0011970	0.0013264
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0016405	0.0016285	0.0000120	109	0.0016107	0.0016709
>> Best		96	1	IDENT_____	STAGGER	MARLIN_M2	0.0006227	0.0006087	0.0000140	109	0.0005954	0.0006545
>> Best		128	1	IDENT_____	SPIRAL	BASELINE 	0.0000203	0.0000200	0.0000002	109	0.0000197	0.0000204
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0010227	0.0009962	0.0000265	109	0.0009541	0.0010530
>> Best		128	1	IDENT_____	SPIRAL	ISORT_E  	0.0042564	0.0042086	0.0000478	109	0.0041774	0.0043336
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0015161	0.0015051	0.0000110	109	0.0014882	0.0015478
>> Best		128	1	IDENT_____	SPIRAL	MARLIN_M2	0.0021923	0.0021799	0.0000124	109	0.0021545	0.0022469
>> Best		128	1	IDENT_____	STAGGER	BASELINE 	0.0000203	0.0000200	0.0000002	109	0.0000197	0.0000204
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0012450	0.0011966	0.0000485	109	0.0011274	0.0014324
>> Best		128	1	IDENT_____	STAGGER	ISORT_E  	0.0022821	0.0022584	0.0000236	109	0.0022057	0.0023302
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0022630	0.0022557	0.0000072	109	0.0022201	0.0022736
>> Best		128	1	IDENT_____	STAGGER	MARLIN_M2	0.0009419	0.0009308	0.0000112	109	0.0009185	0.0009888
>> Best		256	1	IDENT_____	SPIRAL	BASELINE 	0.0000427	0.0000378	0.0000049	109	0.0000262	0.0000412
>> Best		256	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0023969	0.0023913	0.0000056	109	0.0023845	0.0024124
>> Best		256	1	IDENT_____	SPIRAL	ISORT_E  	0.0167127	0.0164326	0.0002801	109	0.0160632	0.0170171
>> Best		256	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0039480	0.0039168	0.0000312	109	0.0038912	0.0040981
>> Best		256	1	IDENT_____	SPIRAL	MARLIN_M2	0.0050331	0.0049916	0.0000415	109	0.0049612	0.0051585
>> Best		256	1	IDENT_____	STAGGER	BASELINE 	0.0000385	0.0000316	0.0000070	109	0.0000260	0.0000410
>> Best		256	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0006998	0.0006868	0.0000130	109	0.0006729	0.0007241
>> Best		256	1	IDENT_____	STAGGER	ISORT_E  	0.0092426	0.0089818	0.0002608	109	0.0087408	0.0096548
>> Best		256	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0016081	0.0015932	0.0000150	109	0.0015711	0.0016370
>> Best		256	1	IDENT_____	STAGGER	MARLIN_M2	0.0018757	0.0018611	0.0000146	109	0.0018340	0.0019169
