WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [48, 64, 96, 128, 256]
Parameter[arraySubSize]: [1]
Parameter[dataTweaker]: [IDENT_____]
Parameter[distBuilder]: [SPIRAL, STAGGER]
Parameter[tSorter]: [BASELINE, DPQ_19_05_01, ISORT_E, DPQ_19_05_E, MARLIN_M2]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		48	1	IDENT_____	SPIRAL	BASELINE 	0.0000158	0.0000156	0.0000002	109	0.0000154	0.0000160
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002942	0.0002910	0.0000033	109	0.0002889	0.0003050
>> Best		48	1	IDENT_____	SPIRAL	ISORT_E  	0.0006150	0.0006040	0.0000110	109	0.0005892	0.0006289
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0003948	0.0003928	0.0000020	109	0.0003916	0.0004011
>> Best		48	1	IDENT_____	SPIRAL	MARLIN_M2	0.0006067	0.0005940	0.0000127	109	0.0005837	0.0006271
>> Best		48	1	IDENT_____	STAGGER	BASELINE 	0.0000158	0.0000156	0.0000002	109	0.0000154	0.0000160
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0002594	0.0002581	0.0000013	109	0.0002557	0.0002613
>> Best		48	1	IDENT_____	STAGGER	ISORT_E  	0.0003402	0.0003367	0.0000034	109	0.0003355	0.0003546
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0003832	0.0003769	0.0000063	109	0.0003733	0.0003952
>> Best		48	1	IDENT_____	STAGGER	MARLIN_M2	0.0002775	0.0002759	0.0000016	109	0.0002746	0.0002811
>> Best		64	1	IDENT_____	SPIRAL	BASELINE 	0.0000183	0.0000181	0.0000002	109	0.0000180	0.0000187
