WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [48, 64, 96, 128, 256]
Parameter[arraySubSize]: [1]
Parameter[dataTweaker]: [IDENT_____]
Parameter[distBuilder]: [SPIRAL, STAGGER]
Parameter[tSorter]: [BASELINE, DPQ_19_05_01, ISORT_E, DPQ_19_05_E, MARLIN_M2]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		48	1	IDENT_____	SPIRAL	BASELINE 	0.0000158	0.0000156	0.0000002	109	0.0000154	0.0000160
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002904	0.0002899	0.0000005	109	0.0002886	0.0002912
>> Best		48	1	IDENT_____	SPIRAL	ISORT_E  	0.0006155	0.0006043	0.0000113	109	0.0005917	0.0006289
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0004082	0.0004051	0.0000031	109	0.0004018	0.0004171
>> Best		48	1	IDENT_____	SPIRAL	MARLIN_M2	0.0006214	0.0006090	0.0000125	109	0.0005985	0.0006409
>> Best		48	1	IDENT_____	STAGGER	BASELINE 	0.0000158	0.0000156	0.0000002	109	0.0000154	0.0000160
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0002591	0.0002579	0.0000012	109	0.0002558	0.0002602
>> Best		48	1	IDENT_____	STAGGER	ISORT_E  	0.0003424	0.0003374	0.0000051	109	0.0003355	0.0003588
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0003580	0.0003568	0.0000012	109	0.0003559	0.0003664
>> Best		48	1	IDENT_____	STAGGER	MARLIN_M2	0.0002945	0.0002918	0.0000027	109	0.0002898	0.0003060
>> Best		64	1	IDENT_____	SPIRAL	BASELINE 	0.0000183	0.0000181	0.0000002	109	0.0000180	0.0000187
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0004394	0.0004326	0.0000069	109	0.0004276	0.0004584
>> Best		64	1	IDENT_____	SPIRAL	ISORT_E  	0.0010826	0.0010636	0.0000190	109	0.0010389	0.0011121
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0006985	0.0006728	0.0000257	109	0.0006534	0.0007403
>> Best		64	1	IDENT_____	SPIRAL	MARLIN_M2	0.0009124	0.0008976	0.0000148	109	0.0008810	0.0009361
>> Best		64	1	IDENT_____	STAGGER	BASELINE 	0.0000183	0.0000181	0.0000002	109	0.0000180	0.0000187
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0004676	0.0004661	0.0000015	109	0.0004630	0.0004689
>> Best		64	1	IDENT_____	STAGGER	ISORT_E  	0.0005893	0.0005733	0.0000160	109	0.0005612	0.0006097
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0007204	0.0007036	0.0000169	109	0.0006853	0.0007484
>> Best		64	1	IDENT_____	STAGGER	MARLIN_M2	0.0004701	0.0004616	0.0000084	109	0.0004540	0.0004849
>> Best		96	1	IDENT_____	SPIRAL	BASELINE 	0.0000270	0.0000259	0.0000011	109	0.0000244	0.0000274
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0007193	0.0006979	0.0000214	109	0.0006718	0.0007515
>> Best		96	1	IDENT_____	SPIRAL	ISORT_E  	0.0024660	0.0024273	0.0000386	109	0.0023797	0.0025239
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0010613	0.0010351	0.0000262	109	0.0009992	0.0010852
>> Best		96	1	IDENT_____	SPIRAL	MARLIN_M2	0.0014930	0.0014747	0.0000183	109	0.0014499	0.0015219
>> Best		96	1	IDENT_____	STAGGER	BASELINE 	0.0000270	0.0000259	0.0000011	109	0.0000245	0.0000275
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0007775	0.0007519	0.0000255	109	0.0007286	0.0008121
>> Best		96	1	IDENT_____	STAGGER	ISORT_E  	0.0012673	0.0012487	0.0000186	109	0.0012058	0.0013199
