WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [48, 64, 96, 128, 256]
Parameter[arraySubSize]: [1]
Parameter[dataTweaker]: [IDENT_____]
Parameter[distBuilder]: [SPIRAL, STAGGER]
Parameter[tSorter]: [BASELINE, DPQ_19_05_01, ISORT_E, DPQ_19_05_E, MARLIN_M2]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		48	1	IDENT_____	SPIRAL	BASELINE 	0.0000150	0.0000143	0.0000008	109	0.0000137	0.0000193
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002781	0.0002750	0.0000030	109	0.0002724	0.0002913
>> Best		48	1	IDENT_____	SPIRAL	ISORT_E  	0.0005346	0.0004980	0.0000366	109	0.0004799	0.0006539
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0003611	0.0003581	0.0000030	109	0.0003558	0.0003733
>> Best		48	1	IDENT_____	SPIRAL	MARLIN_M2	0.0005386	0.0005068	0.0000318	109	0.0004926	0.0006641
>> Best		48	1	IDENT_____	STAGGER	BASELINE 	0.0000150	0.0000143	0.0000008	109	0.0000137	0.0000192
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0003095	0.0003045	0.0000050	109	0.0003017	0.0003208
>> Best		48	1	IDENT_____	STAGGER	ISORT_E  	0.0002848	0.0002777	0.0000071	109	0.0002698	0.0003055
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0004116	0.0004054	0.0000062	109	0.0004023	0.0004325
>> Best		48	1	IDENT_____	STAGGER	MARLIN_M2	0.0002322	0.0002293	0.0000029	109	0.0002270	0.0002384
>> Best		64	1	IDENT_____	SPIRAL	BASELINE 	0.0000164	0.0000159	0.0000005	109	0.0000150	0.0000176
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0004024	0.0003942	0.0000082	109	0.0003860	0.0004274
>> Best		64	1	IDENT_____	SPIRAL	ISORT_E  	0.0009192	0.0008640	0.0000553	109	0.0008287	0.0011238
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0006114	0.0006089	0.0000025	109	0.0006056	0.0006165
>> Best		64	1	IDENT_____	SPIRAL	MARLIN_M2	0.0007569	0.0006994	0.0000575	109	0.0006699	0.0009169
>> Best		64	1	IDENT_____	STAGGER	BASELINE 	0.0000165	0.0000159	0.0000006	109	0.0000150	0.0000201
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0004364	0.0004284	0.0000080	109	0.0004121	0.0004541
>> Best		64	1	IDENT_____	STAGGER	ISORT_E  	0.0005134	0.0004785	0.0000349	109	0.0004519	0.0006258
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0007488	0.0007013	0.0000475	109	0.0006727	0.0009198
>> Best		64	1	IDENT_____	STAGGER	MARLIN_M2	0.0004319	0.0003971	0.0000348	109	0.0003803	0.0005179
>> Best		96	1	IDENT_____	SPIRAL	BASELINE 	0.0000186	0.0000182	0.0000004	109	0.0000176	0.0000193
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0007932	0.0007431	0.0000501	109	0.0007164	0.0009726
>> Best		96	1	IDENT_____	SPIRAL	ISORT_E  	0.0019726	0.0019359	0.0000367	109	0.0019125	0.0021006
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0010276	0.0009896	0.0000380	109	0.0009434	0.0011366
>> Best		96	1	IDENT_____	SPIRAL	MARLIN_M2	0.0012626	0.0011716	0.0000910	109	0.0011253	0.0015149
>> Best		96	1	IDENT_____	STAGGER	BASELINE 	0.0000189	0.0000183	0.0000006	109	0.0000177	0.0000230
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0008057	0.0007611	0.0000446	109	0.0007322	0.0009940
>> Best		96	1	IDENT_____	STAGGER	ISORT_E  	0.0011101	0.0010385	0.0000716	109	0.0009891	0.0013310
>> Best		96	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0017038	0.0016721	0.0000317	109	0.0016327	0.0017790
>> Best		96	1	IDENT_____	STAGGER	MARLIN_M2	0.0005430	0.0005035	0.0000395	109	0.0004848	0.0006522
>> Best		128	1	IDENT_____	SPIRAL	BASELINE 	0.0000210	0.0000204	0.0000007	109	0.0000195	0.0000258
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0009872	0.0009360	0.0000512	109	0.0008967	0.0011993
>> Best		128	1	IDENT_____	SPIRAL	ISORT_E  	0.0034827	0.0034254	0.0000573	109	0.0033933	0.0037316
>> Best		128	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0014907	0.0014183	0.0000724	109	0.0013603	0.0018282
>> Best		128	1	IDENT_____	SPIRAL	MARLIN_M2	0.0015760	0.0015601	0.0000159	109	0.0015316	0.0016102
>> Best		128	1	IDENT_____	STAGGER	BASELINE 	0.0000208	0.0000203	0.0000005	109	0.0000194	0.0000222
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0011951	0.0011445	0.0000507	109	0.0010957	0.0014763
>> Best		128	1	IDENT_____	STAGGER	ISORT_E  	0.0017980	0.0017609	0.0000371	109	0.0017093	0.0019291
>> Best		128	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0022357	0.0022077	0.0000280	109	0.0021511	0.0023268
>> Best		128	1	IDENT_____	STAGGER	MARLIN_M2	0.0009014	0.0008323	0.0000691	109	0.0007932	0.0010759
>> Best		256	1	IDENT_____	SPIRAL	BASELINE 	0.0000272	0.0000264	0.0000008	109	0.0000257	0.0000335
>> Best		256	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0023886	0.0022963	0.0000923	109	0.0022201	0.0029269
>> Best		256	1	IDENT_____	SPIRAL	ISORT_E  	0.0133033	0.0132759	0.0000274	109	0.0132374	0.0133476
>> Best		256	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0040981	0.0040556	0.0000425	109	0.0040264	0.0042663
>> Best		256	1	IDENT_____	SPIRAL	MARLIN_M2	0.0040049	0.0036999	0.0003050	109	0.0035951	0.0049054
>> Best		256	1	IDENT_____	STAGGER	BASELINE 	0.0000272	0.0000263	0.0000008	109	0.0000257	0.0000333
>> Best		256	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0006356	0.0005984	0.0000371	109	0.0005772	0.0007748
>> Best		256	1	IDENT_____	STAGGER	ISORT_E  	0.0074636	0.0071081	0.0003556	109	0.0069148	0.0092658
>> Best		256	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0014200	0.0013510	0.0000690	109	0.0013111	0.0017579
