WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [48, 64, 96, 128, 256]
Parameter[arraySubSize]: [1]
Parameter[dataTweaker]: [IDENT_____]
Parameter[distBuilder]: [SPIRAL, STAGGER]
Parameter[tSorter]: [BASELINE, DPQ_19_05_01, ISORT_E, DPQ_19_05_E, MARLIN_M2]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		48	1	IDENT_____	SPIRAL	BASELINE 	0.0000147	0.0000142	0.0000005	109	0.0000137	0.0000181
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0002800	0.0002756	0.0000044	109	0.0002727	0.0002971
>> Best		48	1	IDENT_____	SPIRAL	ISORT_E  	0.0005270	0.0004948	0.0000322	109	0.0004774	0.0006473
>> Best		48	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0003992	0.0003748	0.0000244	109	0.0003640	0.0004935
>> Best		48	1	IDENT_____	SPIRAL	MARLIN_M2	0.0005598	0.0005236	0.0000363	109	0.0005079	0.0006848
>> Best		48	1	IDENT_____	STAGGER	BASELINE 	0.0000145	0.0000142	0.0000003	109	0.0000137	0.0000150
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0003064	0.0003032	0.0000032	109	0.0003018	0.0003208
>> Best		48	1	IDENT_____	STAGGER	ISORT_E  	0.0002810	0.0002766	0.0000044	109	0.0002696	0.0002886
>> Best		48	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0004264	0.0003998	0.0000267	109	0.0003884	0.0005282
>> Best		48	1	IDENT_____	STAGGER	MARLIN_M2	0.0002533	0.0002492	0.0000041	109	0.0002438	0.0002656
>> Best		64	1	IDENT_____	SPIRAL	BASELINE 	0.0000164	0.0000159	0.0000005	109	0.0000150	0.0000190
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0004040	0.0003903	0.0000137	109	0.0003841	0.0005151
>> Best		64	1	IDENT_____	SPIRAL	ISORT_E  	0.0009145	0.0008618	0.0000527	109	0.0008279	0.0011152
>> Best		64	1	IDENT_____	SPIRAL	DPQ_19_05_E	0.0006335	0.0006223	0.0000112	109	0.0006062	0.0006592
>> Best		64	1	IDENT_____	SPIRAL	MARLIN_M2	0.0007599	0.0007133	0.0000467	109	0.0006887	0.0009403
>> Best		64	1	IDENT_____	STAGGER	BASELINE 	0.0000165	0.0000159	0.0000005	109	0.0000150	0.0000193
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0004342	0.0004275	0.0000067	109	0.0004139	0.0004527
>> Best		64	1	IDENT_____	STAGGER	ISORT_E  	0.0005065	0.0004741	0.0000324	109	0.0004593	0.0006168
>> Best		64	1	IDENT_____	STAGGER	DPQ_19_05_E	0.0007540	0.0007048	0.0000492	109	0.0006738	0.0009074
>> Best		64	1	IDENT_____	STAGGER	MARLIN_M2	0.0004410	0.0004151	0.0000259	109	0.0003978	0.0005415
>> Best		96	1	IDENT_____	SPIRAL	BASELINE 	0.0000277	0.0000261	0.0000016	109	0.0000245	0.0000320
>> Best		96	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0008039	0.0007527	0.0000512	109	0.0007226	0.0009714
