WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [500]
Parameter[arraySubSize]: [1, 4, 16, 64, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_18_11_27, DPQ_19_01, DPQ_19_01_05]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		500	1	IDENT_____	STAGGER	BASELINE 	0.0000388	0.0000380	0.0000009	109	0.0000348	0.0000385
>> Best		500	1	IDENT_____	STAGGER	DPQ_11   	0.0014137	0.0014011	0.0000126	109	0.0013857	0.0014192
>> Best		500	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0086968	0.0084266	0.0002702	109	0.0081431	0.0088047
>> Best		500	1	IDENT_____	STAGGER	DPQ_18_11_27	0.0091601	0.0087398	0.0004204	109	0.0083319	0.0118890
>> Best		500	1	IDENT_____	STAGGER	DPQ_19_01	0.0109914	0.0084176	0.0025738	109	0.0075702	0.0230240
>> Best		500	1	IDENT_____	STAGGER	DPQ_19_01_05	0.0086814	0.0079796	0.0007018	109	0.0072213	0.0137503
>> Best		500	1	IDENT_____	SAWTOTH	BASELINE 	0.0000359	0.0000350	0.0000009	109	0.0000345	0.0000384
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_11   	0.0002381	0.0002371	0.0000010	109	0.0002342	0.0002382
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.0002342	0.0002301	0.0000041	109	0.0002254	0.0002347
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_18_11_27	0.0002847	0.0002782	0.0000065	109	0.0002730	0.0002933
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_19_01	0.0002280	0.0002249	0.0000031	109	0.0002224	0.0002318
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_19_01_05	0.0002558	0.0002378	0.0000180	109	0.0002281	0.0002758
>> Best		500	1	IDENT_____	_RANDOM	BASELINE 	0.0000358	0.0000349	0.0000009	109	0.0000345	0.0000384
>> Best		500	1	IDENT_____	_RANDOM	DPQ_11   	0.0002384	0.0002373	0.0000011	109	0.0002340	0.0002387
