WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [5000]
Parameter[arraySubSize]: [1, 4, 16, 64, 256, 1024, 4096]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_18_11_27, DPQ_19_01, DPQ_19_01_05]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		5000	1	IDENT_____	STAGGER	BASELINE 	0.0006529	0.0006327	0.0000203	109	0.0005680	0.0006638
>> Best		5000	1	IDENT_____	STAGGER	DPQ_11   	0.0169050	0.0155198	0.0013852	109	0.0127457	0.0167919
>> Best		5000	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0136004	0.0131920	0.0004084	109	0.0118333	0.0135669
>> Best		5000	1	IDENT_____	STAGGER	DPQ_18_11_27	0.0143166	0.0135572	0.0007593	109	0.0118287	0.0188980
>> Best		5000	1	IDENT_____	STAGGER	DPQ_19_01	0.0133953	0.0129299	0.0004654	109	0.0118106	0.0134421
>> Best		5000	1	IDENT_____	STAGGER	DPQ_19_01_05	0.0209225	0.0150760	0.0058465	109	0.0127322	0.0451625
>> Best		5000	1	IDENT_____	SAWTOTH	BASELINE 	0.0006460	0.0006251	0.0000209	109	0.0005813	0.0006626
>> Best		5000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0027502	0.0025805	0.0001697	109	0.0024813	0.0029563
>> Best		5000	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.0016917	0.0016675	0.0000243	109	0.0016183	0.0016928
>> Best		5000	1	IDENT_____	SAWTOTH	DPQ_18_11_27	0.0016934	0.0016710	0.0000224	109	0.0016272	0.0016915
>> Best		5000	1	IDENT_____	SAWTOTH	DPQ_19_01	0.0016887	0.0016839	0.0000047	109	0.0016744	0.0016923
>> Best		5000	1	IDENT_____	SAWTOTH	DPQ_19_01_05	0.0016838	0.0016576	0.0000261	109	0.0016232	0.0016931
>> Best		5000	1	IDENT_____	_RANDOM	BASELINE 	0.0006448	0.0006209	0.0000239	109	0.0005643	0.0006629
>> Best		5000	1	IDENT_____	_RANDOM	DPQ_11   	0.0025103	0.0024981	0.0000122	109	0.0024782	0.0025209
>> Best		5000	1	IDENT_____	_RANDOM	DPQ_18_11_21	0.0016884	0.0016832	0.0000053	109	0.0016691	0.0016927
>> Best		5000	1	IDENT_____	_RANDOM	DPQ_18_11_27	0.0016913	0.0016823	0.0000090	109	0.0016351	0.0016922
>> Best		5000	1	IDENT_____	_RANDOM	DPQ_19_01	0.0016894	0.0016846	0.0000048	109	0.0016722	0.0016934
>> Best		5000	1	IDENT_____	_RANDOM	DPQ_19_01_05	0.0016895	0.0016854	0.0000040	109	0.0016735	0.0016927
>> Best		5000	1	IDENT_____	PLATEAU	BASELINE 	0.0006471	0.0006224	0.0000248	109	0.0005706	0.0006605
>> Best		5000	1	IDENT_____	PLATEAU	DPQ_11   	0.0025078	0.0024955	0.0000123	109	0.0024779	0.0025195
>> Best		5000	1	IDENT_____	PLATEAU	DPQ_18_11_21	0.0025494	0.0025227	0.0000267	109	0.0024966	0.0025822
>> Best		5000	1	IDENT_____	PLATEAU	DPQ_18_11_27	0.0025232	0.0025142	0.0000090	109	0.0024955	0.0025315
>> Best		5000	1	IDENT_____	PLATEAU	DPQ_19_01	0.0029249	0.0026413	0.0002836	109	0.0024860	0.0032648
>> Best		5000	1	IDENT_____	PLATEAU	DPQ_19_01_05	0.0029736	0.0027017	0.0002719	109	0.0024995	0.0032701
>> Best		5000	1	IDENT_____	SHUFFLE	BASELINE 	0.0006476	0.0006218	0.0000258	109	0.0005613	0.0006615
>> Best		5000	1	IDENT_____	SHUFFLE	DPQ_11   	0.0034808	0.0028143	0.0006665	109	0.0024762	0.0042201
>> Best		5000	1	IDENT_____	SHUFFLE	DPQ_18_11_21	0.0025215	0.0025138	0.0000077	109	0.0024983	0.0025277
>> Best		5000	1	IDENT_____	SHUFFLE	DPQ_18_11_27	0.0025237	0.0025125	0.0000112	109	0.0024925	0.0025339
>> Best		5000	1	IDENT_____	SHUFFLE	DPQ_19_01	0.0026279	0.0025515	0.0000764	109	0.0025025	0.0027196
>> Best		5000	1	IDENT_____	SHUFFLE	DPQ_19_01_05	0.0025243	0.0025146	0.0000096	109	0.0025012	0.0025349
>> Best		5000	1	REVERSE___	STAGGER	BASELINE 	0.0006466	0.0006191	0.0000275	109	0.0005594	0.0006719
>> Best		5000	1	REVERSE___	STAGGER	DPQ_11   	0.0184237	0.0173160	0.0011077	109	0.0159200	0.0186135
>> Best		5000	1	REVERSE___	STAGGER	DPQ_18_11_21	0.0167101	0.0159331	0.0007771	109	0.0144333	0.0171584
>> Best		5000	1	REVERSE___	STAGGER	DPQ_18_11_27	0.0168475	0.0164986	0.0003489	109	0.0162049	0.0171741
>> Best		5000	1	REVERSE___	STAGGER	DPQ_19_01	0.0171303	0.0162455	0.0008848	109	0.0144998	0.0172059
