Parsing sort-5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_19_01	DPQ_19_01_05	
5000	1	IDENT_____	STAGGER	 0.0005883	 0.0135426	 0.0116534	 0.0119997	 0.0116877	! 0.0179904	
5000	1	IDENT_____	SAWTOTH	 0.0006022	 0.0020488	 0.0010404	 0.0010474	 0.0010769	 0.0010471	
5000	1	IDENT_____	_RANDOM	 0.0005882	 0.0019022	 0.0010862	 0.0010559	 0.0010888	 0.0010893	
5000	1	IDENT_____	PLATEAU	 0.0005954	 0.0018948	 0.0019279	 0.0019091	 0.0021742	 0.0021760	
5000	1	IDENT_____	SHUFFLE	 0.0005871	 0.0025556	 0.0019189	 0.0019166	 0.0019918	 0.0019237	
5000	1	REVERSE___	STAGGER	 0.0005869	 0.0164408	 0.0146235	 0.0159669	 0.0147977	 0.0159362	
5000	1	REVERSE___	SAWTOTH	 0.0005883	 0.0020589	 0.0010572	 0.0010898	 0.0010595	 0.0010911	
5000	1	REVERSE___	_RANDOM	 0.0005885	 0.0018964	 0.0010858	 0.0010534	 0.0010893	 0.0010569	
5000	1	REVERSE___	PLATEAU	 0.0005960	 0.0048213	 0.0012943	 0.0012512	 0.0012465	 0.0013071	
5000	1	REVERSE___	SHUFFLE	 0.0005786	 0.0049729	 0.0051048	 0.0051900	 0.0050808	 0.0053346	
5000	1	REVERSE_FR	STAGGER	 0.0005981	 0.0165199	 0.0127764	 0.0132707	 0.0139829	 0.0133125	
5000	1	REVERSE_FR	SAWTOTH	 0.0006070	 0.0020926	 0.0010323	 0.0010407	 0.0010404	 0.0010193	
5000	1	REVERSE_FR	_RANDOM	 0.0005869	 0.0018955	 0.0010891	 0.0010578	 0.0010524	 0.0010786	
5000	1	REVERSE_FR	PLATEAU	 0.0005920	 0.0109019	 0.0012373	 0.0015384	 0.0013388	 0.0012454	
5000	1	REVERSE_FR	SHUFFLE	 0.0005951	 0.0045700	 0.0044752	 0.0044594	 0.0043070	 0.0043109	
5000	1	REVERSE_BA	STAGGER	 0.0005833	 0.0160425	 0.0123082	! 0.0213132	 0.0124265	 0.0138618	
5000	1	REVERSE_BA	SAWTOTH	 0.0005878	 0.0021134	 0.0010537	 0.0010602	 0.0010562	 0.0010591	
5000	1	REVERSE_BA	_RANDOM	 0.0005920	 0.0018970	 0.0010837	 0.0010449	 0.0010863	 0.0010863	
5000	1	REVERSE_BA	PLATEAU	 0.0005827	! 0.0027487	 0.0019208	 0.0019209	 0.0019203	 0.0021952	
5000	1	REVERSE_BA	SHUFFLE	 0.0005846	 0.0167619	 0.0127876	 0.0133427	 0.0125371	 0.0139898	
5000	1	SORT______	STAGGER	 0.0005936	! 0.0027398	 0.0013201	! 0.0020092	 0.0013257	 0.0016294	
5000	1	SORT______	SAWTOTH	 0.0005867	 0.0019014	 0.0010370	 0.0010388	 0.0010376	 0.0010419	
5000	1	SORT______	_RANDOM	 0.0005904	 0.0018979	 0.0010347	 0.0010324	 0.0010342	 0.0010503	
5000	1	SORT______	PLATEAU	 0.0005849	 0.0023497	 0.0019215	 0.0019220	 0.0019193	 0.0019244	
5000	1	SORT______	SHUFFLE	 0.0005952	 0.0018903	 0.0019288	 0.0021831	 0.0021750	 0.0021759	
5000	1	DITHER____	STAGGER	 0.0005925	 0.1386552	 0.1513789	 0.1477291	 0.1713087	 0.1889018	
5000	1	DITHER____	SAWTOTH	 0.0005877	 0.0164396	 0.0141372	 0.0139170	 0.0141445	 0.0157599	
5000	1	DITHER____	_RANDOM	 0.0005951	 0.0143249	 0.0133843	 0.0144438	 0.0140128	 0.0141292	
5000	1	DITHER____	PLATEAU	 0.0005898	 0.0157960	 0.0151541	 0.0157769	 0.0148726	 0.0145681	
5000	1	DITHER____	SHUFFLE	 0.0005805	 0.0327152	 0.0228365	 0.0223716	 0.0238512	 0.0203546	
5000	4	IDENT_____	STAGGER	 0.0005931	 0.0331681	 0.1718811	 0.1570088	 0.1735168	 0.1702922	
5000	4	IDENT_____	SAWTOTH	 0.0005969	 0.0153803	 0.0125442	! 0.0190616	 0.0134734	 0.0104602	
5000	4	IDENT_____	_RANDOM	 0.0005858	 0.0370591	 0.0282937	 0.0288572	 0.0290320	 0.0278287	
5000	4	IDENT_____	PLATEAU	 0.0005863	! 0.0027459	 0.0019155	 0.0020108	 0.0021843	 0.0021854	
5000	4	IDENT_____	SHUFFLE	 0.0005963	 0.1391812	 0.1176741	! 0.1845584	 0.1182475	 0.1105746	
5000	4	REVERSE___	STAGGER	 0.0005938	 0.0326330	 0.1578723	 0.1866654	 0.1780302	 0.1903949	
5000	4	REVERSE___	SAWTOTH	 0.0005886	 0.0125712	! 0.0172943	 0.0100304	 0.0101893	 0.0103299	
5000	4	REVERSE___	_RANDOM	 0.0005916	 0.0322049	! 0.0312722	 0.0285070	 0.0273073	 0.0298910	
5000	4	REVERSE___	PLATEAU	 0.0005875	 0.0048455	 0.0012227	 0.0010516	 0.0012897	 0.0012925	
5000	4	REVERSE___	SHUFFLE	 0.0005802	 0.1492378	 0.1238495	 0.1082835	 0.1470875	 0.1179223	
5000	4	REVERSE_FR	STAGGER	 0.0005893	 0.0348551	 0.1608989	 0.1568907	 0.1951332	 0.1849041	
5000	4	REVERSE_FR	SAWTOTH	 0.0005824	 0.0121373	 0.0115598	 0.0114815	 0.0120000	 0.0110237	
5000	4	REVERSE_FR	_RANDOM	 0.0005898	 0.0325435	 0.0336559	! 0.0835693	 0.0282901	 0.0294145	
5000	4	REVERSE_FR	PLATEAU	 0.0005887	 0.0121292	 0.0013452	 0.0013546	 0.0013835	 0.0013663	
5000	4	REVERSE_FR	SHUFFLE	 0.0005877	 0.1631693	 0.0946114	 0.0949816	 0.1133250	 0.1066362	
5000	4	REVERSE_BA	STAGGER	 0.0005918	 0.0346594	 0.1718762	 0.1474850	 0.1879970	 0.1698781	
5000	4	REVERSE_BA	SAWTOTH	 0.0005859	 0.0187802	 0.0104759	 0.0111976	 0.0115356	 0.0111505	
5000	4	REVERSE_BA	_RANDOM	 0.0005990	 0.0338121	 0.0275383	 0.0299605	 0.0273338	 0.0276803	
5000	4	REVERSE_BA	PLATEAU	 0.0005781	 0.0026878	 0.0019222	 0.0022919	 0.0019216	 0.0019300	
5000	4	REVERSE_BA	SHUFFLE	 0.0005759	 0.1519878	 0.1347576	 0.1277284	 0.1449469	 0.1329166	
5000	4	SORT______	STAGGER	 0.0005875	! 0.0027542	 0.0019861	 0.0020217	 0.0019222	 0.0019913	
5000	4	SORT______	SAWTOTH	 0.0005764	 0.0019526	 0.0016635	 0.0016681	 0.0016667	 0.0016670	
5000	4	SORT______	_RANDOM	 0.0005847	 0.0019463	 0.0016547	 0.0016518	 0.0016523	 0.0019431	
5000	4	SORT______	PLATEAU	 0.0006381	 0.0024925	 0.0018724	 0.0018702	 0.0018617	 0.0018747	
5000	4	SORT______	SHUFFLE	 0.0006078	 0.0026433	 0.0018962	 0.0018979	 0.0018891	 0.0018996	
5000	4	DITHER____	STAGGER	 0.0005811	 0.0306810	 0.1562561	 0.1714076	 0.1767180	 0.1653847	
5000	4	DITHER____	SAWTOTH	 0.0005933	 0.0236188	 0.0175511	 0.0158300	 0.0154017	 0.0148821	
5000	4	DITHER____	_RANDOM	 0.0005930	 0.0485792	! 0.0712678	 0.0486109	 0.0506136	 0.0508915	
5000	4	DITHER____	PLATEAU	 0.0005996	 0.0163289	 0.0149782	 0.0134430	 0.0147293	 0.0144964	
5000	4	DITHER____	SHUFFLE	 0.0005775	 0.1522594	 0.1361295	 0.1253833	 0.1442767	 0.1270140	
5000	16	IDENT_____	STAGGER	 0.0005930	 0.0577507	 0.1804984	 0.1811703	 0.1960759	 0.1915036	
5000	16	IDENT_____	SAWTOTH	 0.0005848	 0.0330491	 0.0444597	 0.0464940	 0.0418649	 0.0400207	
5000	16	IDENT_____	_RANDOM	 0.0005967	 0.0885275	 0.0881784	! 0.1167474	 0.0847116	! 0.1701854	
5000	16	IDENT_____	PLATEAU	 0.0005867	! 0.0027458	 0.0019349	 0.0019364	 0.0022797	 0.0020143	
5000	16	IDENT_____	SHUFFLE	 0.0005875	 0.0959431	 0.0536861	 0.0559792	 0.0607349	 0.0626093	
5000	16	REVERSE___	STAGGER	 0.0005972	 0.0646291	 0.1780383	 0.1811629	 0.2079774	 0.1886956	
5000	16	REVERSE___	SAWTOTH	 0.0005901	! 0.0575763	 0.0501334	 0.0478757	 0.0506206	! 0.0830629	
5000	16	REVERSE___	_RANDOM	 0.0005851	 0.0914306	 0.0815255	 0.0810332	 0.0849505	 0.0822842	
5000	16	REVERSE___	PLATEAU	 0.0005822	 0.0047906	 0.0014068	 0.0013997	 0.0013558	 0.0013877	
5000	16	REVERSE___	SHUFFLE	 0.0005799	 0.1026068	 0.0647699	 0.0619795	 0.0816496	 0.0648397	
5000	16	REVERSE_FR	STAGGER	 0.0005848	 0.0598618	 0.1872168	 0.1851102	 0.2091869	 0.1894192	
5000	16	REVERSE_FR	SAWTOTH	 0.0005779	 0.0495313	 0.0614557	 0.0454600	 0.0450929	! 0.0584788	
5000	16	REVERSE_FR	_RANDOM	 0.0005841	 0.0816226	 0.0886552	 0.0894926	 0.0887609	 0.0852693	
5000	16	REVERSE_FR	PLATEAU	 0.0005799	 0.0118770	 0.0013869	 0.0014151	 0.0013901	 0.0014093	
5000	16	REVERSE_FR	SHUFFLE	 0.0005838	 0.1133717	 0.0572717	 0.0609509	 0.0797485	 0.0618866	
5000	16	REVERSE_BA	STAGGER	 0.0005842	 0.0605611	 0.1869298	 0.1793166	 0.2019656	 0.1843208	
5000	16	REVERSE_BA	SAWTOTH	 0.0005957	 0.0254063	 0.0456016	 0.0503804	 0.0482935	 0.0507581	
5000	16	REVERSE_BA	_RANDOM	 0.0005962	 0.0823753	 0.0955214	! 0.1013751	 0.0872594	! 0.2741868	
5000	16	REVERSE_BA	PLATEAU	 0.0005965	! 0.0027315	 0.0019069	 0.0019752	 0.0018989	 0.0021722	
5000	16	REVERSE_BA	SHUFFLE	 0.0005809	 0.1016960	 0.0769681	 0.0811827	 0.0919509	! 0.6002454	
5000	16	SORT______	STAGGER	 0.0005814	 0.0026620	 0.0019392	 0.0021957	 0.0021938	 0.0022897	
5000	16	SORT______	SAWTOTH	 0.0005800	 0.0019031	 0.0018723	 0.0018615	 0.0021443	 0.0021488	
5000	16	SORT______	_RANDOM	 0.0005818	 0.0019046	 0.0018713	 0.0018656	 0.0018719	 0.0018655	
5000	16	SORT______	PLATEAU	 0.0005892	 0.0018941	 0.0019167	 0.0019170	 0.0019114	 0.0019211	
5000	16	SORT______	SHUFFLE	 0.0005823	 0.0019014	 0.0019227	 0.0019262	 0.0019163	 0.0019254	
5000	16	DITHER____	STAGGER	 0.0005854	 0.0581785	 0.1813955	 0.1925105	 0.2141105	 0.1959745	
5000	16	DITHER____	SAWTOTH	 0.0005918	 0.0716136	 0.0695463	 0.0707963	 0.0698270	 0.0834476	
5000	16	DITHER____	_RANDOM	 0.0005751	 0.0856666	 0.0904397	 0.0883735	 0.0839689	 0.0842768	
5000	16	DITHER____	PLATEAU	 0.0005822	 0.0168905	 0.0113655	 0.0129320	 0.0122550	 0.0115750	
5000	16	DITHER____	SHUFFLE	 0.0005804	 0.1117211	 0.0755700	 0.0672859	 0.0797157	 0.0709869	
5000	64	IDENT_____	STAGGER	 0.0005905	 0.0834536	 0.2154010	 0.2129195	 0.2195261	 0.2259066	
5000	64	IDENT_____	SAWTOTH	 0.0005954	! 0.1764278	 0.1052259	 0.0973174	 0.0902958	 0.1132311	
5000	64	IDENT_____	_RANDOM	 0.0005771	 0.1407150	 0.1495701	 0.1486636	 0.1418610	 0.1537806	
5000	64	IDENT_____	PLATEAU	 0.0005797	 0.0025450	 0.0019229	 0.0022903	 0.0019203	 0.0022011	
5000	64	IDENT_____	SHUFFLE	 0.0005881	 0.0681590	 0.0357728	 0.0354058	! 0.1269415	 0.0395786	
5000	64	REVERSE___	STAGGER	 0.0005837	 0.0847535	 0.2010906	 0.2064999	 0.2121402	 0.2068572	
5000	64	REVERSE___	SAWTOTH	 0.0005931	 0.1064112	! 0.1289984	 0.0926826	 0.0882819	 0.1169293	
5000	64	REVERSE___	_RANDOM	 0.0005817	 0.1413271	 0.1562751	 0.1752443	 0.1374535	 0.1573851	
5000	64	REVERSE___	PLATEAU	 0.0005848	 0.0047601	 0.0014215	 0.0012861	 0.0014357	 0.0014400	
5000	64	REVERSE___	SHUFFLE	 0.0005890	 0.0779938	 0.0515461	 0.0433997	 0.0460475	 0.0431310	
5000	64	REVERSE_FR	STAGGER	 0.0005926	 0.0832852	 0.2298954	 0.2122271	 0.2374287	 0.2187149	
5000	64	REVERSE_FR	SAWTOTH	 0.0005902	 0.0985741	 0.1014219	 0.0942659	 0.0950323	 0.1204216	
5000	64	REVERSE_FR	_RANDOM	 0.0005875	 0.1413962	 0.1490743	 0.1435565	 0.1359795	 0.1505823	
5000	64	REVERSE_FR	PLATEAU	 0.0005881	 0.0122682	 0.0014745	 0.0014203	 0.0012853	 0.0014499	
5000	64	REVERSE_FR	SHUFFLE	 0.0005831	 0.0834387	 0.0447821	 0.0467372	 0.0571759	 0.0454771	
5000	64	REVERSE_BA	STAGGER	 0.0005888	 0.0851365	 0.2268797	! 0.4438981	 0.2265378	 0.2281263	
5000	64	REVERSE_BA	SAWTOTH	 0.0005884	 0.0991630	 0.0963270	 0.0884519	 0.0919289	 0.1137074	
5000	64	REVERSE_BA	_RANDOM	 0.0005854	 0.1372513	 0.1506509	 0.1439370	 0.1402171	! 0.2260984	
5000	64	REVERSE_BA	PLATEAU	 0.0005829	 0.0026777	 0.0019207	 0.0019248	 0.0019220	 0.0019405	
5000	64	REVERSE_BA	SHUFFLE	 0.0005795	 0.0919566	 0.0483348	! 0.0867835	 0.0508085	 0.0487541	
5000	64	SORT______	STAGGER	 0.0005732	 0.0025637	 0.0019278	 0.0019370	 0.0019340	 0.0019341	
5000	64	SORT______	SAWTOTH	 0.0005929	 0.0018867	 0.0019073	 0.0019091	 0.0019106	 0.0019169	
5000	64	SORT______	_RANDOM	 0.0005852	 0.0018914	 0.0019151	 0.0022703	 0.0019076	 0.0019221	
5000	64	SORT______	PLATEAU	 0.0005827	 0.0019051	 0.0019246	 0.0019244	 0.0022847	 0.0019257	
5000	64	SORT______	SHUFFLE	 0.0005863	! 0.0027468	 0.0019186	 0.0021987	 0.0019126	 0.0019181	
5000	64	DITHER____	STAGGER	 0.0005800	 0.0834844	 0.2137864	 0.2113930	 0.2631398	 0.2237257	
5000	64	DITHER____	SAWTOTH	 0.0005900	 0.1139587	 0.1178994	 0.1126636	 0.1167138	 0.1421914	
5000	64	DITHER____	_RANDOM	 0.0005860	 0.1458307	 0.1530780	 0.1371742	 0.1409283	 0.1484223	
5000	64	DITHER____	PLATEAU	 0.0005874	 0.0165656	 0.0122325	! 0.0253674	 0.0123370	 0.0119228	
5000	64	DITHER____	SHUFFLE	 0.0005832	 0.0958909	 0.0430829	 0.0409864	 0.0507805	 0.0434398	
5000	256	IDENT_____	STAGGER	 0.0005953	 0.2458107	 0.2250925	 0.2556873	 0.2403641	! 0.3508517	
5000	256	IDENT_____	SAWTOTH	 0.0005848	 0.0536932	 0.1594703	 0.1597442	 0.1676627	 0.1800791	
5000	256	IDENT_____	_RANDOM	 0.0005826	 0.2195283	 0.2380320	 0.2321445	 0.2378313	 0.2513643	
5000	256	IDENT_____	PLATEAU	 0.0005811	 0.0025475	 0.0019350	 0.0022873	 0.0019436	 0.0021984	
5000	256	IDENT_____	SHUFFLE	 0.0005831	 0.0424254	 0.0337524	 0.0275736	 0.0254764	 0.0295280	
5000	256	REVERSE___	STAGGER	 0.0005881	 0.2528655	 0.2326071	 0.2251001	! 0.5497869	 0.2350425	
5000	256	REVERSE___	SAWTOTH	 0.0005832	 0.0537037	 0.1811618	 0.1900629	 0.1794188	 0.1850152	
5000	256	REVERSE___	_RANDOM	 0.0005849	 0.2387615	 0.2326900	 0.2176790	 0.2288717	 0.2244924	
5000	256	REVERSE___	PLATEAU	 0.0005856	 0.0048255	 0.0014742	 0.0014637	 0.0016478	 0.0014629	
