Parsing sort-100.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_19_01_05	DPQ_19_02_10	
100	1	IDENT_____	STAGGER	 0.0000161	 0.0007299	 0.0006333	 0.0006281	 0.0007889	
100	1	IDENT_____	SAWTOTH	 0.0000161	 0.0000541	 0.0000524	 0.0000540	 0.0000348	
100	1	IDENT_____	_RANDOM	 0.0000161	 0.0000539	 0.0000525	 0.0000530	 0.0000347	
100	1	IDENT_____	PLATEAU	 0.0000164	 0.0000600	 0.0000884	 0.0000920	 0.0000477	
100	1	IDENT_____	SHUFFLE	 0.0000165	 0.0001175	 0.0001380	 0.0001352	 0.0000484	
100	1	REVERSE___	STAGGER	 0.0000162	 0.0006996	 0.0011066	 0.0011361	 0.0003820	
100	1	REVERSE___	SAWTOTH	 0.0000165	 0.0000539	 0.0000519	 0.0000530	 0.0000344	
100	1	REVERSE___	_RANDOM	 0.0000164	 0.0000537	 0.0000559	 0.0000531	 0.0000342	
100	1	REVERSE___	PLATEAU	 0.0000161	 0.0000607	 0.0000957	 0.0000965	 0.0000405	
100	1	REVERSE___	SHUFFLE	 0.0000163	 0.0003997	 0.0003163	 0.0003040	 0.0001049	
100	1	REVERSE_FR	STAGGER	 0.0000163	 0.0008015	 0.0009368	 0.0008497	 0.0007736	
100	1	REVERSE_FR	SAWTOTH	 0.0000162	 0.0000543	 0.0000530	 0.0000532	 0.0000346	
100	1	REVERSE_FR	_RANDOM	 0.0000162	 0.0000538	 0.0000524	 0.0000530	 0.0000346	
100	1	REVERSE_FR	PLATEAU	 0.0000162	 0.0000620	 0.0000811	 0.0000905	 0.0000480	
100	1	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004079	 0.0006415	 0.0005157	 0.0000853	
100	1	REVERSE_BA	STAGGER	 0.0000166	 0.0006698	 0.0007620	 0.0008159	 0.0002931	
100	1	REVERSE_BA	SAWTOTH	 0.0000161	 0.0000539	 0.0000524	 0.0000534	 0.0000346	
100	1	REVERSE_BA	_RANDOM	 0.0000161	 0.0000539	 0.0000526	 0.0000530	 0.0000346	
100	1	REVERSE_BA	PLATEAU	 0.0000162	 0.0000605	 0.0000882	 0.0000902	 0.0000479	
100	1	REVERSE_BA	SHUFFLE	 0.0000163	 0.0002296	 0.0003872	 0.0003775	 0.0002902	
100	1	SORT______	STAGGER	 0.0000161	 0.0001207	 0.0001446	 0.0001515	 0.0000437	
100	1	SORT______	SAWTOTH	 0.0000161	 0.0000569	 0.0000550	 0.0000528	 0.0000368	
100	1	SORT______	_RANDOM	 0.0000161	 0.0000568	 0.0000553	 0.0000554	 0.0000368	
100	1	SORT______	PLATEAU	 0.0000161	 0.0000632	 0.0000913	 0.0000926	 0.0000525	
100	1	SORT______	SHUFFLE	 0.0000161	 0.0001205	 0.0001408	 0.0001376	 0.0000507	
100	1	DITHER____	STAGGER	 0.0000163	 0.0007565	 0.0006807	 0.0007042	 0.0007596	
100	1	DITHER____	SAWTOTH	 0.0000162	 0.0003161	 0.0004612	 0.0003373	 0.0004972	
100	1	DITHER____	_RANDOM	 0.0000162	 0.0003148	 0.0004041	 0.0003594	 0.0004929	
100	1	DITHER____	PLATEAU	 0.0000162	 0.0003456	 0.0004285	 0.0003516	 0.0004871	
100	1	DITHER____	SHUFFLE	 0.0000164	 0.0002147	 0.0003875	 0.0004382	 0.0004352	
100	4	IDENT_____	STAGGER	 0.0000162	 0.0007450	 0.0008423	 0.0008872	 0.0007725	
100	4	IDENT_____	SAWTOTH	 0.0000162	 0.0002784	 0.0004275	 0.0003062	 0.0004500	
100	4	IDENT_____	_RANDOM	 0.0000164	 0.0003793	 0.0003774	 0.0002927	 0.0003778	
100	4	IDENT_____	PLATEAU	 0.0000162	 0.0000710	 0.0000952	 0.0000936	 0.0000482	
100	4	IDENT_____	SHUFFLE	 0.0000161	 0.0006648	 0.0005516	 0.0005809	 0.0005457	
100	4	REVERSE___	STAGGER	 0.0000164	 0.0007014	 0.0010873	 0.0009941	 0.0008571	
100	4	REVERSE___	SAWTOTH	 0.0000163	 0.0002571	 0.0004755	 0.0002743	 0.0004557	
100	4	REVERSE___	_RANDOM	 0.0000163	 0.0003670	 0.0004470	! 0.0003471	 0.0004191	
100	4	REVERSE___	PLATEAU	 0.0000166	 0.0000696	 0.0001019	 0.0001037	 0.0000463	
100	4	REVERSE___	SHUFFLE	 0.0000163	 0.0007120	 0.0005956	 0.0006147	 0.0006048	
100	4	REVERSE_FR	STAGGER	 0.0000162	 0.0007217	 0.0008099	 0.0007770	 0.0008990	
100	4	REVERSE_FR	SAWTOTH	 0.0000165	 0.0002683	 0.0004270	 0.0004108	 0.0004186	
100	4	REVERSE_FR	_RANDOM	 0.0000161	 0.0003262	 0.0004496	 0.0002879	 0.0004014	
100	4	REVERSE_FR	PLATEAU	 0.0000161	 0.0000726	 0.0001023	 0.0001010	 0.0000594	
100	4	REVERSE_FR	SHUFFLE	 0.0000161	 0.0006505	 0.0006286	 0.0006102	 0.0006375	
100	4	REVERSE_BA	STAGGER	 0.0000167	 0.0007469	 0.0007820	 0.0007844	 0.0008297	
100	4	REVERSE_BA	SAWTOTH	 0.0000161	 0.0003068	 0.0003940	 0.0003916	 0.0004507	
100	4	REVERSE_BA	_RANDOM	 0.0000164	 0.0003497	 0.0003640	 0.0002657	 0.0003703	
100	4	REVERSE_BA	PLATEAU	 0.0000163	 0.0000654	 0.0000951	 0.0000933	 0.0000477	
100	4	REVERSE_BA	SHUFFLE	 0.0000164	 0.0006675	 0.0008294	 0.0008032	 0.0006617	
100	4	SORT______	STAGGER	 0.0000160	 0.0001367	 0.0001472	 0.0001529	 0.0000537	
100	4	SORT______	SAWTOTH	 0.0000161	 0.0002249	 0.0001662	 0.0001781	 0.0000512	
100	4	SORT______	_RANDOM	 0.0000162	 0.0002029	 0.0001440	 0.0001618	 0.0000500	
100	4	SORT______	PLATEAU	 0.0000191	 0.0000672	 0.0000951	 0.0000930	 0.0000476	
100	4	SORT______	SHUFFLE	 0.0000161	 0.0001267	 0.0001406	 0.0001379	 0.0000505	
100	4	DITHER____	STAGGER	 0.0000161	 0.0007141	 0.0008412	 0.0008925	 0.0007764	
100	4	DITHER____	SAWTOTH	 0.0000163	 0.0004784	 0.0010886	 0.0009138	 0.0010325	
100	4	DITHER____	_RANDOM	 0.0000161	 0.0004340	 0.0005288	 0.0004844	 0.0005505	
100	4	DITHER____	PLATEAU	 0.0000161	 0.0003004	 0.0004406	 0.0003984	 0.0004979	
100	4	DITHER____	SHUFFLE	 0.0000168	 0.0006762	 0.0006351	 0.0006453	 0.0006627	
100	16	IDENT_____	STAGGER	 0.0000165	 0.0009119	 0.0007930	 0.0007657	 0.0007773	
100	16	IDENT_____	SAWTOTH	 0.0000167	 0.0007689	 0.0008604	 0.0006803	 0.0008150	
100	16	IDENT_____	_RANDOM	 0.0000162	 0.0006832	 0.0008304	 0.0007484	 0.0007832	
100	16	IDENT_____	PLATEAU	 0.0000167	 0.0000751	 0.0000931	 0.0001909	 0.0000476	
100	16	IDENT_____	SHUFFLE	 0.0000168	! 0.0003927	 0.0003505	! 0.0003159	 0.0002982	
100	16	REVERSE___	STAGGER	 0.0000161	 0.0009207	 0.0008247	 0.0007783	 0.0008044	
100	16	REVERSE___	SAWTOTH	 0.0000165	 0.0006516	 0.0007698	 0.0007052	 0.0008218	
100	16	REVERSE___	_RANDOM	 0.0000163	 0.0006914	 0.0007828	 0.0007286	 0.0007833	
100	16	REVERSE___	PLATEAU	 0.0000161	 0.0002129	 0.0001354	 0.0001347	 0.0000625	
100	16	REVERSE___	SHUFFLE	 0.0000163	 0.0005508	! 0.0005534	! 0.0005476	 0.0005808	
100	16	REVERSE_FR	STAGGER	 0.0000164	 0.0007075	 0.0010124	 0.0009344	 0.0010331	
100	16	REVERSE_FR	SAWTOTH	 0.0000165	 0.0008018	 0.0008359	 0.0007809	 0.0009162	
100	16	REVERSE_FR	_RANDOM	 0.0000165	 0.0007031	 0.0008257	 0.0007170	 0.0008337	
100	16	REVERSE_FR	PLATEAU	 0.0000162	! 0.0003432	 0.0002883	 0.0002536	 0.0000722	
100	16	REVERSE_FR	SHUFFLE	 0.0000165	 0.0004595	 0.0006099	 0.0005227	 0.0004256	
100	16	REVERSE_BA	STAGGER	 0.0000164	 0.0008170	 0.0008319	 0.0007652	 0.0007470	
100	16	REVERSE_BA	SAWTOTH	 0.0000163	 0.0006864	 0.0010539	 0.0009812	 0.0009145	
100	16	REVERSE_BA	_RANDOM	 0.0000165	 0.0006499	 0.0008148	 0.0007189	 0.0008059	
100	16	REVERSE_BA	PLATEAU	 0.0000162	 0.0000763	 0.0000935	 0.0001919	 0.0000480	
100	16	REVERSE_BA	SHUFFLE	 0.0000164	! 0.0005263	 0.0006307	 0.0005628	 0.0004442	
100	16	SORT______	STAGGER	 0.0000161	 0.0001336	 0.0001407	 0.0001379	 0.0000505	
100	16	SORT______	SAWTOTH	 0.0000161	 0.0001207	 0.0001466	 0.0001556	 0.0000535	
100	16	SORT______	_RANDOM	 0.0000161	 0.0001236	 0.0001542	 0.0002061	 0.0000515	
100	16	SORT______	PLATEAU	 0.0000190	 0.0000753	! 0.0001228	 0.0001905	 0.0000478	
100	16	SORT______	SHUFFLE	 0.0000161	 0.0001204	 0.0001419	 0.0001376	 0.0000508	
100	16	DITHER____	STAGGER	 0.0000161	 0.0008992	 0.0008160	 0.0007742	 0.0008299	
100	16	DITHER____	SAWTOTH	 0.0000163	 0.0007638	 0.0008837	 0.0008903	 0.0007677	
100	16	DITHER____	_RANDOM	 0.0000165	 0.0007082	 0.0007721	 0.0007136	 0.0008618	
100	16	DITHER____	PLATEAU	 0.0000162	 0.0003848	 0.0006961	 0.0006536	 0.0005775	
100	16	DITHER____	SHUFFLE	 0.0000163	 0.0004654	 0.0004722	 0.0005051	 0.0004492	
100	64	IDENT_____	STAGGER	 0.0000164	 0.0010682	 0.0010765	 0.0008674	 0.0009222	
100	64	IDENT_____	SAWTOTH	 0.0000161	 0.0007707	 0.0008470	 0.0008481	 0.0002478	
100	64	IDENT_____	_RANDOM	 0.0000167	 0.0007661	 0.0008331	 0.0007903	 0.0008451	
100	64	IDENT_____	PLATEAU	 0.0000163	 0.0001175	 0.0001372	 0.0001370	 0.0000488	
100	64	IDENT_____	SHUFFLE	 0.0000162	 0.0002723	 0.0002594	 0.0002219	 0.0002292	
