WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [1000]
Parameter[arraySubSize]: [1, 4, 16, 64, 256, 1024]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_19_01_05, DPQ_19_02_10]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000	1	IDENT_____	STAGGER	BASELINE 	0.0001543	0.0001530	0.0000013	109	0.0001511	0.0001562
>> Best		1000	1	IDENT_____	STAGGER	DPQ_11   	0.0028726	0.0028668	0.0000058	109	0.0028565	0.0028823
>> Best		1000	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0210232	0.0188485	0.0021747	109	0.0152049	0.0212284
>> Best		1000	1	IDENT_____	STAGGER	DPQ_19_01_05	0.0224057	0.0195593	0.0028464	109	0.0167868	0.0227237
>> Best		1000	1	IDENT_____	STAGGER	DPQ_19_02_10	0.0027593	0.0027164	0.0000428	109	0.0026856	0.0028120
>> Best		1000	1	IDENT_____	SAWTOTH	BASELINE 	0.0001542	0.0001530	0.0000012	109	0.0001510	0.0001562
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0005430	0.0005409	0.0000021	109	0.0005356	0.0005446
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.0006239	0.0006223	0.0000016	109	0.0006194	0.0006253
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_19_01_05	0.0006221	0.0006176	0.0000045	109	0.0006076	0.0006243
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_19_02_10	0.0004050	0.0004011	0.0000039	109	0.0003949	0.0004067
>> Best		1000	1	IDENT_____	_RANDOM	BASELINE 	0.0001544	0.0001531	0.0000013	109	0.0001511	0.0001565
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_11   	0.0005429	0.0005414	0.0000016	109	0.0005372	0.0005440
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_18_11_21	0.0006290	0.0006250	0.0000039	109	0.0006193	0.0006370
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_19_01_05	0.0006240	0.0006197	0.0000042	109	0.0006081	0.0006259
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_19_02_10	0.0004051	0.0004011	0.0000040	109	0.0003944	0.0004068
>> Best		1000	1	IDENT_____	PLATEAU	BASELINE 	0.0001543	0.0001531	0.0000012	109	0.0001513	0.0001563
>> Best		1000	1	IDENT_____	PLATEAU	DPQ_11   	0.0005440	0.0005426	0.0000014	109	0.0005385	0.0005460
