WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [500]
Parameter[arraySubSize]: [1, 4, 16, 64, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_19_01_05, DPQ_19_02_10]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		500	1	IDENT_____	STAGGER	BASELINE 	0.0000425	0.0000392	0.0000033	109	0.0000346	0.0000477
>> Best		500	1	IDENT_____	STAGGER	DPQ_11   	0.0014368	0.0014088	0.0000280	109	0.0013854	0.0014621
>> Best		500	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0093360	0.0081754	0.0011605	109	0.0064574	0.0142647
>> Best		500	1	IDENT_____	STAGGER	DPQ_19_01_05	0.0081671	0.0078139	0.0003532	109	0.0071890	0.0083837
>> Best		500	1	IDENT_____	STAGGER	DPQ_19_02_10	0.0012730	0.0012384	0.0000346	109	0.0012148	0.0013125
>> Best		500	1	IDENT_____	SAWTOTH	BASELINE 	0.0000391	0.0000379	0.0000011	109	0.0000346	0.0000384
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_11   	0.0002388	0.0002375	0.0000013	109	0.0002343	0.0002399
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.0002261	0.0002258	0.0000004	109	0.0002252	0.0002287
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_19_01_05	0.0002385	0.0002337	0.0000048	109	0.0002285	0.0002440
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_19_02_10	0.0001627	0.0001600	0.0000027	109	0.0001573	0.0001655
>> Best		500	1	IDENT_____	_RANDOM	BASELINE 	0.0000391	0.0000379	0.0000012	109	0.0000345	0.0000385
>> Best		500	1	IDENT_____	_RANDOM	DPQ_11   	0.0002366	0.0002350	0.0000016	109	0.0002338	0.0002503
>> Best		500	1	IDENT_____	_RANDOM	DPQ_18_11_21	0.0002412	0.0002346	0.0000065	109	0.0002258	0.0002446
>> Best		500	1	IDENT_____	_RANDOM	DPQ_19_01_05	0.0002294	0.0002288	0.0000005	109	0.0002284	0.0002311
