WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [100]
Parameter[arraySubSize]: [1, 4, 16, 64]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_19_04_05, DPQ_19_05_01]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		100	1	IDENT_____	SPIRAL	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	IDENT_____	SPIRAL	DPQ_11   	0.0007968	0.0007828	0.0000140	109	0.0007669	0.0008117
>> Best		100	1	IDENT_____	SPIRAL	DPQ_19_04_05	0.0008064	0.0007877	0.0000187	109	0.0007513	0.0008141
>> Best		100	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0008398	0.0008142	0.0000256	109	0.0007776	0.0008585
>> Best		100	1	IDENT_____	STAGGER	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	IDENT_____	STAGGER	DPQ_11   	0.0007929	0.0007747	0.0000182	109	0.0007464	0.0008033
>> Best		100	1	IDENT_____	STAGGER	DPQ_19_04_05	0.0008049	0.0007872	0.0000177	109	0.0007627	0.0008216
>> Best		100	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0007842	0.0007654	0.0000187	109	0.0007475	0.0007993
>> Best		100	1	IDENT_____	SAWTOTH	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_11   	0.0000716	0.0000709	0.0000007	109	0.0000704	0.0000732
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_19_04_05	0.0000504	0.0000493	0.0000010	109	0.0000465	0.0000511
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_19_05_01	0.0000504	0.0000494	0.0000011	109	0.0000465	0.0000512
>> Best		100	1	IDENT_____	_RANDOM	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	IDENT_____	_RANDOM	DPQ_11   	0.0000716	0.0000709	0.0000007	109	0.0000704	0.0000732
>> Best		100	1	IDENT_____	_RANDOM	DPQ_19_04_05	0.0000504	0.0000494	0.0000011	109	0.0000465	0.0000513
>> Best		100	1	IDENT_____	_RANDOM	DPQ_19_05_01	0.0000504	0.0000494	0.0000010	109	0.0000465	0.0000513
>> Best		100	1	IDENT_____	PLATEAU	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000195
>> Best		100	1	IDENT_____	PLATEAU	DPQ_11   	0.0000913	0.0000882	0.0000031	109	0.0000795	0.0000906
>> Best		100	1	IDENT_____	PLATEAU	DPQ_19_04_05	0.0000647	0.0000637	0.0000010	109	0.0000610	0.0000660
>> Best		100	1	IDENT_____	PLATEAU	DPQ_19_05_01	0.0000647	0.0000637	0.0000010	109	0.0000610	0.0000657
>> Best		100	1	IDENT_____	SHUFFLE	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_11   	0.0001377	0.0001365	0.0000012	109	0.0001342	0.0001410
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_19_04_05	0.0000646	0.0000636	0.0000010	109	0.0000611	0.0000658
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_19_05_01	0.0000646	0.0000636	0.0000010	109	0.0000610	0.0000657
>> Best		100	1	REVERSE___	SPIRAL	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE___	SPIRAL	DPQ_11   	0.0007032	0.0006883	0.0000150	109	0.0006652	0.0007191
>> Best		100	1	REVERSE___	SPIRAL	DPQ_19_04_05	0.0008913	0.0008634	0.0000279	109	0.0008294	0.0009062
>> Best		100	1	REVERSE___	SPIRAL	DPQ_19_05_01	0.0008815	0.0008556	0.0000259	109	0.0008217	0.0008909
>> Best		100	1	REVERSE___	STAGGER	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE___	STAGGER	DPQ_11   	0.0007293	0.0007140	0.0000154	109	0.0006910	0.0007441
>> Best		100	1	REVERSE___	STAGGER	DPQ_19_04_05	0.0009132	0.0008884	0.0000247	109	0.0008586	0.0009304
>> Best		100	1	REVERSE___	STAGGER	DPQ_19_05_01	0.0008954	0.0008742	0.0000212	109	0.0008472	0.0009051
>> Best		100	1	REVERSE___	SAWTOTH	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE___	SAWTOTH	DPQ_11   	0.0000716	0.0000708	0.0000007	109	0.0000704	0.0000731
>> Best		100	1	REVERSE___	SAWTOTH	DPQ_19_04_05	0.0000504	0.0000494	0.0000010	109	0.0000465	0.0000512
>> Best		100	1	REVERSE___	SAWTOTH	DPQ_19_05_01	0.0000504	0.0000494	0.0000010	109	0.0000465	0.0000513
>> Best		100	1	REVERSE___	_RANDOM	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE___	_RANDOM	DPQ_11   	0.0000716	0.0000709	0.0000007	109	0.0000704	0.0000732
>> Best		100	1	REVERSE___	_RANDOM	DPQ_19_04_05	0.0000505	0.0000494	0.0000011	109	0.0000465	0.0000513
>> Best		100	1	REVERSE___	_RANDOM	DPQ_19_05_01	0.0000505	0.0000494	0.0000011	109	0.0000465	0.0000513
>> Best		100	1	REVERSE___	PLATEAU	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE___	PLATEAU	DPQ_11   	0.0000802	0.0000794	0.0000008	109	0.0000772	0.0000803
>> Best		100	1	REVERSE___	PLATEAU	DPQ_19_04_05	0.0000573	0.0000562	0.0000011	109	0.0000529	0.0000583
>> Best		100	1	REVERSE___	PLATEAU	DPQ_19_05_01	0.0000572	0.0000562	0.0000011	109	0.0000529	0.0000582
>> Best		100	1	REVERSE___	SHUFFLE	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000195
>> Best		100	1	REVERSE___	SHUFFLE	DPQ_11   	0.0004307	0.0004226	0.0000081	109	0.0004157	0.0004506
>> Best		100	1	REVERSE___	SHUFFLE	DPQ_19_04_05	0.0001182	0.0001172	0.0000010	109	0.0001146	0.0001212
>> Best		100	1	REVERSE___	SHUFFLE	DPQ_19_05_01	0.0001182	0.0001172	0.0000010	109	0.0001146	0.0001211
>> Best		100	1	REVERSE_FR	SPIRAL	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_FR	SPIRAL	DPQ_11   	0.0014723	0.0014436	0.0000287	109	0.0013946	0.0014742
>> Best		100	1	REVERSE_FR	SPIRAL	DPQ_19_04_05	0.0007058	0.0006864	0.0000194	109	0.0006681	0.0007216
>> Best		100	1	REVERSE_FR	SPIRAL	DPQ_19_05_01	0.0007457	0.0007262	0.0000194	109	0.0007021	0.0007625
>> Best		100	1	REVERSE_FR	STAGGER	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_11   	0.0008443	0.0008289	0.0000155	109	0.0007927	0.0008615
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_19_04_05	0.0008244	0.0008004	0.0000239	109	0.0007638	0.0008390
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_19_05_01	0.0008215	0.0007938	0.0000277	109	0.0007592	0.0008360
>> Best		100	1	REVERSE_FR	SAWTOTH	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_FR	SAWTOTH	DPQ_11   	0.0000728	0.0000714	0.0000014	109	0.0000704	0.0000744
>> Best		100	1	REVERSE_FR	SAWTOTH	DPQ_19_04_05	0.0000512	0.0000499	0.0000013	109	0.0000465	0.0000515
>> Best		100	1	REVERSE_FR	SAWTOTH	DPQ_19_05_01	0.0000504	0.0000494	0.0000010	109	0.0000465	0.0000512
>> Best		100	1	REVERSE_FR	_RANDOM	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_FR	_RANDOM	DPQ_11   	0.0000716	0.0000709	0.0000007	109	0.0000704	0.0000730
>> Best		100	1	REVERSE_FR	_RANDOM	DPQ_19_04_05	0.0000505	0.0000494	0.0000011	109	0.0000465	0.0000513
>> Best		100	1	REVERSE_FR	_RANDOM	DPQ_19_05_01	0.0000505	0.0000494	0.0000011	109	0.0000465	0.0000513
>> Best		100	1	REVERSE_FR	PLATEAU	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_FR	PLATEAU	DPQ_11   	0.0000797	0.0000790	0.0000007	109	0.0000784	0.0000810
>> Best		100	1	REVERSE_FR	PLATEAU	DPQ_19_04_05	0.0000676	0.0000667	0.0000010	109	0.0000636	0.0000690
>> Best		100	1	REVERSE_FR	PLATEAU	DPQ_19_05_01	0.0000673	0.0000664	0.0000009	109	0.0000638	0.0000689
>> Best		100	1	REVERSE_FR	SHUFFLE	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000195
>> Best		100	1	REVERSE_FR	SHUFFLE	DPQ_11   	0.0004362	0.0004261	0.0000101	109	0.0004164	0.0004586
>> Best		100	1	REVERSE_FR	SHUFFLE	DPQ_19_04_05	0.0001049	0.0001039	0.0000010	109	0.0001011	0.0001074
>> Best		100	1	REVERSE_FR	SHUFFLE	DPQ_19_05_01	0.0001051	0.0001040	0.0000011	109	0.0001011	0.0001075
>> Best		100	1	REVERSE_BA	SPIRAL	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_BA	SPIRAL	DPQ_11   	0.0007257	0.0007133	0.0000124	109	0.0006966	0.0007470
>> Best		100	1	REVERSE_BA	SPIRAL	DPQ_19_04_05	0.0010049	0.0009830	0.0000219	109	0.0009527	0.0010154
>> Best		100	1	REVERSE_BA	SPIRAL	DPQ_19_05_01	0.0010383	0.0010175	0.0000208	109	0.0009862	0.0010474
>> Best		100	1	REVERSE_BA	STAGGER	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_11   	0.0006861	0.0006824	0.0000037	109	0.0006786	0.0006945
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_19_04_05	0.0009108	0.0008785	0.0000323	109	0.0008346	0.0009330
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_19_05_01	0.0008781	0.0008533	0.0000249	109	0.0008189	0.0008917
>> Best		100	1	REVERSE_BA	SAWTOTH	BASELINE 	0.0000197	0.0000187	0.0000010	109	0.0000157	0.0000197
>> Best		100	1	REVERSE_BA	SAWTOTH	DPQ_11   	0.0000716	0.0000709	0.0000007	109	0.0000704	0.0000732
>> Best		100	1	REVERSE_BA	SAWTOTH	DPQ_19_04_05	0.0000504	0.0000494	0.0000011	109	0.0000465	0.0000512
>> Best		100	1	REVERSE_BA	SAWTOTH	DPQ_19_05_01	0.0000505	0.0000494	0.0000011	109	0.0000465	0.0000512
>> Best		100	1	REVERSE_BA	_RANDOM	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_BA	_RANDOM	DPQ_11   	0.0000716	0.0000709	0.0000008	109	0.0000704	0.0000731
>> Best		100	1	REVERSE_BA	_RANDOM	DPQ_19_04_05	0.0000504	0.0000494	0.0000011	109	0.0000465	0.0000511
>> Best		100	1	REVERSE_BA	_RANDOM	DPQ_19_05_01	0.0000505	0.0000494	0.0000011	109	0.0000465	0.0000512
>> Best		100	1	REVERSE_BA	PLATEAU	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_BA	PLATEAU	DPQ_11   	0.0000881	0.0000824	0.0000057	109	0.0000769	0.0000898
>> Best		100	1	REVERSE_BA	PLATEAU	DPQ_19_04_05	0.0000647	0.0000637	0.0000010	109	0.0000610	0.0000659
>> Best		100	1	REVERSE_BA	PLATEAU	DPQ_19_05_01	0.0000646	0.0000636	0.0000010	109	0.0000610	0.0000657
>> Best		100	1	REVERSE_BA	SHUFFLE	BASELINE 	0.0000196	0.0000186	0.0000010	109	0.0000157	0.0000196
>> Best		100	1	REVERSE_BA	SHUFFLE	DPQ_11   	0.0002369	0.0002355	0.0000014	109	0.0002323	0.0002430
>> Best		100	1	REVERSE_BA	SHUFFLE	DPQ_19_04_05	0.0004051	0.0003979	0.0000072	109	0.0003858	0.0004151
>> Best		100	1	REVERSE_BA	SHUFFLE	DPQ_19_05_01	0.0003856	0.0003796	0.0000059	109	0.0003751	0.0003986
>> Best		100	1	SORT______	SPIRAL	BASELINE 	0.0000158	0.0000157	0.0000001	109	0.0000156	0.0000159
>> Best		100	1	SORT______	SPIRAL	DPQ_11   	0.0001358	0.0001350	0.0000008	109	0.0001339	0.0001377
>> Best		100	1	SORT______	SPIRAL	DPQ_19_04_05	0.0000622	0.0000617	0.0000005	109	0.0000611	0.0000646
>> Best		100	1	SORT______	SPIRAL	DPQ_19_05_01	0.0000626	0.0000619	0.0000008	109	0.0000612	0.0000645
>> Best		100	1	SORT______	STAGGER	BASELINE 	0.0000158	0.0000157	0.0000001	109	0.0000156	0.0000159
>> Best		100	1	SORT______	STAGGER	DPQ_11   	0.0001397	0.0001387	0.0000010	109	0.0001378	0.0001435
>> Best		100	1	SORT______	STAGGER	DPQ_19_04_05	0.0000555	0.0000552	0.0000003	109	0.0000549	0.0000569
>> Best		100	1	SORT______	STAGGER	DPQ_19_05_01	0.0000557	0.0000552	0.0000005	109	0.0000549	0.0000568
>> Best		100	1	SORT______	SAWTOTH	BASELINE 	0.0000158	0.0000157	0.0000001	109	0.0000156	0.0000159
>> Best		100	1	SORT______	SAWTOTH	DPQ_11   	0.0000732	0.0000731	0.0000001	109	0.0000729	0.0000733
>> Best		100	1	SORT______	SAWTOTH	DPQ_19_04_05	0.0000472	0.0000468	0.0000005	109	0.0000465	0.0000481
