WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [500]
Parameter[arraySubSize]: [1, 4, 16, 64, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_19_04_05, DPQ_19_05_01]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		500	1	IDENT_____	SPIRAL	BASELINE 	0.0000514	0.0000500	0.0000013	109	0.0000463	0.0000514
>> Best		500	1	IDENT_____	SPIRAL	DPQ_11   	0.0069435	0.0068745	0.0000691	109	0.0067939	0.0071000
>> Best		500	1	IDENT_____	SPIRAL	DPQ_19_04_05	0.0055984	0.0055196	0.0000788	109	0.0054621	0.0058227
>> Best		500	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.0056213	0.0055342	0.0000871	109	0.0054748	0.0058458
>> Best		500	1	IDENT_____	STAGGER	BASELINE 	0.0000391	0.0000382	0.0000009	109	0.0000356	0.0000389
>> Best		500	1	IDENT_____	STAGGER	DPQ_11   	0.0014510	0.0014333	0.0000177	109	0.0014181	0.0014911
>> Best		500	1	IDENT_____	STAGGER	DPQ_19_04_05	0.0012663	0.0012400	0.0000262	109	0.0011840	0.0013170
>> Best		500	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0012674	0.0012403	0.0000271	109	0.0011840	0.0013141
>> Best		500	1	IDENT_____	SAWTOTH	BASELINE 	0.0000390	0.0000382	0.0000008	109	0.0000357	0.0000389
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_11   	0.0002474	0.0002408	0.0000066	109	0.0002339	0.0002555
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_19_04_05	0.0001660	0.0001648	0.0000012	109	0.0001620	0.0001703
>> Best		500	1	IDENT_____	SAWTOTH	DPQ_19_05_01	0.0001659	0.0001648	0.0000012	109	0.0001620	0.0001701
>> Best		500	1	IDENT_____	_RANDOM	BASELINE 	0.0000390	0.0000382	0.0000008	109	0.0000357	0.0000389
>> Best		500	1	IDENT_____	_RANDOM	DPQ_11   	0.0002392	0.0002361	0.0000031	109	0.0002328	0.0002488
>> Best		500	1	IDENT_____	_RANDOM	DPQ_19_04_05	0.0001657	0.0001646	0.0000011	109	0.0001619	0.0001699
>> Best		500	1	IDENT_____	_RANDOM	DPQ_19_05_01	0.0001656	0.0001645	0.0000011	109	0.0001616	0.0001702
>> Best		500	1	IDENT_____	PLATEAU	BASELINE 	0.0000470	0.0000409	0.0000060	109	0.0000358	0.0000553
>> Best		500	1	IDENT_____	PLATEAU	DPQ_11   	0.0002414	0.0002399	0.0000015	109	0.0002355	0.0002428
>> Best		500	1	IDENT_____	PLATEAU	DPQ_19_04_05	0.0002488	0.0002469	0.0000018	109	0.0002437	0.0002549
>> Best		500	1	IDENT_____	PLATEAU	DPQ_19_05_01	0.0002479	0.0002466	0.0000012	109	0.0002432	0.0002541
>> Best		500	1	IDENT_____	SHUFFLE	BASELINE 	0.0000390	0.0000382	0.0000008	109	0.0000357	0.0000389
>> Best		500	1	IDENT_____	SHUFFLE	DPQ_11   	0.0002418	0.0002402	0.0000016	109	0.0002363	0.0002456
>> Best		500	1	IDENT_____	SHUFFLE	DPQ_19_04_05	0.0002586	0.0002525	0.0000061	109	0.0002436	0.0002604
>> Best		500	1	IDENT_____	SHUFFLE	DPQ_19_05_01	0.0002636	0.0002564	0.0000072	109	0.0002437	0.0002634
>> Best		500	1	REVERSE___	SPIRAL	BASELINE 	0.0000514	0.0000501	0.0000013	109	0.0000463	0.0000514
>> Best		500	1	REVERSE___	SPIRAL	DPQ_11   	0.0047482	0.0047065	0.0000417	109	0.0046425	0.0048349
>> Best		500	1	REVERSE___	SPIRAL	DPQ_19_04_05	0.0064063	0.0063219	0.0000844	109	0.0062516	0.0066510
>> Best		500	1	REVERSE___	SPIRAL	DPQ_19_05_01	0.0064058	0.0063223	0.0000836	109	0.0062533	0.0066467
>> Best		500	1	REVERSE___	STAGGER	BASELINE 	0.0000390	0.0000381	0.0000008	109	0.0000357	0.0000388
>> Best		500	1	REVERSE___	STAGGER	DPQ_11   	0.0019815	0.0019622	0.0000193	109	0.0019415	0.0020127
>> Best		500	1	REVERSE___	STAGGER	DPQ_19_04_05	0.0015356	0.0015191	0.0000166	109	0.0014912	0.0015740
>> Best		500	1	REVERSE___	STAGGER	DPQ_19_05_01	0.0015352	0.0015182	0.0000171	109	0.0014906	0.0015704
>> Best		500	1	REVERSE___	SAWTOTH	BASELINE 	0.0000390	0.0000382	0.0000008	109	0.0000357	0.0000388
>> Best		500	1	REVERSE___	SAWTOTH	DPQ_11   	0.0002395	0.0002377	0.0000018	109	0.0002340	0.0002424
>> Best		500	1	REVERSE___	SAWTOTH	DPQ_19_04_05	0.0001662	0.0001650	0.0000013	109	0.0001621	0.0001701
>> Best		500	1	REVERSE___	SAWTOTH	DPQ_19_05_01	0.0001656	0.0001645	0.0000010	109	0.0001618	0.0001701
>> Best		500	1	REVERSE___	_RANDOM	BASELINE 	0.0000390	0.0000382	0.0000008	109	0.0000358	0.0000389
>> Best		500	1	REVERSE___	_RANDOM	DPQ_11   	0.0002395	0.0002376	0.0000019	109	0.0002339	0.0002427
>> Best		500	1	REVERSE___	_RANDOM	DPQ_19_04_05	0.0001660	0.0001647	0.0000012	109	0.0001617	0.0001703
>> Best		500	1	REVERSE___	_RANDOM	DPQ_19_05_01	0.0001655	0.0001645	0.0000009	109	0.0001617	0.0001665
>> Best		500	1	REVERSE___	PLATEAU	BASELINE 	0.0000533	0.0000453	0.0000080	109	0.0000357	0.0000556
>> Best		500	1	REVERSE___	PLATEAU	DPQ_11   	0.0005097	0.0004974	0.0000122	109	0.0004867	0.0005189
>> Best		500	1	REVERSE___	PLATEAU	DPQ_19_04_05	0.0001692	0.0001681	0.0000012	109	0.0001642	0.0001697
