Parsing sort-500.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_04_05	DPQ_19_05_01	
500	1	IDENT_____	SPIRAL	 0.0000476	 0.0068154	 0.0054933	 0.0055143	
500	1	IDENT_____	STAGGER	 0.0000365	 0.0013993	 0.0011737	 0.0011746	
500	1	IDENT_____	SAWTOTH	 0.0000365	 0.0002040	 0.0001267	 0.0001267	
500	1	IDENT_____	_RANDOM	 0.0000365	 0.0001994	 0.0001265	 0.0001262	
500	1	IDENT_____	PLATEAU	 0.0000418	 0.0001952	 0.0002037	 0.0002026	
500	1	IDENT_____	SHUFFLE	 0.0000365	 0.0002014	 0.0002132	 0.0002144	
500	1	REVERSE___	SPIRAL	 0.0000476	 0.0046366	 0.0062884	 0.0062893	
500	1	REVERSE___	STAGGER	 0.0000365	 0.0019243	 0.0014713	 0.0014712	
500	1	REVERSE___	SAWTOTH	 0.0000365	 0.0001993	 0.0001269	 0.0001263	
500	1	REVERSE___	_RANDOM	 0.0000366	 0.0001992	 0.0001263	 0.0001260	
500	1	REVERSE___	PLATEAU	 0.0000437	 0.0004552	 0.0001217	 0.0001272	
500	1	REVERSE___	SHUFFLE	 0.0000365	 0.0004345	 0.0004795	 0.0004779	
500	1	REVERSE_FR	SPIRAL	 0.0000477	 0.0054378	 0.0054688	 0.0054966	
500	1	REVERSE_FR	STAGGER	 0.0000365	 0.0017785	 0.0013565	 0.0013351	
500	1	REVERSE_FR	SAWTOTH	 0.0000365	 0.0001992	 0.0001332	 0.0001315	
500	1	REVERSE_FR	_RANDOM	 0.0000367	 0.0001991	 0.0001262	 0.0001264	
500	1	REVERSE_FR	PLATEAU	 0.0000365	 0.0014522	 0.0001383	 0.0001381	
500	1	REVERSE_FR	SHUFFLE	 0.0000414	 0.0003316	 0.0004029	 0.0004037	
500	1	REVERSE_BA	SPIRAL	 0.0000411	 0.0049998	 0.0077297	 0.0076510	
500	1	REVERSE_BA	STAGGER	 0.0000365	 0.0017924	 0.0013105	 0.0013072	
500	1	REVERSE_BA	SAWTOTH	 0.0000365	 0.0001995	 0.0001281	 0.0001267	
500	1	REVERSE_BA	_RANDOM	 0.0000366	 0.0001997	 0.0001261	 0.0001264	
500	1	REVERSE_BA	PLATEAU	 0.0000365	 0.0002008	 0.0002103	 0.0002087	
500	1	REVERSE_BA	SHUFFLE	 0.0000366	 0.0018038	 0.0013805	 0.0013823	
500	1	SORT______	SPIRAL	 0.0000359	 0.0002060	 0.0002080	 0.0002081	
500	1	SORT______	STAGGER	 0.0000357	 0.0002024	 0.0001614	 0.0001613	
500	1	SORT______	SAWTOTH	 0.0000359	 0.0001986	 0.0001290	 0.0001290	
500	1	SORT______	_RANDOM	 0.0000359	 0.0001987	 0.0001265	 0.0001265	
500	1	SORT______	PLATEAU	 0.0000409	 0.0001964	 0.0002078	 0.0002077	
500	1	SORT______	SHUFFLE	 0.0000359	 0.0002004	 0.0002132	 0.0002137	
