WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [5000]
Parameter[arraySubSize]: [1, 4, 16, 64, 256, 1024, 4096]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_19_04_05, DPQ_19_05_01]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		5000	1	IDENT_____	SPIRAL	BASELINE 	0.0006643	0.0006386	0.0000257	109	0.0005785	0.0006920
>> Best		5000	1	IDENT_____	SPIRAL	DPQ_11   	0.1413861	0.1391558	0.0022303	109	0.1372982	0.1463629
>> Best		5000	1	IDENT_____	SPIRAL	DPQ_19_04_05	0.1114134	0.1102582	0.0011552	109	0.1088096	0.1147070
>> Best		5000	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.1113302	0.1103673	0.0009629	109	0.1090163	0.1155114
>> Best		5000	1	IDENT_____	STAGGER	BASELINE 	0.0006523	0.0006302	0.0000221	109	0.0005808	0.0006796
>> Best		5000	1	IDENT_____	STAGGER	DPQ_11   	0.0150254	0.0148951	0.0001303	109	0.0147092	0.0153039
>> Best		5000	1	IDENT_____	STAGGER	DPQ_19_04_05	0.0135942	0.0133963	0.0001979	109	0.0132060	0.0142004
>> Best		5000	1	IDENT_____	STAGGER	DPQ_19_05_01	0.0135271	0.0133591	0.0001679	109	0.0132077	0.0140691
>> Best		5000	1	IDENT_____	SAWTOTH	BASELINE 	0.0006628	0.0006412	0.0000216	109	0.0005988	0.0006898
>> Best		5000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0030566	0.0030388	0.0000179	109	0.0030171	0.0031195
>> Best		5000	1	IDENT_____	SAWTOTH	DPQ_19_04_05	0.0017926	0.0017715	0.0000210	109	0.0017384	0.0018118
>> Best		5000	1	IDENT_____	SAWTOTH	DPQ_19_05_01	0.0017915	0.0017713	0.0000202	109	0.0017384	0.0017984
>> Best		5000	1	IDENT_____	_RANDOM	BASELINE 	0.0006599	0.0006365	0.0000234	109	0.0005682	0.0006730
>> Best		5000	1	IDENT_____	_RANDOM	DPQ_11   	0.0030689	0.0030484	0.0000205	109	0.0030167	0.0031173
>> Best		5000	1	IDENT_____	_RANDOM	DPQ_19_04_05	0.0017897	0.0017695	0.0000202	109	0.0017394	0.0017977
