WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [50000]
Parameter[arraySubSize]: [1, 4, 16, 64, 256, 1024, 4096, 16384, 65536]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_19_04_05, DPQ_19_05_01]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		50000	1	IDENT_____	SPIRAL	BASELINE 	0.0101567	0.0099480	0.0002087	109	0.0094898	0.0103271
>> Best		50000	1	IDENT_____	SPIRAL	DPQ_11   	1.5112978	1.5085355	0.0027624	109	1.5029802	1.5136886
>> Best		50000	1	IDENT_____	SPIRAL	DPQ_19_04_05	0.9878998	0.9824963	0.0054035	109	0.9782195	1.0038729
>> Best		50000	1	IDENT_____	SPIRAL	DPQ_19_05_01	0.9763909	0.9718680	0.0045229	109	0.9650619	0.9881237
>> Best		50000	1	IDENT_____	STAGGER	BASELINE 	0.0101793	0.0099116	0.0002677	109	0.0092621	0.0103662
>> Best		50000	1	IDENT_____	STAGGER	DPQ_11   	0.1817369	0.1805134	0.0012235	109	0.1790731	0.1857710
>> Best		50000	1	IDENT_____	STAGGER	DPQ_19_04_05	0.1352907	0.1343320	0.0009587	109	0.1333898	0.1381871
>> Best		50000	1	IDENT_____	STAGGER	DPQ_19_05_01	0.1353551	0.1344269	0.0009282	109	0.1334873	0.1383455
>> Best		50000	1	IDENT_____	SAWTOTH	BASELINE 	0.0095164	0.0092540	0.0002624	109	0.0084489	0.0098162
>> Best		50000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0271969	0.0269585	0.0002384	109	0.0265497	0.0273828
>> Best		50000	1	IDENT_____	SAWTOTH	DPQ_19_04_05	0.0221297	0.0213100	0.0008197	109	0.0203760	0.0232515
>> Best		50000	1	IDENT_____	SAWTOTH	DPQ_19_05_01	0.0218900	0.0211852	0.0007048	109	0.0203574	0.0229427
>> Best		50000	1	IDENT_____	_RANDOM	BASELINE 	0.0095931	0.0092773	0.0003158	109	0.0086360	0.0097925
>> Best		50000	1	IDENT_____	_RANDOM	DPQ_11   	0.0271237	0.0269181	0.0002057	109	0.0264951	0.0273729
>> Best		50000	1	IDENT_____	_RANDOM	DPQ_19_04_05	0.0219585	0.0212224	0.0007361	109	0.0204016	0.0230434
>> Best		50000	1	IDENT_____	_RANDOM	DPQ_19_05_01	0.0219151	0.0211912	0.0007239	109	0.0204967	0.0229646
>> Best		50000	1	IDENT_____	PLATEAU	BASELINE 	0.0103975	0.0099473	0.0004502	109	0.0089243	0.0106447
>> Best		50000	1	IDENT_____	PLATEAU	DPQ_11   	0.0458180	0.0455680	0.0002501	109	0.0448810	0.0466600
>> Best		50000	1	IDENT_____	PLATEAU	DPQ_19_04_05	0.0427111	0.0424500	0.0002612	109	0.0419046	0.0435775
>> Best		50000	1	IDENT_____	PLATEAU	DPQ_19_05_01	0.0427436	0.0424865	0.0002571	109	0.0420812	0.0434390
>> Best		50000	1	IDENT_____	SHUFFLE	BASELINE 	0.0104555	0.0099217	0.0005338	109	0.0087852	0.0106903
>> Best		50000	1	IDENT_____	SHUFFLE	DPQ_11   	0.0458699	0.0456196	0.0002503	109	0.0451325	0.0463608
>> Best		50000	1	IDENT_____	SHUFFLE	DPQ_19_04_05	0.0428019	0.0425279	0.0002740	109	0.0420025	0.0434455
>> Best		50000	1	IDENT_____	SHUFFLE	DPQ_19_05_01	0.0427836	0.0424812	0.0003024	109	0.0419956	0.0436062
>> Best		50000	1	REVERSE___	SPIRAL	BASELINE 	0.0103817	0.0099861	0.0003956	109	0.0089950	0.0106354
>> Best		50000	1	REVERSE___	SPIRAL	DPQ_11   	1.5554920	1.5494075	0.0060845	109	1.5425800	1.5861586
>> Best		50000	1	REVERSE___	SPIRAL	DPQ_19_04_05	1.7034505	1.6992502	0.0042004	109	1.6938773	1.7207213
>> Best		50000	1	REVERSE___	SPIRAL	DPQ_19_05_01	1.7147553	1.7032841	0.0114712	109	1.6923645	1.7292683
>> Best		50000	1	REVERSE___	STAGGER	BASELINE 	0.0103451	0.0100640	0.0002811	109	0.0092377	0.0105134
>> Best		50000	1	REVERSE___	STAGGER	DPQ_11   	0.2139344	0.2122746	0.0016598	109	0.2104023	0.2184733
>> Best		50000	1	REVERSE___	STAGGER	DPQ_19_04_05	0.1665443	0.1652739	0.0012705	109	0.1639576	0.1701757
>> Best		50000	1	REVERSE___	STAGGER	DPQ_19_05_01	0.1664650	0.1652196	0.0012454	109	0.1639805	0.1702133
>> Best		50000	1	REVERSE___	SAWTOTH	BASELINE 	0.0094307	0.0092835	0.0001472	109	0.0089623	0.0095540
>> Best		50000	1	REVERSE___	SAWTOTH	DPQ_11   	0.0271369	0.0270032	0.0001337	109	0.0267551	0.0273375
>> Best		50000	1	REVERSE___	SAWTOTH	DPQ_19_04_05	0.0218614	0.0211702	0.0006912	109	0.0206226	0.0228928
>> Best		50000	1	REVERSE___	SAWTOTH	DPQ_19_05_01	0.0218931	0.0212092	0.0006839	109	0.0205723	0.0229585
>> Best		50000	1	REVERSE___	_RANDOM	BASELINE 	0.0093857	0.0092405	0.0001453	109	0.0088929	0.0096011
>> Best		50000	1	REVERSE___	_RANDOM	DPQ_11   	0.0270295	0.0269176	0.0001120	109	0.0266813	0.0271792
