WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [1000, 10000, 100000, 1000000]
Parameter[arraySubSize]: [1, 16, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, DITHER____, REVERSE_BA, REVERSE_FR]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [SYSTEM, DPQS_2105_REF, DPQS_2105_NEW]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000	1	IDENT_____	SPIRAL	SYSTEM   	0.0128627	0.0124602	0.0004025	109	0.0122082	0.0163542
>> Best		1000	1	IDENT_____	SPIRAL	DPQS_2105_REF	0.0119036	0.0118161	0.0000875	109	0.0116525	0.0120066
>> Best		1000	1	IDENT_____	SPIRAL	DPQS_2105_NEW	0.0115678	0.0114797	0.0000881	109	0.0113266	0.0116804
>> Best		1000	1	IDENT_____	STAGGER	SYSTEM   	0.0051843	0.0051662	0.0000181	109	0.0051335	0.0052205
>> Best		1000	1	IDENT_____	STAGGER	DPQS_2105_REF	0.0051352	0.0051174	0.0000178	109	0.0050440	0.0051458
>> Best		1000	1	IDENT_____	STAGGER	DPQS_2105_NEW	0.0051447	0.0051286	0.0000161	109	0.0050661	0.0051588
>> Best		1000	1	IDENT_____	SAWTOTH	SYSTEM   	0.0024632	0.0024587	0.0000046	109	0.0024483	0.0024676
>> Best		1000	1	IDENT_____	SAWTOTH	DPQS_2105_REF	0.0024749	0.0024631	0.0000118	109	0.0024430	0.0025218
>> Best		1000	1	IDENT_____	SAWTOTH	DPQS_2105_NEW	0.0017530	0.0017379	0.0000151	109	0.0016947	0.0017702
>> Best		1000	1	IDENT_____	_RANDOM	SYSTEM   	0.0035081	0.0030057	0.0005024	109	0.0026040	0.0037665
>> Best		1000	1	IDENT_____	_RANDOM	DPQS_2105_REF	0.0032785	0.0028126	0.0004659	109	0.0024356	0.0035543
>> Best		1000	1	IDENT_____	_RANDOM	DPQS_2105_NEW	0.0032776	0.0028033	0.0004743	109	0.0024251	0.0035122
>> Best		1000	1	IDENT_____	PLATEAU	SYSTEM   	0.0004184	0.0004124	0.0000060	109	0.0004056	0.0004412
>> Best		1000	1	IDENT_____	PLATEAU	DPQS_2105_REF	0.0004170	0.0004118	0.0000052	109	0.0004065	0.0004410
>> Best		1000	1	IDENT_____	PLATEAU	DPQS_2105_NEW	0.0004169	0.0004115	0.0000054	109	0.0004060	0.0004414
>> Best		1000	1	IDENT_____	SHUFFLE	SYSTEM   	0.0105768	0.0092965	0.0012804	109	0.0078806	0.0126254
>> Best		1000	1	IDENT_____	SHUFFLE	DPQS_2105_REF	0.0111360	0.0098096	0.0013264	109	0.0081556	0.0131865
>> Best		1000	1	IDENT_____	SHUFFLE	DPQS_2105_NEW	0.0111721	0.0098185	0.0013536	109	0.0080669	0.0134307
>> Best		1000	1	REVERSE___	SPIRAL	SYSTEM   	0.0156600	0.0153888	0.0002712	109	0.0150975	0.0166692
>> Best		1000	1	REVERSE___	SPIRAL	DPQS_2105_REF	0.0136941	0.0135194	0.0001746	109	0.0132573	0.0145203
>> Best		1000	1	REVERSE___	SPIRAL	DPQS_2105_NEW	0.0138432	0.0136496	0.0001935	109	0.0133782	0.0146954
>> Best		1000	1	REVERSE___	STAGGER	SYSTEM   	0.0060815	0.0060346	0.0000470	109	0.0059556	0.0061587
>> Best		1000	1	REVERSE___	STAGGER	DPQS_2105_REF	0.0059293	0.0059003	0.0000290	109	0.0058051	0.0059529
>> Best		1000	1	REVERSE___	STAGGER	DPQS_2105_NEW	0.0059212	0.0058909	0.0000302	109	0.0057886	0.0059454
>> Best		1000	1	REVERSE___	SAWTOTH	SYSTEM   	0.0012582	0.0012312	0.0000271	109	0.0011978	0.0013103
>> Best		1000	1	REVERSE___	SAWTOTH	DPQS_2105_REF	0.0012681	0.0012355	0.0000326	109	0.0011987	0.0013280
>> Best		1000	1	REVERSE___	SAWTOTH	DPQS_2105_NEW	0.0012557	0.0012399	0.0000158	109	0.0012129	0.0012722
>> Best		1000	1	REVERSE___	_RANDOM	SYSTEM   	0.0038014	0.0032928	0.0005086	109	0.0027805	0.0039136
>> Best		1000	1	REVERSE___	_RANDOM	DPQS_2105_REF	0.0038358	0.0033077	0.0005281	109	0.0027990	0.0039690
>> Best		1000	1	REVERSE___	_RANDOM	DPQS_2105_NEW	0.0037989	0.0032715	0.0005275	109	0.0027488	0.0039087
>> Best		1000	1	REVERSE___	PLATEAU	SYSTEM   	0.0003360	0.0003339	0.0000021	109	0.0003306	0.0003423
>> Best		1000	1	REVERSE___	PLATEAU	DPQS_2105_REF	0.0003352	0.0003336	0.0000015	109	0.0003297	0.0003369
>> Best		1000	1	REVERSE___	PLATEAU	DPQS_2105_NEW	0.0003347	0.0003334	0.0000013	109	0.0003294	0.0003360
>> Best		1000	1	REVERSE___	SHUFFLE	SYSTEM   	0.0120587	0.0107156	0.0013431	109	0.0091578	0.0148261
>> Best		1000	1	REVERSE___	SHUFFLE	DPQS_2105_REF	0.0109668	0.0097581	0.0012086	109	0.0083754	0.0129446
>> Best		1000	1	REVERSE___	SHUFFLE	DPQS_2105_NEW	0.0114389	0.0101414	0.0012976	109	0.0084249	0.0135324
>> Best		1000	1	DITHER____	SPIRAL	SYSTEM   	0.0095398	0.0094324	0.0001074	109	0.0092756	0.0101065
>> Best		1000	1	DITHER____	SPIRAL	DPQS_2105_REF	0.0102943	0.0101911	0.0001032	109	0.0100263	0.0104236
>> Best		1000	1	DITHER____	SPIRAL	DPQS_2105_NEW	0.0112199	0.0110970	0.0001229	109	0.0109364	0.0118905
>> Best		1000	1	DITHER____	STAGGER	SYSTEM   	0.0144817	0.0143206	0.0001611	109	0.0140746	0.0154525
>> Best		1000	1	DITHER____	STAGGER	DPQS_2105_REF	0.0131186	0.0129226	0.0001960	109	0.0126769	0.0140047
>> Best		1000	1	DITHER____	STAGGER	DPQS_2105_NEW	0.0131276	0.0130042	0.0001233	109	0.0128009	0.0132647
>> Best		1000	1	DITHER____	SAWTOTH	SYSTEM   	0.0054799	0.0054038	0.0000761	109	0.0053044	0.0057778
>> Best		1000	1	DITHER____	SAWTOTH	DPQS_2105_REF	0.0052538	0.0051705	0.0000833	109	0.0050734	0.0055110
>> Best		1000	1	DITHER____	SAWTOTH	DPQS_2105_NEW	0.0049341	0.0048596	0.0000745	109	0.0047586	0.0051577
>> Best		1000	1	DITHER____	_RANDOM	SYSTEM   	0.0049673	0.0045433	0.0004240	109	0.0040015	0.0058454
>> Best		1000	1	DITHER____	_RANDOM	DPQS_2105_REF	0.0047905	0.0044533	0.0003371	109	0.0040400	0.0056871
>> Best		1000	1	DITHER____	_RANDOM	DPQS_2105_NEW	0.0048000	0.0044201	0.0003799	109	0.0039482	0.0057424
>> Best		1000	1	DITHER____	PLATEAU	SYSTEM   	0.0059674	0.0057428	0.0002246	109	0.0056748	0.0079102
>> Best		1000	1	DITHER____	PLATEAU	DPQS_2105_REF	0.0062609	0.0060366	0.0002243	109	0.0059395	0.0081019
>> Best		1000	1	DITHER____	PLATEAU	DPQS_2105_NEW	0.0059928	0.0057586	0.0002342	109	0.0056645	0.0079726
>> Best		1000	1	DITHER____	SHUFFLE	SYSTEM   	0.0110153	0.0098865	0.0011289	109	0.0084815	0.0127099
>> Best		1000	1	DITHER____	SHUFFLE	DPQS_2105_REF	0.0118553	0.0104487	0.0014066	109	0.0082220	0.0143904
>> Best		1000	1	DITHER____	SHUFFLE	DPQS_2105_NEW	0.0108494	0.0097768	0.0010726	109	0.0084578	0.0125056
>> Best		1000	1	REVERSE_BA	SPIRAL	SYSTEM   	0.0152839	0.0149640	0.0003199	109	0.0146783	0.0169171
>> Best		1000	1	REVERSE_BA	SPIRAL	DPQS_2105_REF	0.0130675	0.0126756	0.0003919	109	0.0124074	0.0163640
>> Best		1000	1	REVERSE_BA	SPIRAL	DPQS_2105_NEW	0.0134601	0.0130582	0.0004019	109	0.0127109	0.0167455
>> Best		1000	1	REVERSE_BA	STAGGER	SYSTEM   	0.0067497	0.0067165	0.0000332	109	0.0066640	0.0067897
>> Best		1000	1	REVERSE_BA	STAGGER	DPQS_2105_REF	0.0065820	0.0065542	0.0000278	109	0.0064890	0.0066037
>> Best		1000	1	REVERSE_BA	STAGGER	DPQS_2105_NEW	0.0065781	0.0065496	0.0000286	109	0.0064800	0.0066066
>> Best		1000	1	REVERSE_BA	SAWTOTH	SYSTEM   	0.0024577	0.0024546	0.0000031	109	0.0024484	0.0024628
>> Best		1000	1	REVERSE_BA	SAWTOTH	DPQS_2105_REF	0.0024662	0.0024584	0.0000079	109	0.0024515	0.0025242
