Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	DPQS_2105_REF	DPQS_2105_NEW	
1000	1	IDENT_____	SPIRAL	 0.0126107	 0.0117400	 0.0114147	
1000	1	IDENT_____	STAGGER	 0.0051516	 0.0050618	 0.0050822	
1000	1	IDENT_____	SAWTOTH	 0.0024529	 0.0024548	 0.0017098	
1000	1	IDENT_____	_RANDOM	 0.0031064	 0.0029015	 0.0028994	
1000	1	IDENT_____	PLATEAU	 0.0004116	 0.0004117	 0.0004114	
1000	1	IDENT_____	SHUFFLE	 0.0091610	 0.0094820	 0.0094205	
1000	1	REVERSE___	SPIRAL	 0.0153687	 0.0134319	 0.0135717	
1000	1	REVERSE___	STAGGER	 0.0060026	 0.0058341	 0.0058188	
1000	1	REVERSE___	SAWTOTH	 0.0012249	 0.0012313	 0.0012287	
1000	1	REVERSE___	_RANDOM	 0.0032891	 0.0033271	 0.0032763	
1000	1	REVERSE___	PLATEAU	 0.0003327	 0.0003312	 0.0003307	
1000	1	REVERSE___	SHUFFLE	 0.0105009	 0.0095840	 0.0097225	
1000	1	DITHER____	SPIRAL	 0.0093830	 0.0101295	 0.0110593	
1000	1	DITHER____	STAGGER	 0.0142357	 0.0128729	 0.0129242	
1000	1	DITHER____	SAWTOTH	 0.0053805	 0.0051567	 0.0048331	
1000	1	DITHER____	_RANDOM	 0.0044255	 0.0043771	 0.0043281	
1000	1	DITHER____	PLATEAU	 0.0058994	 0.0061638	 0.0058987	
1000	1	DITHER____	SHUFFLE	 0.0096104	 0.0096286	 0.0095304	
1000	1	REVERSE_BA	SPIRAL	 0.0149982	 0.0127993	 0.0131128	
1000	1	REVERSE_BA	STAGGER	 0.0066972	 0.0065168	 0.0065086	
1000	1	REVERSE_BA	SAWTOTH	 0.0024515	 0.0024594	 0.0025068	
1000	1	REVERSE_BA	_RANDOM	 0.0029799	 0.0031232	 0.0033759	
1000	1	REVERSE_BA	PLATEAU	 0.0004133	 0.0004109	 0.0004112	
1000	1	REVERSE_BA	SHUFFLE	 0.0104873	 0.0098031	 0.0097467	
1000	1	REVERSE_FR	SPIRAL	 0.0115040	 0.0093787	 0.0100639	
1000	1	REVERSE_FR	STAGGER	 0.0070541	 0.0060009	 0.0060033	
1000	1	REVERSE_FR	SAWTOTH	 0.0011626	 0.0011669	 0.0011671	
1000	1	REVERSE_FR	_RANDOM	 0.0015070	 0.0015007	 0.0027042	
1000	1	REVERSE_FR	PLATEAU	 0.0006640	 0.0006485	 0.0006487	
1000	1	REVERSE_FR	SHUFFLE	 0.0111481	 0.0095806	 0.0099800	
1000	16	IDENT_____	SPIRAL	 0.0105606	 0.0093156	 0.0092239	
1000	16	IDENT_____	STAGGER	 0.0129911	 0.0119601	 0.0116052	
1000	16	IDENT_____	SAWTOTH	 0.0079501	 0.0079952	 0.0080622	
1000	16	IDENT_____	_RANDOM	 0.0075789	 0.0074474	 0.0066135	
1000	16	IDENT_____	PLATEAU	 0.0004125	 0.0004098	 0.0004134	
1000	16	IDENT_____	SHUFFLE	 0.0081280	 0.0074781	 0.0075435	
1000	16	REVERSE___	SPIRAL	 0.0141100	 0.0123486	 0.0122979	
1000	16	REVERSE___	STAGGER	 0.0132241	 0.0122481	 0.0133148	
1000	16	REVERSE___	SAWTOTH	 0.0064216	 0.0063163	 0.0064232	
1000	16	REVERSE___	_RANDOM	 0.0061139	 0.0066349	 0.0060010	
1000	16	REVERSE___	PLATEAU	 0.0004229	 0.0004205	 0.0004198	
1000	16	REVERSE___	SHUFFLE	 0.0092080	 0.0085967	 0.0085967	
1000	16	DITHER____	SPIRAL	 0.0107992	 0.0098251	 0.0097645	
1000	16	DITHER____	STAGGER	 0.0132896	 0.0128487	 0.0133692	
1000	16	DITHER____	SAWTOTH	 0.0066287	 0.0066217	 0.0068951	
1000	16	DITHER____	_RANDOM	 0.0076776	 0.0077521	 0.0075348	
1000	16	DITHER____	PLATEAU	 0.0063271	 0.0063473	 0.0067363	
