Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	DPQ_11	DPQS_2105_REF	DPQS_2105_NEW	
1000	1	IDENT_____	SPIRAL	 0.0126973	 0.0124411	 0.0116518	 0.0133148	
1000	1	IDENT_____	STAGGER	 0.0051021	 0.0045473	 0.0050587	 0.0050675	
1000	1	IDENT_____	SAWTOTH	 0.0024471	 0.0016967	 0.0024386	 0.0024019	
1000	1	IDENT_____	_RANDOM	 0.0031117	 0.0026325	 0.0030664	! 0.0049665	
1000	1	IDENT_____	PLATEAU	 0.0004125	 0.0003634	 0.0004107	 0.0004124	
1000	1	IDENT_____	SHUFFLE	 0.0089794	 0.0099384	 0.0093260	 0.0094725	
1000	1	REVERSE___	SPIRAL	 0.0153950	 0.0125740	 0.0133923	 0.0160253	
1000	1	REVERSE___	STAGGER	 0.0059540	 0.0046618	 0.0058204	 0.0057918	
1000	1	REVERSE___	SAWTOTH	 0.0012264	 0.0021265	 0.0012242	 0.0012679	
1000	1	REVERSE___	_RANDOM	 0.0033084	 0.0023822	 0.0033058	 0.0032860	
1000	1	REVERSE___	PLATEAU	 0.0003337	 0.0011656	 0.0003313	 0.0003322	
1000	1	REVERSE___	SHUFFLE	 0.0106482	 0.0131349	 0.0102788	 0.0110709	
1000	1	DITHER____	SPIRAL	 0.0093683	 0.0117709	 0.0102517	 0.0099777	
1000	1	DITHER____	STAGGER	 0.0142048	 0.0143860	 0.0128083	 0.0132453	
1000	1	DITHER____	SAWTOTH	 0.0054115	 0.0039365	 0.0051003	 0.0051680	
1000	1	DITHER____	_RANDOM	 0.0047579	 0.0039799	 0.0044039	 0.0045939	
1000	1	DITHER____	PLATEAU	 0.0058913	 0.0046528	 0.0059579	 0.0059349	
1000	1	DITHER____	SHUFFLE	 0.0096301	 0.0102674	 0.0095301	 0.0091054	
1000	1	REVERSE_BA	SPIRAL	 0.0150013	 0.0131824	 0.0128006	 0.0150657	
1000	1	REVERSE_BA	STAGGER	 0.0066829	 0.0066678	 0.0064970	 0.0064856	
1000	1	REVERSE_BA	SAWTOTH	 0.0024512	 0.0017719	 0.0024392	 0.0024991	
1000	1	REVERSE_BA	_RANDOM	 0.0029176	 0.0026061	 0.0030370	 0.0029185	
1000	1	REVERSE_BA	PLATEAU	 0.0004119	 0.0003647	 0.0004077	 0.0004103	
1000	1	REVERSE_BA	SHUFFLE	 0.0103018	 0.0108765	 0.0093548	 0.0107501	
1000	1	REVERSE_FR	SPIRAL	 0.0115475	 0.0124740	 0.0093470	 0.0113043	
1000	1	REVERSE_FR	STAGGER	 0.0070249	 0.0064063	 0.0059443	 0.0059552	
1000	1	REVERSE_FR	SAWTOTH	 0.0011633	 0.0023107	 0.0011700	 0.0011388	
1000	1	REVERSE_FR	_RANDOM	 0.0014895	 0.0025303	 0.0017522	 0.0017578	
1000	1	REVERSE_FR	PLATEAU	 0.0006629	 0.0027517	 0.0006490	 0.0006494	
1000	1	REVERSE_FR	SHUFFLE	 0.0110994	 0.0127175	 0.0097869	 0.0110826	
1000	16	IDENT_____	SPIRAL	 0.0105695	 0.0154831	 0.0093050	 0.0105596	
1000	16	IDENT_____	STAGGER	 0.0129065	 0.0145776	 0.0119798	 0.0129455	
1000	16	IDENT_____	SAWTOTH	 0.0078849	 0.0154832	 0.0078742	 0.0079003	
1000	16	IDENT_____	_RANDOM	 0.0076249	 0.0069431	 0.0073715	 0.0073015	
1000	16	IDENT_____	PLATEAU	 0.0004124	 0.0003624	 0.0004109	 0.0004108	
1000	16	IDENT_____	SHUFFLE	 0.0081494	 0.0115297	 0.0073904	 0.0082827	
1000	16	REVERSE___	SPIRAL	 0.0141381	 0.0117513	 0.0123000	 0.0141948	
