WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [1000, 10000, 100000, 1000000]
Parameter[arraySubSize]: [1, 16, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, DITHER____, REVERSE_BA, REVERSE_FR]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [SYSTEM, NEW_DPQS_REF, RADIX]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000	1	IDENT_____	SPIRAL	SYSTEM   	0.0142160	0.0132712	0.0009449	109	0.0128127	0.0187901
>> Best		1000	1	IDENT_____	SPIRAL	NEW_DPQS_REF	0.0133478	0.0124892	0.0008586	109	0.0121913	0.0212229
>> Best		1000	1	IDENT_____	SPIRAL	RADIX    	0.0174504	0.0173250	0.0001253	109	0.0171814	0.0183632
>> Best		1000	1	IDENT_____	STAGGER	SYSTEM   	0.0041527	0.0041374	0.0000152	109	0.0041000	0.0041779
>> Best		1000	1	IDENT_____	STAGGER	NEW_DPQS_REF	0.0041375	0.0041249	0.0000126	109	0.0040914	0.0041620
>> Best		1000	1	IDENT_____	STAGGER	RADIX    	0.0028228	0.0028156	0.0000072	109	0.0028041	0.0028567
>> Best		1000	1	IDENT_____	SAWTOTH	SYSTEM   	0.0003369	0.0003356	0.0000013	109	0.0003331	0.0003391
>> Best		1000	1	IDENT_____	SAWTOTH	NEW_DPQS_REF	0.0003376	0.0003356	0.0000020	109	0.0003331	0.0003417
>> Best		1000	1	IDENT_____	SAWTOTH	RADIX    	0.0004626	0.0004549	0.0000077	109	0.0004485	0.0004835
>> Best		1000	1	IDENT_____	_RANDOM	SYSTEM   	0.0003396	0.0003361	0.0000035	109	0.0003331	0.0003481
>> Best		1000	1	IDENT_____	_RANDOM	NEW_DPQS_REF	0.0003364	0.0003351	0.0000013	109	0.0003329	0.0003384
>> Best		1000	1	IDENT_____	_RANDOM	RADIX    	0.0004627	0.0004551	0.0000076	109	0.0004483	0.0004839
>> Best		1000	1	IDENT_____	PLATEAU	SYSTEM   	0.0004206	0.0004126	0.0000080	109	0.0004050	0.0004414
>> Best		1000	1	IDENT_____	PLATEAU	NEW_DPQS_REF	0.0004155	0.0004109	0.0000046	109	0.0004057	0.0004398
>> Best		1000	1	IDENT_____	PLATEAU	RADIX    	0.0004181	0.0004120	0.0000060	109	0.0004073	0.0004431
>> Best		1000	1	IDENT_____	SHUFFLE	SYSTEM   	0.0004178	0.0004122	0.0000056	109	0.0004060	0.0004405
>> Best		1000	1	IDENT_____	SHUFFLE	NEW_DPQS_REF	0.0004159	0.0004112	0.0000046	109	0.0004060	0.0004394
>> Best		1000	1	IDENT_____	SHUFFLE	RADIX    	0.0004198	0.0004124	0.0000073	109	0.0004070	0.0004420
>> Best		1000	1	REVERSE___	SPIRAL	SYSTEM   	0.0141495	0.0137029	0.0004466	109	0.0134158	0.0175413
>> Best		1000	1	REVERSE___	SPIRAL	NEW_DPQS_REF	0.0123280	0.0122158	0.0001122	109	0.0120156	0.0124120
>> Best		1000	1	REVERSE___	SPIRAL	RADIX    	0.0175584	0.0175068	0.0000516	109	0.0173885	0.0176496
>> Best		1000	1	REVERSE___	STAGGER	SYSTEM   	0.0050847	0.0050514	0.0000332	109	0.0049838	0.0051240
>> Best		1000	1	REVERSE___	STAGGER	NEW_DPQS_REF	0.0051285	0.0051052	0.0000233	109	0.0050440	0.0051664
>> Best		1000	1	REVERSE___	STAGGER	RADIX    	0.0033304	0.0033021	0.0000283	109	0.0032778	0.0034351
>> Best		1000	1	REVERSE___	SAWTOTH	SYSTEM   	0.0003395	0.0003365	0.0000031	109	0.0003331	0.0003464
>> Best		1000	1	REVERSE___	SAWTOTH	NEW_DPQS_REF	0.0003377	0.0003357	0.0000019	109	0.0003331	0.0003408
>> Best		1000	1	REVERSE___	SAWTOTH	RADIX    	0.0004635	0.0004549	0.0000085	109	0.0004484	0.0004834
>> Best		1000	1	REVERSE___	_RANDOM	SYSTEM   	0.0003392	0.0003361	0.0000030	109	0.0003330	0.0003471
>> Best		1000	1	REVERSE___	_RANDOM	NEW_DPQS_REF	0.0003367	0.0003350	0.0000017	109	0.0003329	0.0003457
>> Best		1000	1	REVERSE___	_RANDOM	RADIX    	0.0004647	0.0004557	0.0000090	109	0.0004484	0.0004825
>> Best		1000	1	REVERSE___	PLATEAU	SYSTEM   	0.0003390	0.0003360	0.0000030	109	0.0003331	0.0003466
>> Best		1000	1	REVERSE___	PLATEAU	NEW_DPQS_REF	0.0003386	0.0003364	0.0000022	109	0.0003332	0.0003421
>> Best		1000	1	REVERSE___	PLATEAU	RADIX    	0.0012800	0.0012629	0.0000171	109	0.0012394	0.0013600
>> Best		1000	1	REVERSE___	SHUFFLE	SYSTEM   	0.0011516	0.0011360	0.0000156	109	0.0011104	0.0011713
>> Best		1000	1	REVERSE___	SHUFFLE	NEW_DPQS_REF	0.0011077	0.0010939	0.0000138	109	0.0010722	0.0011165
>> Best		1000	1	REVERSE___	SHUFFLE	RADIX    	0.0011861	0.0011735	0.0000126	109	0.0011529	0.0011953
>> Best		1000	1	DITHER____	SPIRAL	SYSTEM   	0.0118272	0.0117583	0.0000688	109	0.0116017	0.0118797
>> Best		1000	1	DITHER____	SPIRAL	NEW_DPQS_REF	0.0118541	0.0117739	0.0000802	109	0.0116238	0.0119149
>> Best		1000	1	DITHER____	SPIRAL	RADIX    	0.0168089	0.0167552	0.0000537	109	0.0165838	0.0168831
>> Best		1000	1	DITHER____	STAGGER	SYSTEM   	0.0167865	0.0165458	0.0002406	109	0.0161721	0.0181909
>> Best		1000	1	DITHER____	STAGGER	NEW_DPQS_REF	0.0163525	0.0162047	0.0001478	109	0.0159108	0.0164622
>> Best		1000	1	DITHER____	STAGGER	RADIX    	0.0160979	0.0160621	0.0000358	109	0.0160001	0.0161714
>> Best		1000	1	DITHER____	SAWTOTH	SYSTEM   	0.0051739	0.0051083	0.0000656	109	0.0050609	0.0054147
>> Best		1000	1	DITHER____	SAWTOTH	NEW_DPQS_REF	0.0053047	0.0052855	0.0000192	109	0.0052511	0.0053324
>> Best		1000	1	DITHER____	SAWTOTH	RADIX    	0.0127623	0.0127377	0.0000246	109	0.0126879	0.0128100
>> Best		1000	1	DITHER____	_RANDOM	SYSTEM   	0.0051674	0.0051002	0.0000672	109	0.0050539	0.0054063
>> Best		1000	1	DITHER____	_RANDOM	NEW_DPQS_REF	0.0052915	0.0052705	0.0000210	109	0.0052463	0.0053470
>> Best		1000	1	DITHER____	_RANDOM	RADIX    	0.0128045	0.0127650	0.0000395	109	0.0127000	0.0128479
>> Best		1000	1	DITHER____	PLATEAU	SYSTEM   	0.0060009	0.0057665	0.0002344	109	0.0056754	0.0079877
>> Best		1000	1	DITHER____	PLATEAU	NEW_DPQS_REF	0.0062227	0.0060179	0.0002048	109	0.0059523	0.0081102
>> Best		1000	1	DITHER____	PLATEAU	RADIX    	0.0127955	0.0127525	0.0000430	109	0.0126981	0.0129742
>> Best		1000	1	DITHER____	SHUFFLE	SYSTEM   	0.0036763	0.0036673	0.0000090	109	0.0036459	0.0036875
>> Best		1000	1	DITHER____	SHUFFLE	NEW_DPQS_REF	0.0038674	0.0038596	0.0000078	109	0.0038441	0.0038768
>> Best		1000	1	DITHER____	SHUFFLE	RADIX    	0.0159899	0.0158438	0.0001461	109	0.0155488	0.0163461
>> Best		1000	1	REVERSE_BA	SPIRAL	SYSTEM   	0.0140864	0.0136801	0.0004062	109	0.0134271	0.0176961
>> Best		1000	1	REVERSE_BA	SPIRAL	NEW_DPQS_REF	0.0127026	0.0124545	0.0002481	109	0.0121177	0.0135415
>> Best		1000	1	REVERSE_BA	SPIRAL	RADIX    	0.0179054	0.0178547	0.0000507	109	0.0177404	0.0179710
>> Best		1000	1	REVERSE_BA	STAGGER	SYSTEM   	0.0047281	0.0047074	0.0000206	109	0.0046654	0.0047650
>> Best		1000	1	REVERSE_BA	STAGGER	NEW_DPQS_REF	0.0047485	0.0047323	0.0000162	109	0.0046974	0.0047777
>> Best		1000	1	REVERSE_BA	STAGGER	RADIX    	0.0035609	0.0035513	0.0000096	109	0.0035399	0.0035875
>> Best		1000	1	REVERSE_BA	SAWTOTH	SYSTEM   	0.0003389	0.0003359	0.0000030	109	0.0003333	0.0003461
>> Best		1000	1	REVERSE_BA	SAWTOTH	NEW_DPQS_REF	0.0003376	0.0003360	0.0000016	109	0.0003330	0.0003404
>> Best		1000	1	REVERSE_BA	SAWTOTH	RADIX    	0.0004625	0.0004542	0.0000083	109	0.0004485	0.0004832
>> Best		1000	1	REVERSE_BA	_RANDOM	SYSTEM   	0.0003390	0.0003358	0.0000032	109	0.0003329	0.0003473
>> Best		1000	1	REVERSE_BA	_RANDOM	NEW_DPQS_REF	0.0003363	0.0003349	0.0000014	109	0.0003329	0.0003393
>> Best		1000	1	REVERSE_BA	_RANDOM	RADIX    	0.0004636	0.0004554	0.0000081	109	0.0004483	0.0004828
>> Best		1000	1	REVERSE_BA	PLATEAU	SYSTEM   	0.0004185	0.0004122	0.0000063	109	0.0004051	0.0004417
>> Best		1000	1	REVERSE_BA	PLATEAU	NEW_DPQS_REF	0.0004151	0.0004108	0.0000043	109	0.0004059	0.0004400
