Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	NEW_DPQS_REF	RADIX	
1000	1	IDENT_____	SPIRAL	 0.0137576	 0.0130499	 0.0173067	
1000	1	IDENT_____	STAGGER	 0.0041152	 0.0041040	 0.0028113	
1000	1	IDENT_____	SAWTOTH	 0.0003344	 0.0003351	 0.0004562	
1000	1	IDENT_____	_RANDOM	 0.0003366	 0.0003342	 0.0004559	
1000	1	IDENT_____	PLATEAU	 0.0004130	 0.0004103	 0.0004133	
1000	1	IDENT_____	SHUFFLE	 0.0004116	 0.0004106	 0.0004143	
1000	1	REVERSE___	SPIRAL	 0.0138624	 0.0121278	 0.0174401	
1000	1	REVERSE___	STAGGER	 0.0050170	 0.0050673	 0.0033061	
1000	1	REVERSE___	SAWTOTH	 0.0003362	 0.0003350	 0.0004569	
1000	1	REVERSE___	_RANDOM	 0.0003360	 0.0003346	 0.0004574	
1000	1	REVERSE___	PLATEAU	 0.0003361	 0.0003354	 0.0012565	
1000	1	REVERSE___	SHUFFLE	 0.0011260	 0.0010860	 0.0011655	
1000	1	DITHER____	SPIRAL	 0.0116705	 0.0117040	 0.0166375	
1000	1	DITHER____	STAGGER	 0.0164127	 0.0160586	 0.0160359	
1000	1	DITHER____	SAWTOTH	 0.0051265	 0.0052703	 0.0127125	
1000	1	DITHER____	_RANDOM	 0.0051211	 0.0052673	 0.0127395	
1000	1	DITHER____	PLATEAU	 0.0059098	 0.0061571	 0.0127411	
1000	1	DITHER____	SHUFFLE	 0.0036549	 0.0038519	 0.0156949	
1000	1	REVERSE_BA	SPIRAL	 0.0138333	 0.0123658	 0.0177911	
1000	1	REVERSE_BA	STAGGER	 0.0046860	 0.0047136	 0.0035495	
1000	1	REVERSE_BA	SAWTOTH	 0.0003363	 0.0003346	 0.0004568	
1000	1	REVERSE_BA	_RANDOM	 0.0003361	 0.0003343	 0.0004564	
1000	1	REVERSE_BA	PLATEAU	 0.0004114	 0.0004102	 0.0004146	
1000	1	REVERSE_BA	SHUFFLE	 0.0047051	 0.0047098	 0.0035279	
1000	1	REVERSE_FR	SPIRAL	 0.0107461	 0.0099248	 0.0175669	
1000	1	REVERSE_FR	STAGGER	 0.0046416	 0.0046981	 0.0031366	
1000	1	REVERSE_FR	SAWTOTH	 0.0003362	 0.0003344	 0.0004564	
1000	1	REVERSE_FR	_RANDOM	 0.0003364	 0.0003343	 0.0004572	
1000	1	REVERSE_FR	PLATEAU	 0.0006087	 0.0005940	 0.0028902	
1000	1	REVERSE_FR	SHUFFLE	 0.0011385	 0.0011023	 0.0008889	
1000	16	IDENT_____	SPIRAL	 0.0105418	 0.0094078	 0.0180110	
