WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [1000, 10000, 100000, 1000000]
Parameter[arraySubSize]: [1, 16, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, DITHER____, REVERSE_BA, REVERSE_FR]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [DPQ_11, DPQ_19_11_12, DPQ_21_04_24]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000	1	IDENT_____	SPIRAL	DPQ_11   	0.0153230	0.0150972	0.0002257	109	0.0148148	0.0160173
>> Best		1000	1	IDENT_____	SPIRAL	DPQ_19_11_12	0.0121814	0.0121123	0.0000692	109	0.0119646	0.0122925
>> Best		1000	1	IDENT_____	SPIRAL	DPQ_21_04_24	0.0120153	0.0119408	0.0000745	109	0.0118056	0.0120732
>> Best		1000	1	IDENT_____	STAGGER	DPQ_11   	0.0027426	0.0027221	0.0000205	109	0.0027091	0.0028108
>> Best		1000	1	IDENT_____	STAGGER	DPQ_19_11_12	0.0021553	0.0021462	0.0000090	109	0.0021189	0.0021567
>> Best		1000	1	IDENT_____	STAGGER	DPQ_21_04_24	0.0022327	0.0022118	0.0000209	109	0.0021646	0.0022938
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0004109	0.0004049	0.0000060	109	0.0004007	0.0004325
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_19_11_12	0.0003392	0.0003384	0.0000008	109	0.0003364	0.0003400
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_21_04_24	0.0003389	0.0003377	0.0000011	109	0.0003358	0.0003400
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_11   	0.0004122	0.0004052	0.0000070	109	0.0004003	0.0004350
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_19_11_12	0.0003405	0.0003389	0.0000016	109	0.0003361	0.0003450
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_21_04_24	0.0003400	0.0003383	0.0000016	109	0.0003361	0.0003472
>> Best		1000	1	IDENT_____	PLATEAU	DPQ_11   	0.0003629	0.0003614	0.0000015	109	0.0003585	0.0003695
>> Best		1000	1	IDENT_____	PLATEAU	DPQ_19_11_12	0.0004066	0.0004055	0.0000011	109	0.0004040	0.0004144
>> Best		1000	1	IDENT_____	PLATEAU	DPQ_21_04_24	0.0004076	0.0004060	0.0000015	109	0.0004035	0.0004149
>> Best		1000	1	IDENT_____	SHUFFLE	DPQ_11   	0.0003625	0.0003610	0.0000015	109	0.0003585	0.0003693
>> Best		1000	1	IDENT_____	SHUFFLE	DPQ_19_11_12	0.0004081	0.0004058	0.0000023	109	0.0004040	0.0004160
>> Best		1000	1	IDENT_____	SHUFFLE	DPQ_21_04_24	0.0004073	0.0004059	0.0000014	109	0.0004038	0.0004150
>> Best		1000	1	REVERSE___	SPIRAL	DPQ_11   	0.0112854	0.0111302	0.0001553	109	0.0109648	0.0118358
>> Best		1000	1	REVERSE___	SPIRAL	DPQ_19_11_12	0.0159998	0.0154263	0.0005736	109	0.0150839	0.0192360
>> Best		1000	1	REVERSE___	SPIRAL	DPQ_21_04_24	0.0138244	0.0134321	0.0003923	109	0.0132215	0.0173963
>> Best		1000	1	REVERSE___	STAGGER	DPQ_11   	0.0036725	0.0036367	0.0000358	109	0.0036090	0.0037789
>> Best		1000	1	REVERSE___	STAGGER	DPQ_19_11_12	0.0029266	0.0029220	0.0000046	109	0.0029148	0.0029336
>> Best		1000	1	REVERSE___	STAGGER	DPQ_21_04_24	0.0028608	0.0028539	0.0000068	109	0.0028434	0.0028727
>> Best		1000	1	REVERSE___	SAWTOTH	DPQ_11   	0.0004112	0.0004048	0.0000064	109	0.0004007	0.0004343
>> Best		1000	1	REVERSE___	SAWTOTH	DPQ_19_11_12	0.0003392	0.0003384	0.0000008	109	0.0003365	0.0003407
>> Best		1000	1	REVERSE___	SAWTOTH	DPQ_21_04_24	0.0003392	0.0003378	0.0000013	109	0.0003356	0.0003409
>> Best		1000	1	REVERSE___	_RANDOM	DPQ_11   	0.0004132	0.0004057	0.0000074	109	0.0004004	0.0004349
>> Best		1000	1	REVERSE___	_RANDOM	DPQ_19_11_12	0.0003396	0.0003385	0.0000011	109	0.0003363	0.0003463
>> Best		1000	1	REVERSE___	_RANDOM	DPQ_21_04_24	0.0003389	0.0003377	0.0000012	109	0.0003360	0.0003396
>> Best		1000	1	REVERSE___	PLATEAU	DPQ_11   	0.0012082	0.0011947	0.0000136	109	0.0011737	0.0012188
>> Best		1000	1	REVERSE___	PLATEAU	DPQ_19_11_12	0.0003406	0.0003381	0.0000024	109	0.0003355	0.0003444
>> Best		1000	1	REVERSE___	PLATEAU	DPQ_21_04_24	0.0003390	0.0003375	0.0000015	109	0.0003340	0.0003412
>> Best		1000	1	REVERSE___	SHUFFLE	DPQ_11   	0.0010533	0.0010363	0.0000170	109	0.0010133	0.0010842
>> Best		1000	1	REVERSE___	SHUFFLE	DPQ_19_11_12	0.0011531	0.0011349	0.0000183	109	0.0011094	0.0011619
>> Best		1000	1	REVERSE___	SHUFFLE	DPQ_21_04_24	0.0011453	0.0011264	0.0000189	109	0.0011017	0.0011579
>> Best		1000	1	DITHER____	SPIRAL	DPQ_11   	0.0137298	0.0135976	0.0001322	109	0.0134340	0.0138971
>> Best		1000	1	DITHER____	SPIRAL	DPQ_19_11_12	0.0120405	0.0119737	0.0000668	109	0.0118049	0.0121022
>> Best		1000	1	DITHER____	SPIRAL	DPQ_21_04_24	0.0120382	0.0119581	0.0000801	109	0.0118046	0.0121174
>> Best		1000	1	DITHER____	STAGGER	DPQ_11   	0.0101524	0.0100246	0.0001278	109	0.0098201	0.0104777
>> Best		1000	1	DITHER____	STAGGER	DPQ_19_11_12	0.0165923	0.0164435	0.0001488	109	0.0161179	0.0168929
>> Best		1000	1	DITHER____	STAGGER	DPQ_21_04_24	0.0150535	0.0149272	0.0001262	109	0.0146818	0.0151431
>> Best		1000	1	DITHER____	SAWTOTH	DPQ_11   	0.0042241	0.0041729	0.0000513	109	0.0041271	0.0044154
>> Best		1000	1	DITHER____	SAWTOTH	DPQ_19_11_12	0.0053819	0.0053097	0.0000722	109	0.0052437	0.0056281
>> Best		1000	1	DITHER____	SAWTOTH	DPQ_21_04_24	0.0050236	0.0049611	0.0000625	109	0.0049015	0.0052466
>> Best		1000	1	DITHER____	_RANDOM	DPQ_11   	0.0042167	0.0041720	0.0000447	109	0.0041285	0.0043339
>> Best		1000	1	DITHER____	_RANDOM	DPQ_19_11_12	0.0053692	0.0053059	0.0000633	109	0.0052486	0.0056112
>> Best		1000	1	DITHER____	_RANDOM	DPQ_21_04_24	0.0050218	0.0049574	0.0000643	109	0.0049065	0.0052609
>> Best		1000	1	DITHER____	PLATEAU	DPQ_11   	0.0047221	0.0046691	0.0000530	109	0.0046256	0.0048716
>> Best		1000	1	DITHER____	PLATEAU	DPQ_19_11_12	0.0047862	0.0047232	0.0000630	109	0.0046768	0.0050054
>> Best		1000	1	DITHER____	PLATEAU	DPQ_21_04_24	0.0045082	0.0044512	0.0000570	109	0.0043950	0.0047413
>> Best		1000	1	DITHER____	SHUFFLE	DPQ_11   	0.0046550	0.0046099	0.0000452	109	0.0045743	0.0048088
>> Best		1000	1	DITHER____	SHUFFLE	DPQ_19_11_12	0.0038672	0.0038477	0.0000195	109	0.0038111	0.0038913
>> Best		1000	1	DITHER____	SHUFFLE	DPQ_21_04_24	0.0038420	0.0038334	0.0000086	109	0.0038127	0.0038478
>> Best		1000	1	REVERSE_BA	SPIRAL	DPQ_11   	0.0151040	0.0149034	0.0002006	109	0.0146463	0.0157421
>> Best		1000	1	REVERSE_BA	SPIRAL	DPQ_19_11_12	0.0136739	0.0135889	0.0000850	109	0.0134279	0.0137668
>> Best		1000	1	REVERSE_BA	SPIRAL	DPQ_21_04_24	0.0135764	0.0134739	0.0001025	109	0.0132769	0.0136634
>> Best		1000	1	REVERSE_BA	STAGGER	DPQ_11   	0.0037958	0.0037610	0.0000348	109	0.0037357	0.0039169
>> Best		1000	1	REVERSE_BA	STAGGER	DPQ_19_11_12	0.0025816	0.0025478	0.0000338	109	0.0025048	0.0026041
