Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	
1000	1	IDENT_____	SPIRAL	 0.0150405	 0.0120338	 0.0118801	
1000	1	IDENT_____	STAGGER	 0.0027296	 0.0021279	 0.0021855	
1000	1	IDENT_____	SAWTOTH	 0.0004067	 0.0003372	 0.0003369	
1000	1	IDENT_____	_RANDOM	 0.0004073	 0.0003377	 0.0003377	
1000	1	IDENT_____	PLATEAU	 0.0003600	 0.0004051	 0.0004050	
1000	1	IDENT_____	SHUFFLE	 0.0003600	 0.0004063	 0.0004052	
1000	1	REVERSE___	SPIRAL	 0.0111201	 0.0156575	 0.0136138	
1000	1	REVERSE___	STAGGER	 0.0036448	 0.0029194	 0.0028502	
1000	1	REVERSE___	SAWTOTH	 0.0004071	 0.0003373	 0.0003369	
1000	1	REVERSE___	_RANDOM	 0.0004078	 0.0003374	 0.0003372	
1000	1	REVERSE___	PLATEAU	 0.0011873	 0.0003379	 0.0003355	
1000	1	REVERSE___	SHUFFLE	 0.0010303	 0.0011277	 0.0011206	
1000	1	DITHER____	SPIRAL	 0.0135662	 0.0118717	 0.0118847	
1000	1	DITHER____	STAGGER	 0.0099479	 0.0162667	 0.0148080	
1000	1	DITHER____	SAWTOTH	 0.0041784	 0.0053159	 0.0049640	
1000	1	DITHER____	_RANDOM	 0.0041732	 0.0053119	 0.0049708	
1000	1	DITHER____	PLATEAU	 0.0046786	 0.0047398	 0.0044520	
1000	1	DITHER____	SHUFFLE	 0.0046195	 0.0038306	 0.0038213	
1000	1	REVERSE_BA	SPIRAL	 0.0148469	 0.0135129	 0.0133794	
1000	1	REVERSE_BA	STAGGER	 0.0037705	 0.0025386	 0.0025563	
1000	1	REVERSE_BA	SAWTOTH	 0.0004078	 0.0003370	 0.0003367	
1000	1	REVERSE_BA	_RANDOM	 0.0004076	 0.0003370	 0.0003373	
1000	1	REVERSE_BA	PLATEAU	 0.0003603	 0.0004053	 0.0004056	
1000	1	REVERSE_BA	SHUFFLE	 0.0034127	 0.0026675	 0.0026261	
1000	1	REVERSE_FR	SPIRAL	 0.0146317	 0.0106947	 0.0107417	
1000	1	REVERSE_FR	STAGGER	 0.0033727	 0.0027233	 0.0026410	
1000	1	REVERSE_FR	SAWTOTH	 0.0004068	 0.0003381	 0.0003376	
1000	1	REVERSE_FR	_RANDOM	 0.0004027	 0.0003369	 0.0003372	
1000	1	REVERSE_FR	PLATEAU	 0.0028556	 0.0003578	 0.0003340	
1000	1	REVERSE_FR	SHUFFLE	 0.0008004	 0.0007792	 0.0007587	
1000	16	IDENT_____	SPIRAL	 0.0155152	 0.0106781	 0.0103550	
1000	16	IDENT_____	STAGGER	 0.0146732	 0.0143144	 0.0132686	
1000	16	IDENT_____	SAWTOTH	 0.0156292	 0.0072083	 0.0079332	
1000	16	IDENT_____	_RANDOM	 0.0072391	 0.0065106	 0.0064843	
1000	16	IDENT_____	PLATEAU	 0.0003598	 0.0004051	 0.0004048	
1000	16	IDENT_____	SHUFFLE	 0.0116632	 0.0082164	 0.0081935	
1000	16	REVERSE___	SPIRAL	 0.0118790	 0.0133341	 0.0136532	
1000	16	REVERSE___	STAGGER	 0.0131220	 0.0142295	 0.0144847	
1000	16	REVERSE___	SAWTOTH	 0.0167306	 0.0086421	 0.0080452	
1000	16	REVERSE___	_RANDOM	 0.0070917	! 0.0174068	! 0.0183541	
1000	16	REVERSE___	PLATEAU	 0.0011593	 0.0004228	 0.0004222	
1000	16	REVERSE___	SHUFFLE	 0.0148991	! 0.0108269	! 0.0107925	
1000	16	DITHER____	SPIRAL	 0.0146142	 0.0119568	 0.0111773	
1000	16	DITHER____	STAGGER	 0.0146666	 0.0130153	 0.0136012	
1000	16	DITHER____	SAWTOTH	 0.0072519	 0.0063185	 0.0062558	
1000	16	DITHER____	_RANDOM	 0.0074095	 0.0074808	 0.0073328	
1000	16	DITHER____	PLATEAU	 0.0041756	 0.0038441	 0.0036081	
1000	16	DITHER____	SHUFFLE	 0.0116700	 0.0080208	 0.0080073	
1000	16	REVERSE_BA	SPIRAL	 0.0150005	 0.0168444	 0.0135768	
1000	16	REVERSE_BA	STAGGER	 0.0144441	 0.0141448	 0.0147048	
1000	16	REVERSE_BA	SAWTOTH	 0.0167288	 0.0061244	 0.0062356	
1000	16	REVERSE_BA	_RANDOM	 0.0068764	 0.0081726	 0.0083625	
1000	16	REVERSE_BA	PLATEAU	 0.0003601	 0.0004051	 0.0004045	
1000	16	REVERSE_BA	SHUFFLE	 0.0143062	 0.0104676	 0.0105702	
1000	16	REVERSE_FR	SPIRAL	 0.0137011	 0.0124235	 0.0124502	
1000	16	REVERSE_FR	STAGGER	 0.0144172	 0.0162907	 0.0144215	
1000	16	REVERSE_FR	SAWTOTH	 0.0167921	 0.0088503	 0.0086840	
1000	16	REVERSE_FR	_RANDOM	 0.0067846	 0.0075343	 0.0075230	
1000	16	REVERSE_FR	PLATEAU	 0.0030385	 0.0003584	 0.0003549	
1000	16	REVERSE_FR	SHUFFLE	 0.0137888	 0.0091326	 0.0091159	
1000	256	IDENT_____	SPIRAL	 0.0053074	 0.0039941	 0.0039953	
1000	256	IDENT_____	STAGGER	 0.0126525	 0.0152218	 0.0154194	
1000	256	IDENT_____	SAWTOTH	 0.0051141	 0.0040796	 0.0040536	
1000	256	IDENT_____	_RANDOM	 0.0192043	 0.0157178	 0.0165377	
1000	256	IDENT_____	PLATEAU	 0.0003604	 0.0004051	 0.0004051	
1000	256	IDENT_____	SHUFFLE	 0.0036737	! 0.0023427	 0.0020752	
1000	256	REVERSE___	SPIRAL	 0.0080961	 0.0128534	 0.0052821	
1000	256	REVERSE___	STAGGER	 0.0136202	 0.0163598	 0.0159787	
1000	256	REVERSE___	SAWTOTH	 0.0056779	 0.0044348	 0.0044129	
1000	256	REVERSE___	_RANDOM	 0.0140650	 0.0187424	 0.0179400	
1000	256	REVERSE___	PLATEAU	 0.0011419	 0.0006316	 0.0006310	
1000	256	REVERSE___	SHUFFLE	 0.0047244	 0.0030394	 0.0030408	
1000	256	DITHER____	SPIRAL	 0.0097893	 0.0114144	 0.0108237	
1000	256	DITHER____	STAGGER	 0.0177086	 0.0145236	 0.0143335	
1000	256	DITHER____	SAWTOTH	 0.0142811	 0.0161145	 0.0150867	
1000	256	DITHER____	_RANDOM	 0.0169248	 0.0147996	 0.0155270	
1000	256	DITHER____	PLATEAU	 0.0046875	 0.0034918	 0.0034567	
1000	256	DITHER____	SHUFFLE	 0.0059814	 0.0050893	 0.0050528	
1000	256	REVERSE_BA	SPIRAL	 0.0080919	 0.0050703	 0.0050358	
1000	256	REVERSE_BA	STAGGER	 0.0159055	 0.0157564	 0.0157553	
1000	256	REVERSE_BA	SAWTOTH	 0.0079637	 0.0044331	 0.0046715	
1000	256	REVERSE_BA	_RANDOM	 0.0150077	 0.0198695	 0.0181774	
1000	256	REVERSE_BA	PLATEAU	 0.0003603	 0.0004049	 0.0004048	
1000	256	REVERSE_BA	SHUFFLE	 0.0058551	! 0.0049983	! 0.0049542	
1000	256	REVERSE_FR	SPIRAL	 0.0075568	 0.0094537	 0.0045916	
1000	256	REVERSE_FR	STAGGER	 0.0182528	 0.0192204	 0.0164742	
1000	256	REVERSE_FR	SAWTOTH	 0.0086466	 0.0051103	 0.0052069	
1000	256	REVERSE_FR	_RANDOM	 0.0194240	 0.0146295	 0.0179119	
1000	256	REVERSE_FR	PLATEAU	 0.0028686	 0.0007859	 0.0007832	
1000	256	REVERSE_FR	SHUFFLE	 0.0047627	 0.0024534	! 0.0027782	
10000	1	IDENT_____	SPIRAL	 0.3036254	 0.2082654	 0.1210390	
10000	1	IDENT_____	STAGGER	 0.0300366	 0.0249443	 0.0253865	
10000	1	IDENT_____	SAWTOTH	 0.0045880	 0.0051682	 0.0052131	
10000	1	IDENT_____	_RANDOM	 0.0045752	 0.0051703	 0.0052099	
10000	1	IDENT_____	PLATEAU	 0.0044531	 0.0055258	 0.0055850	
10000	1	IDENT_____	SHUFFLE	 0.0044604	 0.0055113	 0.0055564	
10000	1	REVERSE___	SPIRAL	 0.2451091	 0.2830730	 0.1213761	
10000	1	REVERSE___	STAGGER	 0.0357314	 0.0308510	 0.0306854	
10000	1	REVERSE___	SAWTOTH	 0.0045978	 0.0051500	 0.0052204	
10000	1	REVERSE___	_RANDOM	 0.0045962	 0.0051693	 0.0052078	
10000	1	REVERSE___	PLATEAU	 0.0131086	 0.0045122	 0.0043675	
10000	1	REVERSE___	SHUFFLE	 0.0106445	 0.0113467	 0.0110956	
10000	1	DITHER____	SPIRAL	 0.3073244	 0.2165502	 0.0807762	
10000	1	DITHER____	STAGGER	 0.3280206	 0.3388480	 0.0781752	
10000	1	DITHER____	SAWTOTH	 0.0315626	 0.0297446	 0.0373193	
10000	1	DITHER____	_RANDOM	 0.0316169	 0.0298238	 0.0384308	
10000	1	DITHER____	PLATEAU	 0.0373518	 0.0298033	 0.0384736	
10000	1	DITHER____	SHUFFLE	 0.0547299	 0.0449385	 0.0964474	
10000	1	REVERSE_BA	SPIRAL	 0.3085424	 0.2790280	 0.1216689	
10000	1	REVERSE_BA	STAGGER	 0.0337595	 0.0251877	 0.0251975	
10000	1	REVERSE_BA	SAWTOTH	 0.0045857	 0.0051853	 0.0052297	
10000	1	REVERSE_BA	_RANDOM	 0.0046031	 0.0052000	 0.0052453	
10000	1	REVERSE_BA	PLATEAU	 0.0044610	 0.0055396	 0.0055874	
10000	1	REVERSE_BA	SHUFFLE	 0.0339377	 0.0268026	 0.0267901	
10000	1	REVERSE_FR	SPIRAL	 0.2866845	 0.2308455	 0.1221330	
10000	1	REVERSE_FR	STAGGER	 0.0294991	 0.0263406	 0.0262816	
10000	1	REVERSE_FR	SAWTOTH	 0.0045956	 0.0051872	 0.0052114	
10000	1	REVERSE_FR	_RANDOM	 0.0045958	 0.0051867	 0.0052503	
10000	1	REVERSE_FR	PLATEAU	 0.0285003	 0.0045103	 0.0043684	
10000	1	REVERSE_FR	SHUFFLE	 0.0083771	 0.0085717	 0.0085465	
10000	16	IDENT_____	SPIRAL	 0.2727185	 0.2378650	 0.0681374	
10000	16	IDENT_____	STAGGER	 0.1025191	 0.0745567	 0.0744313	
10000	16	IDENT_____	SAWTOTH	 0.0929459	 0.1018171	 0.1127331	
10000	16	IDENT_____	_RANDOM	! 0.3782699	 0.1955834	! 0.1309953	
10000	16	IDENT_____	PLATEAU	 0.0044611	 0.0055205	 0.0055750	
10000	16	IDENT_____	SHUFFLE	 0.2586566	 0.1531182	 0.1204503	
10000	16	REVERSE___	SPIRAL	 0.2512448	 0.2487622	 0.0688182	
10000	16	REVERSE___	STAGGER	 0.1122446	 0.0808617	 0.0759150	
10000	16	REVERSE___	SAWTOTH	 0.1112806	 0.0592092	 0.0624393	
10000	16	REVERSE___	_RANDOM	 0.1975376	 0.1945669	! 0.1009071	
10000	16	REVERSE___	PLATEAU	 0.0131378	 0.0042480	 0.0042539	
10000	16	REVERSE___	SHUFFLE	 0.2360796	 0.1921181	 0.1080637	
10000	16	DITHER____	SPIRAL	 0.3002304	 0.2318035	 0.0702321	
10000	16	DITHER____	STAGGER	 0.1021843	 0.0743140	 0.0741861	
10000	16	DITHER____	SAWTOTH	 0.1600763	 0.1546410	 0.0503018	
10000	16	DITHER____	_RANDOM	 0.2163991	 0.2123471	! 0.1209032	
10000	16	DITHER____	PLATEAU	 0.0392179	 0.0297922	 0.0382050	
10000	16	DITHER____	SHUFFLE	 0.2894542	 0.1888439	 0.0941692	
10000	16	REVERSE_BA	SPIRAL	 0.2832038	 0.2576247	 0.0682380	
10000	16	REVERSE_BA	STAGGER	 0.1100729	 0.0782016	 0.0781445	
10000	16	REVERSE_BA	SAWTOTH	 0.1093238	 0.1067039	 0.1172025	
10000	16	REVERSE_BA	_RANDOM	 0.2006566	 0.1889250	! 0.1178005	
10000	16	REVERSE_BA	PLATEAU	 0.0044560	 0.0055166	 0.0056090	
10000	16	REVERSE_BA	SHUFFLE	 0.2381299	 0.1876250	 0.1203841	
10000	16	REVERSE_FR	SPIRAL	 0.3101856	 0.2492805	 0.0680790	
10000	16	REVERSE_FR	STAGGER	 0.1040411	 0.0815007	 0.0758341	
10000	16	REVERSE_FR	SAWTOTH	 0.1187468	 0.0803118	 0.0952155	
10000	16	REVERSE_FR	_RANDOM	 0.2009692	 0.2142612	! 0.1240909	
10000	16	REVERSE_FR	PLATEAU	 0.0307303	 0.0043294	 0.0046336	
