WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [100000, 1000000]
Parameter[arraySubSize]: [1, 16, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, SORT______, DITHER____, REVERSE___, REVERSE_FR, REVERSE_BA]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_19_11_12, DPQ_21_04_24, RADIX]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		100000	1	IDENT_____	SPIRAL	BASELINE 	0.0227111	0.0225090	0.0002021	109	0.0218496	0.0230034
>> Best		100000	1	IDENT_____	SPIRAL	DPQ_11   	3.6639007	3.6567724	0.0071283	109	3.6494458	3.7079353
>> Best		100000	1	IDENT_____	SPIRAL	DPQ_19_11_12	2.6981931	2.6920180	0.0061751	109	2.6845460	2.7219142
>> Best		100000	1	IDENT_____	SPIRAL	DPQ_21_04_24	1.4988225	1.4856769	0.0131456	109	1.4686263	1.5619405
>> Best		100000	1	IDENT_____	SPIRAL	RADIX    	2.0873972	2.0392589	0.0481384	109	1.9847539	2.1537804
>> Best		100000	1	IDENT_____	STAGGER	BASELINE 	0.0227194	0.0224981	0.0002213	109	0.0215085	0.0232221
>> Best		100000	1	IDENT_____	STAGGER	DPQ_11   	0.4863088	0.4853667	0.0009421	109	0.4830526	0.4881477
>> Best		100000	1	IDENT_____	STAGGER	DPQ_19_11_12	0.3423270	0.3405887	0.0017383	109	0.3385147	0.3519005
>> Best		100000	1	IDENT_____	STAGGER	DPQ_21_04_24	0.3420208	0.3406325	0.0013883	109	0.3388350	0.3518159
>> Best		100000	1	IDENT_____	STAGGER	RADIX    	0.4620501	0.4584550	0.0035952	109	0.4551057	0.4744750
>> Best		100000	1	IDENT_____	SAWTOTH	BASELINE 	0.0205509	0.0204514	0.0000995	109	0.0201474	0.0209545
>> Best		100000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0854805	0.0848869	0.0005936	109	0.0843171	0.0889571
>> Best		100000	1	IDENT_____	SAWTOTH	DPQ_19_11_12	0.0709074	0.0707071	0.0002003	109	0.0701059	0.0711437
>> Best		100000	1	IDENT_____	SAWTOTH	DPQ_21_04_24	0.0712310	0.0707192	0.0005117	109	0.0700672	0.0753515
>> Best		100000	1	IDENT_____	SAWTOTH	RADIX    	0.0935388	0.0899558	0.0035830	109	0.0852757	0.0961457
>> Best		100000	1	IDENT_____	_RANDOM	BASELINE 	0.0205653	0.0204633	0.0001020	109	0.0202031	0.0210772
>> Best		100000	1	IDENT_____	_RANDOM	DPQ_11   	0.0853583	0.0848505	0.0005078	109	0.0839960	0.0892117
>> Best		100000	1	IDENT_____	_RANDOM	DPQ_19_11_12	0.0709107	0.0707237	0.0001870	109	0.0702994	0.0711120
>> Best		100000	1	IDENT_____	_RANDOM	DPQ_21_04_24	0.0710494	0.0707540	0.0002954	109	0.0703912	0.0732520
>> Best		100000	1	IDENT_____	_RANDOM	RADIX    	0.0930702	0.0897251	0.0033451	109	0.0850544	0.0956296
>> Best		100000	1	IDENT_____	PLATEAU	BASELINE 	0.0226520	0.0225783	0.0000737	109	0.0224526	0.0231888
>> Best		100000	1	IDENT_____	PLATEAU	DPQ_11   	0.0970846	0.0965486	0.0005360	109	0.0958160	0.0995265
>> Best		100000	1	IDENT_____	PLATEAU	DPQ_19_11_12	0.0859573	0.0853096	0.0006478	109	0.0844941	0.0880473
>> Best		100000	1	IDENT_____	PLATEAU	DPQ_21_04_24	0.0860998	0.0854669	0.0006329	109	0.0846684	0.0884481
>> Best		100000	1	IDENT_____	PLATEAU	RADIX    	0.0616247	0.0613409	0.0002838	109	0.0606317	0.0619343
>> Best		100000	1	IDENT_____	SHUFFLE	BASELINE 	0.0226721	0.0223033	0.0003688	109	0.0210168	0.0231317
>> Best		100000	1	IDENT_____	SHUFFLE	DPQ_11   	0.0971048	0.0964019	0.0007029	109	0.0953265	0.1019611
>> Best		100000	1	IDENT_____	SHUFFLE	DPQ_19_11_12	0.0858770	0.0852140	0.0006630	109	0.0843167	0.0882537
>> Best		100000	1	IDENT_____	SHUFFLE	DPQ_21_04_24	0.0861529	0.0853972	0.0007557	109	0.0842616	0.0882692
>> Best		100000	1	IDENT_____	SHUFFLE	RADIX    	0.0613802	0.0610257	0.0003546	109	0.0602788	0.0617742
>> Best		100000	1	REVERSE___	SPIRAL	BASELINE 	0.0226922	0.0221884	0.0005038	109	0.0205761	0.0227067
>> Best		100000	1	REVERSE___	SPIRAL	DPQ_11   	3.4281253	3.4107375	0.0173878	109	3.3993574	3.5359345
>> Best		100000	1	REVERSE___	SPIRAL	DPQ_19_11_12	3.5761483	3.5667321	0.0094162	109	3.5583398	3.6281987
>> Best		100000	1	REVERSE___	SPIRAL	DPQ_21_04_24	1.5553504	1.5465590	0.0087914	109	1.5358421	1.5714418
>> Best		100000	1	REVERSE___	SPIRAL	RADIX    	2.1501955	2.0937958	0.0563997	109	2.0278911	2.2623785
>> Best		100000	1	REVERSE___	STAGGER	BASELINE 	0.0227743	0.0222782	0.0004961	109	0.0206270	0.0228117
>> Best		100000	1	REVERSE___	STAGGER	DPQ_11   	0.4855669	0.4834816	0.0020853	109	0.4809552	0.4962979
>> Best		100000	1	REVERSE___	STAGGER	DPQ_19_11_12	0.4246262	0.4237300	0.0008962	109	0.4214696	0.4254304
>> Best		100000	1	REVERSE___	STAGGER	DPQ_21_04_24	0.4244791	0.4235939	0.0008852	109	0.4213109	0.4254240
>> Best		100000	1	REVERSE___	STAGGER	RADIX    	0.4852911	0.4817751	0.0035160	109	0.4786682	0.4980200
>> Best		100000	1	REVERSE___	SAWTOTH	BASELINE 	0.0205656	0.0204565	0.0001091	109	0.0199546	0.0210452
>> Best		100000	1	REVERSE___	SAWTOTH	DPQ_11   	0.0855478	0.0848327	0.0007151	109	0.0842094	0.0897929
>> Best		100000	1	REVERSE___	SAWTOTH	DPQ_19_11_12	0.0708776	0.0707170	0.0001606	109	0.0701789	0.0710670
>> Best		100000	1	REVERSE___	SAWTOTH	DPQ_21_04_24	0.0708560	0.0706794	0.0001765	109	0.0701761	0.0711280
>> Best		100000	1	REVERSE___	SAWTOTH	RADIX    	0.0940245	0.0903849	0.0036395	109	0.0847325	0.0958993
>> Best		100000	1	REVERSE___	_RANDOM	BASELINE 	0.0205439	0.0204664	0.0000775	109	0.0202994	0.0211087
>> Best		100000	1	REVERSE___	_RANDOM	DPQ_11   	0.0854539	0.0849220	0.0005318	109	0.0843578	0.0891820
>> Best		100000	1	REVERSE___	_RANDOM	DPQ_19_11_12	0.0712768	0.0708135	0.0004633	109	0.0702771	0.0751022
>> Best		100000	1	REVERSE___	_RANDOM	DPQ_21_04_24	0.0714280	0.0708616	0.0005664	109	0.0702635	0.0750966
>> Best		100000	1	REVERSE___	_RANDOM	RADIX    	0.0936739	0.0905940	0.0030800	109	0.0852820	0.0954117
>> Best		100000	1	REVERSE___	PLATEAU	BASELINE 	0.0226262	0.0225462	0.0000800	109	0.0224234	0.0231761
