WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [100000]
Parameter[arraySubSize]: [256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, DITHER____, REVERSE_BA]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [DPQ_11, DPQ_19_11_12, DPQ_19_11_12_FIX, DPQ_21_04_24]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		100000	256	IDENT_____	SPIRAL	DPQ_11   	2.9173584	2.8700178	0.0473406	109	2.8330895	2.9688681
>> Best		100000	256	IDENT_____	SPIRAL	DPQ_19_11_12	1.7549209	1.7437669	0.0111540	109	1.7252252	1.7679337
>> Best		100000	256	IDENT_____	SPIRAL	DPQ_19_11_12_FIX	1.7531086	1.7475080	0.0056006	109	1.7379978	1.7597707
>> Best		100000	256	IDENT_____	SPIRAL	DPQ_21_04_24	1.7471679	1.7435032	0.0036648	109	1.7367800	1.7543555
>> Best		100000	256	IDENT_____	STAGGER	DPQ_11   	6.5038232	6.4945983	0.0092249	109	6.4806957	6.5482232
>> Best		100000	256	IDENT_____	STAGGER	DPQ_19_11_12	1.9722687	1.9673424	0.0049263	109	1.9576992	1.9802827
>> Best		100000	256	IDENT_____	STAGGER	DPQ_19_11_12_FIX	1.9673028	1.9630302	0.0042726	109	1.9561829	1.9739162
>> Best		100000	256	IDENT_____	STAGGER	DPQ_21_04_24	1.9679278	1.9633792	0.0045486	109	1.9557028	1.9776009
>> Best		100000	256	IDENT_____	SAWTOTH	DPQ_11   	2.7061338	2.7009882	0.0051456	109	2.6929179	2.7270238
>> Best		100000	256	IDENT_____	SAWTOTH	DPQ_19_11_12	2.1400550	2.1359821	0.0040729	109	2.1294926	2.1463696
>> Best		100000	256	IDENT_____	SAWTOTH	DPQ_19_11_12_FIX	2.1371426	2.1328650	0.0042775	109	2.1256575	2.1430349
>> Best		100000	256	IDENT_____	SAWTOTH	DPQ_21_04_24	2.1383973	2.1335613	0.0048360	109	2.1258364	2.1459648
>> Best		100000	256	IDENT_____	_RANDOM	DPQ_11   	5.0665972	5.0113496	0.0552476	109	4.8848779	5.1058781
>> Best		100000	256	IDENT_____	_RANDOM	DPQ_19_11_12	5.0175736	4.8259234	0.1916502	109	4.4172892	5.3353623
>> Best		100000	256	IDENT_____	_RANDOM	DPQ_19_11_12_FIX	5.0534564	4.9122870	0.1411694	109	4.7440155	5.3332099
>> Best		100000	256	IDENT_____	_RANDOM	DPQ_21_04_24	0.8543939	0.7920131	0.0623808	109	0.7658425	1.2702024
>> Best		100000	256	IDENT_____	PLATEAU	DPQ_11   	0.0981025	0.0971402	0.0009622	109	0.0962029	0.1007130
>> Best		100000	256	IDENT_____	PLATEAU	DPQ_19_11_12	0.0865648	0.0856622	0.0009027	109	0.0847691	0.0884998
>> Best		100000	256	IDENT_____	PLATEAU	DPQ_19_11_12_FIX	0.0884856	0.0875531	0.0009325	109	0.0866423	0.0911352
>> Best		100000	256	IDENT_____	PLATEAU	DPQ_21_04_24	0.0884856	0.0876048	0.0008808	109	0.0866721	0.0901332
>> Best		100000	256	IDENT_____	SHUFFLE	DPQ_11   	2.4629751	2.4462431	0.0167320	109	2.4166082	2.4855426
>> Best		100000	256	IDENT_____	SHUFFLE	DPQ_19_11_12	1.0513533	0.9608717	0.0904815	109	0.8571326	1.0943627
>> Best		100000	256	IDENT_____	SHUFFLE	DPQ_19_11_12_FIX	1.0633429	0.9802512	0.0830917	109	0.8183350	1.0400331
>> Best		100000	256	IDENT_____	SHUFFLE	DPQ_21_04_24	1.2088717	1.0486114	0.1602603	109	0.9581900	1.4993316
