Parsing sort-100k.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	DPQ_11	DPQ_19_11_12	DPQ_19_11_12_FIX	DPQ_21_04_24	
100000	256	IDENT_____	SPIRAL	 2.8804301	 1.7363792	 1.7435984	 1.7404448	
100000	256	IDENT_____	STAGGER	 6.4899206	 1.9626255	 1.9604555	 1.9602514	
100000	256	IDENT_____	SAWTOTH	 2.6980635	 2.1335655	 2.1299350	 2.1306724	
100000	256	IDENT_____	_RANDOM	 4.9401255	 4.6089394	 4.8851849	 0.8282233	
100000	256	IDENT_____	PLATEAU	 0.0971651	 0.0856718	 0.0875748	 0.0875529	
100000	256	IDENT_____	SHUFFLE	 2.4333402	 0.9476141	 0.9014267	 1.1184503	
100000	256	REVERSE___	SPIRAL	 2.2746853	 2.5757913	 2.0291959	 2.0294430	
100000	256	REVERSE___	STAGGER	 7.2390679	 2.0786356	 2.0128601	 2.0130706	
100000	256	REVERSE___	SAWTOTH	 2.4918511	 2.2036757	 2.2470261	 2.2473181	
100000	256	REVERSE___	_RANDOM	 4.7148641	 4.2013943	 4.2055830	 0.7875496	
100000	256	REVERSE___	PLATEAU	 0.1665500	 0.0683012	 0.0683232	 0.0683378	
100000	256	REVERSE___	SHUFFLE	 2.1264590	 1.2299373	 1.2559524	 1.3413113	
100000	256	DITHER____	SPIRAL	 3.1317521	 2.6758940	 2.6824108	 1.1788488	
100000	256	DITHER____	STAGGER	 7.1853945	 1.9860843	 1.9839734	 1.9852595	
100000	256	DITHER____	SAWTOTH	 3.2269088	 3.1717011	 3.1665391	 0.9599805	
100000	256	DITHER____	_RANDOM	 4.9861149	 4.6581123	 4.6454541	 0.9595385	
100000	256	DITHER____	PLATEAU	 0.4108767	 0.3504448	 0.3538665	 0.4161896	
100000	256	DITHER____	SHUFFLE	 2.8221921	 1.5726780	 1.5703062	 1.4721738	
100000	256	REVERSE_BA	SPIRAL	 2.8314917	 1.8538903	 1.8422453	 1.8573700	
100000	256	REVERSE_BA	STAGGER	 6.9795063	 1.9841374	 2.0061733	 2.0119754	
100000	256	REVERSE_BA	SAWTOTH	 2.6232887	 2.1808414	 2.1658341	 2.1685821	
100000	256	REVERSE_BA	_RANDOM	 4.8655286	 4.3422188	 4.3388458	 0.7837577	
100000	256	REVERSE_BA	PLATEAU	 0.0974769	 0.0861511	 0.0880166	 0.0880153	
100000	256	REVERSE_BA	SHUFFLE	 2.2560310	 1.2620847	 1.2594978	 1.3235967	
