WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [10000, 100000, 1000000]
Parameter[arraySubSize]: [1, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, DITHER____, REVERSE_BA, REVERSE_FR]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [DPQ_11, DPQ_19_11_12, DPQ_21_04_24]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		10000	1	IDENT_____	SPIRAL	DPQ_11   	0.3481198	0.3404846	0.0076351	109	0.3355203	0.3813082
>> Best		10000	1	IDENT_____	SPIRAL	DPQ_19_11_12	0.2586402	0.2550595	0.0035807	109	0.2521313	0.2730793
>> Best		10000	1	IDENT_____	SPIRAL	DPQ_21_04_24	0.1363012	0.1294417	0.0068595	109	0.1238265	0.1759261
>> Best		10000	1	IDENT_____	STAGGER	DPQ_11   	0.0480001	0.0478535	0.0001466	109	0.0475920	0.0482825
>> Best		10000	1	IDENT_____	STAGGER	DPQ_19_11_12	0.0331712	0.0330982	0.0000729	109	0.0329619	0.0332929
>> Best		10000	1	IDENT_____	STAGGER	DPQ_21_04_24	0.0331745	0.0330996	0.0000749	109	0.0330006	0.0334065
>> Best		10000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0070381	0.0069670	0.0000711	109	0.0068662	0.0072634
>> Best		10000	1	IDENT_____	SAWTOTH	DPQ_19_11_12	0.0053455	0.0052113	0.0001342	109	0.0049791	0.0055193
>> Best		10000	1	IDENT_____	SAWTOTH	DPQ_21_04_24	0.0061850	0.0060791	0.0001059	109	0.0059397	0.0063836
>> Best		10000	1	IDENT_____	_RANDOM	DPQ_11   	0.0070305	0.0069653	0.0000651	109	0.0068639	0.0072642
>> Best		10000	1	IDENT_____	_RANDOM	DPQ_19_11_12	0.0052112	0.0051168	0.0000943	109	0.0049733	0.0053844
>> Best		10000	1	IDENT_____	_RANDOM	DPQ_21_04_24	0.0060859	0.0060321	0.0000538	109	0.0059402	0.0061776
>> Best		10000	1	IDENT_____	PLATEAU	DPQ_11   	0.0089002	0.0088479	0.0000523	109	0.0087784	0.0091372
>> Best		10000	1	IDENT_____	PLATEAU	DPQ_19_11_12	0.0077494	0.0076947	0.0000547	109	0.0075913	0.0078386
>> Best		10000	1	IDENT_____	PLATEAU	DPQ_21_04_24	0.0079559	0.0078950	0.0000609	109	0.0077825	0.0080385
>> Best		10000	1	IDENT_____	SHUFFLE	DPQ_11   	0.0089228	0.0088496	0.0000731	109	0.0087680	0.0094976
>> Best		10000	1	IDENT_____	SHUFFLE	DPQ_19_11_12	0.0077730	0.0077130	0.0000601	109	0.0076007	0.0078539
>> Best		10000	1	IDENT_____	SHUFFLE	DPQ_21_04_24	0.0079813	0.0079042	0.0000771	109	0.0077835	0.0081448
>> Best		10000	1	REVERSE___	SPIRAL	DPQ_11   	0.2748666	0.2678388	0.0070279	109	0.2630361	0.3065085
>> Best		10000	1	REVERSE___	SPIRAL	DPQ_19_11_12	0.3289993	0.3253807	0.0036185	109	0.3224303	0.3446802
>> Best		10000	1	REVERSE___	SPIRAL	DPQ_21_04_24	0.1322693	0.1264135	0.0058558	109	0.1235423	0.1762201
>> Best		10000	1	REVERSE___	STAGGER	DPQ_11   	0.0380794	0.0379267	0.0001526	109	0.0376947	0.0384051
>> Best		10000	1	REVERSE___	STAGGER	DPQ_19_11_12	0.0420792	0.0419857	0.0000934	109	0.0417964	0.0422172
>> Best		10000	1	REVERSE___	STAGGER	DPQ_21_04_24	0.0423754	0.0422877	0.0000877	109	0.0421399	0.0425495
>> Best		10000	1	REVERSE___	SAWTOTH	DPQ_11   	0.0069810	0.0069372	0.0000438	109	0.0068661	0.0071224
>> Best		10000	1	REVERSE___	SAWTOTH	DPQ_19_11_12	0.0051275	0.0050723	0.0000552	109	0.0049748	0.0051763
>> Best		10000	1	REVERSE___	SAWTOTH	DPQ_21_04_24	0.0061165	0.0060529	0.0000636	109	0.0059410	0.0062272
>> Best		10000	1	REVERSE___	_RANDOM	DPQ_11   	0.0069761	0.0069374	0.0000387	109	0.0068643	0.0070239
>> Best		10000	1	REVERSE___	_RANDOM	DPQ_19_11_12	0.0051545	0.0050846	0.0000699	109	0.0049798	0.0053758
>> Best		10000	1	REVERSE___	_RANDOM	DPQ_21_04_24	0.0060971	0.0060405	0.0000566	109	0.0059216	0.0061858
>> Best		10000	1	REVERSE___	PLATEAU	DPQ_11   	0.0161233	0.0160891	0.0000342	109	0.0160042	0.0161802
>> Best		10000	1	REVERSE___	PLATEAU	DPQ_19_11_12	0.0060944	0.0060457	0.0000487	109	0.0059353	0.0061253
>> Best		10000	1	REVERSE___	PLATEAU	DPQ_21_04_24	0.0056215	0.0055780	0.0000435	109	0.0054776	0.0056516
>> Best		10000	1	REVERSE___	SHUFFLE	DPQ_11   	0.0131585	0.0131126	0.0000460	109	0.0130160	0.0132402
>> Best		10000	1	REVERSE___	SHUFFLE	DPQ_19_11_12	0.0146021	0.0144701	0.0001320	109	0.0142638	0.0156166
>> Best		10000	1	REVERSE___	SHUFFLE	DPQ_21_04_24	0.0156758	0.0156058	0.0000701	109	0.0154153	0.0157727
>> Best		10000	1	DITHER____	SPIRAL	DPQ_11   	0.3295406	0.3213290	0.0082116	109	0.3155715	0.3666845
>> Best		10000	1	DITHER____	SPIRAL	DPQ_19_11_12	0.2572910	0.2542241	0.0030668	109	0.2519904	0.2721465
>> Best		10000	1	DITHER____	SPIRAL	DPQ_21_04_24	0.0900137	0.0887319	0.0012817	109	0.0875029	0.0930569
>> Best		10000	1	DITHER____	STAGGER	DPQ_11   	0.3701622	0.3613578	0.0088044	109	0.3540812	0.4171409
>> Best		10000	1	DITHER____	STAGGER	DPQ_19_11_12	0.4584683	0.4558455	0.0026228	109	0.4528722	0.4799003
>> Best		10000	1	DITHER____	STAGGER	DPQ_21_04_24	0.0841962	0.0831623	0.0010339	109	0.0815352	0.0871862
>> Best		10000	1	DITHER____	SAWTOTH	DPQ_11   	0.0325241	0.0323612	0.0001629	109	0.0320687	0.0328460
>> Best		10000	1	DITHER____	SAWTOTH	DPQ_19_11_12	0.0427188	0.0424221	0.0002967	109	0.0421828	0.0446419
>> Best		10000	1	DITHER____	SAWTOTH	DPQ_21_04_24	0.0345219	0.0343648	0.0001571	109	0.0341706	0.0356454
>> Best		10000	1	DITHER____	_RANDOM	DPQ_11   	0.0325217	0.0323821	0.0001396	109	0.0320681	0.0326944
>> Best		10000	1	DITHER____	_RANDOM	DPQ_19_11_12	0.0426090	0.0423625	0.0002465	109	0.0421703	0.0446782
>> Best		10000	1	DITHER____	_RANDOM	DPQ_21_04_24	0.0346811	0.0344216	0.0002596	109	0.0341592	0.0362933
>> Best		10000	1	DITHER____	PLATEAU	DPQ_11   	0.0398388	0.0396387	0.0002001	109	0.0392729	0.0406578
>> Best		10000	1	DITHER____	PLATEAU	DPQ_19_11_12	0.0426710	0.0424206	0.0002504	109	0.0421950	0.0446977
>> Best		10000	1	DITHER____	PLATEAU	DPQ_21_04_24	0.0346870	0.0343990	0.0002880	109	0.0341427	0.0364039
