Parsing sort-10k,100k,1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	
10000	1	IDENT_____	SPIRAL	 0.3431554	 0.2557120	 0.1306860	
10000	1	IDENT_____	STAGGER	 0.0477386	 0.0330348	 0.0330755	
10000	1	IDENT_____	SAWTOTH	 0.0069373	 0.0051133	 0.0060456	
10000	1	IDENT_____	_RANDOM	 0.0069290	 0.0050676	 0.0059940	
10000	1	IDENT_____	PLATEAU	 0.0088307	 0.0076460	 0.0078434	
10000	1	IDENT_____	SHUFFLE	 0.0088411	 0.0076608	 0.0078606	
10000	1	REVERSE___	SPIRAL	 0.2700640	 0.3260488	 0.1293981	
10000	1	REVERSE___	STAGGER	 0.0378473	 0.0418898	 0.0422276	
10000	1	REVERSE___	SAWTOTH	 0.0069099	 0.0050300	 0.0060046	
10000	1	REVERSE___	_RANDOM	 0.0069030	 0.0050497	 0.0059782	
10000	1	REVERSE___	PLATEAU	 0.0160384	 0.0059840	 0.0055211	
10000	1	REVERSE___	SHUFFLE	 0.0130620	 0.0143958	 0.0154854	
10000	1	DITHER____	SPIRAL	 0.3237831	 0.2550572	 0.0887846	
10000	1	DITHER____	STAGGER	 0.3628856	 0.4554950	 0.0825691	
10000	1	DITHER____	SAWTOTH	 0.0322316	 0.0424795	 0.0343277	
10000	1	DITHER____	_RANDOM	 0.0322077	 0.0424168	 0.0344188	
10000	1	DITHER____	PLATEAU	 0.0394730	 0.0424454	 0.0344307	
10000	1	DITHER____	SHUFFLE	 0.0754129	 0.0541390	 0.0985011	
10000	1	REVERSE_BA	SPIRAL	 0.3292193	 0.2984276	 0.1297936	
10000	1	REVERSE_BA	STAGGER	 0.0466386	 0.0372459	 0.0366141	
10000	1	REVERSE_BA	SAWTOTH	 0.0069093	 0.0050209	 0.0059694	
10000	1	REVERSE_BA	_RANDOM	 0.0069071	 0.0050164	 0.0059650	
10000	1	REVERSE_BA	PLATEAU	 0.0088389	 0.0076203	 0.0078769	
10000	1	REVERSE_BA	SHUFFLE	 0.0448488	 0.0382421	 0.0376395	
10000	1	REVERSE_FR	SPIRAL	 0.3122709	 0.2754819	 0.1294160	
10000	1	REVERSE_FR	STAGGER	 0.0489277	 0.0380023	 0.0399336	
10000	1	REVERSE_FR	SAWTOTH	 0.0069066	 0.0050254	 0.0059820	
10000	1	REVERSE_FR	_RANDOM	 0.0069050	 0.0050216	 0.0059664	
10000	1	REVERSE_FR	PLATEAU	 0.0357816	 0.0059950	 0.0055425	
10000	1	REVERSE_FR	SHUFFLE	 0.0099137	 0.0109581	 0.0129764	
10000	256	IDENT_____	SPIRAL	 0.2154374	 0.1004235	 0.0984215	
10000	256	IDENT_____	STAGGER	 0.6013062	 0.5891279	 0.1252516	
10000	256	IDENT_____	SAWTOTH	 0.2097571	 0.1380791	 0.1388216	
10000	256	IDENT_____	_RANDOM	 0.5059547	 0.4731753	! 0.1603661	
10000	256	IDENT_____	PLATEAU	 0.0088072	 0.0076299	 0.0078263	
10000	256	IDENT_____	SHUFFLE	 0.1895045	 0.0795286	! 0.0840318	
10000	256	REVERSE___	SPIRAL	 0.2025123	 0.2966111	 0.1308644	
10000	256	REVERSE___	STAGGER	 0.6217652	 0.5960365	 0.1231403	
10000	256	REVERSE___	SAWTOTH	 0.1990235	 0.1393938	 0.1286649	
10000	256	REVERSE___	_RANDOM	 0.5345455	 0.4928257	 0.0593565	
10000	256	REVERSE___	PLATEAU	 0.0159929	 0.0063608	 0.0063686	
10000	256	REVERSE___	SHUFFLE	 0.1525799	 0.0865404	 0.0859578	
10000	256	DITHER____	SPIRAL	 0.2586869	 0.2804532	 0.0952219	
10000	256	DITHER____	STAGGER	 0.6483576	 0.6124515	 0.1078771	
10000	256	DITHER____	SAWTOTH	 0.3607951	 0.4119156	 0.0998638	
10000	256	DITHER____	_RANDOM	 0.5290427	 0.4945309	 0.0997274	
10000	256	DITHER____	PLATEAU	 0.0399496	 0.0356570	 0.0418529	
10000	256	DITHER____	SHUFFLE	 0.2130935	 0.1092215	 0.1049596	
10000	256	REVERSE_BA	SPIRAL	 0.2066076	 0.1149432	 0.1278449	
10000	256	REVERSE_BA	STAGGER	 0.6009507	 0.6144920	 0.1091161	
10000	256	REVERSE_BA	SAWTOTH	 0.2282939	 0.1359604	 0.1392698	
10000	256	REVERSE_BA	_RANDOM	 0.5135030	 0.4494811	 0.0594086	
10000	256	REVERSE_BA	PLATEAU	 0.0088094	 0.0076303	 0.0078370	
10000	256	REVERSE_BA	SHUFFLE	 0.1843468	 0.1022589	 0.0957886	
10000	256	REVERSE_FR	SPIRAL	 0.2145183	 0.2344579	 0.1151765	
10000	256	REVERSE_FR	STAGGER	 0.6533268	 0.6111522	 0.1087312	
10000	256	REVERSE_FR	SAWTOTH	 0.1995131	 0.1459245	 0.1231356	
10000	256	REVERSE_FR	_RANDOM	 0.4933873	 0.4507485	 0.0616433	
10000	256	REVERSE_FR	PLATEAU	 0.0405605	 0.0052912	 0.0049529	
10000	256	REVERSE_FR	SHUFFLE	 0.1676299	! 0.5972386	 0.0726188	
100000	1	IDENT_____	SPIRAL	 3.6686751	 2.6959020	 1.5928750	
100000	1	IDENT_____	STAGGER	 0.4883146	 0.3404332	 0.3410095	
100000	1	IDENT_____	SAWTOTH	 0.0846447	 0.0710368	 0.0660002	
100000	1	IDENT_____	_RANDOM	 0.0849009	 0.0705045	 0.0662629	
100000	1	IDENT_____	PLATEAU	 0.0968625	 0.0852756	 0.0868638	
100000	1	IDENT_____	SHUFFLE	 0.0965784	 0.0852112	 0.0870797	
100000	1	REVERSE___	SPIRAL	 3.4225584	 3.5809565	 1.6105102	
100000	1	REVERSE___	STAGGER	 0.4878733	 0.4244221	 0.3980744	
100000	1	REVERSE___	SAWTOTH	 0.0852494	 0.0708488	 0.0662985	
100000	1	REVERSE___	_RANDOM	 0.0853264	 0.0709928	 0.0664470	
100000	1	REVERSE___	PLATEAU	 0.1506377	 0.0675433	 0.0630232	
100000	1	REVERSE___	SHUFFLE	 0.1408902	 0.1553717	 0.1665183	
100000	1	DITHER____	SPIRAL	 3.7141717	 3.2033766	 1.4366865	
100000	1	DITHER____	STAGGER	 4.2665567	 4.1791510	 1.8987705	
100000	1	DITHER____	SAWTOTH	 0.3871363	 0.3780605	 0.3711984	
100000	1	DITHER____	_RANDOM	 0.3843800	 0.3771689	 0.3284630	
100000	1	DITHER____	PLATEAU	 0.3727536	 0.3775270	 0.3706174	
100000	1	DITHER____	SHUFFLE	 1.0748393	 0.8587696	 1.4961311	
