WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [1000, 10000, 100000, 1000000]
Parameter[arraySubSize]: [1, 16, 256]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, DITHER____, REVERSE_BA, REVERSE_FR]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [SYSTEM, NEW_DPQS_REF, DPQ_21_04_24]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000	1	IDENT_____	SPIRAL	SYSTEM   	0.0141978	0.0132485	0.0009493	109	0.0128137	0.0188823
>> Best		1000	1	IDENT_____	SPIRAL	NEW_DPQS_REF	0.0134105	0.0125436	0.0008668	109	0.0121958	0.0211469
>> Best		1000	1	IDENT_____	SPIRAL	DPQ_21_04_24	0.0120016	0.0119409	0.0000607	109	0.0118369	0.0120620
>> Best		1000	1	IDENT_____	STAGGER	SYSTEM   	0.0041732	0.0041541	0.0000191	109	0.0041199	0.0042159
>> Best		1000	1	IDENT_____	STAGGER	NEW_DPQS_REF	0.0042091	0.0041905	0.0000186	109	0.0041584	0.0042445
>> Best		1000	1	IDENT_____	STAGGER	DPQ_21_04_24	0.0022084	0.0022020	0.0000065	109	0.0021757	0.0022141
>> Best		1000	1	IDENT_____	SAWTOTH	SYSTEM   	0.0003397	0.0003368	0.0000029	109	0.0003334	0.0003465
>> Best		1000	1	IDENT_____	SAWTOTH	NEW_DPQS_REF	0.0003359	0.0003352	0.0000007	109	0.0003336	0.0003371
>> Best		1000	1	IDENT_____	SAWTOTH	DPQ_21_04_24	0.0003401	0.0003383	0.0000018	109	0.0003356	0.0003461
>> Best		1000	1	IDENT_____	_RANDOM	SYSTEM   	0.0003391	0.0003364	0.0000028	109	0.0003345	0.0003456
>> Best		1000	1	IDENT_____	_RANDOM	NEW_DPQS_REF	0.0003359	0.0003351	0.0000008	109	0.0003333	0.0003373
>> Best		1000	1	IDENT_____	_RANDOM	DPQ_21_04_24	0.0003395	0.0003379	0.0000016	109	0.0003355	0.0003403
