Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	NEW_DPQS_REF	DPQ_21_04_24	
1000	1	IDENT_____	SPIRAL	 0.0137630	 0.0130626	 0.0118976	
1000	1	IDENT_____	STAGGER	 0.0041390	 0.0041770	 0.0021822	
1000	1	IDENT_____	SAWTOTH	 0.0003363	 0.0003343	 0.0003374	
1000	1	IDENT_____	_RANDOM	 0.0003373	 0.0003341	 0.0003371	
1000	1	IDENT_____	PLATEAU	 0.0004125	 0.0004103	 0.0004055	
1000	1	IDENT_____	SHUFFLE	 0.0004107	 0.0004105	 0.0004053	
1000	1	REVERSE___	SPIRAL	 0.0138484	 0.0121656	 0.0136425	
1000	1	REVERSE___	STAGGER	 0.0050156	 0.0049893	 0.0028522	
1000	1	REVERSE___	SAWTOTH	 0.0003371	 0.0003346	 0.0003365	
1000	1	REVERSE___	_RANDOM	 0.0003361	 0.0003350	 0.0003368	
1000	1	REVERSE___	PLATEAU	 0.0003374	 0.0003348	 0.0003368	
1000	1	REVERSE___	SHUFFLE	 0.0011250	 0.0010991	 0.0011199	
1000	1	DITHER____	SPIRAL	 0.0116744	 0.0116796	 0.0119094	
1000	1	DITHER____	STAGGER	 0.0164201	 0.0160567	 0.0148246	
1000	1	DITHER____	SAWTOTH	 0.0051279	 0.0053152	 0.0049640	
1000	1	DITHER____	_RANDOM	 0.0051217	 0.0053260	 0.0049696	
1000	1	DITHER____	PLATEAU	 0.0059095	 0.0058642	 0.0044612	
1000	1	DITHER____	SHUFFLE	 0.0036563	 0.0038541	 0.0038128	
1000	1	REVERSE_BA	SPIRAL	 0.0138410	 0.0123713	 0.0133739	
1000	1	REVERSE_BA	STAGGER	 0.0046965	 0.0047097	 0.0025220	
1000	1	REVERSE_BA	SAWTOTH	 0.0003372	 0.0003350	 0.0003371	
1000	1	REVERSE_BA	_RANDOM	 0.0003374	 0.0003343	 0.0003371	
1000	1	REVERSE_BA	PLATEAU	 0.0004133	 0.0004104	 0.0004054	
1000	1	REVERSE_BA	SHUFFLE	 0.0047246	 0.0047590	 0.0026170	
1000	1	REVERSE_FR	SPIRAL	 0.0107259	 0.0099357	 0.0107446	
1000	1	REVERSE_FR	STAGGER	 0.0046622	 0.0047578	 0.0026468	
1000	1	REVERSE_FR	SAWTOTH	 0.0003372	 0.0003339	 0.0003371	
1000	1	REVERSE_FR	_RANDOM	 0.0003365	 0.0003343	 0.0003371	
1000	1	REVERSE_FR	PLATEAU	 0.0006103	 0.0005871	 0.0003334	
1000	1	REVERSE_FR	SHUFFLE	 0.0011373	 0.0011527	 0.0007566	
1000	16	IDENT_____	SPIRAL	 0.0105429	 0.0094414	 0.0103114	
1000	16	IDENT_____	STAGGER	 0.0129897	 0.0120275	 0.0132878	
1000	16	IDENT_____	SAWTOTH	 0.0079102	 0.0081083	 0.0079933	
1000	16	IDENT_____	_RANDOM	 0.0074070	 0.0075693	 0.0065574	
1000	16	IDENT_____	PLATEAU	 0.0004127	 0.0004100	 0.0004057	
1000	16	IDENT_____	SHUFFLE	 0.0080789	 0.0074853	 0.0082217	
1000	16	REVERSE___	SPIRAL	 0.0141388	 0.0124027	 0.0135444	
1000	16	REVERSE___	STAGGER	 0.0132025	 0.0121860	 0.0144914	
1000	16	REVERSE___	SAWTOTH	 0.0063700	 0.0064227	 0.0080319	
1000	16	REVERSE___	_RANDOM	 0.0059562	 0.0062421	! 0.0164581	
1000	16	REVERSE___	PLATEAU	 0.0004213	 0.0004208	 0.0004290	
1000	16	REVERSE___	SHUFFLE	 0.0092059	 0.0086292	! 0.0107772	
1000	16	DITHER____	SPIRAL	 0.0107370	 0.0098332	 0.0111839	
1000	16	DITHER____	STAGGER	 0.0133837	 0.0127916	 0.0136497	
1000	16	DITHER____	SAWTOTH	 0.0066257	 0.0066329	 0.0062272	
1000	16	DITHER____	_RANDOM	 0.0076360	 0.0081732	 0.0073603	
1000	16	DITHER____	PLATEAU	 0.0063897	 0.0065305	 0.0036074	
1000	16	DITHER____	SHUFFLE	 0.0087428	 0.0079212	 0.0080121	
1000	16	REVERSE_BA	SPIRAL	 0.0147930	 0.0126483	 0.0135346	
1000	16	REVERSE_BA	STAGGER	 0.0143617	 0.0130161	 0.0146270	
1000	16	REVERSE_BA	SAWTOTH	 0.0061022	 0.0061127	 0.0062960	
1000	16	REVERSE_BA	_RANDOM	 0.0062266	 0.0065958	 0.0084270	
1000	16	REVERSE_BA	PLATEAU	 0.0004121	 0.0004112	 0.0004049	
1000	16	REVERSE_BA	SHUFFLE	 0.0106028	 0.0098220	 0.0105649	
1000	16	REVERSE_FR	SPIRAL	 0.0109605	 0.0095695	 0.0124592	
1000	16	REVERSE_FR	STAGGER	 0.0135948	 0.0133394	 0.0143976	
1000	16	REVERSE_FR	SAWTOTH	 0.0116139	 0.0109697	 0.0088833	
1000	16	REVERSE_FR	_RANDOM	 0.0068471	 0.0068489	 0.0076469	
1000	16	REVERSE_FR	PLATEAU	 0.0006927	 0.0006722	 0.0003551	
1000	16	REVERSE_FR	SHUFFLE	 0.0093472	 0.0081279	 0.0090651	
1000	256	IDENT_____	SPIRAL	 0.0056337	 0.0056429	 0.0040053	
1000	256	IDENT_____	STAGGER	 0.0143738	 0.0131271	 0.0156287	
1000	256	IDENT_____	SAWTOTH	 0.0058328	 0.0058257	 0.0040343	
1000	256	IDENT_____	_RANDOM	 0.0151869	 0.0181452	 0.0165300	
1000	256	IDENT_____	PLATEAU	 0.0004130	 0.0004110	 0.0004052	
1000	256	IDENT_____	SHUFFLE	 0.0039277	 0.0037444	 0.0020785	
1000	256	REVERSE___	SPIRAL	 0.0133426	 0.0068935	 0.0052786	
1000	256	REVERSE___	STAGGER	 0.0141872	 0.0126911	 0.0159128	
1000	256	REVERSE___	SAWTOTH	 0.0064729	 0.0063025	 0.0044135	
1000	256	REVERSE___	_RANDOM	 0.0163633	 0.0186507	 0.0178855	
1000	256	REVERSE___	PLATEAU	 0.0008179	 0.0007402	 0.0006337	
1000	256	REVERSE___	SHUFFLE	 0.0048972	 0.0048630	 0.0030044	
1000	256	DITHER____	SPIRAL	 0.0107108	 0.0106639	 0.0108397	
1000	256	DITHER____	STAGGER	 0.0170415	 0.0150718	 0.0142855	
1000	256	DITHER____	SAWTOTH	 0.0165772	 0.0159530	 0.0151262	
1000	256	DITHER____	_RANDOM	 0.0143047	 0.0198143	 0.0157114	
1000	256	DITHER____	PLATEAU	 0.0056538	 0.0060511	 0.0034680	
1000	256	DITHER____	SHUFFLE	 0.0048736	 0.0044191	 0.0050640	
1000	256	REVERSE_BA	SPIRAL	 0.0069616	 0.0069607	 0.0050559	
1000	256	REVERSE_BA	STAGGER	 0.0161732	 0.0141542	 0.0149044	
1000	256	REVERSE_BA	SAWTOTH	 0.0068218	 0.0067009	 0.0046735	
1000	256	REVERSE_BA	_RANDOM	 0.0144762	 0.0166486	 0.0182641	
1000	256	REVERSE_BA	PLATEAU	 0.0004131	 0.0004108	 0.0004053	
1000	256	REVERSE_BA	SHUFFLE	 0.0058367	 0.0061639	! 0.0048758	
1000	256	REVERSE_FR	SPIRAL	 0.0092868	 0.0065881	 0.0046009	
1000	256	REVERSE_FR	STAGGER	 0.0167787	 0.0146911	 0.0165891	
1000	256	REVERSE_FR	SAWTOTH	 0.0073625	 0.0068210	 0.0052043	
1000	256	REVERSE_FR	_RANDOM	 0.0145527	 0.0143193	 0.0180522	
1000	256	REVERSE_FR	PLATEAU	 0.0010519	 0.0009919	 0.0007831	
1000	256	REVERSE_FR	SHUFFLE	! 0.0097252	 0.0043102	! 0.0027838	
10000	1	IDENT_____	SPIRAL	 0.2476716	 0.1259226	 0.1189190	
10000	1	IDENT_____	STAGGER	 0.0397154	 0.0401989	 0.0254592	
10000	1	IDENT_____	SAWTOTH	 0.0043420	 0.0044127	 0.0052156	
10000	1	IDENT_____	_RANDOM	 0.0043276	 0.0044375	 0.0052445	
10000	1	IDENT_____	PLATEAU	 0.0044809	 0.0044420	 0.0056408	
10000	1	IDENT_____	SHUFFLE	 0.0044821	 0.0044101	 0.0056282	
10000	1	REVERSE___	SPIRAL	 0.3088265	 0.1261612	 0.1168083	
10000	1	REVERSE___	STAGGER	 0.0465186	 0.0464205	 0.0307475	
10000	1	REVERSE___	SAWTOTH	 0.0043170	 0.0044067	 0.0052198	
10000	1	REVERSE___	_RANDOM	 0.0043324	 0.0044269	 0.0052489	
10000	1	REVERSE___	PLATEAU	 0.0043437	 0.0044192	 0.0043811	
10000	1	REVERSE___	SHUFFLE	 0.0103035	 0.0104076	 0.0111928	
10000	1	DITHER____	SPIRAL	 0.2606268	 0.0973866	 0.0779639	
10000	1	DITHER____	STAGGER	 0.3511082	 0.0927283	 0.0755499	
10000	1	DITHER____	SAWTOTH	 0.0288685	 0.0278471	 0.0374107	
10000	1	DITHER____	_RANDOM	 0.0288716	 0.0278686	 0.0384444	
10000	1	DITHER____	PLATEAU	 0.0291181	 0.0279132	 0.0383962	
10000	1	DITHER____	SHUFFLE	 0.0448777	 0.1071334	 0.0955240	
10000	1	REVERSE_BA	SPIRAL	 0.2889678	 0.1259719	 0.1158540	
10000	1	REVERSE_BA	STAGGER	 0.0431885	 0.0429167	 0.0252326	
10000	1	REVERSE_BA	SAWTOTH	 0.0042845	 0.0044075	 0.0052318	
10000	1	REVERSE_BA	_RANDOM	 0.0043314	 0.0044027	 0.0052191	
10000	1	REVERSE_BA	PLATEAU	 0.0044580	 0.0044502	 0.0055668	
10000	1	REVERSE_BA	SHUFFLE	 0.0436955	 0.0436355	 0.0268186	
10000	1	REVERSE_FR	SPIRAL	 0.2425991	 0.1260024	 0.1177943	
10000	1	REVERSE_FR	STAGGER	 0.0435792	 0.0429993	 0.0263085	
10000	1	REVERSE_FR	SAWTOTH	 0.0043360	 0.0044197	 0.0052457	
10000	1	REVERSE_FR	_RANDOM	 0.0043317	 0.0044489	 0.0052199	
10000	1	REVERSE_FR	PLATEAU	 0.0045616	 0.0044390	 0.0043814	
10000	1	REVERSE_FR	SHUFFLE	 0.0085424	 0.0081591	 0.0085635	
10000	16	IDENT_____	SPIRAL	 0.2458222	 0.0821809	 0.0668272	
10000	16	IDENT_____	STAGGER	 0.0882929	 0.0889087	 0.0743914	
10000	16	IDENT_____	SAWTOTH	 0.0728942	 0.0739195	 0.1137550	
10000	16	IDENT_____	_RANDOM	 0.1824604	! 0.1191707	! 0.1300748	
10000	16	IDENT_____	PLATEAU	 0.0044734	 0.0044466	 0.0056006	
10000	16	IDENT_____	SHUFFLE	 0.1653843	 0.1314312	 0.1045201	
10000	16	REVERSE___	SPIRAL	 0.2872605	 0.0817873	 0.0668126	
10000	16	REVERSE___	STAGGER	 0.0956263	 0.0929176	 0.0758457	
10000	16	REVERSE___	SAWTOTH	 0.0557068	 0.0575107	 0.0624554	
10000	16	REVERSE___	_RANDOM	 0.1863490	! 0.1089022	! 0.0996571	
10000	16	REVERSE___	PLATEAU	 0.0044885	 0.0044752	 0.0042794	
10000	16	REVERSE___	SHUFFLE	 0.1840863	 0.1323124	 0.1062655	
10000	16	DITHER____	SPIRAL	 0.2204558	 0.0966690	 0.0694066	
10000	16	DITHER____	STAGGER	 0.0891453	 0.0892422	 0.0741836	
10000	16	DITHER____	SAWTOTH	 0.1127927	 0.1124752	 0.0484557	
10000	16	DITHER____	_RANDOM	 0.2044690	! 0.1332350	! 0.1194270	
10000	16	DITHER____	PLATEAU	 0.0271695	 0.0269410	 0.0381216	
10000	16	DITHER____	SHUFFLE	 0.1892471	 0.1064610	 0.0916079	
10000	16	REVERSE_BA	SPIRAL	 0.2574793	 0.0826890	 0.0666786	
10000	16	REVERSE_BA	STAGGER	 0.0934072	 0.0932364	 0.0782362	
10000	16	REVERSE_BA	SAWTOTH	 0.0905635	 0.0886744	 0.1174696	
10000	16	REVERSE_BA	_RANDOM	 0.1986112	! 0.1274462	! 0.1169436	
10000	16	REVERSE_BA	PLATEAU	 0.0044689	 0.0044419	 0.0055981	
10000	16	REVERSE_BA	SHUFFLE	 0.1921615	 0.1303714	 0.1043873	
10000	16	REVERSE_FR	SPIRAL	 0.2928644	 0.0823539	 0.0665367	
10000	16	REVERSE_FR	STAGGER	 0.0917656	 0.0850857	 0.0758822	
10000	16	REVERSE_FR	SAWTOTH	 0.1070487	 0.1092979	 0.0946397	
10000	16	REVERSE_FR	_RANDOM	 0.2018914	! 0.1205271	! 0.1238583	
10000	16	REVERSE_FR	PLATEAU	 0.0052010	 0.0044573	 0.0046463	
10000	16	REVERSE_FR	SHUFFLE	 0.1769410	 0.1323549	 0.1155951	
10000	256	IDENT_____	SPIRAL	 0.0863598	 0.0860931	 0.0753085	
10000	256	IDENT_____	STAGGER	 0.5461746	 0.1280714	 0.1186100	
10000	256	IDENT_____	SAWTOTH	 0.1048272	 0.1077725	 0.0924515	
10000	256	IDENT_____	_RANDOM	 0.4130428	 0.0687950	! 0.0856217	
10000	256	IDENT_____	PLATEAU	 0.0044559	 0.0044225	 0.0056175	
10000	256	IDENT_____	SHUFFLE	 0.0700576	! 0.0882893	! 0.0719125	
10000	256	REVERSE___	SPIRAL	 0.2563614	 0.0924606	 0.0929924	
10000	256	REVERSE___	STAGGER	 0.5223317	 0.1265380	 0.1152600	
10000	256	REVERSE___	SAWTOTH	 0.1172377	 0.1010011	 0.0919357	
10000	256	REVERSE___	_RANDOM	 0.4165075	 0.0686133	 0.0501184	
10000	256	REVERSE___	PLATEAU	 0.0047723	 0.0046609	 0.0049792	
10000	256	REVERSE___	SHUFFLE	 0.0775679	 0.0794450	 0.0674520	
10000	256	DITHER____	SPIRAL	 0.2103253	 0.0907761	 0.0689388	
10000	256	DITHER____	STAGGER	 0.5243497	 0.1134515	 0.1011054	
10000	256	DITHER____	SAWTOTH	 0.3383613	 0.0925021	 0.0710962	
10000	256	DITHER____	_RANDOM	 0.4278130	! 0.1481903	 0.0708890	
10000	256	DITHER____	PLATEAU	 0.0295021	 0.0257757	 0.0412308	
10000	256	DITHER____	SHUFFLE	 0.0845380	 0.1161007	 0.1023048	
10000	256	REVERSE_BA	SPIRAL	 0.1011575	 0.0873496	 0.0838963	
10000	256	REVERSE_BA	STAGGER	 0.5294770	 0.1167638	 0.1022562	
10000	256	REVERSE_BA	SAWTOTH	 0.1108624	 0.1090296	 0.1032262	
10000	256	REVERSE_BA	_RANDOM	 0.4136073	 0.0801725	 0.0500388	
10000	256	REVERSE_BA	PLATEAU	 0.0044583	 0.0044319	 0.0056125	
10000	256	REVERSE_BA	SHUFFLE	 0.0854419	 0.0920920	! 0.0789062	
10000	256	REVERSE_FR	SPIRAL	 0.1987513	 0.1010078	 0.0895690	
10000	256	REVERSE_FR	STAGGER	 0.5276104	 0.1130107	 0.0984729	
10000	256	REVERSE_FR	SAWTOTH	 0.1062474	 0.1004355	 0.1023324	
10000	256	REVERSE_FR	_RANDOM	 0.4033886	 0.0688197	 0.0498326	
