WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [100, 500, 5000]
Parameter[arraySubSize]: [1, 4, 16, 64, 256, 1024, 4096]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [SPIRAL, STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_19_02_10, DPQ_19_04_05]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		100	1	IDENT_____	SPIRAL	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	IDENT_____	SPIRAL	DPQ_11   	0.0008008	0.0007856	0.0000152	109	0.0007655	0.0008163
>> Best		100	1	IDENT_____	SPIRAL	DPQ_19_02_10	0.0007042	0.0006952	0.0000091	109	0.0006808	0.0007179
>> Best		100	1	IDENT_____	SPIRAL	DPQ_19_04_05	0.0008078	0.0007779	0.0000299	109	0.0007518	0.0008415
>> Best		100	1	IDENT_____	STAGGER	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	IDENT_____	STAGGER	DPQ_11   	0.0007719	0.0007497	0.0000222	109	0.0007219	0.0007922
>> Best		100	1	IDENT_____	STAGGER	DPQ_19_02_10	0.0008222	0.0008023	0.0000199	109	0.0007738	0.0008304
>> Best		100	1	IDENT_____	STAGGER	DPQ_19_04_05	0.0008068	0.0007913	0.0000155	109	0.0007748	0.0008196
>> Best		100	1	IDENT_____	SAWTOTH	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_11   	0.0000715	0.0000708	0.0000007	109	0.0000704	0.0000733
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_19_02_10	0.0000510	0.0000499	0.0000011	109	0.0000469	0.0000525
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_19_04_05	0.0000506	0.0000495	0.0000011	109	0.0000465	0.0000519
>> Best		100	1	IDENT_____	_RANDOM	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	IDENT_____	_RANDOM	DPQ_11   	0.0000715	0.0000708	0.0000007	109	0.0000704	0.0000733
>> Best		100	1	IDENT_____	_RANDOM	DPQ_19_02_10	0.0000509	0.0000498	0.0000011	109	0.0000468	0.0000522
>> Best		100	1	IDENT_____	_RANDOM	DPQ_19_04_05	0.0000506	0.0000495	0.0000010	109	0.0000465	0.0000512
>> Best		100	1	IDENT_____	PLATEAU	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	IDENT_____	PLATEAU	DPQ_11   	0.0000889	0.0000827	0.0000061	109	0.0000767	0.0000902
>> Best		100	1	IDENT_____	PLATEAU	DPQ_19_02_10	0.0000633	0.0000620	0.0000013	109	0.0000610	0.0000651
>> Best		100	1	IDENT_____	PLATEAU	DPQ_19_04_05	0.0000650	0.0000640	0.0000011	109	0.0000610	0.0000666
>> Best		100	1	IDENT_____	SHUFFLE	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_11   	0.0001354	0.0001345	0.0000009	109	0.0001338	0.0001374
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_19_02_10	0.0000649	0.0000639	0.0000010	109	0.0000611	0.0000665
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_19_04_05	0.0000650	0.0000639	0.0000011	109	0.0000610	0.0000664
>> Best		100	1	REVERSE___	SPIRAL	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE___	SPIRAL	DPQ_11   	0.0007018	0.0006882	0.0000136	109	0.0006658	0.0007146
>> Best		100	1	REVERSE___	SPIRAL	DPQ_19_02_10	0.0008676	0.0008520	0.0000155	109	0.0008374	0.0008931
>> Best		100	1	REVERSE___	SPIRAL	DPQ_19_04_05	0.0008789	0.0008582	0.0000207	109	0.0008322	0.0008901
>> Best		100	1	REVERSE___	STAGGER	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE___	STAGGER	DPQ_11   	0.0007314	0.0007160	0.0000153	109	0.0006910	0.0007396
>> Best		100	1	REVERSE___	STAGGER	DPQ_19_02_10	0.0003599	0.0003537	0.0000063	109	0.0003422	0.0003630
>> Best		100	1	REVERSE___	STAGGER	DPQ_19_04_05	0.0009215	0.0008988	0.0000226	109	0.0008704	0.0009335
>> Best		100	1	REVERSE___	SAWTOTH	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE___	SAWTOTH	DPQ_11   	0.0000717	0.0000709	0.0000008	109	0.0000704	0.0000734
>> Best		100	1	REVERSE___	SAWTOTH	DPQ_19_02_10	0.0000510	0.0000499	0.0000011	109	0.0000468	0.0000524
>> Best		100	1	REVERSE___	SAWTOTH	DPQ_19_04_05	0.0000506	0.0000495	0.0000011	109	0.0000465	0.0000519
>> Best		100	1	REVERSE___	_RANDOM	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE___	_RANDOM	DPQ_11   	0.0000716	0.0000708	0.0000007	109	0.0000704	0.0000733
>> Best		100	1	REVERSE___	_RANDOM	DPQ_19_02_10	0.0000511	0.0000499	0.0000012	109	0.0000468	0.0000525
>> Best		100	1	REVERSE___	_RANDOM	DPQ_19_04_05	0.0000505	0.0000495	0.0000010	109	0.0000465	0.0000515
>> Best		100	1	REVERSE___	PLATEAU	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE___	PLATEAU	DPQ_11   	0.0000779	0.0000772	0.0000007	109	0.0000767	0.0000796
>> Best		100	1	REVERSE___	PLATEAU	DPQ_19_02_10	0.0000575	0.0000567	0.0000009	109	0.0000544	0.0000583
>> Best		100	1	REVERSE___	PLATEAU	DPQ_19_04_05	0.0000573	0.0000564	0.0000010	109	0.0000530	0.0000582
>> Best		100	1	REVERSE___	SHUFFLE	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE___	SHUFFLE	DPQ_11   	0.0004256	0.0004198	0.0000058	109	0.0004149	0.0004364
>> Best		100	1	REVERSE___	SHUFFLE	DPQ_19_02_10	0.0001190	0.0001179	0.0000011	109	0.0001150	0.0001220
>> Best		100	1	REVERSE___	SHUFFLE	DPQ_19_04_05	0.0001185	0.0001175	0.0000010	109	0.0001147	0.0001215
>> Best		100	1	REVERSE_FR	SPIRAL	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_FR	SPIRAL	DPQ_11   	0.0014517	0.0014364	0.0000153	109	0.0014048	0.0014623
>> Best		100	1	REVERSE_FR	SPIRAL	DPQ_19_02_10	0.0007571	0.0007381	0.0000190	109	0.0007191	0.0007716
>> Best		100	1	REVERSE_FR	SPIRAL	DPQ_19_04_05	0.0006843	0.0006663	0.0000180	109	0.0006513	0.0007121
>> Best		100	1	REVERSE_FR	STAGGER	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_11   	0.0008447	0.0008277	0.0000170	109	0.0008029	0.0008735
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_19_02_10	0.0007873	0.0007774	0.0000099	109	0.0007642	0.0008010
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_19_04_05	0.0008263	0.0007942	0.0000321	109	0.0007554	0.0008439
>> Best		100	1	REVERSE_FR	SAWTOTH	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_FR	SAWTOTH	DPQ_11   	0.0000715	0.0000708	0.0000007	109	0.0000704	0.0000733
>> Best		100	1	REVERSE_FR	SAWTOTH	DPQ_19_02_10	0.0000509	0.0000498	0.0000011	109	0.0000468	0.0000517
>> Best		100	1	REVERSE_FR	SAWTOTH	DPQ_19_04_05	0.0000506	0.0000495	0.0000011	109	0.0000465	0.0000517
>> Best		100	1	REVERSE_FR	_RANDOM	BASELINE 	0.0000195	0.0000186	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_FR	_RANDOM	DPQ_11   	0.0000716	0.0000708	0.0000008	109	0.0000704	0.0000734
>> Best		100	1	REVERSE_FR	_RANDOM	DPQ_19_02_10	0.0000510	0.0000499	0.0000011	109	0.0000468	0.0000522
>> Best		100	1	REVERSE_FR	_RANDOM	DPQ_19_04_05	0.0000506	0.0000495	0.0000010	109	0.0000465	0.0000512
>> Best		100	1	REVERSE_FR	PLATEAU	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_FR	PLATEAU	DPQ_11   	0.0000797	0.0000789	0.0000007	109	0.0000784	0.0000817
>> Best		100	1	REVERSE_FR	PLATEAU	DPQ_19_02_10	0.0000678	0.0000668	0.0000009	109	0.0000641	0.0000679
>> Best		100	1	REVERSE_FR	PLATEAU	DPQ_19_04_05	0.0000672	0.0000663	0.0000009	109	0.0000636	0.0000669
>> Best		100	1	REVERSE_FR	SHUFFLE	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_FR	SHUFFLE	DPQ_11   	0.0004440	0.0004275	0.0000165	109	0.0004166	0.0004817
>> Best		100	1	REVERSE_FR	SHUFFLE	DPQ_19_02_10	0.0001085	0.0001061	0.0000024	109	0.0001014	0.0001091
>> Best		100	1	REVERSE_FR	SHUFFLE	DPQ_19_04_05	0.0001045	0.0001037	0.0000009	109	0.0001011	0.0001044
>> Best		100	1	REVERSE_BA	SPIRAL	BASELINE 	0.0000195	0.0000186	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_BA	SPIRAL	DPQ_11   	0.0007235	0.0007121	0.0000114	109	0.0006981	0.0007370
>> Best		100	1	REVERSE_BA	SPIRAL	DPQ_19_02_10	0.0010337	0.0010079	0.0000258	109	0.0009684	0.0010409
>> Best		100	1	REVERSE_BA	SPIRAL	DPQ_19_04_05	0.0010091	0.0009831	0.0000260	109	0.0009504	0.0010264
>> Best		100	1	REVERSE_BA	STAGGER	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_11   	0.0007089	0.0006949	0.0000139	109	0.0006792	0.0007254
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_19_02_10	0.0003029	0.0003000	0.0000029	109	0.0002981	0.0003152
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_19_04_05	0.0008919	0.0008643	0.0000276	109	0.0008283	0.0009059
>> Best		100	1	REVERSE_BA	SAWTOTH	BASELINE 	0.0000195	0.0000186	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_BA	SAWTOTH	DPQ_11   	0.0000717	0.0000710	0.0000008	109	0.0000704	0.0000734
>> Best		100	1	REVERSE_BA	SAWTOTH	DPQ_19_02_10	0.0000511	0.0000500	0.0000011	109	0.0000468	0.0000523
>> Best		100	1	REVERSE_BA	SAWTOTH	DPQ_19_04_05	0.0000506	0.0000495	0.0000010	109	0.0000465	0.0000518
>> Best		100	1	REVERSE_BA	_RANDOM	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_BA	_RANDOM	DPQ_11   	0.0000715	0.0000708	0.0000007	109	0.0000704	0.0000733
>> Best		100	1	REVERSE_BA	_RANDOM	DPQ_19_02_10	0.0000509	0.0000498	0.0000011	109	0.0000468	0.0000519
>> Best		100	1	REVERSE_BA	_RANDOM	DPQ_19_04_05	0.0000507	0.0000497	0.0000011	109	0.0000465	0.0000516
>> Best		100	1	REVERSE_BA	PLATEAU	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_BA	PLATEAU	DPQ_11   	0.0000892	0.0000829	0.0000063	109	0.0000767	0.0000904
>> Best		100	1	REVERSE_BA	PLATEAU	DPQ_19_02_10	0.0000636	0.0000621	0.0000014	109	0.0000610	0.0000653
>> Best		100	1	REVERSE_BA	PLATEAU	DPQ_19_04_05	0.0000653	0.0000641	0.0000012	109	0.0000611	0.0000685
>> Best		100	1	REVERSE_BA	SHUFFLE	BASELINE 	0.0000195	0.0000185	0.0000009	109	0.0000157	0.0000191
>> Best		100	1	REVERSE_BA	SHUFFLE	DPQ_11   	0.0002366	0.0002355	0.0000012	109	0.0002324	0.0002409
>> Best		100	1	REVERSE_BA	SHUFFLE	DPQ_19_02_10	0.0003196	0.0003155	0.0000041	109	0.0003108	0.0003325
>> Best		100	1	REVERSE_BA	SHUFFLE	DPQ_19_04_05	0.0004093	0.0004052	0.0000041	109	0.0003939	0.0004175
>> Best		100	1	SORT______	SPIRAL	BASELINE 	0.0000161	0.0000158	0.0000003	109	0.0000156	0.0000176
>> Best		100	1	SORT______	SPIRAL	DPQ_11   	0.0001353	0.0001345	0.0000008	109	0.0001337	0.0001385
>> Best		100	1	SORT______	SPIRAL	DPQ_19_02_10	0.0000618	0.0000614	0.0000004	109	0.0000610	0.0000625
>> Best		100	1	SORT______	SPIRAL	DPQ_19_04_05	0.0000617	0.0000614	0.0000003	109	0.0000609	0.0000621
>> Best		100	1	SORT______	STAGGER	BASELINE 	0.0000161	0.0000158	0.0000003	109	0.0000156	0.0000176
>> Best		100	1	SORT______	STAGGER	DPQ_11   	0.0001362	0.0001357	0.0000005	109	0.0001344	0.0001367
>> Best		100	1	SORT______	STAGGER	DPQ_19_02_10	0.0000556	0.0000554	0.0000002	109	0.0000552	0.0000558
>> Best		100	1	SORT______	STAGGER	DPQ_19_04_05	0.0000554	0.0000552	0.0000002	109	0.0000549	0.0000559
>> Best		100	1	SORT______	SAWTOTH	BASELINE 	0.0000161	0.0000158	0.0000003	109	0.0000156	0.0000176
>> Best		100	1	SORT______	SAWTOTH	DPQ_11   	0.0000734	0.0000732	0.0000002	109	0.0000729	0.0000737
>> Best		100	1	SORT______	SAWTOTH	DPQ_19_02_10	0.0000476	0.0000472	0.0000004	109	0.0000468	0.0000483
>> Best		100	1	SORT______	SAWTOTH	DPQ_19_04_05	0.0000471	0.0000467	0.0000004	109	0.0000465	0.0000478
>> Best		100	1	SORT______	_RANDOM	BASELINE 	0.0000161	0.0000158	0.0000003	109	0.0000156	0.0000177
>> Best		100	1	SORT______	_RANDOM	DPQ_11   	0.0000734	0.0000732	0.0000002	109	0.0000730	0.0000738
