Parsing sort-100,500,5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_02_10	DPQ_19_04_05	
100	1	IDENT_____	SPIRAL	 0.0000166	 0.0007641	 0.0006733	 0.0007651	
100	1	IDENT_____	STAGGER	 0.0000166	 0.0007275	 0.0007771	 0.0007737	
100	1	IDENT_____	SAWTOTH	 0.0000166	 0.0000545	 0.0000314	 0.0000310	
100	1	IDENT_____	_RANDOM	 0.0000166	 0.0000545	 0.0000313	 0.0000309	
100	1	IDENT_____	PLATEAU	 0.0000166	 0.0000662	 0.0000457	 0.0000455	
100	1	IDENT_____	SHUFFLE	 0.0000166	 0.0001181	 0.0000455	 0.0000455	
100	1	REVERSE___	SPIRAL	 0.0000166	 0.0006628	 0.0008363	 0.0008363	
100	1	REVERSE___	STAGGER	 0.0000166	 0.0006897	 0.0003319	 0.0008764	
100	1	REVERSE___	SAWTOTH	 0.0000166	 0.0000546	 0.0000313	 0.0000310	
100	1	REVERSE___	_RANDOM	 0.0000166	 0.0000545	 0.0000314	 0.0000309	
100	1	REVERSE___	PLATEAU	 0.0000166	 0.0000608	 0.0000387	 0.0000374	
100	1	REVERSE___	SHUFFLE	 0.0000166	 0.0004041	 0.0000995	 0.0000991	
100	1	REVERSE_FR	SPIRAL	 0.0000166	 0.0014035	 0.0007215	 0.0006527	
100	1	REVERSE_FR	STAGGER	 0.0000166	 0.0008033	 0.0007575	 0.0007709	
100	1	REVERSE_FR	SAWTOTH	 0.0000166	 0.0000545	 0.0000313	 0.0000310	
100	1	REVERSE_FR	_RANDOM	 0.0000166	 0.0000546	 0.0000313	 0.0000309	
100	1	REVERSE_FR	PLATEAU	 0.0000166	 0.0000625	 0.0000484	 0.0000479	
100	1	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004165	 0.0000872	 0.0000854	
100	1	REVERSE_BA	SPIRAL	 0.0000166	 0.0006929	 0.0009776	 0.0009598	
100	1	REVERSE_BA	STAGGER	 0.0000166	 0.0006765	 0.0002844	 0.0008393	
100	1	REVERSE_BA	SAWTOTH	 0.0000166	 0.0000546	 0.0000313	 0.0000309	
100	1	REVERSE_BA	_RANDOM	 0.0000166	 0.0000545	 0.0000313	 0.0000310	
100	1	REVERSE_BA	PLATEAU	 0.0000166	 0.0000664	 0.0000458	 0.0000457	
100	1	REVERSE_BA	SHUFFLE	 0.0000166	 0.0002170	 0.0002983	 0.0003814	
100	1	SORT______	SPIRAL	 0.0000159	 0.0001186	 0.0000455	 0.0000453	
100	1	SORT______	STAGGER	 0.0000159	 0.0001190	 0.0000395	 0.0000392	
100	1	SORT______	SAWTOTH	 0.0000159	 0.0000572	 0.0000313	 0.0000310	
100	1	SORT______	_RANDOM	 0.0000159	 0.0000573	 0.0000312	 0.0000310	
100	1	SORT______	PLATEAU	 0.0000159	 0.0000641	 0.0000453	 0.0000455	
100	1	SORT______	SHUFFLE	 0.0000159	 0.0001188	 0.0000454	 0.0000453	
100	1	DITHER____	SPIRAL	 0.0000166	 0.0006843	 0.0007739	 0.0007328	
100	1	DITHER____	STAGGER	 0.0000166	 0.0007593	 0.0007843	 0.0007707	
100	1	DITHER____	SAWTOTH	 0.0000166	 0.0003392	 0.0005135	 0.0004699	
100	1	DITHER____	_RANDOM	 0.0000166	 0.0003388	 0.0005136	 0.0004675	
100	1	DITHER____	PLATEAU	 0.0000166	 0.0003303	 0.0004975	 0.0004970	
100	1	DITHER____	SHUFFLE	 0.0000166	 0.0002154	 0.0004402	 0.0003422	
100	4	IDENT_____	SPIRAL	 0.0000166	 0.0012635	 0.0007187	 0.0007142	
100	4	IDENT_____	STAGGER	 0.0000166	 0.0007270	 0.0007798	 0.0007954	
100	4	IDENT_____	SAWTOTH	 0.0000166	 0.0002893	 0.0004596	 0.0004292	
100	4	IDENT_____	_RANDOM	 0.0000166	! 0.0003795	 0.0003531	 0.0002725	
100	4	IDENT_____	PLATEAU	 0.0000166	 0.0000661	 0.0000455	 0.0000456	
100	4	IDENT_____	SHUFFLE	 0.0000166	 0.0006528	 0.0005469	 0.0005812	
100	4	REVERSE___	SPIRAL	 0.0000166	 0.0005352	 0.0008190	 0.0008185	
100	4	REVERSE___	STAGGER	 0.0000166	 0.0006529	 0.0008683	 0.0008515	
100	4	REVERSE___	SAWTOTH	 0.0000166	 0.0002627	 0.0004696	 0.0002906	
100	4	REVERSE___	_RANDOM	 0.0000166	 0.0003631	 0.0004247	! 0.0004201	
100	4	REVERSE___	PLATEAU	 0.0000166	 0.0000768	 0.0000443	 0.0000439	
100	4	REVERSE___	SHUFFLE	 0.0000166	! 0.0007929	 0.0007044	 0.0006908	
100	4	REVERSE_FR	SPIRAL	 0.0000166	 0.0006419	 0.0007952	 0.0008662	
100	4	REVERSE_FR	STAGGER	 0.0000166	 0.0007430	 0.0009124	 0.0009856	
100	4	REVERSE_FR	SAWTOTH	 0.0000166	 0.0002737	 0.0003887	 0.0003818	
100	4	REVERSE_FR	_RANDOM	 0.0000166	 0.0003573	 0.0004093	 0.0002747	
100	4	REVERSE_FR	PLATEAU	 0.0000166	 0.0000737	 0.0000552	 0.0000547	
100	4	REVERSE_FR	SHUFFLE	 0.0000166	 0.0006851	 0.0006698	 0.0006454	
100	4	REVERSE_BA	SPIRAL	 0.0000166	 0.0006830	 0.0009715	 0.0011290	
100	4	REVERSE_BA	STAGGER	 0.0000166	 0.0007512	 0.0008718	 0.0008446	
100	4	REVERSE_BA	SAWTOTH	 0.0000166	 0.0003053	 0.0004634	 0.0004550	
100	4	REVERSE_BA	_RANDOM	 0.0000166	 0.0003728	 0.0003714	 0.0002746	
100	4	REVERSE_BA	PLATEAU	 0.0000166	 0.0000618	 0.0000459	 0.0000457	
100	4	REVERSE_BA	SHUFFLE	 0.0000166	 0.0007255	 0.0007569	 0.0007638	
100	4	SORT______	SPIRAL	 0.0000159	 0.0001214	 0.0000464	 0.0000453	
100	4	SORT______	STAGGER	 0.0000159	 0.0001234	 0.0000493	 0.0000486	
100	4	SORT______	SAWTOTH	 0.0000159	 0.0002180	 0.0000460	 0.0000457	
100	4	SORT______	_RANDOM	 0.0000159	 0.0002005	 0.0000453	 0.0000447	
100	4	SORT______	PLATEAU	 0.0000159	 0.0000645	 0.0000454	 0.0000460	
100	4	SORT______	SHUFFLE	 0.0000159	 0.0001213	 0.0000454	 0.0000454	
100	4	DITHER____	SPIRAL	 0.0000166	 0.0010453	 0.0006745	 0.0006651	
100	4	DITHER____	STAGGER	 0.0000166	 0.0007263	 0.0007807	 0.0007925	
100	4	DITHER____	SAWTOTH	 0.0000166	 0.0004922	 0.0010666	 0.0010570	
100	4	DITHER____	_RANDOM	 0.0000166	 0.0004692	 0.0005700	 0.0004883	
100	4	DITHER____	PLATEAU	 0.0000166	 0.0002882	 0.0005119	 0.0004864	
100	4	DITHER____	SHUFFLE	 0.0000166	 0.0006892	 0.0006831	 0.0006893	
100	16	IDENT_____	SPIRAL	 0.0000166	 0.0014186	 0.0005782	 0.0005721	
100	16	IDENT_____	STAGGER	 0.0000166	 0.0008497	 0.0008421	 0.0008187	
100	16	IDENT_____	SAWTOTH	 0.0000166	 0.0007779	 0.0008452	 0.0008374	
100	16	IDENT_____	_RANDOM	 0.0000166	 0.0007341	 0.0008175	 0.0007170	
100	16	IDENT_____	PLATEAU	 0.0000166	 0.0000761	 0.0000456	 0.0000456	
100	16	IDENT_____	SHUFFLE	 0.0000166	! 0.0004552	 0.0003178	 0.0003971	
100	16	REVERSE___	SPIRAL	 0.0000166	 0.0005573	 0.0007580	 0.0007545	
100	16	REVERSE___	STAGGER	 0.0000166	 0.0008954	 0.0008292	 0.0008438	
100	16	REVERSE___	SAWTOTH	 0.0000166	 0.0006527	 0.0008486	 0.0007953	
