Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[_distSamples]: [10]
Parameter[arraySubSize]: [1, 4, 16, 64]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_18_11_27, DPQ_18_11I, RADIX, MARLIN]
Parameter[arraySize]: [100]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		100	1	IDENT_____	STAGGER	BASELINE 	0.0000195	0.0000185	0.0000010	91	0.0000156	0.0000208
>> Best		100	1	IDENT_____	STAGGER	DPQ_11   	0.0007862	0.0007804	0.0000058	91	0.0007700	0.0007911
>> Best		100	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0008047	0.0006960	0.0001086	91	0.0006473	0.0012042
>> Best		100	1	IDENT_____	STAGGER	DPQ_18_11_27	0.0007087	0.0006782	0.0000305	91	0.0006582	0.0007699
>> Best		100	1	IDENT_____	STAGGER	DPQ_18_11I	0.0007299	0.0006808	0.0000491	91	0.0006308	0.0007626
>> Best		100	1	IDENT_____	STAGGER	RADIX    	0.0003785	0.0003776	0.0000009	91	0.0003744	0.0003788
>> Best		100	1	IDENT_____	STAGGER	MARLIN   	0.0003642	0.0003581	0.0000061	91	0.0003514	0.0003737
>> Best		100	1	REVERSE___	STAGGER	BASELINE 	0.0000198	0.0000186	0.0000012	91	0.0000156	0.0000209
>> Best		100	1	REVERSE___	STAGGER	DPQ_11   	0.0007200	0.0007100	0.0000100	91	0.0006954	0.0007361
>> Best		100	1	REVERSE___	STAGGER	DPQ_18_11_21	0.0010952	0.0010753	0.0000199	91	0.0010588	0.0011261
>> Best		100	1	REVERSE___	STAGGER	DPQ_18_11_27	0.0011219	0.0010834	0.0000385	91	0.0010300	0.0011218
>> Best		100	1	REVERSE___	STAGGER	DPQ_18_11I	0.0010935	0.0010782	0.0000153	91	0.0010651	0.0011158
>> Best		100	1	REVERSE___	STAGGER	RADIX    	0.0004855	0.0004679	0.0000176	91	0.0004573	0.0005157
>> Best		100	1	REVERSE___	STAGGER	MARLIN   	0.0011363	0.0011091	0.0000272	91	0.0010922	0.0011795
>> Best		100	1	REVERSE_FR	STAGGER	BASELINE 	0.0000195	0.0000185	0.0000010	91	0.0000156	0.0000208
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_11   	0.0008312	0.0008181	0.0000131	91	0.0007957	0.0008383
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_18_11_21	0.0009442	0.0009290	0.0000152	91	0.0008972	0.0009410
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_18_11_27	0.0009491	0.0009307	0.0000184	91	0.0008923	0.0009439
>> Best		100	1	REVERSE_FR	STAGGER	DPQ_18_11I	0.0009262	0.0009059	0.0000204	91	0.0008782	0.0009305
>> Best		100	1	REVERSE_FR	STAGGER	RADIX    	0.0004361	0.0004345	0.0000016	91	0.0004300	0.0004373
>> Best		100	1	REVERSE_FR	STAGGER	MARLIN   	0.0007716	0.0007699	0.0000017	91	0.0007660	0.0007727
>> Best		100	1	REVERSE_BA	STAGGER	BASELINE 	0.0000195	0.0000185	0.0000010	91	0.0000156	0.0000207
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_11   	0.0007102	0.0006982	0.0000120	91	0.0006761	0.0007168
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_18_11_21	0.0007958	0.0007868	0.0000090	91	0.0007717	0.0007980
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_18_11_27	0.0008002	0.0007817	0.0000185	91	0.0007650	0.0008298
>> Best		100	1	REVERSE_BA	STAGGER	DPQ_18_11I	0.0007703	0.0007670	0.0000033	91	0.0007607	0.0007717
>> Best		100	1	REVERSE_BA	STAGGER	RADIX    	0.0004222	0.0004172	0.0000050	91	0.0004083	0.0004274
