WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [100]
Parameter[arraySubSize]: [1, 4, 16, 64]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_18_11_27, DPQ_18_11I, RADIX, MARLIN]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		100	1	IDENT_____	STAGGER	BASELINE 	0.0000168	0.0000161	0.0000007	109	0.0000158	0.0000190
>> Best		100	1	IDENT_____	STAGGER	DPQ_11   	0.0007831	0.0007605	0.0000226	109	0.0007206	0.0007788
>> Best		100	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0006563	0.0006484	0.0000078	109	0.0006348	0.0006638
>> Best		100	1	IDENT_____	STAGGER	DPQ_18_11_27	0.0006710	0.0006659	0.0000051	109	0.0006583	0.0006771
>> Best		100	1	IDENT_____	STAGGER	DPQ_18_11I	0.0006465	0.0006392	0.0000073	109	0.0006311	0.0006555
>> Best		100	1	IDENT_____	STAGGER	RADIX    	0.0003915	0.0003885	0.0000031	109	0.0003816	0.0003948
>> Best		100	1	IDENT_____	STAGGER	MARLIN   	0.0003755	0.0003605	0.0000150	109	0.0003507	0.0003950
>> Best		100	1	IDENT_____	SAWTOTH	BASELINE 	0.0000169	0.0000162	0.0000007	109	0.0000158	0.0000190
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_11   	0.0000702	0.0000699	0.0000003	109	0.0000697	0.0000731
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.0000691	0.0000686	0.0000005	109	0.0000675	0.0000711
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_18_11_27	0.0000775	0.0000746	0.0000028	109	0.0000690	0.0000774
>> Best		100	1	IDENT_____	SAWTOTH	DPQ_18_11I	0.0000755	0.0000711	0.0000043	109	0.0000684	0.0000803
>> Best		100	1	IDENT_____	SAWTOTH	RADIX    	0.0001433	0.0001415	0.0000018	109	0.0001399	0.0001564
>> Best		100	1	IDENT_____	SAWTOTH	MARLIN   	0.0002374	0.0002347	0.0000027	109	0.0002326	0.0002416
>> Best		100	1	IDENT_____	_RANDOM	BASELINE 	0.0000169	0.0000162	0.0000007	109	0.0000158	0.0000190
>> Best		100	1	IDENT_____	_RANDOM	DPQ_11   	0.0000704	0.0000699	0.0000005	109	0.0000697	0.0000731
>> Best		100	1	IDENT_____	_RANDOM	DPQ_18_11_21	0.0000799	0.0000741	0.0000058	109	0.0000678	0.0000804
>> Best		100	1	IDENT_____	_RANDOM	DPQ_18_11_27	0.0000761	0.0000729	0.0000032	109	0.0000692	0.0000774
>> Best		100	1	IDENT_____	_RANDOM	DPQ_18_11I	0.0000692	0.0000689	0.0000003	109	0.0000684	0.0000713
>> Best		100	1	IDENT_____	_RANDOM	RADIX    	0.0001434	0.0001416	0.0000018	109	0.0001399	0.0001565
>> Best		100	1	IDENT_____	_RANDOM	MARLIN   	0.0002383	0.0002355	0.0000029	109	0.0002326	0.0002416
>> Best		100	1	IDENT_____	PLATEAU	BASELINE 	0.0000168	0.0000161	0.0000007	109	0.0000158	0.0000190
>> Best		100	1	IDENT_____	PLATEAU	DPQ_11   	0.0000824	0.0000786	0.0000038	109	0.0000760	0.0000882
>> Best		100	1	IDENT_____	PLATEAU	DPQ_18_11_21	0.0001058	0.0001053	0.0000006	109	0.0001041	0.0001076
>> Best		100	1	IDENT_____	PLATEAU	DPQ_18_11_27	0.0001055	0.0001050	0.0000006	109	0.0001039	0.0001068
>> Best		100	1	IDENT_____	PLATEAU	DPQ_18_11I	0.0001057	0.0001053	0.0000004	109	0.0001049	0.0001078
>> Best		100	1	IDENT_____	PLATEAU	RADIX    	0.0001541	0.0001516	0.0000025	109	0.0001504	0.0001618
>> Best		100	1	IDENT_____	PLATEAU	MARLIN   	0.0002341	0.0002313	0.0000028	109	0.0002291	0.0002384
>> Best		100	1	IDENT_____	SHUFFLE	BASELINE 	0.0000168	0.0000161	0.0000007	109	0.0000158	0.0000190
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_11   	0.0001425	0.0001366	0.0000059	109	0.0001333	0.0001492
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_18_11_21	0.0001571	0.0001554	0.0000017	109	0.0001525	0.0001574
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_18_11_27	0.0003088	0.0002995	0.0000092	109	0.0002925	0.0003199
>> Best		100	1	IDENT_____	SHUFFLE	DPQ_18_11I	0.0002271	0.0002094	0.0000177	109	0.0002007	0.0002487
>> Best		100	1	IDENT_____	SHUFFLE	RADIX    	0.0001531	0.0001513	0.0000019	109	0.0001503	0.0001617
>> Best		100	1	IDENT_____	SHUFFLE	MARLIN   	0.0001984	0.0001957	0.0000027	109	0.0001928	0.0002014
>> Best		100	1	REVERSE___	STAGGER	BASELINE 	0.0000169	0.0000162	0.0000007	109	0.0000158	0.0000190
>> Best		100	1	REVERSE___	STAGGER	DPQ_11   	0.0007273	0.0007160	0.0000113	109	0.0006971	0.0007347
