Benchmark                (arraySize)  (arraySubSize)  (dataTweaker)  (distBuilder)     (tSorter)  Mode  Cnt      Score       Error  Units
ArraySortBenchmark.sort          100               1     IDENT_____        STAGGER      BASELINE  avgt   20     16.025 ±     0.929  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        STAGGER        DPQ_11  avgt   20    772.364 ±     8.795  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        STAGGER  DPQ_18_11_21  avgt   20    637.053 ±     1.206  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        STAGGER    DPQ_18_11I  avgt   20    641.802 ±     5.501  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        STAGGER    DPQ_18_11P  avgt   20    490.050 ±     0.867  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        STAGGER         RADIX  avgt   20    356.206 ±     2.450  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SAWTOTH      BASELINE  avgt   20     16.023 ±     0.929  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SAWTOTH        DPQ_11  avgt   20     70.746 ±     0.912  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SAWTOTH  DPQ_18_11_21  avgt   20     70.896 ±     0.380  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SAWTOTH    DPQ_18_11I  avgt   20     71.307 ±     0.380  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SAWTOTH    DPQ_18_11P  avgt   20     73.324 ±     0.063  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SAWTOTH         RADIX  avgt   20    114.630 ±     2.963  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        _RANDOM      BASELINE  avgt   20     16.023 ±     0.930  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        _RANDOM        DPQ_11  avgt   20     70.824 ±     0.889  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        _RANDOM  DPQ_18_11_21  avgt   20     72.209 ±     0.350  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        _RANDOM    DPQ_18_11I  avgt   20     71.344 ±     0.351  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        _RANDOM    DPQ_18_11P  avgt   20     73.302 ±     0.083  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        _RANDOM         RADIX  avgt   20    114.653 ±     2.936  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        PLATEAU      BASELINE  avgt   20     16.020 ±     0.929  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        PLATEAU        DPQ_11  avgt   20     77.253 ±     0.803  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        PLATEAU  DPQ_18_11_21  avgt   20    107.532 ±     0.128  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        PLATEAU    DPQ_18_11I  avgt   20    107.469 ±     0.171  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        PLATEAU    DPQ_18_11P  avgt   20     73.392 ±     0.338  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        PLATEAU         RADIX  avgt   20    116.250 ±     8.516  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SHUFFLE      BASELINE  avgt   20     16.019 ±     0.929  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SHUFFLE        DPQ_11  avgt   20    134.235 ±     0.909  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SHUFFLE  DPQ_18_11_21  avgt   20    155.798 ±     0.765  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SHUFFLE    DPQ_18_11I  avgt   20    203.040 ±     0.294  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SHUFFLE    DPQ_18_11P  avgt   20     73.274 ±     0.059  ns/op
ArraySortBenchmark.sort          100               1     IDENT_____        SHUFFLE         RADIX  avgt   20    125.699 ±     1.686  ns/op
ArraySortBenchmark.sort          100               1     REVERSE___        STAGGER      BASELINE  avgt   20     16.019 ±     0.930  ns/op
ArraySortBenchmark.sort          100               1     REVERSE___        STAGGER        DPQ_11  avgt   20    705.972 ±     1.520  ns/op
ArraySortBenchmark.sort          100               1     REVERSE___        STAGGER  DPQ_18_11_21  avgt   20   1116.259 ±     2.599  ns/op
ArraySortBenchmark.sort          100               1     REVERSE___        STAGGER    DPQ_18_11I  avgt   20   1114.644 ±     3.297  ns/op
ArraySortBenchmark.sort          100               1     REVERSE___        STAGGER    DPQ_18_11P  avgt   20   1297.308 ±    16.623  ns/op
ArraySortBenchmark.sort          100               1     REVERSE___        STAGGER         RADIX  avgt   20    433.991 ±     1.935  ns/op
ArraySortBenchmark.sort          100               1     REVERSE___        SAWTOTH      BASELINE  avgt   20     16.021 ±     0.930  ns/op
ArraySortBenchmark.sort          100               1     REVERSE___        SAWTOTH        DPQ_11  avgt   20     70.810 ±     0.879  ns/op
