Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[_distSamples]: [10]
Parameter[arraySubSize]: [1, 4, 16, 64, 256, 1024]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_18_11_27, DPQ_18_11I, RADIX, MARLIN]
Parameter[arraySize]: [1000]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000	1	IDENT_____	STAGGER	BASELINE 	0.0001521	0.0001509	0.0000012	109	0.0001485	0.0001526
>> Best		1000	1	IDENT_____	STAGGER	DPQ_11   	0.0026492	0.0024414	0.0002077	109	0.0023053	0.0028830
>> Best		1000	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0334270	0.0259606	0.0074664	109	0.0230847	0.0570762
>> Best		1000	1	IDENT_____	STAGGER	DPQ_18_11_27	0.0226807	0.0215903	0.0010905	109	0.0176151	0.0229828
>> Best		1000	1	IDENT_____	STAGGER	DPQ_18_11I	0.0253438	0.0220428	0.0033011	109	0.0166113	0.0355230
>> Best		1000	1	IDENT_____	STAGGER	RADIX    	0.0027354	0.0026437	0.0000918	109	0.0025141	0.0028000
>> Best		1000	1	IDENT_____	STAGGER	MARLIN   	0.0052053	0.0050931	0.0001122	109	0.0049882	0.0055522
>> Best		1000	1	REVERSE___	STAGGER	BASELINE 	0.0001519	0.0001508	0.0000011	109	0.0001487	0.0001524
>> Best		1000	1	REVERSE___	STAGGER	DPQ_11   	0.0028210	0.0027912	0.0000298	109	0.0027169	0.0028286
>> Best		1000	1	REVERSE___	STAGGER	DPQ_18_11_21	0.0226968	0.0212624	0.0014343	109	0.0192535	0.0258181
>> Best		1000	1	REVERSE___	STAGGER	DPQ_18_11_27	0.0208654	0.0204468	0.0004186	109	0.0196742	0.0211988
>> Best		1000	1	REVERSE___	STAGGER	DPQ_18_11I	0.0214028	0.0205410	0.0008617	109	0.0188229	0.0224406
>> Best		1000	1	REVERSE___	STAGGER	RADIX    	0.0033939	0.0031476	0.0002463	109	0.0030040	0.0036944
>> Best		1000	1	REVERSE___	STAGGER	MARLIN   	0.0141313	0.0120835	0.0020478	109	0.0111944	0.0238110
>> Best		1000	1	REVERSE_FR	STAGGER	BASELINE 	0.0001519	0.0001508	0.0000011	109	0.0001489	0.0001524
>> Best		1000	1	REVERSE_FR	STAGGER	DPQ_11   	0.0028290	0.0027055	0.0001235	109	0.0026111	0.0029638
>> Best		1000	1	REVERSE_FR	STAGGER	DPQ_18_11_21	0.0204639	0.0186655	0.0017985	109	0.0177148	0.0339434
>> Best		1000	1	REVERSE_FR	STAGGER	DPQ_18_11_27	0.0215262	0.0203918	0.0011344	109	0.0195808	0.0318190
>> Best		1000	1	REVERSE_FR	STAGGER	DPQ_18_11I	0.0188521	0.0183361	0.0005160	109	0.0176888	0.0225152
>> Best		1000	1	REVERSE_FR	STAGGER	RADIX    	0.0034684	0.0031064	0.0003620	109	0.0027057	0.0035903
>> Best		1000	1	REVERSE_FR	STAGGER	MARLIN   	0.0110359	0.0104042	0.0006317	109	0.0097811	0.0146873
>> Best		1000	1	REVERSE_BA	STAGGER	BASELINE 	0.0001519	0.0001508	0.0000011	109	0.0001489	0.0001524
>> Best		1000	1	REVERSE_BA	STAGGER	DPQ_11   	0.0026993	0.0026608	0.0000385	109	0.0026133	0.0027335
>> Best		1000	1	REVERSE_BA	STAGGER	DPQ_18_11_21	0.0221167	0.0205389	0.0015778	109	0.0194798	0.0361304
>> Best		1000	1	REVERSE_BA	STAGGER	DPQ_18_11_27	0.0205558	0.0192453	0.0013105	109	0.0185129	0.0308310
>> Best		1000	1	REVERSE_BA	STAGGER	DPQ_18_11I	0.0219624	0.0210469	0.0009155	109	0.0201012	0.0249333
>> Best		1000	1	REVERSE_BA	STAGGER	RADIX    	0.0031602	0.0029580	0.0002022	109	0.0026488	0.0036001
>> Best		1000	1	REVERSE_BA	STAGGER	MARLIN   	0.0114870	0.0104874	0.0009995	109	0.0097554	0.0198241
>> Best		1000	1	SORT______	STAGGER	BASELINE 	0.0001521	0.0001511	0.0000010	109	0.0001492	0.0001532
>> Best		1000	1	SORT______	STAGGER	DPQ_11   	0.0004263	0.0004237	0.0000025	109	0.0004201	0.0004293
>> Best		1000	1	SORT______	STAGGER	DPQ_18_11_21	0.0025206	0.0024939	0.0000267	109	0.0024520	0.0025252
>> Best		1000	1	SORT______	STAGGER	DPQ_18_11_27	0.0027049	0.0026880	0.0000169	109	0.0026592	0.0027224
>> Best		1000	1	SORT______	STAGGER	DPQ_18_11I	0.0026019	0.0025252	0.0000767	109	0.0024425	0.0026191
>> Best		1000	1	SORT______	STAGGER	RADIX    	0.0006460	0.0005710	0.0000749	109	0.0005045	0.0007273
>> Best		1000	1	SORT______	STAGGER	MARLIN   	0.0034417	0.0033130	0.0001287	109	0.0031934	0.0038947
>> Best		1000	1	DITHER____	STAGGER	BASELINE 	0.0001519	0.0001507	0.0000012	109	0.0001487	0.0001525
>> Best		1000	1	DITHER____	STAGGER	DPQ_11   	0.0123582	0.0111051	0.0012531	109	0.0101860	0.0144571
>> Best		1000	1	DITHER____	STAGGER	DPQ_18_11_21	0.0251417	0.0229079	0.0022338	109	0.0209662	0.0274398
>> Best		1000	1	DITHER____	STAGGER	DPQ_18_11_27	0.0225053	0.0215236	0.0009817	109	0.0204733	0.0253758
>> Best		1000	1	DITHER____	STAGGER	DPQ_18_11I	0.0232211	0.0220242	0.0011969	109	0.0209897	0.0271358
>> Best		1000	1	DITHER____	STAGGER	RADIX    	0.0186747	0.0175623	0.0011124	109	0.0165638	0.0282610
>> Best		1000	1	DITHER____	STAGGER	MARLIN   	0.0101086	0.0095492	0.0005595	109	0.0090087	0.0127151
>> Best		1000	4	IDENT_____	STAGGER	BASELINE 	0.0001520	0.0001509	0.0000011	109	0.0001489	0.0001527
>> Best		1000	4	IDENT_____	STAGGER	DPQ_11   	0.0068789	0.0063124	0.0005664	109	0.0057718	0.0113464
>> Best		1000	4	IDENT_____	STAGGER	DPQ_18_11_21	0.0193912	0.0185631	0.0008281	109	0.0174153	0.0200156
>> Best		1000	4	IDENT_____	STAGGER	DPQ_18_11_27	0.0184382	0.0178991	0.0005391	109	0.0167455	0.0202796
>> Best		1000	4	IDENT_____	STAGGER	DPQ_18_11I	0.0203184	0.0190166	0.0013019	109	0.0175333	0.0304635
>> Best		1000	4	IDENT_____	STAGGER	RADIX    	0.0073421	0.0066924	0.0006497	109	0.0062655	0.0124882
>> Best		1000	4	IDENT_____	STAGGER	MARLIN   	0.0127203	0.0121376	0.0005827	109	0.0114122	0.0154113
>> Best		1000	4	REVERSE___	STAGGER	BASELINE 	0.0001519	0.0001508	0.0000011	109	0.0001488	0.0001524
>> Best		1000	4	REVERSE___	STAGGER	DPQ_11   	0.0076959	0.0071028	0.0005931	109	0.0068562	0.0127446
>> Best		1000	4	REVERSE___	STAGGER	DPQ_18_11_21	0.0221180	0.0208134	0.0013046	109	0.0183812	0.0239682
>> Best		1000	4	REVERSE___	STAGGER	DPQ_18_11_27	0.0206487	0.0201734	0.0004753	109	0.0190213	0.0217992
>> Best		1000	4	REVERSE___	STAGGER	DPQ_18_11I	0.0213643	0.0196345	0.0017298	109	0.0170270	0.0256085
>> Best		1000	4	REVERSE___	STAGGER	RADIX    	0.0081114	0.0075621	0.0005493	109	0.0071799	0.0124777
>> Best		1000	4	REVERSE___	STAGGER	MARLIN   	0.0193941	0.0189022	0.0004919	109	0.0179481	0.0204364
>> Best		1000	4	REVERSE_FR	STAGGER	BASELINE 	0.0001519	0.0001508	0.0000011	109	0.0001489	0.0001524
>> Best		1000	4	REVERSE_FR	STAGGER	DPQ_11   	0.0079155	0.0072427	0.0006728	109	0.0069884	0.0137602
>> Best		1000	4	REVERSE_FR	STAGGER	DPQ_18_11_21	0.0251012	0.0215746	0.0035267	109	0.0193580	0.0372520
>> Best		1000	4	REVERSE_FR	STAGGER	DPQ_18_11_27	0.0239184	0.0207926	0.0031259	109	0.0155118	0.0293665
>> Best		1000	4	REVERSE_FR	STAGGER	DPQ_18_11I	0.0207457	0.0204722	0.0002735	109	0.0197806	0.0210335
>> Best		1000	4	REVERSE_FR	STAGGER	RADIX    	0.0077815	0.0074374	0.0003441	109	0.0071947	0.0098785
>> Best		1000	4	REVERSE_FR	STAGGER	MARLIN   	0.0174872	0.0167454	0.0007418	109	0.0160610	0.0231753
>> Best		1000	4	REVERSE_BA	STAGGER	BASELINE 	0.0001519	0.0001508	0.0000011	109	0.0001487	0.0001524
>> Best		1000	4	REVERSE_BA	STAGGER	DPQ_11   	0.0091042	0.0087923	0.0003120	109	0.0085104	0.0108353
>> Best		1000	4	REVERSE_BA	STAGGER	DPQ_18_11_21	0.0185971	0.0169142	0.0016828	109	0.0150283	0.0240510
>> Best		1000	4	REVERSE_BA	STAGGER	DPQ_18_11_27	0.0171595	0.0167325	0.0004270	109	0.0159561	0.0174647
>> Best		1000	4	REVERSE_BA	STAGGER	DPQ_18_11I	0.0206474	0.0178103	0.0028371	109	0.0159567	0.0355012
>> Best		1000	4	REVERSE_BA	STAGGER	RADIX    	0.0090675	0.0087894	0.0002781	109	0.0084683	0.0093089
>> Best		1000	4	REVERSE_BA	STAGGER	MARLIN   	0.0182305	0.0170655	0.0011650	109	0.0154356	0.0271560
>> Best		1000	4	SORT______	STAGGER	BASELINE 	0.0001518	0.0001506	0.0000012	109	0.0001490	0.0001526
>> Best		1000	4	SORT______	STAGGER	DPQ_11   	0.0004403	0.0004374	0.0000030	109	0.0004330	0.0004420
>> Best		1000	4	SORT______	STAGGER	DPQ_18_11_21	0.0024133	0.0023985	0.0000148	109	0.0023659	0.0024263
>> Best		1000	4	SORT______	STAGGER	DPQ_18_11_27	0.0026409	0.0025892	0.0000517	109	0.0024999	0.0026305
>> Best		1000	4	SORT______	STAGGER	DPQ_18_11I	0.0026905	0.0026253	0.0000652	109	0.0025616	0.0027651
>> Best		1000	4	SORT______	STAGGER	RADIX    	0.0008460	0.0007519	0.0000941	109	0.0005793	0.0008110
>> Best		1000	4	SORT______	STAGGER	MARLIN   	0.0033694	0.0032968	0.0000726	109	0.0032058	0.0039006
>> Best		1000	4	DITHER____	STAGGER	BASELINE 	0.0001519	0.0001508	0.0000011	109	0.0001489	0.0001523
>> Best		1000	4	DITHER____	STAGGER	DPQ_11   	0.0069866	0.0064196	0.0005670	109	0.0061564	0.0119853
>> Best		1000	4	DITHER____	STAGGER	DPQ_18_11_21	0.0204492	0.0188231	0.0016261	109	0.0174352	0.0321793
>> Best		1000	4	DITHER____	STAGGER	DPQ_18_11_27	0.0175437	0.0172219	0.0003218	109	0.0167330	0.0176492
>> Best		1000	4	DITHER____	STAGGER	DPQ_18_11I	0.0216904	0.0194194	0.0022710	109	0.0183308	0.0345073
>> Best		1000	4	DITHER____	STAGGER	RADIX    	0.0069009	0.0066188	0.0002821	109	0.0063425	0.0079629
>> Best		1000	4	DITHER____	STAGGER	MARLIN   	0.0131025	0.0122296	0.0008729	109	0.0114036	0.0188868
>> Best		1000	16	IDENT_____	STAGGER	BASELINE 	0.0001520	0.0001508	0.0000012	109	0.0001484	0.0001526
>> Best		1000	16	IDENT_____	STAGGER	DPQ_11   	0.0124464	0.0119962	0.0004502	109	0.0116125	0.0157358
>> Best		1000	16	IDENT_____	STAGGER	DPQ_18_11_21	0.0192945	0.0189915	0.0003030	109	0.0183046	0.0196000
>> Best		1000	16	IDENT_____	STAGGER	DPQ_18_11_27	0.0250985	0.0205415	0.0045570	109	0.0165869	0.0390552
>> Best		1000	16	IDENT_____	STAGGER	DPQ_18_11I	0.0194521	0.0189351	0.0005170	109	0.0178204	0.0198043
>> Best		1000	16	IDENT_____	STAGGER	RADIX    	0.0187220	0.0175143	0.0012077	109	0.0168321	0.0292490
>> Best		1000	16	IDENT_____	STAGGER	MARLIN   	0.0170631	0.0166082	0.0004549	109	0.0157003	0.0173554
>> Best		1000	16	REVERSE___	STAGGER	BASELINE 	0.0001517	0.0001506	0.0000011	109	0.0001485	0.0001524
>> Best		1000	16	REVERSE___	STAGGER	DPQ_11   	0.0152812	0.0150452	0.0002360	109	0.0144679	0.0156080
>> Best		1000	16	REVERSE___	STAGGER	DPQ_18_11_21	0.0209503	0.0187999	0.0021504	109	0.0171176	0.0250821
>> Best		1000	16	REVERSE___	STAGGER	DPQ_18_11_27	0.0183710	0.0167315	0.0016396	109	0.0155367	0.0272153
>> Best		1000	16	REVERSE___	STAGGER	DPQ_18_11I	0.0218931	0.0195365	0.0023566	109	0.0175935	0.0305380
>> Best		1000	16	REVERSE___	STAGGER	RADIX    	0.0193105	0.0180796	0.0012309	109	0.0171872	0.0289620
>> Best		1000	16	REVERSE___	STAGGER	MARLIN   	0.0244537	0.0225418	0.0019119	109	0.0220056	0.0389000
>> Best		1000	16	REVERSE_FR	STAGGER	BASELINE 	0.0001517	0.0001506	0.0000012	109	0.0001484	0.0001524
>> Best		1000	16	REVERSE_FR	STAGGER	DPQ_11   	0.0157179	0.0145744	0.0011435	109	0.0139930	0.0259834
>> Best		1000	16	REVERSE_FR	STAGGER	DPQ_18_11_21	0.0284182	0.0245652	0.0038530	109	0.0198225	0.0285556
