WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [10000]
Parameter[arraySubSize]: [1, 4, 16, 64, 256, 1024, 4096, 16384]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_18_11_27, DPQ_18_11I, RADIX, MARLIN]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		10000	1	IDENT_____	STAGGER	BASELINE 	0.0012982	0.0012586	0.0000396	109	0.0011530	0.0013255
>> Best		10000	1	IDENT_____	STAGGER	DPQ_11   	0.0300537	0.0299574	0.0000963	109	0.0297617	0.0301485
>> Best		10000	1	IDENT_____	STAGGER	DPQ_18_11_21	0.0264142	0.0257916	0.0006225	109	0.0252909	0.0269765
>> Best		10000	1	IDENT_____	STAGGER	DPQ_18_11_27	0.0268853	0.0268373	0.0000481	109	0.0267321	0.0269287
>> Best		10000	1	IDENT_____	STAGGER	DPQ_18_11I	0.0254895	0.0254386	0.0000509	109	0.0253351	0.0255461
>> Best		10000	1	IDENT_____	STAGGER	RADIX    	0.0298793	0.0290336	0.0008457	109	0.0275148	0.0297150
>> Best		10000	1	IDENT_____	STAGGER	MARLIN   	0.0494631	0.0491000	0.0003631	109	0.0485047	0.0497814
>> Best		10000	1	IDENT_____	SAWTOTH	BASELINE 	0.0013001	0.0012562	0.0000439	109	0.0011622	0.0013503
>> Best		10000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0063524	0.0061354	0.0002169	109	0.0059207	0.0064959
>> Best		10000	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.0050908	0.0050674	0.0000234	109	0.0050055	0.0051060
>> Best		10000	1	IDENT_____	SAWTOTH	DPQ_18_11_27	0.0036445	0.0035690	0.0000755	109	0.0033945	0.0036722
>> Best		10000	1	IDENT_____	SAWTOTH	DPQ_18_11I	0.0053301	0.0046466	0.0006835	109	0.0034780	0.0051008
>> Best		10000	1	IDENT_____	SAWTOTH	RADIX    	0.0054678	0.0053882	0.0000796	109	0.0052027	0.0055475
>> Best		10000	1	IDENT_____	SAWTOTH	MARLIN   	0.0388445	0.0386319	0.0002125	109	0.0381665	0.0391090
>> Best		10000	1	IDENT_____	_RANDOM	BASELINE 	0.0012939	0.0012505	0.0000434	109	0.0011491	0.0013356
>> Best		10000	1	IDENT_____	_RANDOM	DPQ_11   	0.0060917	0.0055622	0.0005295	109	0.0050134	0.0064824
>> Best		10000	1	IDENT_____	_RANDOM	DPQ_18_11_21	0.0043735	0.0037883	0.0005852	109	0.0034684	0.0050785
>> Best		10000	1	IDENT_____	_RANDOM	DPQ_18_11_27	0.0035831	0.0035375	0.0000456	109	0.0034701	0.0036483
>> Best		10000	1	IDENT_____	_RANDOM	DPQ_18_11I	0.0035363	0.0035147	0.0000215	109	0.0034689	0.0035569
>> Best		10000	1	IDENT_____	_RANDOM	RADIX    	0.0053970	0.0053236	0.0000735	109	0.0051574	0.0054871
>> Best		10000	1	IDENT_____	_RANDOM	MARLIN   	0.0389103	0.0387147	0.0001955	109	0.0382482	0.0391574
>> Best		10000	1	IDENT_____	PLATEAU	BASELINE 	0.0012893	0.0012464	0.0000428	109	0.0011560	0.0013187
>> Best		10000	1	IDENT_____	PLATEAU	DPQ_11   	0.0151340	0.0105237	0.0046103	109	0.0084505	0.0284902
>> Best		10000	1	IDENT_____	PLATEAU	DPQ_18_11_21	0.0073014	0.0066591	0.0006423	109	0.0055805	0.0071014
>> Best		10000	1	IDENT_____	PLATEAU	DPQ_18_11_27	0.0084079	0.0080854	0.0003225	109	0.0078209	0.0086366
