WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [100000]
Parameter[arraySubSize]: [1, 4, 16, 64, 256, 1024, 4096, 16384, 65536]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_18_11_27, DPQ_18_11I, RADIX, MARLIN]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		100000	1	IDENT_____	STAGGER	BASELINE 	0.0229941	0.0227690	0.0002252	109	0.0219386	0.0229516
>> Best		100000	1	IDENT_____	STAGGER	DPQ_11   	0.3628392	0.3371869	0.0256524	109	0.3122321	0.3660620
>> Best		100000	1	IDENT_____	STAGGER	DPQ_18_11_21	0.2585523	0.2581603	0.0003921	109	0.2572182	0.2591049
>> Best		100000	1	IDENT_____	STAGGER	DPQ_18_11_27	0.2735118	0.2727554	0.0007564	109	0.2715585	0.2749239
>> Best		100000	1	IDENT_____	STAGGER	DPQ_18_11I	0.2612670	0.2527128	0.0085542	109	0.2382330	0.2587214
>> Best		100000	1	IDENT_____	STAGGER	RADIX    	0.3092221	0.3087655	0.0004566	109	0.3075949	0.3097712
>> Best		100000	1	IDENT_____	STAGGER	MARLIN   	0.5040833	0.5006196	0.0034636	109	0.4943483	0.5070649
>> Best		100000	1	IDENT_____	SAWTOTH	BASELINE 	0.0208727	0.0208226	0.0000500	109	0.0206140	0.0209371
>> Best		100000	1	IDENT_____	SAWTOTH	DPQ_11   	0.0639734	0.0592734	0.0047000	109	0.0565565	0.0696072
>> Best		100000	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.0465934	0.0450764	0.0015170	109	0.0436386	0.0485231
>> Best		100000	1	IDENT_____	SAWTOTH	DPQ_18_11_27	0.0616194	0.0525308	0.0090886	109	0.0437183	0.0627933
>> Best		100000	1	IDENT_____	SAWTOTH	DPQ_18_11I	0.0445334	0.0442513	0.0002821	109	0.0434446	0.0447526
>> Best		100000	1	IDENT_____	SAWTOTH	RADIX    	0.0806739	0.0758872	0.0047866	109	0.0677597	0.0794351
>> Best		100000	1	IDENT_____	SAWTOTH	MARLIN   	0.3998542	0.3975528	0.0023015	109	0.3914421	0.4006905
>> Best		100000	1	IDENT_____	_RANDOM	BASELINE 	0.0208362	0.0208021	0.0000341	109	0.0207209	0.0208714
>> Best		100000	1	IDENT_____	_RANDOM	DPQ_11   	0.0640127	0.0593506	0.0046622	109	0.0563017	0.0695546
>> Best		100000	1	IDENT_____	_RANDOM	DPQ_18_11_21	0.0491104	0.0472202	0.0018902	109	0.0436294	0.0487005
>> Best		100000	1	IDENT_____	_RANDOM	DPQ_18_11_27	0.0615631	0.0525298	0.0090333	109	0.0438825	0.0626824
>> Best		100000	1	IDENT_____	_RANDOM	DPQ_18_11I	0.0481881	0.0461783	0.0020098	109	0.0439804	0.0486938
>> Best		100000	1	IDENT_____	_RANDOM	RADIX    	0.0787045	0.0784789	0.0002255	109	0.0778565	0.0792921
>> Best		100000	1	IDENT_____	_RANDOM	MARLIN   	0.3988105	0.3968750	0.0019355	109	0.3908232	0.3996609
>> Best		100000	1	IDENT_____	PLATEAU	BASELINE 	0.0229043	0.0228656	0.0000387	109	0.0227907	0.0229809
>> Best		100000	1	IDENT_____	PLATEAU	DPQ_11   	0.0969964	0.0922753	0.0047211	109	0.0840699	0.0955650
>> Best		100000	1	IDENT_____	PLATEAU	DPQ_18_11_21	0.0836842	0.0752933	0.0083909	109	0.0614093	0.0808439
>> Best		100000	1	IDENT_____	PLATEAU	DPQ_18_11_27	0.0938022	0.0815690	0.0122332	109	0.0613783	0.0896901
>> Best		100000	1	IDENT_____	PLATEAU	DPQ_18_11I	0.0668327	0.0663974	0.0004353	109	0.0653722	0.0677546
>> Best		100000	1	IDENT_____	PLATEAU	RADIX    	0.0616265	0.0613963	0.0002302	109	0.0606712	0.0617602
>> Best		100000	1	IDENT_____	PLATEAU	MARLIN   	0.4151533	0.4131385	0.0020148	109	0.4065244	0.4156826
>> Best		100000	1	IDENT_____	SHUFFLE	BASELINE 	0.0231106	0.0228306	0.0002800	109	0.0211829	0.0229431
>> Best		100000	1	IDENT_____	SHUFFLE	DPQ_11   	0.1009594	0.0857380	0.0152214	109	0.0606642	0.0954497
>> Best		100000	1	IDENT_____	SHUFFLE	DPQ_18_11_21	0.0800402	0.0728637	0.0071765	109	0.0657491	0.0809034
>> Best		100000	1	IDENT_____	SHUFFLE	DPQ_18_11_27	0.0890962	0.0889043	0.0001919	109	0.0884129	0.0892447
>> Best		100000	1	IDENT_____	SHUFFLE	DPQ_18_11I	0.0838704	0.0753927	0.0084777	109	0.0613037	0.0809636
>> Best		100000	1	IDENT_____	SHUFFLE	RADIX    	0.0615481	0.0613769	0.0001713	109	0.0608438	0.0616963
>> Best		100000	1	IDENT_____	SHUFFLE	MARLIN   	0.3535790	0.3525927	0.0009863	109	0.3506344	0.3545498
>> Best		100000	1	REVERSE___	STAGGER	BASELINE 	0.0229044	0.0228669	0.0000375	109	0.0227805	0.0229857
>> Best		100000	1	REVERSE___	STAGGER	DPQ_11   	0.4293567	0.4288975	0.0004592	109	0.4280110	0.4297839
