Parsing results/sort-100000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_18_11I	RADIX	MARLIN	
100000	1	IDENT_____	STAGGER	 0.0221638	 0.3157207	 0.2354465	 0.2501511	 0.2246234	 0.2858877	 0.4756481	
100000	1	IDENT_____	SAWTOTH	 0.0206640	 0.0405925	 0.0244916	 0.0321429	 0.0230627	 0.0518823	 0.3730796	
100000	1	IDENT_____	_RANDOM	 0.0207550	 0.0402089	 0.0247646	 0.0321608	 0.0252352	 0.0573270	 0.3720037	
100000	1	IDENT_____	PLATEAU	 0.0228294	 0.0659616	 0.0469708	 0.0507821	 0.0429781	 0.0380720	 0.3857098	
100000	1	IDENT_____	SHUFFLE	 0.0214629	 0.0544227	 0.0514627	 0.0671419	 0.0483185	 0.0395522	 0.3301578	
100000	1	REVERSE___	STAGGER	 0.0228180	 0.4056522	 0.2804996	 0.3109591	 0.2804421	 0.3351751	 1.1868753	
100000	1	REVERSE___	SAWTOTH	 0.0207641	 0.0424151	 0.0254882	 0.0305659	 0.0249038	 0.0518345	 0.3725977	
100000	1	REVERSE___	_RANDOM	 0.0207505	 0.0408636	 0.0250791	 0.0325129	 0.0252791	 0.0515939	 0.3725216	
100000	1	REVERSE___	PLATEAU	 0.0228173	 0.1066588	 0.0317705	 0.0317869	 0.0323589	 0.0405215	 0.4207125	
100000	1	REVERSE___	SHUFFLE	 0.0228490	 0.1180255	 0.1240483	 0.1407701	 0.1154037	 0.0965465	 1.0353188	
100000	1	REVERSE_FR	STAGGER	 0.0228233	 0.3395291	 0.2566320	 0.2624532	 0.2593676	! 0.5139965	 0.9018005	
100000	1	REVERSE_FR	SAWTOTH	 0.0207540	 0.0362547	 0.0250051	 0.0305199	 0.0235209	 0.0516719	 0.3728983	
100000	1	REVERSE_FR	_RANDOM	 0.0207472	 0.0424175	 0.0247925	 0.0305921	 0.0249304	 0.0575282	 0.3733126	
100000	1	REVERSE_FR	PLATEAU	 0.0228070	 0.2734188	 0.0324400	 0.0327315	 0.0335251	 0.0280756	 0.4206073	
100000	1	REVERSE_FR	SHUFFLE	 0.0228178	 0.0918672	 0.0985778	 0.0953904	 0.0985633	 0.2653252	 0.7141343	
100000	1	REVERSE_BA	STAGGER	 0.0228264	 0.3392391	 0.2566770	 0.2747850	 0.2582844	 0.3116810	 0.8720740	
100000	1	REVERSE_BA	SAWTOTH	 0.0207503	 0.0424147	 0.0235221	 0.0234544	 0.0233973	 0.0578048	 0.3725976	
100000	1	REVERSE_BA	_RANDOM	 0.0206751	 0.0409897	 0.0255094	 0.0326329	 0.0251640	 0.0521723	 0.3726526	
