WARMUP_FIX_DIST_SAMPLES: false
Parameter[_distSamples]: [10]
Parameter[arraySize]: [1000000]
Parameter[arraySubSize]: [1, 16, 256, 4096, 65536, 1048576]
Parameter[dataTweaker]: [IDENT_____, REVERSE___, REVERSE_FR, REVERSE_BA, SORT______, DITHER____]
Parameter[distBuilder]: [STAGGER, SAWTOTH, _RANDOM, PLATEAU, SHUFFLE]
Parameter[tSorter]: [BASELINE, DPQ_11, DPQ_18_11_21, DPQ_18_11_27, DPQ_18_11I, RADIX, MARLIN]
>> Benchmarks ...
>> COLUMNS:Mode	Length	Sub-size	Builder	Tweaker	Sorter	RMS	Mean	StdDev	Count	Min	Max
>> Best		1000000	1	IDENT_____	STAGGER	BASELINE 	0.3356950	0.3198108	0.0158842	109	0.2954925	0.3627612
>> Best		1000000	1	IDENT_____	STAGGER	DPQ_11   	3.5246595	3.4332994	0.0913601	109	3.3649772	3.6437302
>> Best		1000000	1	IDENT_____	STAGGER	DPQ_18_11_21	2.5176984	2.5115828	0.0061156	109	2.4991264	2.5291891
>> Best		1000000	1	IDENT_____	STAGGER	DPQ_18_11_27	2.8385545	2.8298397	0.0087148	109	2.8134425	2.8495938
>> Best		1000000	1	IDENT_____	STAGGER	DPQ_18_11I	2.5191467	2.5111339	0.0080129	109	2.5005011	2.5389566
>> Best		1000000	1	IDENT_____	STAGGER	RADIX    	4.0543848	4.0432863	0.0110985	109	4.0258543	4.0790894
>> Best		1000000	1	IDENT_____	STAGGER	MARLIN   	6.8247993	6.7271421	0.0976572	109	6.6085888	6.9326538
>> Best		1000000	1	IDENT_____	SAWTOTH	BASELINE 	0.3024838	0.2939752	0.0085085	109	0.2668156	0.3071589
>> Best		1000000	1	IDENT_____	SAWTOTH	DPQ_11   	0.6590478	0.6279266	0.0311212	109	0.5815135	0.6709131
>> Best		1000000	1	IDENT_____	SAWTOTH	DPQ_18_11_21	0.5780739	0.5695216	0.0085523	109	0.5419720	0.5827609
>> Best		1000000	1	IDENT_____	SAWTOTH	DPQ_18_11_27	0.7110852	0.7046833	0.0064019	109	0.6856718	0.7189241
>> Best		1000000	1	IDENT_____	SAWTOTH	DPQ_18_11I	0.5801704	0.5715458	0.0086246	109	0.5486324	0.5851338
>> Best		1000000	1	IDENT_____	SAWTOTH	RADIX    	0.9406398	0.9235406	0.0170992	109	0.8928005	0.9662944
>> Best		1000000	1	IDENT_____	SAWTOTH	MARLIN   	5.8893074	5.8491422	0.0401652	109	5.7661167	5.9193191
>> Best		1000000	1	IDENT_____	_RANDOM	BASELINE 	0.2979898	0.2886345	0.0093553	109	0.2678302	0.3082575
>> Best		1000000	1	IDENT_____	_RANDOM	DPQ_11   	0.6735849	0.6342617	0.0393232	109	0.5556218	0.6693720
>> Best		1000000	1	IDENT_____	_RANDOM	DPQ_18_11_21	0.5842525	0.5748131	0.0094394	109	0.5536208	0.5935302
>> Best		1000000	1	IDENT_____	_RANDOM	DPQ_18_11_27	0.7135301	0.7057777	0.0077524	109	0.6869472	0.7212832
>> Best		1000000	1	IDENT_____	_RANDOM	DPQ_18_11I	0.5730466	0.5539649	0.0190817	109	0.5175587	0.5861898
>> Best		1000000	1	IDENT_____	_RANDOM	RADIX    	0.9247126	0.9114719	0.0132407	109	0.8861536	0.9395748
>> Best		1000000	1	IDENT_____	_RANDOM	MARLIN   	5.8586891	5.8263732	0.0323158	109	5.7693067	5.8823806
>> Best		1000000	1	IDENT_____	PLATEAU	BASELINE 	0.3143821	0.3068706	0.0075115	109	0.2854730	0.3228408
>> Best		1000000	1	IDENT_____	PLATEAU	DPQ_11   	1.0485726	1.0434583	0.0051143	109	1.0325713	1.0557331
>> Best		1000000	1	IDENT_____	PLATEAU	DPQ_18_11_21	0.8845033	0.8109872	0.0735160	109	0.7283721	0.9009561
>> Best		1000000	1	IDENT_____	PLATEAU	DPQ_18_11_27	1.0407272	1.0345039	0.0062233	109	1.0151295	1.0483539
>> Best		1000000	1	IDENT_____	PLATEAU	DPQ_18_11I	0.9016043	0.8954950	0.0061093	109	0.8800917	0.9074584
>> Best		1000000	1	IDENT_____	PLATEAU	RADIX    	0.7364977	0.7272214	0.0092763	109	0.7073278	0.7486868
>> Best		1000000	1	IDENT_____	PLATEAU	MARLIN   	6.1426346	6.1126799	0.0299548	109	6.0513273	6.1817848
>> Best		1000000	1	IDENT_____	SHUFFLE	BASELINE 	0.3186476	0.3065156	0.0121320	109	0.2823016	0.3288188
>> Best		1000000	1	IDENT_____	SHUFFLE	DPQ_11   	1.0494270	1.0427463	0.0066808	109	1.0284891	1.0548588
>> Best		1000000	1	IDENT_____	SHUFFLE	DPQ_18_11_21	0.9028605	0.8954812	0.0073793	109	0.8697015	0.9084536
>> Best		1000000	1	IDENT_____	SHUFFLE	DPQ_18_11_27	1.0381740	1.0327844	0.0053896	109	1.0167288	1.0439339
>> Best		1000000	1	IDENT_____	SHUFFLE	DPQ_18_11I	0.9027324	0.8950302	0.0077022	109	0.8760006	0.9075543
>> Best		1000000	1	IDENT_____	SHUFFLE	RADIX    	0.7373150	0.7262651	0.0110499	109	0.6968429	0.7410921
>> Best		1000000	1	IDENT_____	SHUFFLE	MARLIN   	5.3877116	5.3488766	0.0388351	109	5.2822542	5.4521540
>> Best		1000000	1	REVERSE___	STAGGER	BASELINE 	0.3175195	0.3086632	0.0088564	109	0.2877937	0.3271222
>> Best		1000000	1	REVERSE___	STAGGER	DPQ_11   	3.8495285	3.8419672	0.0075613	109	3.8259616	3.8612759
>> Best		1000000	1	REVERSE___	STAGGER	DPQ_18_11_21	3.1512060	3.1454282	0.0057778	109	3.1312267	3.1571967
>> Best		1000000	1	REVERSE___	STAGGER	DPQ_18_11_27	3.4422005	3.4368677	0.0053328	109	3.4233501	3.4483367
>> Best		1000000	1	REVERSE___	STAGGER	DPQ_18_11I	3.1470178	3.1416696	0.0053483	109	3.1308553	3.1540751
>> Best		1000000	1	REVERSE___	STAGGER	RADIX    	3.6883935	3.6797222	0.0086713	109	3.6643681	3.7037111
>> Best		1000000	1	REVERSE___	STAGGER	MARLIN   	11.5328075	11.5034634	0.0293441	109	11.4417934	11.5811057
>> Best		1000000	1	REVERSE___	SAWTOTH	BASELINE 	0.3037600	0.2922071	0.0115529	109	0.2631383	0.3175135
>> Best		1000000	1	REVERSE___	SAWTOTH	DPQ_11   	0.6765720	0.6383295	0.0382425	109	0.5599525	0.6776942
>> Best		1000000	1	REVERSE___	SAWTOTH	DPQ_18_11_21	0.5821792	0.5607058	0.0214734	109	0.5113037	0.5871018
>> Best		1000000	1	REVERSE___	SAWTOTH	DPQ_18_11_27	0.7137394	0.7048735	0.0088659	109	0.6822828	0.7348374
>> Best		1000000	1	REVERSE___	SAWTOTH	DPQ_18_11I	0.5813106	0.5698270	0.0114836	109	0.5345491	0.5831912
>> Best		1000000	1	REVERSE___	SAWTOTH	RADIX    	0.9129659	0.9059777	0.0069882	109	0.8870566	0.9188062
