Benchmark                (arraySize)  (arraySubSize)  (dataTweaker)  (distBuilder)     (tSorter)  Mode  Cnt     Score     Error  Units
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER      BASELINE  avgt   10    13.899 ±   0.242  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER        DPQ_11  avgt   10   286.369 ±   0.175  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER  DPQ_18_11_21  avgt   10   254.135 ±   0.669  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER    DPQ_18_11I  avgt   10   308.814 ±  23.532  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER    DPQ_18_11P  avgt   10   189.810 ±   0.152  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER         RADIX  avgt   10   223.123 ±   5.099  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH      BASELINE  avgt   10    13.905 ±   0.234  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH        DPQ_11  avgt   10    52.459 ±   0.264  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH  DPQ_18_11_21  avgt   10    45.456 ±   0.375  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH    DPQ_18_11I  avgt   10    48.487 ±   0.253  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH    DPQ_18_11P  avgt   10    47.559 ±   0.069  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH         RADIX  avgt   10    96.493 ±   4.831  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM      BASELINE  avgt   10    13.791 ±   0.141  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM        DPQ_11  avgt   10    52.461 ±   0.255  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM  DPQ_18_11_21  avgt   10    45.281 ±   0.071  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM    DPQ_18_11I  avgt   10    48.326 ±   0.022  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM    DPQ_18_11P  avgt   10    47.569 ±   0.088  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM         RADIX  avgt   10    96.477 ±   4.811  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU      BASELINE  avgt   10    13.932 ±   0.555  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU        DPQ_11  avgt   10    55.852 ±   0.213  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU  DPQ_18_11_21  avgt   10    45.276 ±   0.065  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU    DPQ_18_11I  avgt   10    66.756 ±   0.128  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU    DPQ_18_11P  avgt   10    47.558 ±   0.033  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU         RADIX  avgt   10    95.767 ±   9.573  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SHUFFLE      BASELINE  avgt   10    13.783 ±   0.130  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SHUFFLE        DPQ_11  avgt   10    91.457 ±   7.235  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SHUFFLE  DPQ_18_11_21  avgt   10    45.257 ±   0.061  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SHUFFLE    DPQ_18_11I  avgt   10   106.070 ±   0.777  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SHUFFLE    DPQ_18_11P  avgt   10    47.555 ±   0.044  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SHUFFLE         RADIX  avgt   10   101.211 ±   5.138  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        STAGGER      BASELINE  avgt   10    13.779 ±   0.129  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        STAGGER        DPQ_11  avgt   10   324.866 ± 107.811  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        STAGGER  DPQ_18_11_21  avgt   10   529.382 ±   0.256  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        STAGGER    DPQ_18_11I  avgt   10   495.261 ±  11.184  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        STAGGER    DPQ_18_11P  avgt   10   335.058 ±   0.141  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        STAGGER         RADIX  avgt   10   261.457 ±   3.015  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        SAWTOTH      BASELINE  avgt   10    13.785 ±   0.123  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        SAWTOTH        DPQ_11  avgt   10    52.306 ±   0.146  ns/op
ArraySortBenchmark.sort           50               1     REVERSE___        SAWTOTH  DPQ_18_11_21  avgt   10    45.267 ±   0.042  ns/op
