max(arraySize): 50
subSizeList: [1, 4, 16, 64]
# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 100 ms each
# Measurement: 10 iterations, 50 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 50, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = BASELINE)

# Run progress: 0.00% complete, ETA 00:19:12
# Fork: 1 of 2
# Warmup Iteration   1: 19.641 ns/op
# Warmup Iteration   2: 21.994 ns/op
# Warmup Iteration   3: 15.023 ns/op
Iteration   1: 17.076 ns/op
Iteration   2: 15.254 ns/op
Iteration   3: 17.015 ns/op
Iteration   4: 15.016 ns/op
Iteration   5: 17.107 ns/op
Iteration   6: 15.391 ns/op
Iteration   7: 17.030 ns/op
Iteration   8: 17.030 ns/op
Iteration   9: 17.037 ns/op
Iteration  10: 14.939 ns/op

# Run progress: 0.07% complete, ETA 00:44:29
# Fork: 2 of 2
# Warmup Iteration   1: 19.376 ns/op
# Warmup Iteration   2: 23.175 ns/op
# Warmup Iteration   3: 15.067 ns/op
Iteration   1: 17.099 ns/op
Iteration   2: 15.284 ns/op
Iteration   3: 17.010 ns/op
Iteration   4: 15.024 ns/op
Iteration   5: 17.109 ns/op
Iteration   6: 15.375 ns/op
Iteration   7: 17.024 ns/op
Iteration   8: 17.019 ns/op
Iteration   9: 17.034 ns/op
Iteration  10: 14.971 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  16.292 ±(99.9%) 0.832 ns/op [Average]
  (min, avg, max) = (14.939, 16.292, 17.109), stdev = 0.958
  CI (99.9%): [15.460, 17.124] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
