Benchmark                (arraySize)  (arraySubSize)  (dataTweaker)  (distBuilder)     (tSorter)  Mode  Cnt      Score      Error  Units
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER      BASELINE  avgt   20     16.292 ±    0.832  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER        DPQ_11  avgt   20    290.363 ±    3.692  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER  DPQ_18_11_21  avgt   20    259.019 ±    2.794  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER    DPQ_18_11I  avgt   20    301.324 ±    1.953  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER    DPQ_18_11P  avgt   20    189.889 ±    1.037  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        STAGGER         RADIX  avgt   20    257.218 ±    8.657  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH      BASELINE  avgt   20     16.295 ±    0.834  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH        DPQ_11  avgt   20     60.271 ±   35.312  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH  DPQ_18_11_21  avgt   20     45.066 ±    0.652  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH    DPQ_18_11I  avgt   20     49.977 ±    1.314  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH    DPQ_18_11P  avgt   20     48.450 ±    0.528  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        SAWTOTH         RADIX  avgt   20    129.554 ±    7.029  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM      BASELINE  avgt   20     16.290 ±    0.830  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM        DPQ_11  avgt   20     51.106 ±    0.452  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM  DPQ_18_11_21  avgt   20     45.004 ±    0.646  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM    DPQ_18_11I  avgt   20     49.899 ±    1.283  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM    DPQ_18_11P  avgt   20     48.382 ±    0.554  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        _RANDOM         RADIX  avgt   20    129.335 ±    7.041  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU      BASELINE  avgt   20     16.288 ±    0.827  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU        DPQ_11  avgt   20     54.971 ±    0.472  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU  DPQ_18_11_21  avgt   20     44.999 ±    0.649  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU    DPQ_18_11I  avgt   20     67.235 ±    0.932  ns/op
ArraySortBenchmark.sort           50               1     IDENT_____        PLATEAU    DPQ_18_11P  avgt   20     48.382 ±    0.544  ns/op
