max(arraySize): 500
subSizeList: [1, 4, 16, 64, 256]
# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 200 ms each
# Measurement: 10 iterations, 100 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 500, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = BASELINE)

# Run progress: 0.00% complete, ETA 00:48:00
# Fork: 1 of 2
# Warmup Iteration   1: 37.991 ns/op
# Warmup Iteration   2: 67.517 ns/op
# Warmup Iteration   3: 35.709 ns/op
Iteration   1: 35.730 ns/op
Iteration   2: 35.726 ns/op
Iteration   3: 35.725 ns/op
Iteration   4: 35.708 ns/op
Iteration   5: 35.710 ns/op
Iteration   6: 36.176 ns/op
Iteration   7: 35.621 ns/op
Iteration   8: 34.431 ns/op
Iteration   9: 35.710 ns/op
Iteration  10: 35.718 ns/op

# Run progress: 0.06% complete, ETA 01:18:38
# Fork: 2 of 2
# Warmup Iteration   1: 37.978 ns/op
# Warmup Iteration   2: 67.714 ns/op
# Warmup Iteration   3: 35.684 ns/op
Iteration   1: 35.727 ns/op
Iteration   2: 35.668 ns/op
Iteration   3: 35.707 ns/op
Iteration   4: 35.716 ns/op
Iteration   5: 35.727 ns/op
Iteration   6: 36.176 ns/op
Iteration   7: 35.705 ns/op
Iteration   8: 34.432 ns/op
Iteration   9: 35.679 ns/op
Iteration  10: 35.671 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  35.623 ±(99.9%) 0.376 ns/op [Average]
  (min, avg, max) = (34.431, 35.623, 36.176), stdev = 0.433
  CI (99.9%): [35.247, 36.000] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 200 ms each
# Measurement: 10 iterations, 100 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 500, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = DPQ_11)

# Run progress: 0.11% complete, ETA 01:15:24
# Fork: 1 of 2
# Warmup Iteration   1: 1834.782 ns/op
# Warmup Iteration   2: 1582.914 ns/op
# Warmup Iteration   3: 1402.028 ns/op
Iteration   1: 1401.489 ns/op
Iteration   2: 1401.784 ns/op
Iteration   3: 1403.236 ns/op
Iteration   4: 1391.372 ns/op
Iteration   5: 1405.840 ns/op
Iteration   6: 1391.977 ns/op
Iteration   7: 1403.958 ns/op
Iteration   8: 1403.101 ns/op
Iteration   9: 1390.355 ns/op
Iteration  10: 1390.676 ns/op

# Run progress: 0.17% complete, ETA 01:14:37
# Fork: 2 of 2
# Warmup Iteration   1: 1844.745 ns/op
# Warmup Iteration   2: 1606.480 ns/op
# Warmup Iteration   3: 1417.510 ns/op
Iteration   1: 1418.202 ns/op
Iteration   2: 1417.527 ns/op
Iteration   3: 1418.313 ns/op
Iteration   4: 1408.025 ns/op
Iteration   5: 1419.759 ns/op
Iteration   6: 1410.461 ns/op
Iteration   7: 1420.928 ns/op
Iteration   8: 1409.060 ns/op
Iteration   9: 1404.845 ns/op
Iteration  10: 1408.426 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  1405.967 ±(99.9%) 8.533 ns/op [Average]
  (min, avg, max) = (1390.355, 1405.967, 1420.928), stdev = 9.827
  CI (99.9%): [1397.434, 1414.500] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
# VM invoker: /home/bourgesl/apps/jdk1.8.0/jre/bin/java
# VM options: -Xms1g -Xmx1g -XX:-TieredCompilation -XX:+UnlockDiagnosticVMOptions -XX:GuaranteedSafepointInterval=300000
# Warmup: 3 iterations, 200 ms each
# Measurement: 10 iterations, 100 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: edu.sorting.bench.ArraySortBenchmark.sort
# Parameters: (arraySize = 500, arraySubSize = 1, dataTweaker = IDENT_____, distBuilder = STAGGER, tSorter = DPQ_18_11_21)

# Run progress: 0.22% complete, ETA 01:13:59
# Fork: 1 of 2
# Warmup Iteration   1: 24836.878 ns/op
# Warmup Iteration   2: 9256.985 ns/op
# Warmup Iteration   3: 8505.924 ns/op
Iteration   1: 8189.785 ns/op
Iteration   2: 8165.223 ns/op
Iteration   3: 8157.507 ns/op
Iteration   4: 8152.723 ns/op
Iteration   5: 8152.183 ns/op
Iteration   6: 8169.374 ns/op
Iteration   7: 8163.263 ns/op
Iteration   8: 8167.556 ns/op
Iteration   9: 8189.962 ns/op
Iteration  10: 8192.072 ns/op

# Run progress: 0.28% complete, ETA 01:13:35
# Fork: 2 of 2
# Warmup Iteration   1: 22729.161 ns/op
# Warmup Iteration   2: 9301.617 ns/op
# Warmup Iteration   3: 8605.344 ns/op
Iteration   1: 8259.602 ns/op
Iteration   2: 8271.111 ns/op
Iteration   3: 8250.603 ns/op
Iteration   4: 8212.428 ns/op
Iteration   5: 8234.280 ns/op
Iteration   6: 8255.820 ns/op
Iteration   7: 8257.726 ns/op
Iteration   8: 8210.417 ns/op
Iteration   9: 8250.711 ns/op
Iteration  10: 8272.193 ns/op


Result "edu.sorting.bench.ArraySortBenchmark.sort":
  8208.727 ±(99.9%) 38.040 ns/op [Average]
  (min, avg, max) = (8152.183, 8208.727, 8272.193), stdev = 43.806
  CI (99.9%): [8170.687, 8246.767] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_192, Java HotSpot(TM) 64-Bit Server VM, 25.192-b12
