Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_18_11I	RADIX	MARLIN	
100	1	IDENT_____	STAGGER	 0.0000165	 0.0007267	 0.0006261	 0.0006469	 0.0006219	 0.0003682	 0.0003492	
100	1	IDENT_____	SAWTOTH	 0.0000165	 0.0000535	 0.0000515	 0.0000553	 0.0000562	 0.0001252	 0.0002188	
100	1	IDENT_____	_RANDOM	 0.0000165	 0.0000537	 0.0000571	 0.0000559	 0.0000522	 0.0001252	 0.0002190	
100	1	IDENT_____	PLATEAU	 0.0000165	 0.0000633	 0.0000882	 0.0000880	 0.0000888	 0.0001364	 0.0002154	
100	1	IDENT_____	SHUFFLE	 0.0000165	 0.0001227	 0.0001377	 0.0002852	 0.0002019	 0.0001357	 0.0001790	
100	1	REVERSE___	STAGGER	 0.0000165	 0.0006919	 0.0010634	 0.0010837	 0.0010683	 0.0004662	 0.0011111	
100	1	REVERSE___	SAWTOTH	 0.0000165	 0.0000537	 0.0000515	 0.0000557	 0.0000528	 0.0001258	 0.0002185	
100	1	REVERSE___	_RANDOM	 0.0000165	 0.0000538	 0.0000515	 0.0000562	 0.0000531	 0.0001261	 0.0002185	
100	1	REVERSE___	PLATEAU	 0.0000165	 0.0000597	 0.0000956	 0.0000914	 0.0000967	 0.0001342	 0.0002723	
100	1	REVERSE___	SHUFFLE	 0.0000165	 0.0003998	 0.0003150	 0.0004674	 0.0003879	 0.0002144	 0.0009356	
100	1	REVERSE_FR	STAGGER	 0.0000165	 0.0007913	 0.0009043	 0.0009050	 0.0008929	 0.0004377	 0.0007508	
100	1	REVERSE_FR	SAWTOTH	 0.0000165	 0.0000539	 0.0000518	 0.0000601	 0.0000522	 0.0001270	 0.0002185	
100	1	REVERSE_FR	_RANDOM	 0.0000165	 0.0000540	 0.0000517	 0.0000552	 0.0000522	 0.0001337	 0.0002184	
100	1	REVERSE_FR	PLATEAU	 0.0000165	 0.0000617	 0.0000938	 0.0000925	 0.0000959	 0.0001196	 0.0002761	
100	1	REVERSE_FR	SHUFFLE	 0.0000165	 0.0004111	 0.0006376	 0.0005998	 0.0006284	 0.0003807	 0.0005875	
100	1	REVERSE_BA	STAGGER	 0.0000165	 0.0006904	 0.0007689	 0.0007908	 0.0007475	 0.0004132	 0.0007536	
100	1	REVERSE_BA	SAWTOTH	 0.0000165	 0.0000539	 0.0000515	 0.0000599	 0.0000524	 0.0001270	 0.0002185	
100	1	REVERSE_BA	_RANDOM	 0.0000165	 0.0000535	 0.0000571	 0.0000558	 0.0000524	 0.0001258	 0.0002175	
100	1	REVERSE_BA	PLATEAU	 0.0000165	 0.0000599	 0.0000882	 0.0000880	 0.0000935	 0.0001358	 0.0002151	
100	1	REVERSE_BA	SHUFFLE	 0.0000165	 0.0002313	 0.0003885	 0.0005367	 0.0004612	 0.0004151	 0.0005895	
100	1	SORT______	STAGGER	 0.0000189	 0.0001466	 0.0001413	 0.0003198	 0.0002108	 0.0001430	 0.0001774	
100	1	SORT______	SAWTOTH	 0.0000159	 0.0000540	 0.0000555	 0.0000627	 0.0000553	 0.0001300	 0.0002223	
100	1	SORT______	_RANDOM	 0.0000189	 0.0000541	 0.0000525	 0.0000553	 0.0000579	 0.0001278	 0.0002187	
100	1	SORT______	PLATEAU	 0.0000159	 0.0000678	 0.0000932	 0.0000921	 0.0000917	 0.0001260	 0.0002170	
100	1	SORT______	SHUFFLE	 0.0000189	 0.0001234	 0.0001387	 0.0002739	 0.0002046	 0.0001235	 0.0001775	
100	1	DITHER____	STAGGER	 0.0000165	 0.0007829	 0.0006751	 0.0007331	 0.0007277	 0.0035695	 0.0005380	
100	1	DITHER____	SAWTOTH	 0.0000165	 0.0004292	 0.0003975	 0.0004001	 0.0003969	 0.0033947	 0.0009683	
100	1	DITHER____	_RANDOM	 0.0000165	 0.0003193	 0.0004066	 0.0003999	 0.0004033	 0.0034089	 0.0009212	
100	1	DITHER____	PLATEAU	 0.0000165	 0.0003530	 0.0004158	 0.0004043	 0.0004185	 0.0033539	 0.0009209	
100	1	DITHER____	SHUFFLE	 0.0000165	 0.0002226	 0.0003944	 0.0004390	 0.0003350	 0.0035045	 0.0004990	
100	4	IDENT_____	STAGGER	 0.0000165	 0.0007425	 0.0008222	 0.0008400	 0.0008259	 0.0007952	 0.0008974	
100	4	IDENT_____	SAWTOTH	 0.0000165	 0.0002848	 0.0004309	 0.0004157	 0.0004399	 0.0034485	 0.0009299	
100	4	IDENT_____	_RANDOM	 0.0000165	! 0.0004007	 0.0003895	 0.0003328	 0.0003138	 0.0035974	 0.0009574	
100	4	IDENT_____	PLATEAU	 0.0000165	 0.0000701	 0.0001005	 0.0001189	 0.0000921	 0.0001227	 0.0002152	
100	4	IDENT_____	SHUFFLE	 0.0000165	 0.0006824	 0.0005480	! 0.0007125	 0.0005608	 0.0021136	 0.0007246	
100	4	REVERSE___	STAGGER	 0.0000165	 0.0007086	 0.0010675	 0.0010594	 0.0010670	 0.0008957	 0.0011995	
100	4	REVERSE___	SAWTOTH	 0.0000165	 0.0002733	 0.0004686	 0.0003092	 0.0002737	 0.0034994	 0.0010109	
100	4	REVERSE___	_RANDOM	 0.0000165	 0.0003710	 0.0004493	! 0.0004035	! 0.0003844	 0.0036008	 0.0009277	
100	4	REVERSE___	PLATEAU	 0.0000165	 0.0000695	 0.0001018	 0.0001151	 0.0000980	 0.0001336	 0.0003090	
100	4	REVERSE___	SHUFFLE	 0.0000165	 0.0006882	 0.0005742	 0.0006629	 0.0006620	 0.0021380	 0.0011564	
100	4	REVERSE_FR	STAGGER	 0.0000165	 0.0007474	 0.0008100	 0.0007418	 0.0008861	 0.0008959	 0.0010534	
100	4	REVERSE_FR	SAWTOTH	 0.0000165	 0.0002693	 0.0004213	 0.0003964	 0.0004208	 0.0034757	 0.0009524	
100	4	REVERSE_FR	_RANDOM	 0.0000165	 0.0003263	 0.0004455	 0.0002873	! 0.0073589	 0.0034991	 0.0009403	
100	4	REVERSE_FR	PLATEAU	 0.0000165	 0.0000727	 0.0000987	 0.0001200	 0.0000969	 0.0001247	 0.0003096	
100	4	REVERSE_FR	SHUFFLE	 0.0000165	 0.0006536	 0.0006155	 0.0006111	 0.0006759	 0.0040915	 0.0009375	
100	4	REVERSE_BA	STAGGER	 0.0000165	! 0.0019166	 0.0007882	 0.0007449	 0.0007308	 0.0008782	 0.0009987	
100	4	REVERSE_BA	SAWTOTH	 0.0000165	 0.0002954	 0.0003970	 0.0003876	 0.0004173	 0.0035518	 0.0009922	
100	4	REVERSE_BA	_RANDOM	 0.0000165	 0.0003518	 0.0003713	 0.0002906	 0.0002886	 0.0035800	 0.0009064	
100	4	REVERSE_BA	PLATEAU	 0.0000166	 0.0000614	 0.0001006	 0.0001184	 0.0000920	 0.0001236	 0.0002150	
100	4	REVERSE_BA	SHUFFLE	 0.0000165	 0.0006789	 0.0007161	 0.0007856	! 0.0009634	 0.0039849	 0.0009400	
100	4	SORT______	STAGGER	 0.0000159	 0.0001393	 0.0001474	 0.0003337	 0.0001953	 0.0001461	 0.0001816	
100	4	SORT______	SAWTOTH	 0.0000189	 0.0002228	 0.0001634	 0.0002413	 0.0001709	 0.0001428	 0.0002091	
100	4	SORT______	_RANDOM	 0.0000189	 0.0002019	 0.0001344	 0.0001583	 0.0001637	 0.0001379	 0.0001975	
100	4	SORT______	PLATEAU	 0.0000189	 0.0000613	 0.0000949	 0.0001120	 0.0000920	 0.0001361	 0.0002142	
100	4	SORT______	SHUFFLE	 0.0000189	 0.0001246	 0.0001370	 0.0002857	 0.0002071	 0.0001378	 0.0001773	
100	4	DITHER____	STAGGER	 0.0000165	 0.0007391	 0.0008230	 0.0008159	 0.0008279	 0.0007957	 0.0008994	
100	4	DITHER____	SAWTOTH	 0.0000165	 0.0004703	 0.0010918	 0.0011062	 0.0010919	 0.0034390	 0.0010099	
100	4	DITHER____	_RANDOM	 0.0000165	 0.0004207	 0.0005322	 0.0004808	 0.0004484	 0.0035656	 0.0009672	
100	4	DITHER____	PLATEAU	 0.0000165	 0.0003313	 0.0004293	 0.0004256	 0.0004258	 0.0034618	 0.0009181	
100	4	DITHER____	SHUFFLE	 0.0000165	 0.0006747	 0.0006339	 0.0006492	 0.0006100	 0.0037894	 0.0007420	
100	16	IDENT_____	STAGGER	 0.0000165	 0.0009073	 0.0007791	 0.0008251	 0.0008261	 0.0036349	 0.0009984	
100	16	IDENT_____	SAWTOTH	 0.0000165	 0.0007678	 0.0008176	 0.0007008	 0.0008417	 0.0009022	 0.0009597	
100	16	IDENT_____	_RANDOM	 0.0000165	 0.0006817	 0.0008363	! 0.0020486	 0.0007399	 0.0035431	 0.0009659	
100	16	IDENT_____	PLATEAU	 0.0000165	 0.0000758	 0.0000931	 0.0001783	 0.0000911	 0.0001375	 0.0002151	
100	16	IDENT_____	SHUFFLE	 0.0000165	! 0.0003995	 0.0003535	 0.0003874	 0.0004241	 0.0008114	 0.0004673	
100	16	REVERSE___	STAGGER	 0.0000165	 0.0009392	 0.0008232	 0.0008469	 0.0008547	 0.0039428	 0.0010773	
100	16	REVERSE___	SAWTOTH	 0.0000165	 0.0006575	 0.0007689	 0.0006674	 0.0006509	 0.0009073	 0.0011548	
100	16	REVERSE___	_RANDOM	 0.0000165	 0.0006968	 0.0007897	 0.0008049	 0.0007758	 0.0034379	 0.0010119	
100	16	REVERSE___	PLATEAU	 0.0000165	 0.0002140	 0.0001355	 0.0001981	 0.0001277	 0.0001595	 0.0003960	
100	16	REVERSE___	SHUFFLE	 0.0000165	 0.0005485	! 0.0005557	! 0.0029087	! 0.0020923	 0.0007240	 0.0010794	
100	16	REVERSE_FR	STAGGER	 0.0000165	 0.0007268	 0.0010138	 0.0009824	 0.0010089	 0.0038689	 0.0010534	
100	16	REVERSE_FR	SAWTOTH	 0.0000165	 0.0007834	 0.0008321	 0.0008231	 0.0008321	 0.0008563	 0.0010551	
100	16	REVERSE_FR	_RANDOM	 0.0000165	 0.0007123	 0.0008255	 0.0007367	 0.0007317	 0.0036221	 0.0010020	
100	16	REVERSE_FR	PLATEAU	 0.0000165	 0.0002144	 0.0002805	 0.0003502	 0.0002799	 0.0001407	 0.0003930	
100	16	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004573	 0.0006196	 0.0005954	! 0.0022418	 0.0008680	 0.0007482	
100	16	REVERSE_BA	STAGGER	 0.0000165	 0.0008106	 0.0007946	 0.0008825	 0.0008071	 0.0037870	 0.0009911	
100	16	REVERSE_BA	SAWTOTH	 0.0000166	 0.0006983	 0.0010869	 0.0010297	 0.0009747	 0.0009281	 0.0010627	
100	16	REVERSE_BA	_RANDOM	 0.0000165	 0.0006436	! 0.0020456	 0.0007754	 0.0008065	 0.0035548	 0.0010124	
100	16	REVERSE_BA	PLATEAU	 0.0000165	 0.0000749	 0.0000931	 0.0001752	 0.0000896	 0.0001228	 0.0002152	
100	16	REVERSE_BA	SHUFFLE	 0.0000165	! 0.0005143	 0.0006310	 0.0006756	 0.0006349	 0.0008145	 0.0008212	
100	16	SORT______	STAGGER	 0.0000189	 0.0001249	 0.0001389	 0.0002741	 0.0002061	 0.0001236	 0.0001779	
100	16	SORT______	SAWTOTH	 0.0000189	 0.0001447	 0.0001432	 0.0002961	 0.0001914	 0.0001441	 0.0001774	
100	16	SORT______	_RANDOM	 0.0000189	 0.0001378	 0.0001496	 0.0002410	 0.0002019	 0.0001486	 0.0001779	
100	16	SORT______	PLATEAU	 0.0000189	 0.0000758	 0.0000927	 0.0001712	 0.0000890	 0.0001368	 0.0002141	
100	16	SORT______	SHUFFLE	 0.0000189	 0.0001252	 0.0001375	 0.0002622	 0.0002057	 0.0001234	 0.0001784	
100	16	DITHER____	STAGGER	 0.0000165	 0.0009088	 0.0008116	 0.0008339	 0.0008168	 0.0035927	 0.0009649	
100	16	DITHER____	SAWTOTH	 0.0000165	 0.0008369	 0.0008479	 0.0009103	 0.0008714	 0.0035025	 0.0009985	
100	16	DITHER____	_RANDOM	 0.0000165	 0.0006975	 0.0007808	 0.0007151	 0.0006686	 0.0035008	 0.0010154	
100	16	DITHER____	PLATEAU	 0.0000164	 0.0003845	 0.0006929	 0.0006859	 0.0006917	 0.0034545	 0.0008738	
100	16	DITHER____	SHUFFLE	 0.0000165	! 0.0004652	 0.0004706	 0.0005244	 0.0005291	 0.0038619	 0.0005703	
100	64	IDENT_____	STAGGER	 0.0000167	 0.0009948	 0.0010696	 0.0010824	 0.0010640	 0.0036451	 0.0011018	
100	64	IDENT_____	SAWTOTH	 0.0000165	 0.0007647	 0.0008456	 0.0008603	 0.0007604	 0.0003662	 0.0005470	
100	64	IDENT_____	_RANDOM	 0.0000165	 0.0007667	 0.0008282	 0.0008575	 0.0008528	 0.0035909	 0.0009977	
100	64	IDENT_____	PLATEAU	 0.0000165	 0.0001237	 0.0001467	 0.0002870	 0.0002058	 0.0001229	 0.0001962	
100	64	IDENT_____	SHUFFLE	 0.0000165	 0.0002755	! 0.0009782	! 0.0059334	 0.0002989	 0.0004969	 0.0004044	
100	64	REVERSE___	STAGGER	 0.0000165	 0.0009440	 0.0009056	 0.0008885	 0.0008974	 0.0035227	 0.0010132	
100	64	REVERSE___	SAWTOTH	 0.0000165	 0.0006643	 0.0007567	 0.0007981	 0.0006990	 0.0004363	 0.0012332	
100	64	REVERSE___	_RANDOM	 0.0000165	 0.0007514	 0.0008272	 0.0008120	 0.0008107	 0.0035455	 0.0010319	
100	64	REVERSE___	PLATEAU	 0.0000165	 0.0003926	 0.0003171	 0.0004701	 0.0003841	 0.0002163	 0.0006503	
100	64	REVERSE___	SHUFFLE	 0.0000165	 0.0004684	 0.0004652	 0.0005142	 0.0005075	 0.0005429	 0.0010919	
100	64	REVERSE_FR	STAGGER	 0.0000166	 0.0007090	 0.0010689	 0.0010605	 0.0010632	 0.0036364	 0.0011255	
100	64	REVERSE_FR	SAWTOTH	 0.0000165	 0.0009287	 0.0011539	 0.0012691	 0.0011588	 0.0006045	 0.0009195	
100	64	REVERSE_FR	_RANDOM	 0.0000165	 0.0007461	 0.0008287	 0.0008220	 0.0008203	 0.0035348	 0.0010200	
100	64	REVERSE_FR	PLATEAU	 0.0000165	 0.0004263	 0.0006393	 0.0006015	 0.0006246	 0.0003855	 0.0005615	
100	64	REVERSE_FR	SHUFFLE	 0.0000165	 0.0004670	 0.0006018	 0.0005842	! 0.0046935	 0.0006763	 0.0007752	
100	64	REVERSE_BA	STAGGER	 0.0000165	 0.0009992	 0.0008087	 0.0007979	 0.0008211	 0.0035943	 0.0010321	
100	64	REVERSE_BA	SAWTOTH	 0.0000165	 0.0007836	 0.0007191	 0.0006505	 0.0006783	 0.0007057	 0.0008866	
100	64	REVERSE_BA	_RANDOM	 0.0000166	 0.0007342	 0.0008365	 0.0008698	 0.0008250	 0.0035181	 0.0009988	
100	64	REVERSE_BA	PLATEAU	 0.0000165	 0.0003111	 0.0003163	 0.0004578	 0.0003645	 0.0003554	 0.0003621	
100	64	REVERSE_BA	SHUFFLE	 0.0000165	 0.0003498	 0.0005188	 0.0005993	 0.0005445	 0.0007267	 0.0007759	
100	64	SORT______	STAGGER	 0.0000158	 0.0001404	 0.0001472	 0.0002740	 0.0001956	 0.0001475	 0.0001805	
100	64	SORT______	SAWTOTH	 0.0000158	 0.0001427	 0.0001449	 0.0003213	 0.0002130	 0.0001473	 0.0001805	
100	64	SORT______	_RANDOM	 0.0000189	 0.0001205	 0.0001408	 0.0002578	 0.0002002	 0.0001445	 0.0001775	
100	64	SORT______	PLATEAU	 0.0000159	 0.0001279	 0.0001410	 0.0002893	! 0.0004239	 0.0001391	 0.0001984	
100	64	SORT______	SHUFFLE	 0.0000189	 0.0001253	 0.0001376	 0.0002825	 0.0002077	 0.0001357	 0.0001774	
100	64	DITHER____	STAGGER	 0.0000165	 0.0009490	 0.0010673	 0.0010768	 0.0010718	 0.0036556	 0.0011023	
100	64	DITHER____	SAWTOTH	 0.0000165	 0.0008353	 0.0007909	 0.0007536	 0.0007318	 0.0036308	 0.0006631	
100	64	DITHER____	_RANDOM	 0.0000165	 0.0009032	 0.0008987	 0.0008885	 0.0008377	 0.0036036	 0.0010004	
100	64	DITHER____	PLATEAU	 0.0000165	 0.0006290	 0.0005296	 0.0006565	 0.0005146	 0.0035022	 0.0006598	
100	64	DITHER____	SHUFFLE	 0.0000165	 0.0003547	 0.0003786	 0.0004539	 0.0004098	 0.0037084	 0.0005412	
1000	1	IDENT_____	STAGGER	 0.0001520	 0.0025251	 0.0171341	 0.0180716	 0.0169313	 0.0032234	 0.0044135	
